"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
1.0,63.0,1.0,0.3574325442314148,"back in march [[former]] deputy prime minister barnabyjoyce said death by snake bite outnumbered covid [[death]] by a factor of to but coronavirus move quickly and his claim rapidly aged this and more in [[coronacheck]] coronavirusfacts",1.0,0.45010095834732056,"back in march [[uk]] deputy prime minister barnabyjoyce said death by snake bite outnumbered covid [[ensis]] by a factor of to but coronavirus move quickly and his claim rapidly aged this and more in [[developing]] coronavirusfacts","Failed"
1.0,113.0,1.0,0.34836238622665405,"covid is a lab made biological weapon deployed to [[destroy]] the trump economy people will say but chinese people [[died]] why would they kill their own people ill remind [[people]] that war is about sacrificing your own people to gain from another people",1.0,0.36747467517852783,"covid is a lab made biological weapon deployed to [[strike]] the trump economy people will say but chinese people [[are]] why would they kill their own people ill remind [[nation]] that war is about sacrificing your own people to gain from another people","Failed"
0.0,47.0,0.0,0.35240256786346436,"indiafightscorona by conducting [[close]] to crore [[covid]] test    crore covid test were conducted in the [[last]] week alone",0.0,0.36411672830581665,"indiafightscorona by conducting [[closer]] to crore [[mass]] test    crore covid test were conducted in the [[next]] week alone","Failed"
1.0,174.0,1.0,0.3462393879890442,"claim that [[saint]] [[corona]] [[ha]] [[always]] been a [[patron]] [[saint]] against epidemic",1.0,0.389381468296051,"claim that [[mar]] [[i]] [[could]] [[u]] been a [[saving]] [[joke]] against epidemic","Failed"
1.0,143.0,1.0,0.3615737557411194,"million people [[contracted]] tuberculosis last [[year]]    million people died did you even know were you scared for your [[life]] did we wear mask close the economy cancel [[school]] and ruin small business no why because the medium didn t [[tell]] you to be afraid",1.0,0.3953080177307129,"million people [[contract]] tuberculosis last [[time]]    million people died did you even know were you scared for your [[safety]] did we wear mask close the economy cancel [[les]] and ruin small business no why because the medium didn t [[permit]] you to be afraid","Failed"
0.0,37.0,0.0,0.3440033793449402,"several dozen of our volunteer [[spent]] the last day evaluating the new cdcgov data this is the white [[paper]] we produced",0.0,0.3589411973953247,"several dozen of our volunteer [[s]] the last day evaluating the new cdcgov data this is the white [[papers]] we produced","Failed"
1.0,139.0,1.0,0.36834025382995605,"simpsonreport a [[bioengineered]] pandemic is too [[useful]] to waste lockdown the [[new]] gulag",0.0,0.5099060535430908,"simpsonreport a [[widespread]] pandemic is too [[likely]] to waste lockdown the [[antarctic]] gulag","Successful"
1.0,133.0,1.0,0.3417206406593323,"a [[photo]] of a [[woman]] lying in a [[hospital]] bed with medical equipment attached to her body [[ha]] been shared hundred of time on facebook and twitter alongside [[claim]] that the woman wa a doctor who died after being [[beaten]] by a muslim mob while trying to administer novel coronavirus test",1.0,0.3624024987220764,"a [[pictures]] of a [[lady]] lying in a [[hospitals]] bed with medical equipment attached to her body [[got]] been shared hundred of time on facebook and twitter alongside [[speculated]] that the woman wa a doctor who died after being [[hit]] by a muslim mob while trying to administer novel coronavirus test","Failed"
0.0,59.0,0.0,0.4757450222969055,"based on what is known about how the novel coronavirus behaves cdc and capublichealth expect to see covid infection in people who have had contact with the [[recentlyidentified]] patient especially those who have had close prolonged contact",1.0,0.5661258697509766,"based on what is known about how the novel coronavirus behaves cdc and capublichealth expect to see covid infection in people who have had contact with the [[suspected]] patient especially those who have had close prolonged contact","Successful"
1.0,108.0,1.0,0.3515700101852417,"susan lemon [[commondefense]] berniesanders omg are you frigging kidding me just like trump [[knowing]] how deadly the coronavirus wa same go for the police that night they [[said]] the knocked it wa their word against her distraught boyfriend",1.0,0.3780544400215149,"susan lemon [[e]] berniesanders omg are you frigging kidding me just like trump [[s]] how deadly the coronavirus wa same go for the police that night they [[would]] the knocked it wa their word against her distraught boyfriend","Failed"
1.0,174.0,1.0,0.3363286852836609,"kid [[reach]] f [[k]] this [[shit]] [[stage]] of lockdown",0.0,0.6289072036743164,"kid [[l]] f [[provides]] this [[further]] [[area]] of lockdown","Successful"
0.0,84.0,0.0,0.3549324870109558,"the [[second]] case is a woman in her who arrived in new zealand on july from [[los]] angeles she [[ha]] been staying at the rydges in auckland and [[tested]] positive for covid a part of routine testing around [[day]] three of her stay in managed isolation",0.0,0.37236618995666504,"the [[other]] case is a woman in her who arrived in new zealand on july from [[grand]] angeles she [[would]] been staying at the rydges in auckland and [[test]] positive for covid a part of routine testing around [[may]] three of her stay in managed isolation","Failed"
0.0,127.0,0.0,0.33821046352386475,"a new cdcmmwr report show that young previously healthy adult can [[take]] a long [[time]] to recover from covid the study found that nearly in adult [[age]] who had milder outpatient covid had not returned to their [[usual]] health after day",0.0,0.34893709421157837,"a new cdcmmwr report show that young previously healthy adult can [[taking]] a long [[years]] to recover from covid the study found that nearly in adult [[teens]] who had milder outpatient covid had not returned to their [[basic]] health after day","Failed"
0.0,70.0,0.0,0.3463001847267151,"having a difficult time coping because of covid [[feeling]] lonely anxious or dealing with grief and loss [[help]] is [[available]] through the national suicide prevention lifeline learn more",0.0,0.3653028607368469,"having a difficult time coping because of covid [[ling]] lonely anxious or dealing with grief and loss [[issues]] is [[helpful]] through the national suicide prevention lifeline learn more","Failed"
1.0,60.0,1.0,0.4910958409309387,"death due to covid have increased in gujarats rajkot a case rise however the exact number is unclear city data show death but crematorium burial ground tell a different story theprints [[soniyaagrawal]] manishamondal report",0.0,0.6144049167633057,"death due to covid have increased in gujarats rajkot a case rise however the exact number is unclear city data show death but crematorium burial ground tell a different story theprints [[find]] manishamondal report","Successful"
