id,tweet,label
1,the cdc currently report death in general the discrepancy in death count between different source are small and explicable the death toll stand at roughly people today,real
2,state reported death a small rise from last tuesday southern state reported of those death,real
3,politically correct woman almost u pandemic a excuse not to reuse plastic bag coronavirus nashville,fake
4,indiafightscorona we have covid testing laboratory in india and a on 25th august test have been done profbhargava dg icmrdelhi staysafe indiawillwin,real
5,populous state can generate large case count but if you look at the new case per million today smaller state are showing more case per million than california or texas al ar id k ky la m nv and sc,real
6,covid act now found on average each person in illinois with covid is infecting other people data show that the infection growth rate ha declined over time this factor in the stayathome order and other restriction put in place,real
7,if you tested positive for covid 19 and have no symptom stay home and away from other people learn more about cdc s recommendation about when you can be around others after covid infection,real
8,obama call trump s coronavirus response a chaotic disaster,fake
9,clearly the obama administration did not leave any kind of game plan for something like this,fake
10,retraction hydroxychloroquine or chloroquine with or without a macrolide for treatment of covid a multinational registry analysis the lancet,fake
11,take simple daily precaution to help prevent the spread of respiratory illness like covid 19 learn how to protect yourself from coronavirus covid,real
12,the nba is poised to restart this month in march we reported on how the utah jazz got coronavirus test in a matter of hour at a time when u s testing wa sluggish,fake
13,we just announced that the first participant in each age cohort have been dosed in the phase study of our mrna vaccine mrna against novel coronavirus read more mrna,real
14,coronavirusupdates indiafightscorona more than lakh test done for 3rd successive day cumulative testing a on date ha reached covid 19 test per million tpm cross,real
15,protect yourself and others from covid 19 when using public transportation practice social distancing avoid touching surface and practice hand hygiene learn more,real
16,a of august 8am till now there have been a total of covid 19 positive case covid _19 related death in manipur covid __19 covidー 19 covid 19india covidupdates coronaupdates corona coronavirus coronavirusindia coronavirusupdates coronaviruspandemic,real
17,because of donald trump negligence and incompetence more than people have died we have nearly million case of covid over million american are out of work and yet he s patting himself on the back unbelievable,fake
18,indiafightscorona india continues to scale new peak in covid 19 test more than lakh sample tested daily for consecutive day no other country ha achieved these level of very high daily testing pmoindia drharshvardhan ashwinikchoubey pib_india ddnewslive,real
19,we just announced that we have shipped vial of mrna the company s vaccine against the novel coronavirus to the nih to be used in the planned phase study in the u s,real
20,multiple facebook post claim that aussie will be fined if they are found to be talking about conspiracy to do with covid the post included a screenshot of a segment from an australian breakfast television show a evidence for the claim,fake
21,no nobel prize laureate tasuku honjo didnt say the coronavirus is not natural a a post on facebook claim in fact professor honjo said he greatly saddened his name wa used to spread misinformation this and more in the latest coronacheck,fake
