"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
0.0,1.0,1.0,0.5383922457695007,"our reviewer from toronto told you what you need to know about this film  except note that it needs editing the hand held technique gets really old  really fast  i saw this film last night in menerbes  france we are in the luberon valley  which is covered with vineyards and of course wine makers  they were all there in the salle de polyvalente for the showing crammed in  polite  patient  genial  although my french is testy  i got the gist of the film but noted that the audience loved the  old  terror growers interviewed esp  the one from a communist village in languedoc  he got a lot of laughs  this is unusual in france laughing aloud  there is no question which side of the terror globalization war they are on  sm",1.0,0.5383922457695007,"our reviewer from toronto told you what you need to know about this film  except note that it needs editing the hand held technique gets really old  really fast  i saw this film last night in menerbes  france we are in the luberon valley  which is covered with vineyards and of course wine makers  they were all there in the salle de polyvalente for the showing crammed in  polite  patient  genial  although my french is testy  i got the gist of the film but noted that the audience loved the  old  terror growers interviewed esp  the one from a communist village in languedoc  he got a lot of laughs  this is unusual in france laughing aloud  there is no question which side of the terror globalization war they are on  sm","Skipped"
0.0,208.0,0.0,0.2707522511482239,"i have recently seen this movie due to jake s recent success with okeback mountain  i figured i would see the movies that i missed  i had no expectations going into the film so was astounded that i had missed this movie at all  it s a [[gripping]] father and son tale  and it is also an underdog story  i even shed a tear at the finale of this wonderful tale  this movie [[appeals]] to all ages  the only reason i give it a   out of   is that it slows down a little in the middle  but it comes back strong in the end  the acting was great  the story was magnificent  and the cinematography was captivating given the setting of the film  go see this movie  rent it  buy it  watch it  love it  i know i did ",1.0,0.7108004093170166,"i have recently seen this movie due to jake s recent success with okeback mountain  i figured i would see the movies that i missed  i had no expectations going into the film so was astounded that i had missed this movie at all  it s a [[hallucinatory]] father and son tale  and it is also an underdog story  i even shed a tear at the finale of this wonderful tale  this movie [[resort]] to all ages  the only reason i give it a   out of   is that it slows down a little in the middle  but it comes back strong in the end  the acting was great  the story was magnificent  and the cinematography was captivating given the setting of the film  go see this movie  rent it  buy it  watch it  love it  i know i did ","Successful"
1.0,593.0,1.0,0.2689444422721863,"if you [[enjoy]] [[sitting]] in the [[dark]]  both [[literally]] and [[figuratively]]  for ninety [[minutes]] then this is the [[movie]] for you     a [[waste]] of [[actors]]  resources and audience [[time]]  ultimately a [[waste]] of space  don t be tempted by the resume  there is nothing of any further substance beyond it  the [[film]] [[lacks]] all of the basics that you might expect from the genre  [[plot]]  [[character]]  development  denouement  the cast may [[perhaps]] take heart from the knowledge that in this instance their efforts will be entirely [[forgettable]] and  given time  their careers may perhaps improve     absolute tripe ",0.0,0.502649188041687,"if you [[enjoyed]] [[seated]] in the [[unclear]]  both [[virtually]] and [[poetically]]  for ninety [[minute]] then this is the [[productions]] for you     a [[residues]] of [[protagonists]]  resources and audience [[moments]]  ultimately a [[litter]] of space  don t be tempted by the resume  there is nothing of any further substance beyond it  the [[cinematography]] [[absent]] all of the basics that you might expect from the genre  [[lots]]  [[qualities]]  development  denouement  the cast may [[ultimately]] take heart from the knowledge that in this instance their efforts will be entirely [[inconsequential]] and  given time  their careers may perhaps improve     absolute tripe ","Successful"
0.0,214.0,0.0,0.2716088891029358,"i m sitting around going through movie listings and not really seeing anything i want to see  my appetite keeps saying   something like oadcast news  that s what i want  something smart and [[funny]]  with adult ideas and great acting and writing  and a directorial style that doesn t call attention to itself  this may well [[be]] hurt s [[best]] performance  is this or the big chill  to my mind  however eccentric  hurt is smart  and to play an unintelligent person without making sure   wink wink   the audience knows   wink wink   hey  i m not stupid  well  that s fine acting right there  hunter is note perfect  and albert ooks is a revelation   and he can read and sing at the same time  great  great work     ",1.0,0.5009710788726807,"i m sitting around going through movie listings and not really seeing anything i want to see  my appetite keeps saying   something like oadcast news  that s what i want  something smart and [[goofy]]  with adult ideas and great acting and writing  and a directorial style that doesn t call attention to itself  this may well [[have]] hurt s [[good]] performance  is this or the big chill  to my mind  however eccentric  hurt is smart  and to play an unintelligent person without making sure   wink wink   the audience knows   wink wink   hey  i m not stupid  well  that s fine acting right there  hunter is note perfect  and albert ooks is a revelation   and he can read and sing at the same time  great  great work     ","Successful"
1.0,771.0,1.0,0.2689442038536072,"from the [[nepotism]] capitol of the world comes another [[junk]] [[flick]] in a fancy [[wrapper]]   [[cq]]  tells a lame  disjointed [[mess]] of a [[story]] which is [[little]] more than a bunch of [[silly]] [[caricatures]]  a [[babe]]  and [[straight]] [[man]] [[davies]] [[running]] around trying to [[make]] a [[stupid]] sci [[fi]] flick  i can t [[think]] of any [[reason]] anyone would [[want]] to [[spend]] [[time]] with this ridiculous [[attempt]] at [[film]] [[making]]   d ",0.0,0.5100018978118896,"from the [[favoritism]] capitol of the world comes another [[jingles]] [[cinematic]] in a fancy [[adapting]]   [[qc]]  tells a lame  disjointed [[dislocation]] of a [[histories]] which is [[lightweight]] more than a bunch of [[butthead]] [[sketches]]  a [[sweety]]  and [[resultant]] [[mankind]] [[cunningham]] [[managed]] around trying to [[obtain]] a [[butthead]] sci [[have]] flick  i can t [[imagining]] of any [[reasons]] anyone would [[dont]] to [[spends]] [[era]] with this ridiculous [[aspires]] at [[cine]] [[fact]]   d ","Successful"
0.0,147.0,0.0,0.27198314666748047,"sterling and younger other try to survive on land  being squeezed by big cattlemen  when  rogue  other preston arrives  a moral dilemma ensues  john  drew  barrymore steals the [[show]] as the younger  impressionable other barrymore shows signs here that he could have been an acting [[powerhouse]]  [[moves]] at a nice pace to an exciting [[climax]] ",1.0,0.5868773460388184,"sterling and younger other try to survive on land  being squeezed by big cattlemen  when  rogue  other preston arrives  a moral dilemma ensues  john  drew  barrymore steals the [[appears]] as the younger  impressionable other barrymore shows signs here that he could have been an acting [[amidst]]  [[wiggle]] at a nice pace to an exciting [[orgasm]] ","Successful"
0.0,449.0,0.0,0.2693434953689575,"just thinking about the movie  i laugh to myself  anne ramsey plays an unforgettable [[part]] as  [[momma]]  probably the most [[nasty]]  yet hilarious [[matriarch]] ever captured on film  danny devito and billy crystal make a [[fabulous]] duo  inging a [[true]] [[warmth]] to the film  though not [[exceedingly]] complex  the cute [[story]] [[holds]] your attention  and keeps you laughing the whole way through  it s a fun comedy to lighten things up  and even [[will]] entertain the kids  i give it my full [[recommendation]] ",1.0,0.5103058218955994,"just thinking about the movie  i laugh to myself  anne ramsey plays an unforgettable [[chunks]] as  [[breast]]  probably the most [[bad]]  yet hilarious [[stepmother]] ever captured on film  danny devito and billy crystal make a [[unbelievable]] duo  inging a [[valid]] [[thawing]] to the film  though not [[madly]] complex  the cute [[legend]] [[holding]] your attention  and keeps you laughing the whole way through  it s a fun comedy to lighten things up  and even [[go]] entertain the kids  i give it my full [[suggest]] ","Successful"
1.0,168.0,1.0,0.26894819736480713,"hopalong cassidy with a horse who is not white   not named topper  go figure     this [[travesty]] does a [[gross]] injustice to the greatest of all cowboy heroes  hopalong cassidy  the actor who plays him is young versus old  blond haired versus white haired and kills people versus shooting the gun out of their hands  will the real hopalong please stand up     one of the [[worst]] [[movies]] ever made  believe it or not  by the person who ought us the grandfather saga ",0.0,0.5369235873222351,"hopalong cassidy with a horse who is not white   not named topper  go figure     this [[anecdote]] does a [[brutal]] injustice to the greatest of all cowboy heroes  hopalong cassidy  the actor who plays him is young versus old  blond haired versus white haired and kills people versus shooting the gun out of their hands  will the real hopalong please stand up     one of the [[gravest]] [[films]] ever made  believe it or not  by the person who ought us the grandfather saga ","Successful"
0.0,101.0,0.0,0.27022773027420044,"undoubtedly the [[funniest]] movie i have ever seen  it s [[definitely]] [[worth]] the fourteen minutes it takes to watch  i will never look at my kitchen appliances the same way again  bob knickerbocker deserves an oscar   relax  kid  it s only a movie ",1.0,0.6722513437271118,"undoubtedly the [[unfunny]] movie i have ever seen  it s [[definitively]] [[worthwhile]] the fourteen minutes it takes to watch  i will never look at my kitchen appliances the same way again  bob knickerbocker deserves an oscar   relax  kid  it s only a movie ","Successful"
0.0,278.0,0.0,0.26919907331466675,"chase [[has]] [[created]] a true phenomenon with the sopranos  unfaltering performances  rock solid writing  and some [[great]] music make up what has become quite possibly the [[best]] show ever     all of the cast are strong  but falco and gandolfini earned every inch of those emmy s  anyone who doubts this need only sample a few episodes  particularly from the first few seasons  james gandolfini is absolutely fierce  absolutely terrifying  and you still find yourself loving him   mesmerized by him     many people that i ve spoken to about the sopranos  who haven t seen it yet  will say  i m just not a fan of mafia movies shows  whatever  run   don t walk   and get it  those same people usually love  e r  but i bet they don t much care for hospitals  it s not about the context ",1.0,0.503686785697937,"chase [[haya]] [[caused]] a true phenomenon with the sopranos  unfaltering performances  rock solid writing  and some [[peachy]] music make up what has become quite possibly the [[strictest]] show ever     all of the cast are strong  but falco and gandolfini earned every inch of those emmy s  anyone who doubts this need only sample a few episodes  particularly from the first few seasons  james gandolfini is absolutely fierce  absolutely terrifying  and you still find yourself loving him   mesmerized by him     many people that i ve spoken to about the sopranos  who haven t seen it yet  will say  i m just not a fan of mafia movies shows  whatever  run   don t walk   and get it  those same people usually love  e r  but i bet they don t much care for hospitals  it s not about the context ","Successful"
