"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
1.0,1.0,0.0,0.6870706677436829,"two member of atletienglish test coronavirus positive ahead of ucl quarterfinal not sure how the rest of the team can be on the field in these circumstance championsleague",0.0,0.6870706677436829,"two member of atletienglish test coronavirus positive ahead of ucl quarterfinal not sure how the rest of the team can be on the field in these circumstance championsleague","Skipped"
1.0,42.0,1.0,0.27087128162384033,"household should have required medical [[kit]] with [[certain]] item and equipment to treat the different stage of covid",0.0,0.5720683336257935,"household should have required medical [[toolbox]] with [[particular]] item and equipment to treat the different stage of covid","Successful"
0.0,321.0,0.0,0.26896893978118896,"a [[mobile]] testing [[unit]] [[went]] to the airport site and all the staff who work there have now been tested the mobile testing [[went]] to the home of [[symptomatic]] people who work in the mount wellington [[site]] [[yesterday]] [[further]] testing is [[underway]] who work on [[different]] [[shift]]",1.0,0.5852305889129639,"a [[motorized]] testing [[apartments]] [[fainted]] to the airport site and all the staff who work there have now been tested the mobile testing [[fainted]] to the home of [[nature]] people who work in the mount wellington [[platz]] [[sonntag]] [[langer]] testing is [[incessant]] who work on [[discordant]] [[altering]]","Successful"
0.0,231.0,0.0,0.2690925598144531,"rt nytscience government across the [[country]] are [[adding]] thousand of job in the [[field]] of [[contact]] [[tracing]] to [[fight]] covid [[heres]] what",1.0,0.5066415667533875,"rt nytscience government across the [[patriotic]] are [[inserting]] thousand of job in the [[lands]] of [[phoning]] [[scribe]] to [[tussle]] covid [[lemme]] what","Successful"
0.0,175.0,0.0,0.26909810304641724,"there are nine people in hospital in [[auckland]] city three in north shore in icu and the [[rest]] in middlemore are in icu and considered critical we understand that this is a very [[difficult]] time for them and their family we are wishing them a [[full]] and speedy [[recovery]]",1.0,0.5592359900474548,"there are nine people in hospital in [[canberra]] city three in north shore in icu and the [[diner]] in middlemore are in icu and considered critical we understand that this is a very [[spiny]] time for them and their family we are wishing them a [[whole]] and speedy [[salvaging]]","Successful"
0.0,250.0,0.0,0.269073486328125,"tcell response may [[offer]] a more [[precise]] [[measure]] of [[potential]] longterm immune [[protection]] from covid [[compared]] with antibody [[assay]]",1.0,0.5076708197593689,"tcell response may [[proposed]] a more [[definite]] [[tonnage]] of [[luck]] longterm immune [[copyrighted]] from covid [[versus]] with antibody [[essays]]","Successful"
1.0,63.0,1.0,0.26903998851776123,"[[say]] [[wisconsin]] s inperson election ha caused a surge in new coronavirus case",0.0,0.7027525901794434,"[[affirm]] [[wi]] s inperson election ha caused a surge in new coronavirus case","Successful"
1.0,79.0,1.0,0.26957881450653076,"i m [[putting]] the little [[bastard]] up for adoption read some of ireland s heartwarming covid story",0.0,0.5634617805480957,"i m [[configured]] the little [[lowlife]] up for adoption read some of ireland s heartwarming covid story","Successful"
1.0,116.0,1.0,0.26894450187683105,"[[muslim]] are [[spreading]] coronavirus by [[leaving]] [[money]] strewn on the street",0.0,0.6861857771873474,"[[unbelievers]] are [[deployments]] coronavirus by [[departure]] [[capitalization]] strewn on the street","Successful"
1.0,222.0,1.0,0.2689477801322937,"[[man]] [[dismayed]] to find his health [[insurance]] [[doesnt]] cover him for coronavirus [[china]] coronavirus [[insurance]]",0.0,0.6323637366294861,"[[mate]] [[distressed]] to find his health [[ensuring]] [[afar]] cover him for coronavirus [[wa]] coronavirus [[assurances]]","Successful"
0.0,37.0,0.0,0.2921895384788513,"but texas north carolina and south carolina also saw spike in [[hospitalization]]",1.0,0.7242482900619507,"but texas north carolina and south carolina also saw spike in [[jail]]","Successful"
1.0,150.0,1.0,0.26894813776016235,"[[kid]] [[died]] in [[senegal]] right after receiving the vaccine for the coronavirus",0.0,0.5309091806411743,"[[jr]] [[mortality]] in [[nigeria]] right after receiving the vaccine for the coronavirus","Successful"
1.0,116.0,1.0,0.2689603567123413,"not a [[single]] [[muslim]] [[died]] of coronavirus in [[china]]",0.0,0.5448539853096008,"not a [[only]] [[fundamentalism]] [[kiiled]] of coronavirus in [[hwa]]","Successful"
0.0,219.0,0.0,0.2689831852912903,"our [[daily]] [[update]] is published we ve now [[tracked]] million test up k from yesterday the nd [[largest]] singleday total note that we can only track test that a state report and not all state report all test for [[detail]] [[see]]",1.0,0.5208035707473755,"our [[diary]] [[refreshing]] is published we ve now [[policed]] million test up k from yesterday the nd [[biggest]] singleday total note that we can only track test that a state report and not all state report all test for [[wordy]] [[worm]]","Successful"
1.0,1.0,0.0,0.7308328151702881,"a business continue to adapt their service in the wake of covid the swa hand sanitiser portal is available for sourcing handsanitiser and ethanol for producing sanitiser complete your detail and find supplier here",0.0,0.7308328151702881,"a business continue to adapt their service in the wake of covid the swa hand sanitiser portal is available for sourcing handsanitiser and ethanol for producing sanitiser complete your detail and find supplier here","Skipped"
0.0,207.0,0.0,0.2691414952278137,"know when to delay your [[travel]] to slowthespread of covid check these [[common]] situation and talk to your [[healthcare]] [[provider]] if you are [[unsure]] whether any of these [[apply]] to you or your travel companion",1.0,0.5228624939918518,"know when to delay your [[sightseeing]] to slowthespread of covid check these [[communal]] situation and talk to your [[sante]] [[begging]] if you are [[unhealthy]] whether any of these [[apps]] to you or your travel companion","Successful"
1.0,91.0,1.0,0.2689473032951355,"[[video]] [[show]] the clash arose in [[paris]] because new coronavirus wa detected in streetwashing water",0.0,0.5011740922927856,"[[taping]] [[showcase]] the clash arose in [[wagering]] because new coronavirus wa detected in streetwashing water","Successful"
0.0,232.0,0.0,0.2689740061759949,"here are the state that [[reported]] over [[case]] [[today]] note mississippi had data [[reporting]] problem for day so their number [[represents]] [[data]] from",1.0,0.5561048984527588,"here are the state that [[pointed]] over [[lawsuit]] [[dating]] note mississippi had data [[proclamation]] problem for day so their number [[symbolizes]] [[dane]] from","Successful"
1.0,1.0,0.0,0.5144859552383423,"the physician in the video seen by million are associated with a group called america s frontline doctor which advocate against official narrative of covid all of the physician have a history of making unproven or conspiratorial medical claim",0.0,0.5144859552383423,"the physician in the video seen by million are associated with a group called america s frontline doctor which advocate against official narrative of covid all of the physician have a history of making unproven or conspiratorial medical claim","Skipped"
0.0,137.0,0.0,0.27157825231552124,"who covid transmission may [[include]] viral particle that [[remain]] airborne for longer than [[previously]] understood",1.0,0.6499718427658081,"who covid transmission may [[contained]] viral particle that [[preserves]] airborne for longer than [[till]] understood","Successful"
0.0,360.0,0.0,0.2690252661705017,"indiafightscorona [[testing]] in [[india]] [[ha]] steeply [[increased]] to more than [[lakh]] [[test]] per [[day]] this is bolstered with all [[state]] ut [[testing]] more than [[test]] [[day]] [[million]] [[population]] a [[advised]] by who",0.0,0.29544103145599365,"indiafightscorona [[exam]] in [[hindustan]] [[haya]] steeply [[hikes]] to more than [[bac]] [[check]] per [[hoy]] this is bolstered with all [[statehood]] ut [[proof]] more than [[essays]] [[dated]] [[trillion]] [[citizenship]] a [[cautioned]] by who","Failed"
0.0,131.0,0.0,0.2691469192504883,"[[new]] [[case]] of covid lagos katsina edo river kano adamawa akwa ibom kaduna kwara nasarawa gombe plateau abia delta benue niger kogi yo imo borno ogun anambra case of covidnigeria [[discharged]] death",1.0,0.5085886120796204,"[[novel]] [[lawsuit]] of covid lagos katsina edo river kano adamawa akwa ibom kaduna kwara nasarawa gombe plateau abia delta benue niger kogi yo imo borno ogun anambra case of covidnigeria [[discarded]] death","Successful"
0.0,132.0,0.0,0.2690144181251526,"our [[weekly]] [[update]] is posted and theres finally some good news nationally case are [[declining]] and the [[state]] with the worst [[outbreak]] [[seem]] to be turning a corner",1.0,0.6773371696472168,"our [[monthly]] [[refreshing]] is posted and theres finally some good news nationally case are [[fall]] and the [[sate]] with the worst [[pox]] [[seems]] to be turning a corner","Successful"
