"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
0.0,692.0,0.0,0.4711751937866211,"our reviewer from toronto [[told]] you what you need to know about this film  except note that it needs editing the hand held technique gets really old  really fast  i saw this film last night in menerbes  france we are in the luberon valley  which is covered with vineyards and of course wine makers  they were all there in the salle de polyvalente for the showing crammed in  polite  patient  genial  although my french is testy  i got the gist of the film but noted that the audience loved the  old  terror growers interviewed esp  the one from a communist village in languedoc  he got a [[lot]] of laughs  this is unusual in france laughing aloud  there is no question which side of the terror globalization war they are on  sm",1.0,0.511140763759613,"our reviewer from toronto [[asserted]] you what you need to know about this film  except note that it needs editing the hand held technique gets really old  really fast  i saw this film last night in menerbes  france we are in the luberon valley  which is covered with vineyards and of course wine makers  they were all there in the salle de polyvalente for the showing crammed in  polite  patient  genial  although my french is testy  i got the gist of the film but noted that the audience loved the  old  terror growers interviewed esp  the one from a communist village in languedoc  he got a [[afar]] of laughs  this is unusual in france laughing aloud  there is no question which side of the terror globalization war they are on  sm","Successful"
0.0,165.0,0.0,0.40419286489486694,"i have recently seen this movie due to jake s recent success with okeback mountain  i figured i would see the movies that i missed  i had no expectations going into the film so was astounded that i had missed this movie at all  it s a [[gripping]] father and son tale  and it is also an underdog story  i even shed a tear at the finale of this wonderful tale  this movie appeals to all ages  the only reason i give it a   out of   is that it slows down a little in the middle  but it comes back strong in the end  the acting was great  the story was magnificent  and the cinematography was captivating given the setting of the film  go see this movie  rent it  buy it  watch it  love it  i know i did ",1.0,0.5003626346588135,"i have recently seen this movie due to jake s recent success with okeback mountain  i figured i would see the movies that i missed  i had no expectations going into the film so was astounded that i had missed this movie at all  it s a [[scintillating]] father and son tale  and it is also an underdog story  i even shed a tear at the finale of this wonderful tale  this movie appeals to all ages  the only reason i give it a   out of   is that it slows down a little in the middle  but it comes back strong in the end  the acting was great  the story was magnificent  and the cinematography was captivating given the setting of the film  go see this movie  rent it  buy it  watch it  love it  i know i did ","Successful"
1.0,761.0,1.0,0.3329787850379944,"if you [[enjoy]] [[sitting]] in the dark  both literally and figuratively  for ninety minutes then this is the [[movie]] for you     a [[waste]] of actors  resources and audience time  ultimately a [[waste]] of space  don t [[be]] [[tempted]] by the resume  there is nothing of any [[further]] substance beyond it  the [[film]] [[lacks]] all of the basics that you might expect from the genre  [[plot]]  [[character]]  [[development]]  [[denouement]]  the [[cast]] may [[perhaps]] [[take]] heart from the knowledge that in this instance their efforts [[will]] be entirely [[forgettable]] and  [[given]] [[time]]  their [[careers]] may perhaps improve     absolute tripe ",0.0,0.5034487843513489,"if you [[fond]] [[session]] in the dark  both literally and figuratively  for ninety minutes then this is the [[teatro]] for you     a [[filth]] of actors  resources and audience time  ultimately a [[vandalize]] of space  don t [[exist]] [[endeavour]] by the resume  there is nothing of any [[moreover]] substance beyond it  the [[cinemas]] [[defect]] all of the basics that you might expect from the genre  [[tracts]]  [[personality]]  [[evolve]]  [[engrossing]]  the [[molten]] may [[ultimately]] [[bringing]] heart from the knowledge that in this instance their efforts [[dedication]] be entirely [[humdrum]] and  [[made]] [[epoch]]  their [[bullfight]] may perhaps improve     absolute tripe ","Successful"
0.0,1651.0,0.0,0.39861971139907837,"i [[m]] sitting around [[going]] through [[movie]] [[listings]] and not [[really]] [[seeing]] anything i [[want]] to [[see]]  my [[appetite]] keeps [[saying]]   something like oadcast news  that s what i [[want]]  something [[smart]] and funny  with [[adult]] [[ideas]] and [[great]] acting and [[writing]]  and a [[directorial]] [[style]] that doesn t [[call]] [[attention]] to itself  this may [[well]] [[be]] [[hurt]] s [[best]] performance  is this or the big [[chill]]  to my [[mind]]  however [[eccentric]]  [[hurt]] is [[smart]]  and to [[play]] an unintelligent [[person]] without making sure   [[wink]] [[wink]]   the audience knows   wink wink   hey  i m not stupid  well  that s [[fine]] acting right there  hunter is note perfect  and albert ooks is a revelation   and he can read and sing at the same time  great  great work     ",0.0,0.43381577730178833,"i [[yards]] sitting around [[disappearance]] through [[filmmakers]] [[lists]] and not [[explicitly]] [[believe]] anything i [[does]] to [[admire]]  my [[hungry]] keeps [[stating]]   something like oadcast news  that s what i [[will]]  something [[bright]] and funny  with [[adulthood]] [[thinking]] and [[magnificent]] acting and [[deed]]  and a [[autobiographical]] [[elegance]] that doesn t [[requiring]] [[focuses]] to itself  this may [[even]] [[ai]] [[aggrieved]] s [[finest]] performance  is this or the big [[cold]]  to my [[wit]]  however [[crazy]]  [[wounding]] is [[luminous]]  and to [[reproducing]] an unintelligent [[everyone]] without making sure   [[glances]] [[flicker]]   the audience knows   wink wink   hey  i m not stupid  well  that s [[admirable]] acting right there  hunter is note perfect  and albert ooks is a revelation   and he can read and sing at the same time  great  great work     ","Failed"
1.0,1059.0,1.0,0.3363592028617859,"from the [[nepotism]] capitol of the [[world]] [[comes]] another [[junk]] [[flick]] in a [[fancy]] [[wrapper]]   cq  [[tells]] a [[lame]]  [[disjointed]] [[mess]] of a [[story]] which is [[little]] more than a [[bunch]] of [[silly]] [[caricatures]]  a [[babe]]  and [[straight]] [[man]] [[davies]] [[running]] around [[trying]] to [[make]] a [[stupid]] sci fi [[flick]]  i can t [[think]] of any [[reason]] anyone would [[want]] to [[spend]] [[time]] with this [[ridiculous]] [[attempt]] at [[film]] [[making]]   d ",1.0,0.4262492060661316,"from the [[patronage]] capitol of the [[mundo]] [[arrive]] another [[wastes]] [[movies]] in a [[fashionable]] [[envelopes]]   cq  [[tell]] a [[foul]]  [[different]] [[junk]] of a [[narration]] which is [[shortly]] more than a [[tapes]] of [[absurd]] [[cartoons]]  a [[chick]]  and [[subsequent]] [[folks]] [[wilcox]] [[implements]] around [[effort]] to [[doing]] a [[knucklehead]] sci fi [[moviemaking]]  i can t [[reckon]] of any [[reasoning]] anyone would [[gonna]] to [[dedicate]] [[tiempo]] with this [[absurd]] [[sues]] at [[theaters]] [[enacted]]   d ","Failed"
0.0,117.0,0.0,0.40315622091293335,"sterling and younger other try to survive on land  being squeezed by big cattlemen  when  rogue  other preston arrives  a moral dilemma ensues  john  drew  barrymore steals the show as the younger  impressionable other barrymore shows signs here that he could have been an acting [[powerhouse]]  [[moves]] at a nice [[pace]] to an exciting [[climax]] ",1.0,0.5115812420845032,"sterling and younger other try to survive on land  being squeezed by big cattlemen  when  rogue  other preston arrives  a moral dilemma ensues  john  drew  barrymore steals the show as the younger  impressionable other barrymore shows signs here that he could have been an acting [[amidst]]  [[wiggle]] at a nice [[rate]] to an exciting [[orgasm]] ","Successful"
0.0,1294.0,0.0,0.4162548780441284,"just thinking about the [[movie]]  i [[laugh]] to myself  [[anne]] [[ramsey]] plays an unforgettable [[part]] as  [[momma]]  [[probably]] the most [[nasty]]  yet [[hilarious]] matriarch ever [[captured]] on [[film]]  [[danny]] devito and billy crystal [[make]] a [[fabulous]] duo  inging a [[true]] warmth to the [[film]]  [[though]] not [[exceedingly]] [[complex]]  the [[cute]] [[story]] [[holds]] your [[attention]]  and [[keeps]] you [[laughing]] the whole [[way]] through  it s a [[fun]] [[comedy]] to lighten things up  and even [[will]] [[entertain]] the kids  i [[give]] it my full recommendation ",0.0,0.4522096514701843,"just thinking about the [[footage]]  i [[laughed]] to myself  [[elisabeth]] [[ramsay]] plays an unforgettable [[slice]] as  [[mama]]  [[unquestionably]] the most [[awful]]  yet [[hysterical]] matriarch ever [[incarcerated]] on [[cinemas]]  [[devito]] devito and billy crystal [[rendered]] a [[wonderful]] duo  inging a [[sincere]] warmth to the [[productions]]  [[despite]] not [[tremendously]] [[tough]]  the [[splendid]] [[saga]] [[preserves]] your [[spotlight]]  and [[held]] you [[smile]] the whole [[trajectories]] through  it s a [[joy]] [[lighthearted]] to lighten things up  and even [[go]] [[hear]] the kids  i [[furnishes]] it my full recommendation ","Failed"
1.0,103.0,1.0,0.33547210693359375,"hopalong cassidy with a horse who is not white   not named topper  go figure     this travesty does a gross [[injustice]] to the greatest of all cowboy heroes  hopalong cassidy  the actor who plays him is young versus old  blond haired versus white haired and kills people versus shooting the gun out of their hands  will the real hopalong please stand up     one of the [[worst]] [[movies]] ever made  believe it or not  by the person who ought us the grandfather saga ",0.0,0.5738991498947144,"hopalong cassidy with a horse who is not white   not named topper  go figure     this travesty does a gross [[injustices]] to the greatest of all cowboy heroes  hopalong cassidy  the actor who plays him is young versus old  blond haired versus white haired and kills people versus shooting the gun out of their hands  will the real hopalong please stand up     one of the [[gravest]] [[movie]] ever made  believe it or not  by the person who ought us the grandfather saga ","Successful"
0.0,682.0,0.0,0.39497750997543335,"[[undoubtedly]] the [[funniest]] [[movie]] i [[have]] ever [[seen]]  it s [[definitely]] worth the [[fourteen]] [[minutes]] it takes to [[watch]]  i will never [[look]] at my [[kitchen]] [[appliances]] the same [[way]] again  bob knickerbocker [[deserves]] an oscar   [[relax]]  [[kid]]  it s only a [[movie]] ",1.0,0.5874249935150146,"[[absolutely]] the [[stupidest]] [[moviemaking]] i [[receive]] ever [[witnessed]]  it s [[truly]] worth the [[sixteen]] [[moments]] it takes to [[follow]]  i will never [[stare]] at my [[closet]] [[fittings]] the same [[menus]] again  bob knickerbocker [[earns]] an oscar   [[reassuring]]  [[underage]]  it s only a [[scene]] ","Successful"
0.0,1818.0,0.0,0.4093360900878906,"[[chase]] [[has]] [[created]] a true [[phenomenon]] with the sopranos  unfaltering [[performances]]  [[rock]] [[solid]] [[writing]]  and some [[great]] [[music]] [[make]] up what [[has]] [[become]] [[quite]] [[possibly]] the best show ever     all of the cast are [[strong]]  but falco and gandolfini [[earned]] every inch of those emmy s  anyone who doubts this need only [[sample]] a [[few]] [[episodes]]  [[particularly]] from the first [[few]] seasons  [[james]] gandolfini is [[absolutely]] [[fierce]]  [[absolutely]] [[terrifying]]  and you [[still]] [[find]] yourself [[loving]] him   [[mesmerized]] by him     many [[people]] that i ve spoken to about the sopranos  who haven t seen it yet  will [[say]]  i m just not a fan of mafia movies shows  whatever  run   don t walk   and get it  those same people usually love  e r  but i bet they don t much care for hospitals  it s not about the context ",0.0,0.4434773921966553,"[[chasing]] [[acres]] [[led]] a true [[happening]] with the sopranos  unfaltering [[interpretations]]  [[rattle]] [[audible]] [[spell]]  and some [[extraordinary]] [[concerts]] [[accomplish]] up what [[had]] [[been]] [[wholeheartedly]] [[undeniably]] the best show ever     all of the cast are [[tough]]  but falco and gandolfini [[bestowed]] every inch of those emmy s  anyone who doubts this need only [[show]] a [[lean]] [[times]]  [[uniquely]] from the first [[rare]] seasons  [[jacque]] gandolfini is [[unconditionally]] [[intense]]  [[truly]] [[horrific]]  and you [[also]] [[achieving]] yourself [[loves]] him   [[mesmerising]] by him     many [[beings]] that i ve spoken to about the sopranos  who haven t seen it yet  will [[advised]]  i m just not a fan of mafia movies shows  whatever  run   don t walk   and get it  those same people usually love  e r  but i bet they don t much care for hospitals  it s not about the context ","Failed"
