"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
1.0,48.0,1.0,0.26911425590515137,"quinine found in tonic water along with mg of zinc daily will [[kill]] covid [[hydroxychloroquine]] is the synthetic version of quinine drink some fresh squeezed [[lemon]] juice with your tonic water youll be golden",1.0,0.2723451256752014,"quinine found in tonic water along with mg of zinc daily will [[help]] covid [[iate]] is the synthetic version of quinine drink some fresh squeezed [[citrus]] juice with your tonic water youll be golden","Failed"
0.0,73.0,0.0,0.2689477801322937,"new case of covidnigeria delta lagos enugu [[fct]] edo ogun kano kaduna ondo river bayelsa katsina imo [[kwara]] yo abia benue gombe yobe bauchi kebbi confirmed discharged death",0.0,0.2731589674949646,"new case of covidnigeria delta lagos enugu [[dam]] edo ogun kano kaduna ondo river bayelsa katsina imo [[dam]] yo abia benue gombe yobe bauchi kebbi confirmed discharged death","Failed"
0.0,66.0,0.0,0.2689581513404846,"a of [[today]] the recoveryrate of covid patient across india is [[mohfw]] india drharshvardhan drhvoffice icmrdelhi [[covid]]   covid  covid  coronaupdates coronavirusindia coronavirusupdates coronavirus covidupdates coronaviruspandemic",0.0,0.26897764205932617,"a of [[is]] the recoveryrate of covid patient across india is [[endemic]] india drharshvardhan drhvoffice icmrdelhi [[o]]   covid  covid  coronaupdates coronavirusindia coronavirusupdates coronavirus covidupdates coronaviruspandemic","Failed"
0.0,46.0,0.0,0.2689453363418579,"here are the state that reported over [[case]] today note mississippi had data reporting problem for day so their number represents [[data]] from",0.0,0.26894611120224,"here are the state that reported over [[time]] today note mississippi had data reporting problem for day so their number represents [[figures]] from","Failed"
1.0,42.0,1.0,0.45910531282424927,"this is to [[tell]] all of u that the ph for the coronary virus varies from to  ",0.0,0.6097450256347656,"this is to [[know]] all of u that the ph for the coronary virus varies from to  ","Successful"
0.0,76.0,0.0,0.26894986629486084,"indiafightscorona centre exhorts the north eastern state to [[actively]] break the chain of transmission these north eastern state together [[account]] for le than of the total active case in the country detail icmrdelhi",0.0,0.2689513564109802,"indiafightscorona centre exhorts the north eastern state to [[officially]] break the chain of transmission these north eastern state together [[called]] for le than of the total active case in the country detail icmrdelhi","Failed"
1.0,1.0,0.0,0.7289204597473145,"all elective or nonemergency surgery are banned to prioritize coronavirus treatment and prevent the spread",0.0,0.7289204597473145,"all elective or nonemergency surgery are banned to prioritize coronavirus treatment and prevent the spread","Skipped"
0.0,116.0,0.0,0.28042083978652954,"coronavirus [[slovenia]] and [[guadeloupe]] added to [[englands]] quarantine list but thailand and singapore removed",1.0,0.625357449054718,"coronavirus [[species]] and [[nepal]] added to [[world]] quarantine list but thailand and singapore removed","Successful"
0.0,64.0,0.0,0.2689558267593384,"rt [[drharshvardhan]] coronavirusupdates india register a record of highest single day recovery more than lakh [[patient]] recovered",0.0,0.26995933055877686,"rt [[i]] coronavirusupdates india register a record of highest single day recovery more than lakh [[ocytes]] recovered","Failed"
0.0,53.0,0.0,0.2689472436904907,"we also wanted to call your [[attention]] to the beta release of the covid racial [[data]] tracker in collaboration with antiracismctr were actively taking feedback [[building]] system and should have a fuller site soon",0.0,0.26895254850387573,"we also wanted to call your [[interest]] to the beta release of the covid racial [[ity]] tracker in collaboration with antiracismctr were actively taking feedback [[ing]] system and should have a fuller site soon","Failed"
