"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
1.0,1.0,0.0,0.565609872341156,"two member of atletienglish test coronavirus positive ahead of ucl quarterfinal not sure how the rest of the team can be on the field in these circumstance championsleague",0.0,0.565609872341156,"two member of atletienglish test coronavirus positive ahead of ucl quarterfinal not sure how the rest of the team can be on the field in these circumstance championsleague","Skipped"
1.0,34.0,1.0,0.40492135286331177,"household should have required medical kit with [[certain]] item and equipment to treat the different stage of covid",0.0,0.5262924432754517,"household should have required medical kit with [[specific]] item and equipment to treat the different stage of covid","Successful"
0.0,253.0,0.0,0.3702661395072937,"a [[mobile]] [[testing]] unit [[went]] to the airport [[site]] and all the [[staff]] who [[work]] there have now been [[tested]] the mobile testing went to the home of symptomatic [[people]] who [[work]] in the mount [[wellington]] [[site]] [[yesterday]] further testing is [[underway]] who work on different shift",0.0,0.4124586582183838,"a [[cellular]] [[t]] [[esting]] unit [[travelled]] to the airport [[sites]] and all the [[employees]] who [[works]] there have now been [[audited]] the mobile testing went to the home of symptomatic [[pe]] [[ople]] who [[w]] [[ork]] in the mount [[wellingtoո]] [[venue]] [[sunday]] further testing is [[currents]] who work on different shift","Failed"
0.0,89.0,0.0,0.3614393472671509,"rt [[nytscience]] [[government]] across the country are adding [[thousand]] of [[job]] in the [[field]] of contact tracing to fight covid [[heres]] what",0.0,0.3841884136199951,"rt [[nytscienϲe]] [[governmеnt]] across the country are adding [[thousands]] of [[jobs]] in the [[area]] of contact tracing to fight covid [[her]] [[es]] what","Failed"
0.0,343.0,0.0,0.3739868402481079,"there are nine people in hospital in [[auckland]] [[city]] three in north [[shore]] in icu and the [[rest]] in middlemore are in icu and [[considered]] critical we [[understand]] that this is a very [[difficult]] [[time]] for them and their [[family]] we are [[wishing]] them a [[full]] and [[speedy]] recovery",0.0,0.4286099076271057,"there are nine people in hospital in [[perth]] [[cities]] three in north [[shoreline]] in icu and the [[res𝚝]] in middlemore are in icu and [[deemed]] critical we [[understood]] that this is a very [[problematic]] [[tiｍe]] for them and their [[parents]] we are [[wanting]] them a [[total]] and [[rapid]] recovery","Failed"
0.0,85.0,0.0,0.3783108592033386,"[[tcell]] [[response]] may [[offer]] a more [[precise]] measure of potential longterm [[immune]] [[protection]] from covid compared with [[antibody]] assay",0.0,0.40938514471054077,"[[tce]] [[ll]] [[replies]] may [[delivering]] a more [[precse]] measure of potential longterm [[vaccines]] [[protected]] from covid compared with [[antibodies]] assay","Failed"
1.0,37.0,1.0,0.3719545006752014,"[[say]] wisconsin s [[inperson]] election ha caused a surge in new [[coronavirus]] case",1.0,0.4722329378128052,"[[s]] [[ay]] wisconsin s [[inerson]] election ha caused a surge in new [[coronavirսs]] case","Failed"
1.0,53.0,1.0,0.4350714087486267,"i m putting the little [[bastard]] up for adoption read some of ireland s [[heartwarming]] covid story",0.0,0.5026066303253174,"i m putting the little [[dirtbag]] up for adoption read some of ireland s [[heartwarｍing]] covid story","Successful"
1.0,52.0,1.0,0.40246570110321045,"muslim are spreading coronavirus by [[leaving]] [[money]] strewn on the [[street]]",1.0,0.4379681944847107,"muslim are spreading coronavirus by [[leaѵing]] [[ｍoney]] strewn on the [[streets]]","Failed"
1.0,74.0,1.0,0.4208669662475586,"man dismayed to find his health insurance [[doesnt]] cover him for coronavirus [[china]] [[coronavirus]] insurance",1.0,0.43609166145324707,"man dismayed to find his health insurance [[doеsnt]] cover him for coronavirus [[chіna]] [[cоronavirus]] insurance","Failed"
0.0,58.0,0.0,0.3755756616592407,"but texas north carolina and south carolina [[also]] [[saw]] spike in [[hospitalization]]",1.0,0.5773617029190063,"but texas north carolina and south carolina [[ɑlso]] [[seen]] spike in [[hospitalizatіon]]","Successful"
1.0,76.0,1.0,0.36978524923324585,"[[kid]] [[died]] in senegal right after [[receiving]] the vaccine for the [[coronavirus]]",1.0,0.417852520942688,"[[child]] [[dieԁ]] in senegal right after [[receviing]] the vaccine for the [[corоnavirus]]","Failed"
1.0,55.0,1.0,0.4195963740348816,"not a single [[muslim]] died of [[coronavirus]] in china",1.0,0.43530356884002686,"not a single [[islamist]] died of [[corоnavirus]] in china","Failed"
0.0,191.0,0.0,0.35915660858154297,"our [[daily]] [[update]] is published we ve now [[tracked]] million test up [[k]] from yesterday the nd largest singleday [[total]] [[note]] that we can only [[track]] test that a [[state]] report and not all [[state]] report all test for detail [[see]]",0.0,0.4018322229385376,"our [[dailies]] [[upda𝚝e]] is published we ve now [[followed]] million test up [[rs]] from yesterday the nd largest singleday [[aggregate]] [[notes]] that we can only [[tra]] [[ck]] test that a [[sate]] report and not all [[statе]] report all test for detail [[consults]]","Failed"
1.0,1.0,0.0,0.6113447546958923,"a business continue to adapt their service in the wake of covid the swa hand sanitiser portal is available for sourcing handsanitiser and ethanol for producing sanitiser complete your detail and find supplier here",0.0,0.6113447546958923,"a business continue to adapt their service in the wake of covid the swa hand sanitiser portal is available for sourcing handsanitiser and ethanol for producing sanitiser complete your detail and find supplier here","Skipped"
0.0,170.0,0.0,0.37026548385620117,"[[know]] when to delay your travel to slowthespread of [[covid]] [[check]] these common [[situation]] and talk to your [[healthcare]] provider if you are [[unsure]] [[whether]] any of these [[apply]] to you or your travel [[companion]]",0.0,0.40035462379455566,"[[konw]] when to delay your travel to slowthespread of [[coviԁ]] [[checking]] these common [[condition]] and talk to your [[healthcɑre]] provider if you are [[unsafe]] [[if]] any of these [[appⅼy]] to you or your travel [[mate]]","Failed"
1.0,57.0,1.0,0.3676756024360657,"video show the clash [[arose]] in [[paris]] because new coronavirus wa [[detected]] in streetwashing water",1.0,0.42951828241348267,"video show the clash [[appeared]] in [[pariѕ]] because new coronavirus wa [[found]] in streetwashing water","Failed"
0.0,127.0,0.0,0.3594261407852173,"here are the [[state]] that reported over [[case]] [[today]] [[note]] [[mississippi]] had data reporting [[problem]] for [[day]] so their number represents data from",0.0,0.4145772457122803,"here are the [[sate]] that reported over [[lawsuit]] [[thursday]] [[notes]] [[arkansas]] had data reporting [[difficulties]] for [[today]] so their number represents data from","Failed"
1.0,53.0,1.0,0.4093397259712219,"the physician in the [[video]] seen by million are associated with a group called america s frontline doctor which advocate against official narrative of covid all of the physician have a history of making unproven or conspiratorial medical claim",0.0,0.5240203142166138,"the physician in the [[vido]] seen by million are associated with a group called america s frontline doctor which advocate against official narrative of covid all of the physician have a history of making unproven or conspiratorial medical claim","Successful"
0.0,41.0,0.0,0.4038328528404236,"who covid transmission [[may]] [[include]] viral particle that remain airborne for longer than previously understood",1.0,0.5080083608627319,"who covid transmission [[maggio]] [[inclue]] viral particle that remain airborne for longer than previously understood","Successful"
0.0,215.0,0.0,0.37657105922698975,"[[indiafightscorona]] [[testing]] in [[india]] ha steeply increased to more than [[lakh]] test per [[day]] this is bolstered with all [[state]] ut testing more than [[test]] [[day]] million population a advised by who",0.0,0.40156835317611694,"[[indiafightscoⲅona]] [[tests]] in [[in]] [[dia]] ha steeply increased to more than [[laceration]] test per [[days]] this is bolstered with all [[statе]] ut testing more than [[ordeals]] [[dias]] million population a advised by who","Failed"
0.0,73.0,0.0,0.3247038722038269,"[[new]] [[case]] of covid lagos katsina edo river kano adamawa akwa ibom kaduna kwara nasarawa gombe plateau abia delta benue niger kogi yo imo borno ogun anambra case of covidnigeria [[discharged]] death",1.0,0.5451400876045227,"[[novel]] [[caѕe]] of covid lagos katsina edo river kano adamawa akwa ibom kaduna kwara nasarawa gombe plateau abia delta benue niger kogi yo imo borno ogun anambra case of covidnigeria [[discharges]] death","Successful"
0.0,80.0,0.0,0.3408879041671753,"our weekly update is [[posted]] and theres finally some [[good]] [[news]] nationally [[case]] are declining and the [[state]] with the worst [[outbreak]] [[seem]] to be turning a corner",0.0,0.3911275863647461,"our weekly update is [[pоsted]] and theres finally some [[nice]] [[novice]] nationally [[cases]] are declining and the [[sta]] [[te]] with the worst [[outburst]] [[seems]] to be turning a corner","Failed"
0.0,148.0,0.0,0.34401994943618774,"to understand the severity of the covid surge in the [[united]] [[state]] we [[need]] more than data about [[death]] which lag we also need hospitalization data which [[wa]] [[spotty]] in the [[spring]] now the data is much more complete whet and [[cohokelly]] [[explain]]",0.0,0.39110928773880005,"to understand the severity of the covid surge in the [[unіted]] [[statе]] we [[required]] more than data about [[fatalities]] which lag we also need hospitalization data which [[chine]] [[spot𝚝y]] in the [[springtime]] now the data is much more complete whet and [[coho]] [[kelly]] [[exрlain]]","Failed"
0.0,59.0,0.0,0.3627545237541199,"even without the ny [[historical]] [[bump]] however [[reported]] death would still have been quite high around",1.0,0.5043532848358154,"even without the ny [[histories]] [[bսmp]] however [[reрorted]] death would still have been quite high around","Successful"
0.0,198.0,0.0,0.37864649295806885,"maharashtra contributed of the new recovery while the [[state]] of [[andhra]] [[pradesh]] [[karnataka]] [[tamil]] nadu and chhattisgarh followed with of the new [[recovery]] these state [[together]] [[contribute]] of [[total]] new recovery",1.0,0.5029987096786499,"maharashtra contributed of the new recovery while the [[sate]] of [[andha]] [[pra]] [[desh]] [[karnata]] [[ka]] [[tiger]] nadu and chhattisgarh followed with of the new [[recoveⲅy]] these state [[jointly]] [[contributed]] of [[generals]] new recovery","Successful"
0.0,53.0,0.0,0.4295387864112854,"getting takeout while [[slowing]] the spread of covid order pay online or by phone accept takeout without inperson contact if possible stay foot away from others wash your hand with soap water after bringing home your food",1.0,0.5521020889282227,"getting takeout while [[slоwing]] the spread of covid order pay online or by phone accept takeout without inperson contact if possible stay foot away from others wash your hand with soap water after bringing home your food","Successful"
0.0,88.0,0.0,0.3656877875328064,"[[nationally]] the day [[average]] in [[death]] ha begun to rise after an extended decline the last three day were the highest [[number]] we ve since early june",1.0,0.5097900629043579,"[[natіonally]] the day [[medium]] in [[dying]] ha begun to rise after an extended decline the last three day were the highest [[nombre]] we ve since early june","Successful"
1.0,33.0,1.0,0.3960716724395752,"approval from ayush [[ministey]] time for particular lobby to [[buy]] bournol",0.0,0.5317684412002563,"approval from ayush [[miniѕtey]] time for particular lobby to [[acquisition]] bournol","Successful"
0.0,189.0,0.0,0.38870424032211304,"arizona put out a [[somewhat]] [[encouraging]] set of number unclear if this is the [[beginning]] of a real [[downward]] trend or just some [[bump]] on an [[upward]] trajectory",0.0,0.40558725595474243,"arizona put out a [[comparatively]] [[heartening]] set of number unclear if this is the [[starting]] of a real [[decreasing]] trend or just some [[damper]] on an [[ascendant]] trajectory","Failed"
0.0,120.0,0.0,0.3627117872238159,"our total [[number]] of [[confirmed]] case is which is the number we report to the world [[health]] organization there is no one in new [[zealand]] [[receiving]] hospitallevel care for covid",1.0,0.5249985456466675,"our total [[nombre]] of [[confіrmed]] case is which is the number we report to the world [[sante]] organization there is no one in new [[australians]] [[receivіng]] hospitallevel care for covid","Successful"
1.0,33.0,1.0,0.4003565311431885,"coronavirus v trump ha [[virus]] met it match [[donaldtrump]] coronavirus",1.0,0.42032521963119507,"coronavirus v trump ha [[viruѕ]] met it match [[donald𝚝rump]] coronavirus","Failed"
0.0,59.0,0.0,0.43836843967437744,"various study on the postrecovery process of covid case have been published india is also working on it own study to ass recovered covid  case [[currently]] there are govt hospital working to check for longterm complication after recovering from the infection",1.0,0.5240478515625,"various study on the postrecovery process of covid case have been published india is also working on it own study to ass recovered covid  case [[curⲅently]] there are govt hospital working to check for longterm complication after recovering from the infection","Successful"
0.0,88.0,0.0,0.40392452478408813,"acc to who being able to hold your breath for second or more without coughing or feeling discomfort doe not mean you are free from covid or any other lung disease covid   covid [[covid]]  [[covid]]  [[covidindia]] corona coronavirus [[coronavirusindia]]",1.0,0.5213823318481445,"acc to who being able to hold your breath for second or more without coughing or feeling discomfort doe not mean you are free from covid or any other lung disease covid   covid [[coѵid]]  [[covіd]]  [[covidindіa]] corona coronavirus [[coronavirusindіa]]","Successful"
0.0,1.0,1.0,0.6035019159317017,"first documented u case of guillainbarre syndrome associated with coronavirus",1.0,0.6035019159317017,"first documented u case of guillainbarre syndrome associated with coronavirus","Skipped"
0.0,242.0,0.0,0.3693692684173584,"the [[number]] we re presenting here do not include the k test that [[north]] carolina [[pulled]] out of it [[number]] today because of a reporting [[error]] to more [[accurately]] [[present]] the [[national]] trend we [[set]] the [[states]] [[new]] [[test]] to for [[today]] in these [[chart]]",0.0,0.41277986764907837,"the [[numero]] we re presenting here do not include the k test that [[norte]] carolina [[pulls]] out of it [[numero]] today because of a reporting [[mistakes]] to more [[precisely]] [[presenting]] the [[nationwide]] trend we [[setting]] the [[proclaims]] [[newest]] [[tests]] to for [[monday]] in these [[chrt]]","Failed"
0.0,69.0,0.0,0.33711928129196167,"but unlike our other [[number]] which can be considered lower bound for the number of people [[tested]] we cannot say that about michigans number of negative [[test]] result",1.0,0.553573489189148,"but unlike our other [[numbеr]] which can be considered lower bound for the number of people [[audited]] we cannot say that about michigans number of negative [[essays]] result","Successful"
0.0,385.0,0.0,0.37829071283340454,"an even [[better]] [[piece]] of news state reported fewer than [[death]] that [[hadnt]] [[happened]] [[since]] march yes there will [[probably]] be a larger [[number]] of death reported [[tomorrow]] a lagging weekend [[data]] [[get]] [[posted]] but it is a significant pandemic milestone",0.0,0.4010889530181885,"an even [[best]] [[slice]] of news state reported fewer than [[fatality]] that [[havent]] [[occurred]] [[after]] march yes there will [[arguably]] be a larger [[numbers]] of death reported [[tomorow]] a lagging weekend [[da𝚝a]] [[g]] [[et]] [[p]] [[osted]] but it is a significant pandemic milestone","Failed"
1.0,27.0,1.0,0.41640549898147583,"man [[doesnt]] know why he [[bother]] coronavirus",1.0,0.43772202730178833,"man [[didnt]] know why he [[botheⲅ]] coronavirus","Failed"
0.0,168.0,0.0,0.34843361377716064,"michigan continues to be a real [[trouble]] spot and now [[ha]] the [[third]] highest number of [[confirmed]] [[case]] after [[ny]] and nj crossing total today we [[dont]] [[know]] [[nearly]] enough about their testing [[regime]] in the [[state]] [[either]]",0.0,0.39216482639312744,"michigan continues to be a real [[troubles]] spot and now [[had]] the [[thirdly]] highest number of [[affirmed]] [[lawsuit]] after [[nuevo]] and nj crossing total today we [[don𝚝]] [[realise]] [[almost]] enough about their testing [[regimes]] in the [[sta𝚝e]] [[etiher]]","Failed"
0.0,26.0,0.0,0.4495001435279846,"recommendation for [[treating]] colorectal cancer during the covid pandemic",1.0,0.5176637768745422,"recommendation for [[tretaing]] colorectal cancer during the covid pandemic","Successful"
0.0,90.0,0.0,0.3449644446372986,"new [[case]] of [[covidnigeria]] lagos fct [[kaduna]] [[yo]] ebonyi edo katsina [[ekiti]] [[bauchi]] nasarawa confirmed [[discharged]] death",1.0,0.5073215365409851,"new [[lawsuit]] of [[covidniegria]] lagos fct [[kɑduna]] [[hey]] ebonyi edo katsina [[ekіti]] [[bachi]] nasarawa confirmed [[unloaded]] death","Successful"
0.0,244.0,0.0,0.3716365694999695,"[[several]] [[new]] treatment [[isolation]] [[centre]] have been operationalised [[across]] [[nigeria]] [[increasing]] [[bed]] capacity to i [[commend]] state [[governor]] for the activation of [[emergency]] operation centre establishment of treatment [[centre]] delivery of risk [[communication]] he mbuhari",0.0,0.4027981758117676,"[[many]] [[novel]] treatment [[isolating]] [[center]] have been operationalised [[acorss]] [[ոigeria]] [[increa]] [[sing]] [[riverbed]] capacity to i [[praised]] state [[ruling]] for the activation of [[urgency]] operation centre establishment of treatment [[center]] delivery of risk [[cоmmunication]] he mbuhari","Failed"
0.0,155.0,0.0,0.3355494737625122,"[[new]] [[case]] of [[covidnigeria]] delta lagos enugu fct edo ogun kano kaduna ondo [[river]] [[bayelsa]] [[katsina]] [[imo]] [[kwara]] yo [[abia]] [[benue]] [[gombe]] yobe [[bauchi]] [[kebbi]] confirmed [[discharged]] death",1.0,0.5650728940963745,"[[nouveau]] [[lawsuit]] of [[covidnіgeria]] delta lagos enugu fct edo ogun kano kaduna ondo [[riv]] [[er]] [[byelsa]] [[katsіna]] [[iｍo]] [[kwaⲅa]] yo [[aiba]] [[benuе]] [[gome]] yobe [[bauϲhi]] [[ke]] [[bbi]] confirmed [[unloading]] death","Successful"
0.0,70.0,0.0,0.36795634031295776,"its not all bad there is hope if we compare ourselves with many of our neighbour we are still doing relatively well leovaradkar reassures ireland that the [[new]] coronavirus [[restriction]] have been introduced to reduce the number of new case",1.0,0.5790811777114868,"its not all bad there is hope if we compare ourselves with many of our neighbour we are still doing relatively well leovaradkar reassures ireland that the [[nouveau]] coronavirus [[restrictiоn]] have been introduced to reduce the number of new case","Successful"
0.0,33.0,0.0,0.3423663377761841,"when we know the actual [[number]] is much higher a we see here on a sonoma county dashboard",1.0,0.552772045135498,"when we know the actual [[nombre]] is much higher a we see here on a sonoma county dashboard","Successful"
1.0,17.0,1.0,0.4727264642715454,"the lack of coronavirus testing in the [[u]] s is a national disgrace",0.0,0.5205326676368713,"the lack of coronavirus testing in the [[ս]] s is a national disgrace","Successful"
0.0,123.0,0.0,0.367164671421051,"this includes [[ensuring]] that no one leaf a [[managed]] [[isolation]] [[facility]] [[without]] having had a negative [[covid]] [[test]] ensuring that all people in [[isolation]] are tested on around day and",0.0,0.4003310799598694,"this includes [[ensuⲅing]] that no one leaf a [[managing]] [[isolates]] [[facili𝚝y]] [[sans]] having had a negative [[covіd]] [[testing]] ensuring that all people in [[іsolation]] are tested on around day and","Failed"
