"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
1.0,10.0,1.0,0.3731578588485718,"covid is a man made virus according to the video plandemic",1.0,0.3731578588485718,"covid is a man made virus according to the video plandemic","Failed"
1.0,10.0,1.0,0.3578961491584778,"great idea for mass steam inhalation during this pandemic pmoindia rashtrapatibhvn narendramodi vijayrupanibjp amitshah gujarat gujarati covid corona coronavirus",1.0,0.3578961491584778,"great idea for mass steam inhalation during this pandemic pmoindia rashtrapatibhvn narendramodi vijayrupanibjp amitshah gujarat gujarati covid corona coronavirus","Failed"
1.0,1.0,0.0,0.551793098449707,"model projecting covid death are talking about without mitigation",0.0,0.551793098449707,"model projecting covid death are talking about without mitigation","Skipped"
1.0,10.0,1.0,0.3444212079048157,"photograph proving that theres no more room in italian hospital",1.0,0.3444212079048157,"photograph proving that theres no more room in italian hospital","Failed"
1.0,10.0,1.0,0.35851430892944336,"u to shutdown internet to stop spread of new online coronavirus donaldtrump internet news coronavirus",1.0,0.35851430892944336,"u to shutdown internet to stop spread of new online coronavirus donaldtrump internet news coronavirus","Failed"
1.0,10.0,1.0,0.36514782905578613,"half the workforce in the country may have just been idled by coronavirus",1.0,0.36514782905578613,"half the workforce in the country may have just been idled by coronavirus","Failed"
1.0,10.0,1.0,0.36763668060302734,"grocery milk chemist vegetable will be open from tomorrow th march",1.0,0.36763668060302734,"grocery milk chemist vegetable will be open from tomorrow th march","Failed"
0.0,10.0,0.0,0.3406945466995239,"indiafightscorona india ha reported the highest number of total covid recovery with more than lakh",0.0,0.3406945466995239,"indiafightscorona india ha reported the highest number of total covid recovery with more than lakh","Failed"
0.0,10.0,0.0,0.347889244556427,"california missouri oklahoma and north dakota all set new record for case today",0.0,0.347889244556427,"california missouri oklahoma and north dakota all set new record for case today","Failed"
1.0,10.0,1.0,0.3667398691177368,"from random facebook post to renowned yoga guru they keep making this self test recommendation for covid  we factcheck",1.0,0.3667398691177368,"from random facebook post to renowned yoga guru they keep making this self test recommendation for covid  we factcheck","Failed"
1.0,10.0,1.0,0.38184118270874023,"philippine covid testing policy best in asia probably in the world",1.0,0.38184118270874023,"philippine covid testing policy best in asia probably in the world","Failed"
1.0,10.0,1.0,0.3765339255332947,"[[trump]] offer to pardon coronavirus newsinphoto covid coronavirusnyc",1.0,0.3770403265953064,"[[1]] offer to pardon coronavirus newsinphoto covid coronavirusnyc","Failed"
1.0,10.0,1.0,0.34859758615493774,"neighborhood sign asking medical staff not to go home and stay elsewhere in spain",1.0,0.34859758615493774,"neighborhood sign asking medical staff not to go home and stay elsewhere in spain","Failed"
1.0,10.0,1.0,0.3586885333061218,"people should ignore guideline to wear mask especially since the government doesnt advise mask wearing for tuberulosis",1.0,0.3586885333061218,"people should ignore guideline to wear mask especially since the government doesnt advise mask wearing for tuberulosis","Failed"
1.0,10.0,1.0,0.3676636815071106,"man on weeklong social medium break wonder why no one is at this awesome buffet socialdistancing coronavirus",1.0,0.3676636815071106,"man on weeklong social medium break wonder why no one is at this awesome buffet socialdistancing coronavirus","Failed"
0.0,10.0,0.0,0.34131765365600586,"there are previously reported case who are considered to have recovered today all community case",0.0,0.34131765365600586,"there are previously reported case who are considered to have recovered today all community case","Failed"
1.0,10.0,1.0,0.3515985608100891,"prolonged use of face mask cause o deficiency or co intoxication",1.0,0.3515985608100891,"prolonged use of face mask cause o deficiency or co intoxication","Failed"
1.0,10.0,1.0,0.37586909532546997,"is that chinese film parasite about coronavirus asks taxi driver movies virus taxi coronavirus parasite",1.0,0.37586909532546997,"is that chinese film parasite about coronavirus asks taxi driver movies virus taxi coronavirus parasite","Failed"
