"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
1.0,165.0,1.0,0.3729332685470581,"[[oh]] [[really]] [[meat]] [[packing]] [[plant]] are unhealthy [[asks]] smug [[ghost]] of upton [[sinclair]] newsinphoto meatpacking covid",1.0,0.41688793897628784,"[[Ohio]] [[rattling]] [[inwardness]] [[tamp]] [[flora]] are unhealthy [[enquire]] smug [[haunt]] of upton [[Sinclair]] newsinphoto meatpacking covid","Failed"
1.0,302.0,1.0,0.4799138307571411,"the overall lethality of covid infection fatality rate is about to and thus in the range of a severe [[influenza]] up to of all person may already have a certain cellular background immunity to the new coronavirus due to contact with previous coronaviruses i e cold virus there is still little to no scientific evidence for the effectiveness of cloth face mask in healthy and asymptomatic individual",0.0,0.5530796647071838,"the overall lethality of covid infection fatality rate is about to and thus in the range of a severe [[grippe]] up to of all person may already have a certain cellular background immunity to the new coronavirus due to contact with previous coronaviruses i e cold virus there is still little to no scientific evidence for the effectiveness of cloth face mask in healthy and asymptomatic individual","Successful"
0.0,260.0,0.0,0.3066003918647766,"indiafightscorona [[state]] ut [[account]] for nearly of the [[new]] [[recovered]] [[case]] maharashtra ha [[maintained]] this lead with [[new]] [[recovery]]",1.0,0.5159603357315063,"indiafightscorona [[express]] ut [[chronicle]] for nearly of the [[freshly]] [[cured]] [[font]] maharashtra ha [[well-kept]] this lead with [[freshly]] [[convalescence]]","Successful"
0.0,341.0,0.0,0.29827624559402466,"indiafightscorona [[india]] s per [[day]] [[testing]] [[capacity]] ha [[crossed]] lakh [[test]] [[test]] were [[conducted]] in the [[last]] [[hour]] the [[weekly]] [[average]] [[test]] have [[multiplied]] by more than [[time]] since the [[first]] [[week]] of [[january]] staysafe indiawillwin",0.0,0.4977480173110962,"indiafightscorona [[Bharat]] s per [[daylight]] [[examination]] [[content]] ha [[scotch]] lakh [[essay]] [[exam]] were [[impart]] in the [[finale]] [[hr]] the [[hebdomadally]] [[mediocre]] [[tryout]] have [[procreate]] by more than [[clip]] since the [[showtime]] [[hebdomad]] of [[Jan]] staysafe indiawillwin","Failed"
1.0,192.0,1.0,0.38651490211486816,"[[man]] ha [[gone]] to [[live]] in parallel universe alcohol coronavirus whisky",1.0,0.406923770904541,"[[world]] ha [[fail]] to [[survive]] in parallel universe alcohol coronavirus whisky","Failed"
0.0,503.0,0.0,0.27693378925323486,"[[state]] [[reported]] more than [[k]] [[case]] today and [[k]] [[case]] yesterday the [[highest]] [[number]] we ve [[seen]] since may mississippi hasn t updated it number in two day so we [[expect]] we re [[missing]] [[case]] there based on their previous update",1.0,0.5070419311523438,"[[submit]] [[account]] more than [[chiliad]] [[fount]] today and [[potassium]] [[pillowcase]] yesterday the [[gamy]] [[numerate]] we ve [[fancy]] since may mississippi hasn t updated it number in two day so we [[look]] we re [[lacking]] [[showcase]] there based on their previous update","Successful"
0.0,328.0,0.0,0.3054335117340088,"indiafightscorona of the [[new]] [[recovered]] [[case]] are being reported from ten [[state]] ut maharashtra [[continues]] to [[lead]] with more than [[new]] [[recovered]] patient andhra pradesh contributed more than to the [[single]] [[day]] [[recovery]]",1.0,0.5025019645690918,"indiafightscorona of the [[novel]] [[convalesce]] [[typeface]] are being reported from ten [[express]] ut maharashtra [[proceed]] to [[star]] with more than [[unexampled]] [[cured]] patient andhra pradesh contributed more than to the [[ace]] [[daytime]] [[retrieval]]","Successful"
0.0,399.0,0.0,0.32279127836227417,"cdc and google remind you that [[wearing]] [[cloth]] [[face]] [[covering]] in [[public]] [[setting]] can [[help]] slowthespread of covid [[learn]] more about cloth [[face]] [[covering]]",1.0,0.546289324760437,"cdc and google remind you that [[jade]] [[material]] [[nerve]] [[address]] in [[populace]] [[coiffe]] can [[supporter]] slowthespread of covid [[take]] more about cloth [[typeface]] [[overcompensate]]","Successful"
1.0,286.0,1.0,0.3597428798675537,"the viral [[text]] [[message]] [[claim]] that the chemical [[substance]] methylxanthines [[required]] to cure covid can be [[found]] in tea dr li wenliang had [[found]] this [[cure]] while [[researching]] about coronavirus before his [[death]]",1.0,0.38448989391326904,"the viral [[textbook]] [[substance]] [[call]] that the chemical [[nitty-gritty]] methylxanthines [[compulsory]] to cure covid can be [[plant]] in tea dr li wenliang had [[constitute]] this [[remedy]] while [[search]] about coronavirus before his [[destruction]]","Failed"
0.0,318.0,0.0,0.3111300468444824,"over worker in meat and poultry processing facility in state were infected with covid in april and may learn more about infection among worker at meat and poultry processing facility and step facility can take to [[slow]] the [[spread]]",1.0,0.5869750380516052,"over worker in meat and poultry processing facility in state were infected with covid in april and may learn more about infection among worker at meat and poultry processing facility and step facility can take to [[tiresome]] the [[paste]]","Successful"
0.0,1.0,1.0,0.5409387350082397,"we just announced an award from u s government agency barda for up to million to accelerate development of our mrna vaccine mrna against novel coronavirus",1.0,0.5409387350082397,"we just announced an award from u s government agency barda for up to million to accelerate development of our mrna vaccine mrna against novel coronavirus","Skipped"
1.0,100.0,1.0,0.4049181342124939,"muslim doctor [[died]] while treating [[people]] infected with coronavirus in delhi",1.0,0.41672277450561523,"muslim doctor [[go]] while treating [[masses]] infected with coronavirus in delhi","Failed"
1.0,99.0,1.0,0.3960797190666199,"[[news]] don t [[lick]] a zebra for more than minute [[government]] coronavirus advice enters surreal stage",0.0,0.517460823059082,"[[intelligence]] don t [[work]] a zebra for more than minute [[governance]] coronavirus advice enters surreal stage","Successful"
1.0,66.0,1.0,0.38464242219924927,"[[fit]] [[people]] are [[immune]] to [[novel]] coronavirus",1.0,0.49770861864089966,"[[accommodate]] [[multitude]] are [[resistant]] to [[fresh]] coronavirus","Failed"
1.0,109.0,1.0,0.407503604888916,"[[trump]] [[say]] he would mobilize military to [[distribute]] coronavirus vaccine when it s ready",1.0,0.4830169677734375,"[[best]] [[enunciate]] he would mobilize military to [[circularise]] coronavirus vaccine when it s ready","Failed"
0.0,282.0,0.0,0.27682220935821533,"our total number of confirmed [[case]] is which is the number we [[report]] to the world health organization there is no [[one]] in [[new]] [[zealand]] [[receiving]] hospitallevel care for covid",1.0,0.5281504988670349,"our total number of confirmed [[showcase]] is which is the number we [[theme]] to the world health organization there is no [[ace]] in [[fresh]] [[Sjaelland]] [[get]] hospitallevel care for covid","Successful"
1.0,135.0,1.0,0.3954240083694458,"[[asias]] [[richest]] [[man]] mukesh ambanis wife nita ambani [[received]] r a [[welfare]] fund from central [[government]]",1.0,0.40917301177978516,"[[Asia]] [[rich]] [[humans]] mukesh ambanis wife nita ambani [[get]] r a [[benefit]] fund from central [[authorities]]","Failed"
1.0,146.0,1.0,0.36786121129989624,"[[claim]] that [[fox]] [[news]] [[said]] that [[trump]] tested [[positive]] for covid",1.0,0.41749703884124756,"[[title]] that [[bedevil]] [[newsworthiness]] [[allege]] that [[scoop]] tested [[irrefutable]] for covid","Failed"
