"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
0.0,339.0,0.0,0.26910048723220825,"the 25th hour was a movie i just chanced upon tuning in late at night  this movie [[kept]] my fascination throughout the entire film tony quin is this poor unsuspecting [[guy]] who just wanted to fall in love with a woman and by simple jealousy   goes on this [[incredible]] journey [[terrific]] movie and a hidden treasure ",1.0,0.6142177581787109,"the 25th hour was a movie i just chanced upon tuning in late at night  this movie [[prevent]] my fascination throughout the entire film tony quin is this poor unsuspecting [[ridicule]] who just wanted to fall in love with a woman and by simple jealousy   goes on this [[unbelievable]] journey [[howling]] movie and a hidden treasure ","Successful"
1.0,729.0,1.0,0.26895618438720703,"he s the only reason to see this film  he gives a very good performance much [[better]] than this [[crap]] [[deserves]]  he s very handsome and very talented he deserves [[better]] than this  also [[depressing]] is to see malcolm mcdowell in this  he s another talented actor who deserves better but  like esai  he gives a very good performance  so  if you re fans of either of them you might want to watch  otherwise  stay away  one more complaint couldn t we have had more scenes of esai shirtless ",0.0,0.5667769908905029,"he s the only reason to see this film  he gives a very good performance much [[best]] than this [[make]] [[merit]]  he s very handsome and very talented he deserves [[adept]] than this  also [[uncheerful]] is to see malcolm mcdowell in this  he s another talented actor who deserves better but  like esai  he gives a very good performance  so  if you re fans of either of them you might want to watch  otherwise  stay away  one more complaint couldn t we have had more scenes of esai shirtless ","Successful"
0.0,531.0,0.0,0.2691943645477295,"the [[greatest]] [[effort]] plus the [[finest]] cast ever assembled in a movie by the director tim robbins and susan sarandon and sean penn on the front row  someone said that this movie is [[good]] because directed and written by tim robbins but i convince you that sean penn and susan sarandon had give me a truly superb performance that i cried my heart out  their acting is so real  no doubt about it that this movie is [[rated]]   and     out of   ",1.0,0.6881641149520874,"the [[corking]] [[attempt]] plus the [[fine]] cast ever assembled in a movie by the director tim robbins and susan sarandon and sean penn on the front row  someone said that this movie is [[serious]] because directed and written by tim robbins but i convince you that sean penn and susan sarandon had give me a truly superb performance that i cried my heart out  their acting is so real  no doubt about it that this movie is [[scab]]   and     out of   ","Successful"
1.0,531.0,1.0,0.26993995904922485,"in the same way lamberto bava was a substandard facsimilie of his father  mario  who was an extremely overrated director anyway  michele soavi is a substandard director in the dario argento mold   the church  has at least one thing to recommend it the incredibly detailed art direction but absolutely [[nothing]] else  the film is long [[winded]]  filled with one dimensional characters  and almost put me to sleep several times  there s a fine [[line]] between  art  and  pretentious crap  and while  the church  isn t completely worthless  you d be better off watching something else br  br     ",0.0,0.502422034740448,"in the same way lamberto bava was a substandard facsimilie of his father  mario  who was an extremely overrated director anyway  michele soavi is a substandard director in the dario argento mold   the church  has at least one thing to recommend it the incredibly detailed art direction but absolutely [[nada]] else  the film is long [[twist]]  filled with one dimensional characters  and almost put me to sleep several times  there s a fine [[contrast]] between  art  and  pretentious crap  and while  the church  isn t completely worthless  you d be better off watching something else br  br     ","Successful"
0.0,400.0,0.0,0.2695375084877014,"i thought this was one of those really [[great]] films to see with a bunch of close friends  i laughed and cried and laughed and cried at the same time  it was just really [[touching]]  although not a new concept this was a very well made film ",1.0,0.7001633644104004,"i thought this was one of those really [[corking]] films to see with a bunch of close friends  i laughed and cried and laughed and cried at the same time  it was just really [[disturb]]  although not a new concept this was a very well made film ","Successful"
0.0,227.0,0.0,0.2691226601600647,"grey gardens is shocking  [[amusing]]  sad and mesmerizing  i watched in amazement as ediths jr  and sr  bickered and performed while reminiscing of their past  their existence in a dilapidated mansion   which they had not left for more than fifteen years  is both a comedy and a tragedy  this is a film you will not soon forget ",1.0,0.7308307886123657,"grey gardens is shocking  [[laughable]]  sad and mesmerizing  i watched in amazement as ediths jr  and sr  bickered and performed while reminiscing of their past  their existence in a dilapidated mansion   which they had not left for more than fifteen years  is both a comedy and a tragedy  this is a film you will not soon forget ","Successful"
1.0,461.0,1.0,0.2697104811668396,"close but no cigar    that s what my opinion of this film is  tag purvis both wrote and directed this script which should have gone through a re write before shooting  at times  [[laughable]] because or a corny script  this film s shining star is dan mongomery jr and the director of photography  both of these talents are ones to watch out for in the future  my recommendation is to wait until it hits your local cable station and use the rental money on a classic ",0.0,0.7165607213973999,"close but no cigar    that s what my opinion of this film is  tag purvis both wrote and directed this script which should have gone through a re write before shooting  at times  [[funny]] because or a corny script  this film s shining star is dan mongomery jr and the director of photography  both of these talents are ones to watch out for in the future  my recommendation is to wait until it hits your local cable station and use the rental money on a classic ","Successful"
1.0,319.0,1.0,0.36883312463760376,"this movie about a man on the run for killing a mobster is the kind of film you can watch entirely on fast forward  once you know who s who  and not lose a thing  it has an attractive cast but the plot is a virtual writer s guide to cinema cliche  and boy does the dialogue [[clunk]] ",0.0,0.6918621063232422,"this movie about a man on the run for killing a mobster is the kind of film you can watch entirely on fast forward  once you know who s who  and not lose a thing  it has an attractive cast but the plot is a virtual writer s guide to cinema cliche  and boy does the dialogue [[thump]] ","Successful"
0.0,806.0,0.0,0.2693299651145935,"first half of the movie scared the hell out of me and normally i m not easy to scare  but second half of this thriller didn t work quite a well  but still very scary  a [[good]] thriller  than use simple ways to make good horror  lowbudget  set in russia  unknown cast  and made in europe  but [[still]] [[great]] [[fun]]  and yes there is a few laughs throw in for good matters as well ",1.0,0.725285530090332,"first half of the movie scared the hell out of me and normally i m not easy to scare  but second half of this thriller didn t work quite a well  but still very scary  a [[dependable]] thriller  than use simple ways to make good horror  lowbudget  set in russia  unknown cast  and made in europe  but [[soundless]] [[expectant]] [[merriment]]  and yes there is a few laughs throw in for good matters as well ","Successful"
0.0,487.0,0.0,0.2706410884857178,"i [[love]] this movie  though i don t like how they picture egyptians  being an egyptian citizen myself  that s why it earns an eight out of   br  br  the relationship between augustin and the leopard is awkward  and of course because of loneliness and living in that cave for quite so long  he develops a kind of insanity and passion to that leopard br  br  a very touching scene when the leopard dies  watch augustin s reaction   br  br  all in all i find it enjoyable  and i m looking forward to reading the short story by balzac ",1.0,0.6179213523864746,"i [[screw]] this movie  though i don t like how they picture egyptians  being an egyptian citizen myself  that s why it earns an eight out of   br  br  the relationship between augustin and the leopard is awkward  and of course because of loneliness and living in that cave for quite so long  he develops a kind of insanity and passion to that leopard br  br  a very touching scene when the leopard dies  watch augustin s reaction   br  br  all in all i find it enjoyable  and i m looking forward to reading the short story by balzac ","Successful"
