"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
1.0,33.0,1.0,0.3003564476966858,"you will get reinfected with covid if you eat [[sugar]] drink cold water or take a shower at night",0.0,0.7244403958320618,"you will get reinfected with covid if you eat [[diabetes]] drink cold water or take a shower at night","Successful"
0.0,149.0,0.0,0.2689478397369385,"on the ncdc directly contacted a twitter user who mentioned his friend who returned from [[uk]] had runny nose but could not [[reach]] [[authority]] for [[testing]] [[within]] hour of communication with u via dm a [[sample]] [[wa]] collected we re [[committed]] to doing our best",1.0,0.6498190760612488,"on the ncdc directly contacted a twitter user who mentioned his friend who returned from [[u𝒌]] had runny nose but could not [[raech]] [[autհority]] for [[essays]] [[witհin]] hour of communication with u via dm a [[sam]] [[ple]] [[china]] collected we re [[perpetrated]] to doing our best","Successful"
0.0,70.0,0.0,0.26898956298828125,"[[coronavirusupdates]] [[state]] [[contribute]] of total covid case of active case and of total fatality reported in india",1.0,0.6777440309524536,"[[coronavirusupԁates]] [[sta𝚝e]] [[contribu𝚝e]] of total covid case of active case and of total fatality reported in india","Successful"
1.0,21.0,1.0,0.2689588665962219,"local [[man]] appoints himself world s foremost expert on coronavirus",0.0,0.6278055906295776,"local [[m]] [[an]] appoints himself world s foremost expert on coronavirus","Successful"
1.0,81.0,1.0,0.2689633369445801,"[[tablik]] jamaat chief [[maulana]] saad if [[people]] [[get]] coronavirus [[india]] will be [[destroyed]] the [[country]] will be in our possession",0.0,0.5206999778747559,"[[tabⅼik]] jamaat chief [[maսlana]] saad if [[peoрle]] [[ɡet]] coronavirus [[inida]] will be [[destroуed]] the [[nations]] will be in our possession","Successful"
1.0,84.0,1.0,0.26897096633911133,"a record new infection have been reported in india in a single day which take the country s total confirmed case over five lakh in view of the rising number of infection jharkhand government extends lockdown [[till]] [[july]] covid  [[coronavirusfacts]]",0.0,0.5630204081535339,"a record new infection have been reported in india in a single day which take the country s total confirmed case over five lakh in view of the rising number of infection jharkhand government extends lockdown [[until]] [[jսly]] covid  [[coronavirusfactѕ]]","Successful"
0.0,150.0,0.0,0.26894545555114746,"today is a [[significant]] [[milestone]] a we announce that the last [[active]] [[case]] of covid in new zealand ha recovered this [[mean]] there are now active [[case]] in new zealand thank you for staying home playing it safe and for [[supporting]] those fighting the virus",1.0,0.5968447327613831,"today is a [[siɡnificant]] [[ballpark]] a we announce that the last [[actiѵe]] [[cɑse]] of covid in new zealand ha recovered this [[meɑn]] there are now active [[lawsuit]] in new zealand thank you for staying home playing it safe and for [[suppоrting]] those fighting the virus","Successful"
1.0,26.0,1.0,0.30768322944641113,"year ago published a study on [[chloroquine]] it is effective against covid",0.0,0.5067070722579956,"year ago published a study on [[chloroqսine]] it is effective against covid","Successful"
0.0,23.0,0.0,0.2734954357147217,"offering essential cancer [[care]] in the new normal of coronavirus",1.0,0.5660884380340576,"offering essential cancer [[carе]] in the new normal of coronavirus","Successful"
0.0,58.0,0.0,0.26897841691970825,"since coronavirus there ha been a [[drop]] in [[pediatric]] ed [[visit]] [[td]] is among the most commonly delayed [[diagnosis]]",1.0,0.5461550951004028,"since coronavirus there ha been a [[dⲅop]] in [[infants]] ed [[visi𝚝]] [[tԁ]] is among the most commonly delayed [[diagnostics]]","Successful"
0.0,156.0,0.0,0.2689441442489624,"we are hoping for everyone s full [[recovery]] there are now people [[linked]] to the cluster they have moved into [[managed]] quarantine facility in [[auckland]] and that [[includes]] [[people]] who have [[returned]] [[positive]] test a [[well]] a [[household]] contact",1.0,0.6014885306358337,"we are hoping for everyone s full [[recov]] [[ery]] there are now people [[bound]] to the cluster they have moved into [[managеd]] quarantine facility in [[aucklɑnd]] and that [[іncludes]] [[peolpe]] who have [[reurned]] [[posi𝚝ive]] test a [[welⅼ]] a [[hоusehold]] contact","Successful"
0.0,44.0,0.0,0.26917320489883423,"when we know the actual number is [[much]] higher a we see here on a sonoma county [[dashboard]]",1.0,0.5172225832939148,"when we know the actual number is [[very]] higher a we see here on a sonoma county [[chessboard]]","Successful"
