"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
1.0,476.0,1.0,0.2689635753631592,"this is perhaps the creepiest display of santa claus [[ever]] [[committed]] to any medium  whether it be a book  a [[picture]]  or a movie  santa looks like a perv [[looking]] down on the children and the twisted [[story]] of inging merlin in to help him defeat [[one]] of satan s minions  pitch  doesn t [[make]] [[things]] any [[better]]  it s laughable to say the least  with bad effects  [[even]] for   standards  if a kid were to [[watch]] this [[movie]]  he d have nightmares and never want santa to [[visit]]  they d be scarred for life  imagine the kid s in  a christmas story  when they start screaming after being put on santa s lap  that s how this would turn out if kid s see this movie ",1.0,0.26910197734832764,"this is perhaps the creepiest display of santa claus [[yet]] [[performed]] to any medium  whether it be a book  a [[book]]  or a movie  santa looks like a perv [[is]] down on the children and the twisted [[tale]] of inging merlin in to help him defeat [[four]] of satan s minions  pitch  doesn t [[makes]] [[anything]] any [[harder]]  it s laughable to say the least  with bad effects  [[only]] for   standards  if a kid were to [[see]] this [[films]]  he d have nightmares and never want santa to [[awake]]  they d be scarred for life  imagine the kid s in  a christmas story  when they start screaming after being put on santa s lap  that s how this would turn out if kid s see this movie ","Failed"
1.0,1.0,0.0,0.6229588985443115,"it was a good story  but not very well told  i liked the themes and the main story line  which wasn t as clear as it could have been  maybe there was too much going on and a lack of ability to reign it all in  the acting was okay to cheesy  some were stronger than others and even the stronger actors had their moments of lesser quality acting  it took me a couple of months to get through the entire movie because it didn t keep my attention and the flow was just bad  i only just finished watching it and i m glad i did as the movie finally gets moving and has some continuity toward the end  again  a good story  but the delivery was sub par  would recommend it for the story line and maybe a little eye candy  and i do mean  a little ",0.0,0.6229588985443115,"it was a good story  but not very well told  i liked the themes and the main story line  which wasn t as clear as it could have been  maybe there was too much going on and a lack of ability to reign it all in  the acting was okay to cheesy  some were stronger than others and even the stronger actors had their moments of lesser quality acting  it took me a couple of months to get through the entire movie because it didn t keep my attention and the flow was just bad  i only just finished watching it and i m glad i did as the movie finally gets moving and has some continuity toward the end  again  a good story  but the delivery was sub par  would recommend it for the story line and maybe a little eye candy  and i do mean  a little ","Skipped"
1.0,110.0,1.0,0.2852557897567749,"this film  although not totally bad  should have been filmed where the actual events took place  grand island  neaska was devastated by no less than seven tornados on the night of june       grand island is situated in the nearly treeless  flat platte river valley in hall county  the makers of this movie filmed in the tree covered hills of ontario and moved the whole event to a non existant town called blainsworth  the people of grand island avely survived this [[awful]] night only to be forgotten because of a poorly made movie ",0.0,0.600507378578186,"this film  although not totally bad  should have been filmed where the actual events took place  grand island  neaska was devastated by no less than seven tornados on the night of june       grand island is situated in the nearly treeless  flat platte river valley in hall county  the makers of this movie filmed in the tree covered hills of ontario and moved the whole event to a non existant town called blainsworth  the people of grand island avely survived this [[fantastic]] night only to be forgotten because of a poorly made movie ","Successful"
1.0,288.0,1.0,0.26902300119400024,"the film is [[set]] in newcastle on tyne in north east england  the [[town]] where i was born and grew up  the film is also fundamentally [[dishonest]]   the [[way]] it presents the town  the kids  but above all the [[men]] of the [[town]]  in this [[film]] they are all stupid  violent  thieving  thugs     i [[suppose]] i [[could]] comment on the plot  predictable  the performances  competently unattractive  the [[direction]]  lazy and unimaginative  but to me that is all irrelevant [[compared]] to the director s insult to the [[town]] and its people     thus the invitation in my summary to the director and writer  mark herman  to leave the north east ",1.0,0.4458150267601013,"the film is [[backdrop]] in newcastle on tyne in north east england  the [[country]] where i was born and grew up  the film is also fundamentally [[honest]]   the [[manner]] it presents the town  the kids  but above all the [[folk]] of the [[city]]  in this [[movie]] they are all stupid  violent  thieving  thugs     i [[forget]] i [[will]] comment on the plot  predictable  the performances  competently unattractive  the [[scenes]]  lazy and unimaginative  but to me that is all irrelevant [[relating]] to the director s insult to the [[cities]] and its people     thus the invitation in my summary to the director and writer  mark herman  to leave the north east ","Failed"
1.0,162.0,1.0,0.2689715623855591,"a very bad attempt at a young spinal tap  at least the music in spinal tap was good     this is really a very sad [[case]] of hollywood nepotism at it s worst  a bunch of hollywood execs  [[bad]] musicians and producers create some  poopie  show so their kids can be in the spotlight  oh please  the potty humor was even bad  i hate this stuff when there is really incredibly talented kids  musicians  actors and artists  out there busting their butts to have success and this [[crap]] comes along     help u all  why wasn t gene simmons in it  ameriac s taste in entertainment is going down the toilet ",0.0,0.6553837060928345,"a very bad attempt at a young spinal tap  at least the music in spinal tap was good     this is really a very sad [[story]] of hollywood nepotism at it s worst  a bunch of hollywood execs  [[great]] musicians and producers create some  poopie  show so their kids can be in the spotlight  oh please  the potty humor was even bad  i hate this stuff when there is really incredibly talented kids  musicians  actors and artists  out there busting their butts to have success and this [[stuff]] comes along     help u all  why wasn t gene simmons in it  ameriac s taste in entertainment is going down the toilet ","Successful"
1.0,590.0,1.0,1.1801719665527344e-05,"i rented this movie for about        the most [[complete]] waste of money  and time  i have [[ever]] spent  it s lame  i couldn t believe how they could come up with something [[like]] this     the plot  there is no plot  [[everything]] you d expect to happen  it does  only in a worse [[way]]  the acting was [[horrible]]  my dog could ve [[done]] better  the special effects have no effect [[whatsoever]]   [[except]] inducing complete disbelief  and the cheesy lines  i [[mean]]  why even bother       the only credit i can give this [[piece]] of sh t are the opening scenes  they were actually quite pretty  and one of the reasons why i decided to rent this  the graphics shown there are probably the best and most realistic cg of the entire film     total reality gets   out of   for not being able to mark it lower ",1.0,0.2723196744918823,"i rented this movie for about        the most [[wonderful]] waste of money  and time  i have [[yet]] spent  it s lame  i couldn t believe how they could come up with something [[unlike]] this     the plot  there is no plot  [[thing]] you d expect to happen  it does  only in a worse [[ways]]  the acting was [[excellent]]  my dog could ve [[acted]] better  the special effects have no effect [[even]]   [[without]] inducing complete disbelief  and the cheesy lines  i [[forget]]  why even bother       the only credit i can give this [[out]] of sh t are the opening scenes  they were actually quite pretty  and one of the reasons why i decided to rent this  the graphics shown there are probably the best and most realistic cg of the entire film     total reality gets   out of   for not being able to mark it lower ","Failed"
1.0,203.0,1.0,0.269020140171051,"almost golden  the jessica savitch story     aspect ratio            sound format  stereo     [[bland]]  soap opera dramatisation of the rise and [[fall]] of america s first female tv news anchor  with a tighter [[script]] and direction   and a better cast   this [[might]] have passed muster  but the flimsy story really wasn t [[worth]] the effort  a good documentary on the subject [[might]] have been the best way to go  typically strong production values in the tv movie conveyor [[belt]] [[manner]]  but it s all as superficial as old fluff  and just as engaging ",0.0,0.5530756711959839,"almost golden  the jessica savitch story     aspect ratio            sound format  stereo     [[quality]]  soap opera dramatisation of the rise and [[evolution]] of america s first female tv news anchor  with a tighter [[character]] and direction   and a better cast   this [[does]] have passed muster  but the flimsy story really wasn t [[over]] the effort  a good documentary on the subject [[uld]] have been the best way to go  typically strong production values in the tv movie conveyor [[belts]] [[go]]  but it s all as superficial as old fluff  and just as engaging ","Successful"
1.0,154.0,1.0,0.28358393907546997,"i saw this move several years ago at the central florida film festival if i recall  i liked it  it showed great potential  i guess most people here are [[blasting]] this film because the film did seem [[hobbled]] together  by the filmmaker s own admission on the official site   the short was exhibited as a  rough cut     but nonetheless  it was an easy [[going]] comedy  i think many people try to read far too much into a comedy  all they are supposed to do is make you laugh   that s all  i did just that at its showing  so it succeeded on that level  just my   cents anyway ",0.0,0.5377196669578552,"i saw this move several years ago at the central florida film festival if i recall  i liked it  it showed great potential  i guess most people here are [[taking]] this film because the film did seem [[fused]] together  by the filmmaker s own admission on the official site   the short was exhibited as a  rough cut     but nonetheless  it was an easy [[making]] comedy  i think many people try to read far too much into a comedy  all they are supposed to do is make you laugh   that s all  i did just that at its showing  so it succeeded on that level  just my   cents anyway ","Successful"
0.0,201.0,0.0,0.2696256637573242,"just can t watch this bit too many [[times]]  it s full of true enthusiasm and [[cleverness]] mickey mouse had in his first   years  nowadays  mickey is an smart ass little whiner when [[compared]] this  steamboat willie always makes me smile  at least the ending where mickey [[laughs]] after hitting a parrot with a potato  animation is very [[nice]] and although steamboat willie has no dialog  the music is enough for it     imho if this bit doesn t deserve     then any cartoon doesn t not only because it s a true classic  but also because it s so full of joy and it s always fun to watch ",1.0,0.5056243538856506,"just can t watch this bit too many [[time]]  it s full of true enthusiasm and [[stuff]] mickey mouse had in his first   years  nowadays  mickey is an smart ass little whiner when [[saying]] this  steamboat willie always makes me smile  at least the ending where mickey [[disappears]] after hitting a parrot with a potato  animation is very [[short]] and although steamboat willie has no dialog  the music is enough for it     imho if this bit doesn t deserve     then any cartoon doesn t not only because it s a true classic  but also because it s so full of joy and it s always fun to watch ","Successful"
1.0,96.0,1.0,0.2689822316169739,"this move is [[terrible]]  they took gods word and made a [[mockery]] of it  the acting was terrible too  why [[bother]] doing a story on something from the bible when your not [[even]] [[going]] to tell it correctly  there were not just a few changes but the whole [[thing]] was wrong  do not see this movie ",1.0,0.26975739002227783,"this move is [[wrong]]  they took gods word and made a [[fun]] of it  the acting was terrible too  why [[be]] doing a story on something from the bible when your not [[also]] [[having]] to tell it correctly  there were not just a few changes but the whole [[situation]] was wrong  do not see this movie ","Failed"
1.0,176.0,1.0,0.2694895267486572,"this is a very [[strange]] product from hollywood  apparently it didn t test well because actors who have footage in the credits have been edited completely out of the movie  which means a [[hasty]] cut job was done on it  it feels like it was wrestled out of the usually competent demme s hands  and just thrown away  on the other and it is so totally lacking in substance that maybe nothing could save it  it has no real center  either [[narratively]] or time wise  although it [[says]] the running time is   minutes  i seem to recall it ending auptly  around the   minute mark  it s over before it even gets going  it s pretty much laugh free     the merits of the  matthew modine picture  were as elusive then as the luke wilson picture is now ",0.0,0.507694661617279,"this is a very [[distinctive]] product from hollywood  apparently it didn t test well because actors who have footage in the credits have been edited completely out of the movie  which means a [[quick]] cut job was done on it  it feels like it was wrestled out of the usually competent demme s hands  and just thrown away  on the other and it is so totally lacking in substance that maybe nothing could save it  it has no real center  either [[yet]] or time wise  although it [[claims]] the running time is   minutes  i seem to recall it ending auptly  around the   minute mark  it s over before it even gets going  it s pretty much laugh free     the merits of the  matthew modine picture  were as elusive then as the luke wilson picture is now ","Successful"
1.0,232.0,1.0,0.26896166801452637,"the only [[reason]] i rented the movie was to [[see]] jeri ryan in it  omg that was the most boring  pointless [[movie]] i ve [[ever]] seen  how [[lame]]  i mean really  give me a eak  after voyager  i d hope she d be [[offered]] better roles     if i were one of the last [[people]] on earth  i would not [[still]] be living in a travel trailer in the dessert  this is just such a [[bad]] movie  the thing about the indian tribe and how he compared it every   [[seconds]] really  really got old  poor jeri  better luck next time ",1.0,0.3987243175506592,"the only [[reasons]] i rented the movie was to [[get]] jeri ryan in it  omg that was the most boring  pointless [[movies]] i ve [[still]] seen  how [[hey]]  i mean really  give me a eak  after voyager  i d hope she d be [[enjoying]] better roles     if i were one of the last [[folks]] on earth  i would not [[definitely]] be living in a travel trailer in the dessert  this is just such a [[little]] movie  the thing about the indian tribe and how he compared it every   [[time]] really  really got old  poor jeri  better luck next time ","Failed"
0.0,165.0,0.0,0.2692992091178894,"full house was and still is a [[great]] show  it s a good show for people of all ages and is also a [[good]] family show  there really aren t any shows like it anymore  the kids are very cute and even though it s a bit cheesy  it s still good  especially for anyone who watched it when they were a kid  i would love to see the cast interviewed now  anyone that would like to see interviews of the cast  kind of like a where are they now type thing for the special features of the dvd  should go to the petition spot website and sign a petition titled full house reunion on dvd as there is a petition for this in hopes that the cast may want to do it  yay for full house ",1.0,0.5163379907608032,"full house was and still is a [[terrible]] show  it s a good show for people of all ages and is also a [[decent]] family show  there really aren t any shows like it anymore  the kids are very cute and even though it s a bit cheesy  it s still good  especially for anyone who watched it when they were a kid  i would love to see the cast interviewed now  anyone that would like to see interviews of the cast  kind of like a where are they now type thing for the special features of the dvd  should go to the petition spot website and sign a petition titled full house reunion on dvd as there is a petition for this in hopes that the cast may want to do it  yay for full house ","Successful"
0.0,223.0,0.0,0.2690732479095459,"i first [[saw]] this movie in papua new guinea in   and have [[remembered]] it since  although i have never seen it [[since]] that first time     just how easily good people s [[lives]] can be destroyed by the pure evil that existed then and [[still]] does is a memory that will haunt me forever     the movie is [[funny]] and immensely sad at the same [[time]] and the role played by anthony quinn is [[superb]]     this movie should be in all college studies about man s inhumanity to man ",0.0,0.27047157287597656,"i first [[bought]] this movie in papua new guinea in   and have [[made]] it since  although i have never seen it [[before]] that first time     just how easily good people s [[s]] can be destroyed by the pure evil that existed then and [[there]] does is a memory that will haunt me forever     the movie is [[fun]] and immensely sad at the same [[point]] and the role played by anthony quinn is [[why]]     this movie should be in all college studies about man s inhumanity to man ","Failed"
0.0,55.0,0.0,0.2836284041404724,"errol flynn s [[greatest]] movie  not just a sports movie with a wonder last   minutes where ward bond shines  don t miss it just because you think its an old movie  its a classic that could be easily missed  do yourself a favour and don t ",1.0,0.6357308030128479,"errol flynn s [[big]] movie  not just a sports movie with a wonder last   minutes where ward bond shines  don t miss it just because you think its an old movie  its a classic that could be easily missed  do yourself a favour and don t ","Successful"
