"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
1.0,121.0,1.0,0.3016614317893982,"some movies are repellent but still fascinating  pulp fiction  others are simply [[boring]]  this movie has an almost unique [[feature]] of being both utterly repellent and totally boring  by the end i didn t care about any of the characters  i just wanted all of them dead so i could get out of the theatre ",0.0,0.5000676512718201,"some movies are repellent but still fascinating  pulp fiction  others are simply [[pierce]]  this movie has an almost unique [[distinctive]] of being both utterly repellent and totally boring  by the end i didn t care about any of the characters  i just wanted all of them dead so i could get out of the theatre ","Successful"
1.0,173.0,1.0,0.3538869023323059,"at least the [[jingle]] by tim [[finn]] was melodic  roberts is the his usual inept self  [[characters]] are inconsistent  [[dull]]  purposeless  roberts [[changes]] his [[accent]] even within one [[line]] ",0.0,0.5036064386367798,"at least the [[tinkling]] by tim [[finnish]] was melodic  roberts is the his usual inept self  [[digit]] are inconsistent  [[tiresome]]  purposeless  roberts [[transmutation]] his [[aimed]] even within one [[pedigree]] ","Successful"
0.0,265.0,0.0,0.31133776903152466,"while it certainly wasn t the [[best]] movie i ve ever seen  it was certainly worth the     which can t be said for many movies these days br  br  this was a [[pleasant]] account of a [[true]] [[story]]  although many of the details of the real story were twisted for the [[movie]]   ie  [[billy]] [[sunday]] s character was [[three]] or four people in the real story combined together  robert deniro was of course good  and cuba gooding  [[jr]]  was also impressive ",1.0,0.5256960391998291,"while it certainly wasn t the [[strictest]] movie i ve ever seen  it was certainly worth the     which can t be said for many movies these days br  br  this was a [[delectable]] account of a [[candid]] [[retold]]  although many of the details of the real story were twisted for the [[cine]]   ie  [[baily]] [[monday]] s character was [[five]] or four people in the real story combined together  robert deniro was of course good  and cuba gooding  [[junior]]  was also impressive ","Successful"
1.0,378.0,1.0,0.34924954175949097,"ok we have a film that some are calling one of the best movies ever but i m sitting here [[thinking]] hell the f  the storys sux  which there is no story  the diolouge is quite plain  artisticly nothing [[great]]  and the acting is nothing [[real]] out standing  [[so]] if you want to [[pretend]] to [[be]] arty say you like it  but if you [[have]] a [[real]] view [[say]] you don t [[like]] it or if you [[did]] explain why ",0.0,0.5015323162078857,"ok we have a film that some are calling one of the best movies ever but i m sitting here [[knew]] hell the f  the storys sux  which there is no story  the diolouge is quite plain  artisticly nothing [[marvellous]]  and the acting is nothing [[substantive]] out standing  [[equally]] if you want to [[invoking]] to [[ser]] arty say you like it  but if you [[ai]] a [[genuinely]] view [[proclaimed]] you don t [[iike]] it or if you [[know]] explain why ","Successful"
0.0,167.0,0.0,0.28905272483825684,"i [[went]] into a screening of  sister helen  at the sundance film festival and did not know what to expect br  br  i was riveted by the people in this documentary  sister helen is an [[incredible]] character  the filmmakers captured the essence of sister helen s amazing soul and took me into a world unknown  i was thoroughly satisfied by the journey and was completely caught off guard by this film s ending br  br  this film speaks to those who desire a second chance at life ",1.0,0.504611611366272,"i [[go]] into a screening of  sister helen  at the sundance film festival and did not know what to expect br  br  i was riveted by the people in this documentary  sister helen is an [[incomprehensible]] character  the filmmakers captured the essence of sister helen s amazing soul and took me into a world unknown  i was thoroughly satisfied by the journey and was completely caught off guard by this film s ending br  br  this film speaks to those who desire a second chance at life ","Successful"
1.0,585.0,1.0,0.3245038390159607,"from the nepotism capitol of the [[world]] comes another junk [[flick]] in a fancy [[wrapper]]   [[cq]]  [[tells]] a [[lame]]  disjointed [[mess]] of a [[story]] which is [[little]] more than a [[bunch]] of silly [[caricatures]]  a babe  and straight [[man]] davies [[running]] around trying to [[make]] a stupid [[sci]] [[fi]] [[flick]]  i can t [[think]] of any [[reason]] anyone would want to spend time with this [[ridiculous]] attempt at [[film]] making   d ",0.0,0.5000535249710083,"from the nepotism capitol of the [[monde]] comes another junk [[geste]] in a fancy [[adjust]]   [[qc]]  [[illustrates]] a [[none]]  disjointed [[junk]] of a [[narratives]] which is [[lite]] more than a [[herd]] of silly [[travesty]]  a babe  and straight [[mankind]] davies [[manage]] around trying to [[attain]] a stupid [[ioa]] [[have]] [[teatro]]  i can t [[ideas]] of any [[cause]] anyone would want to spend time with this [[absurd]] attempt at [[theatres]] making   d ","Successful"
1.0,237.0,1.0,0.3294624090194702,"this short film doesn t get there  [[cliche]]  and not very funny attempt at dark humor  humor isn t [[funny]] enough to get you [[interested]] and the [[protagonist]] isn t likeable so you really don t care about what [[happens]] anyway  producer [[spent]] some [[money]] on this [[flop]] and it shows in the [[production]] value which is the only [[saving]] [[grace]] ",0.0,0.5124422311782837,"this short film doesn t get there  [[stereotypes]]  and not very funny attempt at dark humor  humor isn t [[hilarious]] enough to get you [[interesting]] and the [[player]] isn t likeable so you really don t care about what [[emerge]] anyway  producer [[devote]] some [[currencies]] on this [[doldrums]] and it shows in the [[produces]] value which is the only [[redding]] [[pardon]] ","Successful"
1.0,88.0,1.0,0.44930559396743774,"this movie about a man on the run for killing a mobster is the kind of film you can watch entirely on fast forward  once you know who s who  and not lose a thing  it has an attractive cast but the plot is a virtual writer s guide to cinema [[cliche]]  and boy does the dialogue clunk ",0.0,0.5436427593231201,"this movie about a man on the run for killing a mobster is the kind of film you can watch entirely on fast forward  once you know who s who  and not lose a thing  it has an attractive cast but the plot is a virtual writer s guide to cinema [[pinter]]  and boy does the dialogue clunk ","Successful"
0.0,112.0,0.0,0.33998286724090576,"i m really suprised this movie didn t get a higher rating on imdb  it s one of those movies that could easily get by someone  but for romantic comedy  moonstruck  is really in a class by itself  it s setting and ethnic [[charm]] are things people seem to take for granted  the casting alone makes it a nearly [[perfect]] movie  few movies in the   s were as good as  moonstruck and it s [[funny]] too    out of  ",1.0,0.5120131969451904,"i m really suprised this movie didn t get a higher rating on imdb  it s one of those movies that could easily get by someone  but for romantic comedy  moonstruck  is really in a class by itself  it s setting and ethnic [[allure]] are things people seem to take for granted  the casting alone makes it a nearly [[unfailing]] movie  few movies in the   s were as good as  moonstruck and it s [[laugh]] too    out of  ","Successful"
0.0,84.0,0.0,0.3265843987464905,"first it was jack the ripper  now it is alan feinstone  the crazy dentist tortures people in horrific ways  quite realistic at times but some of the acting is abysmal and [[comical]]  especially from corbin bernson  in some scenes there is dental torture that will really make you cringe ",1.0,0.5934197902679443,"first it was jack the ripper  now it is alan feinstone  the crazy dentist tortures people in horrific ways  quite realistic at times but some of the acting is abysmal and [[ridiculous]]  especially from corbin bernson  in some scenes there is dental torture that will really make you cringe ","Successful"
