"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
0.0,240.0,0.0,0.3523111939430237,"[[indiafightscorona]] [[nearly]] of the [[total]] [[case]] are being contributed by [[five]] state viz [[maharashtra]] [[andhra]] [[pradesh]] tamil [[nadu]] karnataka and [[uttar]] pradesh [[staysafe]] [[indiawillwin]]",0.0,0.421847939491272,"[[indiafightscoⲅona]] [[about]] of the [[overall]] [[cɑse]] are being contributed by [[fiѵe]] state viz [[maharashtrɑ]] [[anhdra]] [[andra]] tamil [[maharashtra]] karnataka and [[maharashtra]] pradesh [[staysɑfe]] [[indiawillԝin]]","Failed"
1.0,61.0,1.0,0.3359471559524536,"this [[video]] [[show]] [[dead]] [[coronavirus]] victim amassed in the bergamo or brescia [[hospital]]",1.0,0.43628138303756714,"this [[viԁeo]] [[display]] [[deaths]] [[coⲅonavirus]] victim amassed in the bergamo or brescia [[hospitalization]]","Failed"
1.0,50.0,1.0,0.34424614906311035,"the [[obama]] [[administration]] made a decision on testing that turned out to be very detrimental to what we re doing on the coronavirus",1.0,0.432623028755188,"the [[barak]] [[administra𝚝ion]] made a decision on testing that turned out to be very detrimental to what we re doing on the coronavirus","Failed"
1.0,56.0,1.0,0.35943686962127686,"[[andrés]] fabián hurtado the [[mayor]] of ibagué [[say]] his [[city]] [[lost]] four million job due to the coronavirus",1.0,0.47761720418930054,"[[adnrés]] fabián hurtado the [[mayoral]] of ibagué [[saу]] his [[ville]] [[lst]] four million job due to the coronavirus","Failed"
1.0,32.0,1.0,0.34293603897094727,"the [[chinese]] government announced that [[garlic]] is a preventative food for the the novel coronavirus",1.0,0.3761101961135864,"the [[cհinese]] government announced that [[ail]] is a preventative food for the the novel coronavirus","Failed"
0.0,67.0,0.0,0.33991193771362305,"a small fraction of death in longterm care facility are staff member nonetheless researcher [[estimate]] that by year s end covid will make working in an [[ltc]] facility the most dangerous [[job]] in america in",1.0,0.5009505748748779,"a small fraction of death in longterm care facility are staff member nonetheless researcher [[estima𝚝e]] that by year s end covid will make working in an [[ltϲ]] facility the most dangerous [[jоb]] in america in","Successful"
0.0,120.0,0.0,0.36908870935440063,"we ve now passed [[day]] without community transmission but testing remains one of the [[best]] way to [[ensure]] there s no undetected [[community]] transmission in [[new]] zealand we [[need]] everyone to [[play]] their part in that",1.0,0.5111209154129028,"we ve now passed [[dɑy]] without community transmission but testing remains one of the [[nicest]] way to [[еnsure]] there s no undetected [[societal]] transmission in [[neԝ]] zealand we [[neеd]] everyone to [[pⅼay]] their part in that","Successful"
0.0,99.0,0.0,0.3502318859100342,"[[coronavirusupdates]] [[covid]] india [[tracker]] a on [[september]] am confirmed case recovered active case deaths [[indiafightscorona]] [[indiawillwin]] staysafe [[via]] [[mohfw]] india",0.0,0.4966254234313965,"[[corоnavirusupdates]] [[coѵid]] india [[trɑcker]] a on [[janvier]] am confirmed case recovered active case deaths [[indiafightѕcorona]] [[indiawillԝin]] staysafe [[viɑ]] [[mohfԝ]] india","Failed"
1.0,170.0,1.0,0.34687429666519165,"[[ministry]] of [[ayush]] govt of [[india]] suggested the [[use]] of [[homeopathic]] [[medicine]] [[arsenicum]] album for it possible role in preventing covid infection said dr anil khurana director general central council for research in [[homoeopathy]] health phdcci healthcare [[mohfw]] india",0.0,0.5271632075309753,"[[ministⲅy]] of [[ayսsh]] govt of [[inida]] suggested the [[սse]] of [[therapeutic]] [[medicnie]] [[arseni]] [[cum]] album for it possible role in preventing covid infection said dr anil khurana director general central council for research in [[հomoeopathy]] health phdcci healthcare [[moհfw]] india","Successful"
1.0,77.0,1.0,0.3662382960319519,"putin ha stated [[russian]] citizen have [[option]] [[stay]] [[home]] for day or in [[jail]] for year",1.0,0.4082310199737549,"putin ha stated [[rsusian]] citizen have [[alternate]] [[remain]] [[հome]] for day or in [[gaol]] for year","Failed"
