"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
1.0,290.0,1.0,0.2725549340248108,"[[back]] in march [[former]] deputy [[prime]] minister barnabyjoyce [[said]] death by snake bite outnumbered covid death by a [[factor]] of to but coronavirus move quickly and his [[claim]] rapidly [[aged]] this and more in coronacheck coronavirusfacts",0.0,0.5453698635101318,"[[support]] in march [[previous]] deputy [[premier]] minister barnabyjoyce [[read]] death by snake bite outnumbered covid death by a [[agent]] of to but coronavirus move quickly and his [[title]] rapidly [[age]] this and more in coronacheck coronavirusfacts","Successful"
1.0,356.0,1.0,0.26899486780166626,"covid is a lab [[made]] biological [[weapon]] [[deployed]] to [[destroy]] the [[trump]] [[economy]] people will [[say]] but [[chinese]] [[people]] [[died]] why would they [[kill]] their own people [[ill]] remind people that [[war]] is about [[sacrificing]] your own [[people]] to [[gain]] from another [[people]]",0.0,0.5924638509750366,"covid is a lab [[gain]] biological [[arm]] [[deploy]] to [[demolish]] the [[best]] [[thriftiness]] people will [[read]] but [[Formosan]] [[multitude]] [[choke]] why would they [[defeat]] their own people [[ominous]] remind people that [[warfare]] is about [[give]] your own [[multitude]] to [[addition]] from another [[multitude]]","Successful"
0.0,181.0,0.0,0.26894837617874146,"indiafightscorona by conducting [[close]] to crore covid test    crore covid test were conducted in the last [[week]] [[alone]]",1.0,0.6272217035293579,"indiafightscorona by conducting [[stuffy]] to crore covid test    crore covid test were conducted in the last [[hebdomad]] [[unaccompanied]]","Successful"
1.0,76.0,1.0,0.26901644468307495,"[[claim]] that [[saint]] corona ha always been a patron [[saint]] against epidemic",0.0,0.6590345501899719,"[[take]] that [[apotheosis]] corona ha always been a patron [[ideal]] against epidemic","Successful"
1.0,320.0,1.0,0.28322917222976685,"million people contracted tuberculosis last year    million people died did you even know were you scared for your life did we wear mask close the economy cancel school and ruin small [[business]] no why because the [[medium]] didn t [[tell]] you to be afraid",0.0,0.6065008640289307,"million people contracted tuberculosis last year    million people died did you even know were you scared for your life did we wear mask close the economy cancel school and ruin small [[concern]] no why because the [[average]] didn t [[severalise]] you to be afraid","Successful"
0.0,120.0,0.0,0.2695872187614441,"several dozen of our volunteer spent the last day evaluating the new cdcgov [[data]] this is the white paper we produced",1.0,0.6097316741943359,"several dozen of our volunteer spent the last day evaluating the new cdcgov [[datum]] this is the white paper we produced","Successful"
1.0,82.0,1.0,0.2842026352882385,"simpsonreport a bioengineered pandemic is too useful to [[waste]] lockdown the [[new]] gulag",1.0,0.30149728059768677,"simpsonreport a bioengineered pandemic is too useful to [[neutralize]] lockdown the [[Modern]] gulag","Failed"
1.0,305.0,1.0,0.2689700722694397,"a [[photo]] of a woman lying in a hospital [[bed]] with medical equipment attached to her [[body]] ha been shared hundred of [[time]] on facebook and twitter alongside [[claim]] that the woman wa a doctor who died after being beaten by a [[muslim]] [[mob]] while trying to administer novel coronavirus [[test]]",0.0,0.6153445243835449,"a [[exposure]] of a woman lying in a hospital [[know]] with medical equipment attached to her [[consistency]] ha been shared hundred of [[metre]] on facebook and twitter alongside [[exact]] that the woman wa a doctor who died after being beaten by a [[Moslem]] [[throng]] while trying to administer novel coronavirus [[examine]]","Successful"
0.0,219.0,0.0,0.27079904079437256,"based on what is known about how the novel coronavirus behaves cdc and capublichealth expect to see covid infection in people who have had contact with the recentlyidentified patient especially those who have had [[close]] prolonged contact",1.0,0.5642249584197998,"based on what is known about how the novel coronavirus behaves cdc and capublichealth expect to see covid infection in people who have had contact with the recentlyidentified patient especially those who have had [[stuffy]] prolonged contact","Successful"
1.0,300.0,1.0,0.2711176872253418,"susan [[lemon]] commondefense berniesanders omg are you frigging kidding me just like [[trump]] knowing how deadly the coronavirus wa same [[go]] for the [[police]] that night they [[said]] the knocked it wa their [[word]] against her distraught [[boyfriend]]",0.0,0.5337151288986206,"susan [[maize]] commondefense berniesanders omg are you frigging kidding me just like [[best]] knowing how deadly the coronavirus wa same [[move]] for the [[patrol]] that night they [[articulate]] the knocked it wa their [[discussion]] against her distraught [[fellow]]","Successful"
1.0,201.0,1.0,0.26903200149536133,"[[kid]] [[reach]] f k this [[shit]] stage of lockdown",0.0,0.6312494277954102,"[[minor]] [[scope]] f k this [[make]] stage of lockdown","Successful"
0.0,329.0,0.0,0.26895809173583984,"the [[second]] [[case]] is a woman in her who arrived in new zealand on july from los angeles she ha been staying at the rydges in auckland and tested positive for covid a part of routine testing around day [[three]] of her stay in [[managed]] isolation",1.0,0.5553195476531982,"the [[endorse]] [[typeface]] is a woman in her who arrived in new zealand on july from los angeles she ha been staying at the rydges in auckland and tested positive for covid a part of routine testing around day [[deuce-ace]] of her stay in [[grapple]] isolation","Successful"
0.0,339.0,0.0,0.26903998851776123,"a [[new]] cdcmmwr report show that young previously [[healthy]] adult can take a long time to recover from covid the study found that nearly in [[adult]] age who had milder outpatient covid had not [[returned]] to their usual health after day",1.0,0.521416425704956,"a [[unexampled]] cdcmmwr report show that young previously [[hefty]] adult can take a long time to recover from covid the study found that nearly in [[pornographic]] age who had milder outpatient covid had not [[riposte]] to their usual health after day","Successful"
0.0,252.0,0.0,0.2689439654350281,"having a difficult [[time]] [[coping]] because of covid feeling lonely [[anxious]] or [[dealing]] with [[grief]] and [[loss]] [[help]] is [[available]] through the [[national]] suicide [[prevention]] lifeline [[learn]] more",1.0,0.6256718039512634,"having a difficult [[clip]] [[cop]] because of covid feeling lonely [[queasy]] or [[sell]] with [[heartache]] and [[red]] [[avail]] is [[usable]] through the [[interior]] suicide [[bar]] lifeline [[con]] more","Successful"
