aug_tweet,label,tweet
dr uma babu of aiims gave the video a response viewing the video on youtube,fake,dr uma kumar of aiims gave the interview a shown in the video on coronavirus
sri raja idh issue certificate of instruction to teach to understand from covid by,fake,sri lankas idh issue set of instruction to follow to protect from covid infection
a viral video purportedly from italy show castro mourning cry for his child when died early via coronavirus,fake,a viral video purportedly from italy show a child cry for his mother who died due to coronavirus
american arm group launched great panic spread american coronavirus,fake,american arm themselves a coronavirus panic spread american coronavirus
the freely varying viral host notes the knowns and unknown of cause s impact affecting the kidney,real,the freely filtered podcast host discus the knowns and unknown of covid s impact on the kidney
buddhist smugly practices religion at least he ha the deity who is coronavirus nashville buddhism,fake,buddhist smugly reflects that at least he ha the present moment life coronavirus nashville buddhism
don he know infected britain s point coronavirus plan,fake,don t get ill britain s point coronavirus plan
bloke whose misso failed to stop him from accidentally falling fork in the toaster quite happily followed by a carrot,fake,bloke whose misso ha to stop him from a putting fork in the toaster quite certain covid is a lie
old town fight pandemic america coronavirus pandemic artery bridge disease,fake,alabama town fight pandemic america coronavirus pandemic covid kitchen warning
picture with baby mother hugging her baby infected with covid with a portable airflow room,fake,image showing a mother hugging her baby infected with covid inside a laminar airflow room
cuba ha developed a vaccine targeting cholera,fake,cuba ha developed a vaccine against coronavirus
hui is only person with coronavirus in cantonese on,fake,there is a person with coronavirus in galicia on
healthcare worker are scared because too many patients « t wear oxygen mask,real,healthcare worker are scared because too many people won t wear a mask
corn whose misso loves to begin spinning causes a putting slip in the toaster quite certain covid meets a lie,fake,bloke whose misso ha to stop him from a putting fork in the toaster quite certain covid is a lie
hair tight garment lace front manufactured in china may contain the mixture,fake,hair weave and lace front manufactured in china may contain the coronavirus
° the crown estate warns properties with hit value of living and property,real,coronavirus the crown estate warns covid will hit value of profit and property
death tomorrow above midnight whereas jersey alone reported death today,real,death stayed above today new jersey alone reported death today
poor worker inundated her request to continue on board — covid emerged,fake,sex worker inundated with request to sneeze on people since covid emerged
our daily magazine is published state updates on test pilot case and death,real,our daily update is published state reported 586k test 28k case and death
bengali newspaper published 2016 article about covid s production rice lab ।,fake,gunes newspaper published an article about covid s production in lab in
coronavirus covid can take 20 people researcher battle idol myth in south korea,real,coronavirus covid only take white people researcher battle disease myth in south africa
northeast indiafightscorona highest ever rainy day monthly recovery of jul last months,real,coronavirusupdate indiafightscorona highest ever single day covid recovery of in last hour
there is now any covid cure from ancient ancient,fake,there is now a covid cure from the usa
nonvegetarian food grade stains commonly lead to infection,fake,nonvegetarian food meat consumption can lead to infection
fewer civilians are dying since the holocaust since 2008 white paper examines why,fake,fewer kid are dying since the lockdown a new white paper examines why
say ceo got advance notice of covid by delivered dump dump stock,fake,say ceo got advance notice of covid then resigned to dump stock
2018 photo crowd at anticoronavirus national rally in berlin,fake,photo show crowd at anticoronavirus lockdown rally in berlin
the investigation report suggest jeffrey epstein quite likely died from renal complication,fake,new autopsy report suggest jeffrey epstein most likely died from covid complication
this year only girl continues fighting for her life after bleeding into coronavirus,fake,this year old girl is fighting for her life after getting the coronavirus
news bbc replaces watson ′ s heart surgery with jamie oliver presents mr haggis,fake,news bbc replaces nichola sturgeon s pandemic briefing with jamie oliver making curried haggis
bob simpson predicted the fatal coronavirus outbreak,fake,the simpson predicted the new coronavirus outbreak
the traditionally enforced lockdown sex rule explained,fake,the government s lockdown sex rule explained
in india tamil bharatiya bjp socialist worker distributed drug along operation covid relief campaign,fake,in india tamil nadus bjp party worker distributed drug along with covid relief good
promotional photo show the young egyptian doctor who died from covid syndrome algeria,fake,this picture show the young pregnant doctor who died from covid in algeria
information post with photo indicates that covid square patient in istanbul are left crossing the street,fake,a post with photo claiming that covid infected patient in italy are left in the street
breaking intelligence revealed to base it appears that infect you exceed your level zero alertness,fake,breaking coronavirus revealed to base it decision to infect you on your level of alertness
olly cannot turn violent at his local hospital with coronavirus but ultimately turns out to promote another hangover,fake,olly murs turn up at his local hospital with coronavirus but it turn out to be a hangover
coronavirus senior student accepts your isolate after suspected covid outbreak in term of residence,real,coronavirus dundee student told to isolate after suspected covid outbreak in hall of residence
• a patient with schizophrenia possibly vulnerable to coronavirus virus drjlieberman,real,what make patient with schizophrenia so vulnerable to coronavirus via drjlieberman
advice about coronavirus prevention and treatment allegedly （ stanford engineering,fake,advice about coronavirus prevention and remedy allegedly from stanford hospital
2019 california arab camel racing legends tribute the world in photo sept,fake,latest california fire camel racing coronavirus tribute the world in photo sept
