"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
0.0,191.0,0.0,0.36310267448425293,"indiafightscorona [[nearly]] of the [[total]] [[case]] are being [[contributed]] by five [[state]] viz maharashtra andhra pradesh [[tamil]] nadu karnataka and uttar pradesh staysafe indiawillwin",0.0,0.3877396583557129,"indiafightscorona [[intimately]] of the [[add]] [[lawsuit]] are being [[lead]] by five [[DoS]] viz maharashtra andhra pradesh [[Tamil]] nadu karnataka and uttar pradesh staysafe indiawillwin","Failed"
1.0,118.0,1.0,0.3834155201911926,"this [[video]] [[show]] [[dead]] coronavirus victim [[amassed]] in the bergamo or [[brescia]] hospital",1.0,0.4362119436264038,"this [[television]] [[shew]] [[abruptly]] coronavirus victim [[hoard]] in the bergamo or [[Brescia]] hospital","Failed"
1.0,212.0,1.0,0.3806765079498291,"the obama administration [[made]] a [[decision]] on [[testing]] that turned out to be very [[detrimental]] to what we re doing on the coronavirus",1.0,0.4164259433746338,"the obama administration [[hit]] a [[conclusion]] on [[screen]] that turned out to be very [[prejudicial]] to what we re doing on the coronavirus","Failed"
1.0,147.0,1.0,0.35865646600723267,"andrés fabián hurtado the mayor of ibagué [[say]] his city [[lost]] four [[million]] [[job]] [[due]] to the coronavirus",1.0,0.41859298944473267,"andrés fabián hurtado the mayor of ibagué [[enounce]] his city [[preoccupied]] four [[jillion]] [[occupation]] [[imputable]] to the coronavirus","Failed"
1.0,78.0,1.0,0.3882462978363037,"the chinese [[government]] [[announced]] that garlic is a [[preventative]] [[food]] for the the novel coronavirus",1.0,0.4129447937011719,"the chinese [[authorities]] [[foretell]] that garlic is a [[prophylactic]] [[nutrient]] for the the novel coronavirus","Failed"
0.0,341.0,0.0,0.3846144676208496,"a [[small]] fraction of death in longterm [[care]] facility are staff member nonetheless researcher estimate that by [[year]] s [[end]] covid will [[make]] working in an ltc facility the most dangerous job in america in",1.0,0.5387848615646362,"a [[belittled]] fraction of death in longterm [[guardianship]] facility are staff member nonetheless researcher estimate that by [[twelvemonth]] s [[oddment]] covid will [[pee-pee]] working in an ltc facility the most dangerous job in america in","Successful"
0.0,369.0,0.0,0.3497595191001892,"we ve now passed day without community transmission but [[testing]] remains [[one]] of the [[best]] [[way]] to ensure there s no undetected community transmission in new [[zealand]] we [[need]] everyone to play their part in that",1.0,0.5910210609436035,"we ve now passed day without community transmission but [[examination]] remains [[unitary]] of the [[trump]] [[agency]] to ensure there s no undetected community transmission in new [[Sjaelland]] we [[pauperism]] everyone to play their part in that","Successful"
0.0,197.0,0.0,0.3660975694656372,"coronavirusupdates covid india tracker a on september am confirmed [[case]] [[recovered]] active [[case]] deaths indiafightscorona indiawillwin staysafe via mohfw [[india]]",0.0,0.3912653923034668,"coronavirusupdates covid india tracker a on september am confirmed [[font]] [[find]] active [[suit]] deaths indiafightscorona indiawillwin staysafe via mohfw [[Bharat]]","Failed"
1.0,142.0,1.0,0.4407666325569153,"ministry of ayush govt of india suggested the use of homeopathic medicine arsenicum album for it possible role in preventing covid infection [[said]] dr anil khurana director general central council for research in homoeopathy health phdcci healthcare mohfw india",0.0,0.570957601070404,"ministry of ayush govt of india suggested the use of homeopathic medicine arsenicum album for it possible role in preventing covid infection [[read]] dr anil khurana director general central council for research in homoeopathy health phdcci healthcare mohfw india","Successful"
1.0,145.0,1.0,0.3761100769042969,"putin ha [[stated]] russian citizen have [[option]] [[stay]] home for day or in [[jail]] for [[year]]",1.0,0.4303578734397888,"putin ha [[tell]] russian citizen have [[pick]] [[stick]] home for day or in [[poky]] for [[class]]","Failed"
1.0,81.0,1.0,0.3431055545806885,"[[g]] is the [[cause]] of the coronavirus pandemic",1.0,0.41333746910095215,"[[chiliad]] is the [[reason]] of the coronavirus pandemic","Failed"
0.0,194.0,0.0,0.3699836730957031,"coronavirusupdates [[indias]] covid recovery [[rate]] [[improves]] to a on [[september]] [[steady]] improvement in indias covid recovery [[rate]] since lockdown [[initiation]] on [[march]] indiafightscorona icmrdelhi via mohfw [[india]]",0.0,0.38492000102996826,"coronavirusupdates [[Bharat]] covid recovery [[value]] [[improve]] to a on [[Sep]] [[unfluctuating]] improvement in indias covid recovery [[value]] since lockdown [[founding]] on [[edge]] indiafightscorona icmrdelhi via mohfw [[Bharat]]","Failed"
0.0,95.0,0.0,0.38837194442749023,"this morning who directorgeneral dr tedros ha [[emphasised]] that while a number of vaccine are in clinical trial there is currently no silver bullet for covid",1.0,0.524914026260376,"this morning who directorgeneral dr tedros ha [[accent]] that while a number of vaccine are in clinical trial there is currently no silver bullet for covid","Successful"
1.0,16.0,1.0,0.36656123399734497,"there ha been a pandemic every [[year]]",1.0,0.3711109161376953,"there ha been a pandemic every [[class]]","Failed"
0.0,329.0,0.0,0.3766079545021057,"indiafightscorona india scale yet another [[peak]] record alltime [[high]] of daily testing for the [[first]] time more than [[lakh]] covid [[test]] conducted in the [[last]] hr",0.0,0.4000920057296753,"indiafightscorona india scale yet another [[elevation]] record alltime [[highschool]] of daily testing for the [[kickoff]] time more than [[100000]] covid [[exam]] conducted in the [[lowest]] hr","Failed"
1.0,116.0,1.0,0.38324403762817383,"[[trump]] claim speaker nancy pelosi [[deleted]] a tweet about her [[visit]] to chinatown in february",1.0,0.42599332332611084,"[[trumpet]] claim speaker nancy pelosi [[blue-pencil]] a tweet about her [[chatter]] to chinatown in february","Failed"
1.0,59.0,1.0,0.38418930768966675,"[[channel]] s jon [[snow]] is [[infected]] with coronavirus",1.0,0.4245089888572693,"[[canalize]] s jon [[C]] is [[taint]] with coronavirus","Failed"
0.0,283.0,0.0,0.36530500650405884,"if [[maryland]] [[continues]] to stayathome projection [[show]] lowtomoderate probability of hospital overload in the [[next]] month if distancing is [[relaxed]] there is a [[potential]] for over [[k]] [[hospitalization]] overwhelming the system by [[april]] [[learn]] more at",0.0,0.38964009284973145,"if [[MD]] [[extend]] to stayathome projection [[evince]] lowtomoderate probability of hospital overload in the [[future]] month if distancing is [[slack]] there is a [[likely]] for over [[G]] [[hospitalisation]] overwhelming the system by [[Apr]] [[watch]] more at","Failed"
1.0,169.0,1.0,0.40350139141082764,"msnbc actually said on [[air]] i [[hope]] [[enough]] people [[die]] from coronavirus that it [[harm]] trump s reelection",1.0,0.43003594875335693,"msnbc actually said on [[beam]] i [[promise]] [[plenty]] people [[conk]] from coronavirus that it [[hurt]] trump s reelection","Failed"
1.0,174.0,1.0,0.39806681871414185,"[[news]] [[first]] [[people]] to receive russian coronavirus vaccine now able to run m in under ten [[second]]",0.0,0.5057718753814697,"[[tidings]] [[outset]] [[multitude]] to receive russian coronavirus vaccine now able to run m in under ten [[arcsecond]]","Successful"
1.0,230.0,1.0,0.3833819031715393,"hydroxychloroquine [[treatment]] [[cure]] this [[full]] [[stop]] we dont need a vaccine if they push an untested vaccine early or if they push stay at home until we have a vaccine then this is not about the virus",0.0,0.5013012886047363,"hydroxychloroquine [[discourse]] [[heal]] this [[broad]] [[closure]] we dont need a vaccine if they push an untested vaccine early or if they push stay at home until we have a vaccine then this is not about the virus","Successful"
