"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
0.0,287.0,0.0,0.26894766092300415,"our <font color = red>daily</font> <font color = red>update</font> is published <font color = red>state</font> <font color = red>reported</font> 734k test <font color = red>39k</font> new case and death current <font color = red>hospitalization</font> fell below 30k for the first time since june",1.0,0.587137758731842,"our <font color = green>news</font> <font color = green>news</font> is published <font color = green>hospital</font> <font color = green>claimed</font> 734k test <font color = green>39ks</font> new case and death current <font color = green>hospitalstay</font> fell below 30k for the first time since june","Successful"
1.0,97.0,1.0,0.2726249694824219,"<font color = green>alfalfa</font> is the only <font color = green>cure</font> for covid",0.0,0.5084488391876221,".<font color = red>lfgrowth</font> is the only <font color = red>normal</font> for covid","Successful"
1.0,308.0,1.0,0.0,"<font color = green>president</font> <font color = green>trump</font> <font color = green>asked</font> what he would do if he were to <font color = green>catch</font> the <font color = green>coronavirus</font> <font color = green>donaldtrump</font> <font color = green>coronavirus</font>",1.0,0.2779422998428345,"<font color = green>we</font> <font color = green>our</font> <font color = green>question</font> what he would do if he were to <font color = green>contact</font> the <font color = green>coronagovernor</font> <font color = green>donaldtrum</font>, <font color = green>corona</font>...","Failed"
0.0,251.0,0.0,0.2689782381057739,"state <font color = red>reported</font> death we are still seeing a solid national <font color = red>decline</font> death <font color = red>reporting</font> lag approximately <font color = red>day</font> from symptom onset according to cdc model that consider lag in symptom time in hospital and the death <font color = red>reporting</font> process",1.0,0.5899181365966797,"state <font color = green>said</font> death we are still seeing a solid national <font color = green>government</font> death <font color = green>tally</font> lag approximately <font color = green>days</font> from symptom onset according to cdc model that consider lag in symptom time in hospital and the death <font color = green>count</font> process","Successful"
0.0,120.0,0.0,0.2700693607330322,"this is the sixth time a global health emergency ha been declared under the international health regulation but it is easily the most <font color = red>severe</font> <font color = red>drtedros</font>",1.0,0.5507749319076538,"this is the sixth time a global health emergency ha been declared under the international health regulation but it is easily the most <font color = green>so</font> <font color = green>drafto</font>","Successful"
0.0,1.0,1.0,0.7118397951126099,"low vitamind wa an independent predictor of worse prognosis in patient with covid",1.0,0.7118397951126099,"low vitamind wa an independent predictor of worse prognosis in patient with covid","Skipped"
0.0,260.0,0.0,0.2689563035964966,"a common <font color = red>question</font> why are the <font color = red>cumulative</font> outcome number smaller than the current outcome number a most state <font color = red>report</font> current but a few state <font color = red>report</font> <font color = red>cumulative</font> they are apple and orange and we dont feel comfortable filling in state cumulative box with current s",1.0,0.5631121397018433,"a common <font color = green>round</font> why are the <font color = green>student</font> outcome number smaller than the current outcome number a most state <font color = green>tally</font> current but a few state <font color = green>claim</font> <font color = green>because</font> they are apple and orange and we dont feel comfortable filling in state cumulative box with current s","Successful"
0.0,63.0,0.0,0.3693719506263733,"the government should consider bringing in any new national lockdown <font color = red>rule</font> over christmas rather than now say an oxford university professor",1.0,0.5230367183685303,"the government should consider bringing in any new national lockdown <font color = green>rules</font> over christmas rather than now say an oxford university professor","Successful"
0.0,359.0,0.0,0.2689436674118042,"our <font color = red>daily</font> <font color = red>update</font> is published we ve now <font color = red>tracked</font> more than million test up 119k from <font color = red>yesterday</font> thats the smallest <font color = red>reported</font> <font color = red>increase</font> since april note that we can only track test that a state <font color = red>report</font> and not all state report all test see",1.0,0.5609265565872192,"our <font color = green>news</font> <font color = green>news</font> is published we ve now <font color = green>got</font> more than million test up 119k from <font color = green>an</font> thats the smallest <font color = green>count</font> <font color = green>improvement</font> since april note that we can only track test that a state <font color = green>count</font> and not all state report all test see","Successful"
0.0,298.0,0.0,0.26900672912597656,"<font color = red>breakdown</font> of <font color = red>testing</font> air crew hotel health <font color = red>staff</font> in the <font color = red>facility</font> former hotel guest exempted individual who <font color = red>returned</font> negative <font color = red>test</font> and there are over current guest in the novotel who were swabbed on tuesday wednesday their result were negative",1.0,0.5302064418792725,"<font color = green>that</font> of <font color = green>check</font> air crew hotel health <font color = green>floor</font> in the <font color = green>hospital</font> former hotel guest exempted individual who <font color = green>got</font> negative <font color = green>check</font> and there are over current guest in the novotel who were swabbed on tuesday wednesday their result were negative","Successful"
