"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
1.0,66.0,1.0,0.2921715974807739,"some movies are repellent but still fascinating  pulp fiction  others are simply [[boring]]  this movie has an almost unique feature of being both utterly repellent and totally boring  by the end i didn t care about any of the characters  i just wanted all of them dead so i could get out of the theatre ",0.0,0.7160912752151489,"some movies are repellent but still fascinating  pulp fiction  others are simply [[interesting]]  this movie has an almost unique feature of being both utterly repellent and totally boring  by the end i didn t care about any of the characters  i just wanted all of them dead so i could get out of the theatre ","Successful"
1.0,61.0,1.0,0.2692874073982239,"at [[least]] the jingle by tim finn was melodic  roberts is the his usual inept self  characters are inconsistent  dull  [[purposeless]]  roberts [[changes]] his accent even within one line ",1.0,0.2798275351524353,"at [[most]] the jingle by tim finn was melodic  roberts is the his usual inept self  characters are inconsistent  dull  [[john]]  roberts [[changed]] his accent even within one line ","Failed"
0.0,196.0,0.0,0.2691277265548706,"while it certainly wasn t the best movie i ve ever [[seen]]  it was [[certainly]] worth the     which can t be said for many [[movies]] these days br  br  this was a [[pleasant]] account of a true story  although many of the [[details]] of the real story were twisted for the [[movie]]   ie  billy sunday s character was three or four [[people]] in the [[real]] [[story]] combined together  robert deniro was of course [[good]]  and cuba gooding  jr  was [[also]] impressive ",0.0,0.364482045173645,"while it certainly wasn t the best movie i ve ever [[saw]]  it was [[hardly]] worth the     which can t be said for many [[films]] these days br  br  this was a [[short]] account of a true story  although many of the [[rest]] of the real story were twisted for the [[make]]   ie  billy sunday s character was three or four [[persons]] in the [[actual]] [[tale]] combined together  robert deniro was of course [[reliable]]  and cuba gooding  jr  was [[relatively]] impressive ","Failed"
1.0,83.0,1.0,0.2698342800140381,"ok we have a film that some are calling one of the best movies ever but i m sitting here thinking hell the f  the storys sux  which there is no story  the diolouge is quite plain  artisticly nothing great  and the acting is [[nothing]] real out standing  so if you want to pretend to be arty say you like it  but if you have a real view say you don t like it or if you did explain why ",0.0,0.6765210032463074,"ok we have a film that some are calling one of the best movies ever but i m sitting here thinking hell the f  the storys sux  which there is no story  the diolouge is quite plain  artisticly nothing great  and the acting is [[something]] real out standing  so if you want to pretend to be arty say you like it  but if you have a real view say you don t like it or if you did explain why ","Successful"
0.0,247.0,0.0,0.2690686583518982,"i went into a screening of  [[sister]] helen  at the sundance film festival and did not [[know]] what to expect br  br  i was riveted by the [[people]] in this documentary  sister helen is an [[incredible]] character  the [[filmmakers]] captured the essence of sister helen s amazing soul and took me into a world unknown  i was thoroughly satisfied by the journey and was completely caught off guard by this film s ending br  br  this film [[speaks]] to those who desire a second chance at life ",1.0,0.5174908638000488,"i went into a screening of  [[aunt]] helen  at the sundance film festival and did not [[catch]] what to expect br  br  i was riveted by the [[scenes]] in this documentary  sister helen is an [[unlikely]] character  the [[filmmaker]] captured the essence of sister helen s amazing soul and took me into a world unknown  i was thoroughly satisfied by the journey and was completely caught off guard by this film s ending br  br  this film [[appears]] to those who desire a second chance at life ","Successful"
1.0,239.0,1.0,0.26899176836013794,"from the nepotism capitol of the world comes another junk flick in a fancy wrapper   cq  tells a lame  disjointed mess of a story which is [[little]] more than a [[bunch]] of silly caricatures  a babe  and straight man davies [[running]] [[around]] trying to make a stupid sci fi flick  i can t [[think]] of any reason [[anyone]] would want to spend time with this [[ridiculous]] attempt at film making   d ",0.0,0.5404634475708008,"from the nepotism capitol of the world comes another junk flick in a fancy wrapper   cq  tells a lame  disjointed mess of a story which is [[considerably]] more than a [[bit]] of silly caricatures  a babe  and straight man davies [[got]] [[home]] trying to make a stupid sci fi flick  i can t [[be]] of any reason [[nobody]] would want to spend time with this [[great]] attempt at film making   d ","Successful"
1.0,154.0,1.0,0.2708478569984436,"this short film doesn t get there  cliche  and not very [[funny]] [[attempt]] at dark humor  humor isn t funny [[enough]] to get you interested and the protagonist isn t likeable so you really don t care about what happens anyway  producer [[spent]] some money on this flop and it shows in the production value which is the only [[saving]] grace ",0.0,0.5794524550437927,"this short film doesn t get there  cliche  and not very [[interesting]] [[laughs]] at dark humor  humor isn t funny [[just]] to get you interested and the protagonist isn t likeable so you really don t care about what happens anyway  producer [[spending]] some money on this flop and it shows in the production value which is the only [[thing]] grace ","Successful"
1.0,62.0,1.0,0.36883312463760376,"this movie about a man on the run for killing a mobster is the kind of film you can watch entirely on fast forward  once you know who s who  and not lose a thing  it has an attractive cast but the plot is a virtual writer s guide to cinema [[cliche]]  and boy does the dialogue clunk ",0.0,0.6285991668701172,"this movie about a man on the run for killing a mobster is the kind of film you can watch entirely on fast forward  once you know who s who  and not lose a thing  it has an attractive cast but the plot is a virtual writer s guide to cinema [[writing]]  and boy does the dialogue clunk ","Successful"
0.0,164.0,0.0,0.26955944299697876,"i m really suprised this [[movie]] didn t get a higher rating on imdb  it s [[one]] of those movies that could [[easily]] get by someone  but for romantic comedy  moonstruck  is [[really]] in a class by itself  it s setting and ethnic charm are things [[people]] seem to [[take]] for granted  the casting alone makes it a nearly [[perfect]] movie  few movies in the   s were as [[good]] as  moonstruck and it s funny too    out of  ",0.0,0.2956404685974121,"i m really suprised this [[thing]] didn t get a higher rating on imdb  it s [[2]] of those movies that could [[probably]] get by someone  but for romantic comedy  moonstruck  is [[probably]] in a class by itself  it s setting and ethnic charm are things [[would]] seem to [[be]] for granted  the casting alone makes it a nearly [[decent]] movie  few movies in the   s were as [[bad]] as  moonstruck and it s funny too    out of  ","Failed"
0.0,161.0,0.0,0.27045315504074097,"first it was jack the ripper  now it is alan [[feinstone]]  the [[crazy]] dentist [[tortures]] [[people]] in horrific ways  quite realistic at [[times]] but some of the acting is abysmal and [[comical]]  [[especially]] from corbin bernson  in some scenes there is dental torture that will [[really]] [[make]] you cringe ",1.0,0.5336283445358276,"first it was jack the ripper  now it is alan [[when]]  the [[psycho]] dentist [[tortured]] [[someone]] in horrific ways  quite realistic at [[random]] but some of the acting is abysmal and [[most]]  [[luckily]] from corbin bernson  in some scenes there is dental torture that will [[totally]] [[eat]] you cringe ","Successful"
0.0,99.0,0.0,0.2694281339645386,"i [[really]] liked this picture  because it realistically dealt with two [[people]] in love  and [[one]] of them having a disorder  though the ending [[saddened]] me  i know that that was the best [[way]] for it to finish off  i would recommed this to everyone ",0.0,0.3049471378326416,"i [[only]] liked this picture  because it realistically dealt with two [[someone]] in love  and [[two]] of them having a disorder  though the ending [[bothered]] me  i know that that was the best [[method]] for it to finish off  i would recommed this to everyone ","Failed"
0.0,140.0,0.0,0.27066314220428467,"reasonably [[effective]] horror science fiction a la  alien  is fairly well done given its limited ambitions  some nice special effects and [[well]] paced action sequences [[adequately]] patch the cracks in the rather tiresome dialogue  when a space craft crash lands on a remote [[planet]] the survivors soon become aware that a hideous terror awaits them in the dark of the upcoming total eclipse ",1.0,0.5189894437789917,"reasonably [[typical]] horror science fiction a la  alien  is fairly well done given its limited ambitions  some nice special effects and [[lightly]] paced action sequences [[too]] patch the cracks in the rather tiresome dialogue  when a space craft crash lands on a remote [[landing]] the survivors soon become aware that a hideous terror awaits them in the dark of the upcoming total eclipse ","Successful"
1.0,111.0,1.0,0.3111024498939514,"slasher sequel  fourth slumber part massacre film  concerns a group of nubile cheerleaders stranded in a mountainous cabin in the snow  being offed by a deranged killer  typical slasher elements for hardcore slasher fans  gore  wonderfully gratuitous female nudity  no plot  though it [[wears]] out its welcome eventually  even at its short length br  br  original star brinke stevens makes a cameo  which only seems to be there for the sake of including her in the movie ",0.0,0.7195169925689697,"slasher sequel  fourth slumber part massacre film  concerns a group of nubile cheerleaders stranded in a mountainous cabin in the snow  being offed by a deranged killer  typical slasher elements for hardcore slasher fans  gore  wonderfully gratuitous female nudity  no plot  though it [[goes]] out its welcome eventually  even at its short length br  br  original star brinke stevens makes a cameo  which only seems to be there for the sake of including her in the movie ","Successful"
