"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
1.0,50.0,1.0,0.3525107502937317,"alfalfa is the only [[cure]] for covid",0.0,0.5123652219772339,"alfalfa is the only [[progression]] for covid","Successful"
1.0,328.0,1.0,0.3793051242828369,"president [[trump]] [[asked]] what he [[would]] do if he were to [[catch]] the [[coronavirus]] [[donaldtrump]] [[coronavirus]]",1.0,0.4094773530960083,"president [[these]] [[stated]] what he [[must]] do if he were to [[sting]] the [[coronaworm]] [[donaldtrumpen]] [[coronasyndrome]]","Failed"
0.0,56.0,0.0,0.42611438035964966,"[[low]] vitamind wa an independent predictor of worse prognosis in patient with covid",1.0,0.5083965063095093,"[[not]] vitamind wa an independent predictor of worse prognosis in patient with covid","Successful"
1.0,235.0,1.0,0.36055296659469604,"[[say]] the coronavirus aid [[relief]] and [[economic]] security [[act]] [[give]] member of congress a pay increase",0.0,0.5035165548324585,"[[what]] the coronavirus aid [[program]] and [[regional]] security [[acts]] [[provide]] member of congress a pay increase","Successful"
1.0,137.0,1.0,0.39802074432373047,"[[kid]] reach f [[k]] this shit stage of [[lockdown]]",0.0,0.5143434405326843,"[[child]] reach f [[of]] this shit stage of [[lock]]:","Successful"
1.0,108.0,1.0,0.38710731267929077,"household should have required medical [[kit]] with certain item and equipment to [[treat]] the different stage of covid",0.0,0.5239335894584656,"household should have required medical [[help]] with certain item and equipment to [[manage]] the different stage of covid","Successful"
0.0,1.0,1.0,0.5436654090881348,"icu are full forcing covid patient to wait hour and hoursto admit to the emergency room",1.0,0.5436654090881348,"icu are full forcing covid patient to wait hour and hoursto admit to the emergency room","Skipped"
1.0,62.0,1.0,0.41474831104278564,"brazil health [[minister]] say case with no confirmation of covid wont be considered on death toll",0.0,0.5080528259277344,"brazil health [[of]] say case with no confirmation of covid wont be considered on death toll","Successful"
1.0,60.0,1.0,0.37550413608551025,"govt ha added [[corona]] disease in all existing mediclaim insurance a a special case covid 2019india",0.0,0.5074300765991211,"govt ha added [[to]] disease in all existing mediclaim insurance a a special case covid 2019india","Successful"
1.0,97.0,1.0,0.3609282374382019,"the gate [[foundation]] ha the [[patent]] for this coronavirus",0.0,0.5195131897926331,"the gate [[groups]] ha the [[np]] for this coronavirus","Successful"
