"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
1.0,33.0,1.0,0.3003564476966858,"you will get reinfected with covid if you eat [[sugar]] drink cold water or take a shower at night",0.0,0.6586668491363525,"you will get reinfected with covid if you eat [[insulin]] drink cold water or take a shower at night","Successful"
0.0,200.0,0.0,0.2689478397369385,"on the ncdc directly contacted a twitter user who mentioned his friend who returned from [[uk]] had runny nose but could not reach authority for [[testing]] within hour of communication with u via dm a [[sample]] wa [[collected]] we re [[committed]] to doing our best",0.0,0.31893986463546753,"on the ncdc directly contacted a twitter user who mentioned his friend who returned from [[ying]] had runny nose but could not reach authority for [[essays]] within hour of communication with u via dm a [[levies]] wa [[levied]] we re [[betrothed]] to doing our best","Failed"
0.0,180.0,0.0,0.26898956298828125,"coronavirusupdates [[state]] [[contribute]] of [[total]] covid case of active [[case]] and of total fatality [[reported]] in india",1.0,0.5131991505622864,"coronavirusupdates [[statehood]] [[pomoc]] of [[utterly]] covid case of active [[matter]] and of total fatality [[alluded]] in india","Successful"
1.0,61.0,1.0,0.2689588665962219,"[[local]] [[man]] appoints himself world s foremost expert on coronavirus",0.0,0.7074594497680664,"[[regional]] [[mating]] appoints himself world s foremost expert on coronavirus","Successful"
1.0,200.0,1.0,0.2689633369445801,"tablik jamaat [[chief]] maulana saad if [[people]] [[get]] coronavirus [[india]] will be [[destroyed]] the country will be in our [[possession]]",1.0,0.41269516944885254,"tablik jamaat [[captains]] maulana saad if [[populations]] [[learn]] coronavirus [[chennai]] will be [[destroyer]] the country will be in our [[cardholder]]","Failed"
1.0,101.0,1.0,0.26897096633911133,"a record new infection have been reported in [[india]] in a single day which take the country s total confirmed case over five lakh in view of the rising number of infection jharkhand [[government]] extends [[lockdown]] [[till]] [[july]] covid  coronavirusfacts",0.0,0.7238641977310181,"a record new infection have been reported in [[mumbai]] in a single day which take the country s total confirmed case over five lakh in view of the rising number of infection jharkhand [[governance]] extends [[committal]] [[afterwards]] [[sept]] covid  coronavirusfacts","Successful"
0.0,200.0,0.0,0.26894545555114746,"today is a [[significant]] [[milestone]] a we announce that the last [[active]] case of covid in new zealand ha recovered this mean there are now active [[case]] in new zealand thank you for staying home playing it safe and for [[supporting]] those fighting the virus",0.0,0.28796595335006714,"today is a [[prodigious]] [[ballpark]] a we announce that the last [[affirmative]] case of covid in new zealand ha recovered this mean there are now active [[lawsuits]] in new zealand thank you for staying home playing it safe and for [[pomoc]] those fighting the virus","Failed"
1.0,63.0,1.0,0.30768322944641113,"year ago [[published]] a study on chloroquine it is effective against covid",0.0,0.6594937443733215,"year ago [[deployments]] a study on chloroquine it is effective against covid","Successful"
0.0,27.0,0.0,0.2734954357147217,"offering essential cancer [[care]] in the new normal of coronavirus",1.0,0.5304825901985168,"offering essential cancer [[zorg]] in the new normal of coronavirus","Successful"
0.0,177.0,0.0,0.26897841691970825,"[[since]] coronavirus there [[ha]] been a [[drop]] in [[pediatric]] [[ed]] [[visit]] [[td]] is among the most [[commonly]] delayed [[diagnosis]]",1.0,0.5338423252105713,"[[because]] coronavirus there [[haya]] been a [[chute]] in [[infantile]] [[und]] [[tourist]] [[ct]] is among the most [[historically]] delayed [[diagnostic]]","Successful"
