"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
1.0,114.0,1.0,0.26898646354675293,"oh really [[meat]] packing [[plant]] are unhealthy asks [[smug]] [[ghost]] of upton sinclair newsinphoto meatpacking covid",0.0,0.6463316679000854,"oh really [[braised]] packing [[facility]] are unhealthy asks [[condescension]] [[spectrum]] of upton sinclair newsinphoto meatpacking covid","Successful"
1.0,119.0,1.0,0.2995271682739258,"the overall lethality of covid infection fatality rate is about to and thus in the range of a severe influenza up to of all person may already have a certain cellular background immunity to the new coronavirus due to contact with previous coronaviruses i e cold virus there is still little to no scientific evidence for the effectiveness of [[cloth]] face [[mask]] in healthy and asymptomatic individual",0.0,0.5537993907928467,"the overall lethality of covid infection fatality rate is about to and thus in the range of a severe influenza up to of all person may already have a certain cellular background immunity to the new coronavirus due to contact with previous coronaviruses i e cold virus there is still little to no scientific evidence for the effectiveness of [[fabric]] face [[cache]] in healthy and asymptomatic individual","Successful"
0.0,310.0,0.0,0.2689497470855713,"indiafightscorona [[state]] ut [[account]] for [[nearly]] of the new [[recovered]] [[case]] [[maharashtra]] [[ha]] [[maintained]] this [[lead]] with [[new]] [[recovery]]",0.0,0.4042545557022095,"indiafightscorona [[statehood]] ut [[bookkeeper]] for [[scarcely]] of the new [[salvaged]] [[lawsuit]] [[lucknow]] [[haya]] [[deductions]] this [[steers]] with [[roman]] [[payback]]","Failed"
0.0,536.0,0.0,0.2689502239227295,"indiafightscorona [[india]] s per [[day]] [[testing]] [[capacity]] [[ha]] [[crossed]] lakh [[test]] [[test]] were conducted in the [[last]] hour the weekly [[average]] [[test]] [[have]] [[multiplied]] by more than [[time]] [[since]] the first [[week]] of [[january]] staysafe indiawillwin",1.0,0.5944699645042419,"indiafightscorona [[bollywood]] s per [[dag]] [[exam]] [[prerogatives]] [[haya]] [[crucifix]] lakh [[checkups]] [[essay]] were conducted in the [[ultima]] hour the weekly [[medium]] [[assay]] [[haya]] [[magnify]] by more than [[tiempo]] [[unless]] the first [[chau]] of [[nov]] staysafe indiawillwin","Successful"
1.0,64.0,1.0,0.2706206440925598,"[[man]] ha gone to live in parallel [[universe]] alcohol coronavirus whisky",0.0,0.6745144128799438,"[[homme]] ha gone to live in parallel [[global]] alcohol coronavirus whisky","Successful"
0.0,358.0,0.0,0.2689448595046997,"[[state]] [[reported]] more than k [[case]] [[today]] and k [[case]] yesterday the highest number we ve [[seen]] since may mississippi hasn t updated it [[number]] in two day so we expect we re [[missing]] [[case]] there [[based]] on their previous update",1.0,0.5187348127365112,"[[nationals]] [[said]] more than k [[prosecutions]] [[sonntag]] and k [[prosecutions]] yesterday the highest number we ve [[construed]] since may mississippi hasn t updated it [[numerals]] in two day so we expect we re [[gone]] [[litigation]] there [[baze]] on their previous update","Successful"
0.0,447.0,0.0,0.268947958946228,"indiafightscorona of the new [[recovered]] [[case]] are being [[reported]] from ten [[state]] ut [[maharashtra]] [[continues]] to [[lead]] with more than new [[recovered]] [[patient]] andhra [[pradesh]] [[contributed]] more than to the [[single]] [[day]] [[recovery]]",0.0,0.26978927850723267,"indiafightscorona of the new [[extract]] [[phenomenon]] are being [[spoken]] from ten [[countries]] ut [[shivaji]] [[nonstop]] to [[culminate]] with more than new [[retrieval]] [[sufferers]] andhra [[bhopal]] [[succour]] more than to the [[unattached]] [[zi]] [[recapture]]","Failed"
0.0,187.0,0.0,0.26895302534103394,"cdc and google remind you that wearing cloth [[face]] covering in public [[setting]] can [[help]] slowthespread of covid [[learn]] more about cloth face covering",1.0,0.6202405691146851,"cdc and google remind you that wearing cloth [[frente]] covering in public [[fixing]] can [[succour]] slowthespread of covid [[got]] more about cloth face covering","Successful"
1.0,126.0,1.0,0.2689507007598877,"the viral text message [[claim]] that the chemical substance methylxanthines required to cure covid can be found in tea dr li wenliang had found this [[cure]] while researching about coronavirus before his death",0.0,0.5037320852279663,"the viral text message [[stating]] that the chemical substance methylxanthines required to cure covid can be found in tea dr li wenliang had found this [[resource]] while researching about coronavirus before his death","Successful"
0.0,422.0,0.0,0.26894432306289673,"over [[worker]] in meat and poultry [[processing]] [[facility]] in state were infected with covid in [[april]] and may learn more about infection among [[worker]] at meat and poultry [[processing]] [[facility]] and step [[facility]] can [[take]] to [[slow]] the [[spread]]",1.0,0.6065599918365479,"over [[carver]] in meat and poultry [[metamorphosis]] [[vegetative]] in state were infected with covid in [[juli]] and may learn more about infection among [[earners]] at meat and poultry [[metamorphosis]] [[factory]] and step [[installs]] can [[toma]] to [[sluggish]] the [[aired]]","Successful"
