"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
1.0,165.0,1.0,0.368472158908844,"oh [[really]] meat packing [[plant]] are unhealthy [[asks]] smug [[ghost]] of upton sinclair newsinphoto meatpacking covid",1.0,0.37997299432754517,"oh [[real]] meat packing [[implant]] are unhealthy [[expect]] smug [[trace]] of upton sinclair newsinphoto meatpacking covid","Failed"
1.0,376.0,1.0,0.3173636794090271,"the overall lethality of covid infection fatality rate is about to and thus in the [[range]] of a [[severe]] [[influenza]] up to of all person may already have a certain cellular background [[immunity]] to the new coronavirus due to contact with previous coronaviruses i e cold virus there is still little to no scientific evidence for the effectiveness of cloth face [[mask]] in [[healthy]] and asymptomatic [[individual]]",0.0,0.5019056797027588,"the overall lethality of covid infection fatality rate is about to and thus in the [[pasture]] of a [[knockout]] [[grippe]] up to of all person may already have a certain cellular background [[exemption]] to the new coronavirus due to contact with previous coronaviruses i e cold virus there is still little to no scientific evidence for the effectiveness of cloth face [[dissemble]] in [[sound]] and asymptomatic [[single]]","Successful"
0.0,300.0,0.0,0.3206108808517456,"indiafightscorona [[state]] ut [[account]] for [[nearly]] of the [[new]] [[recovered]] [[case]] maharashtra ha [[maintained]] this [[lead]] with [[new]] [[recovery]]",1.0,0.5159534215927124,"indiafightscorona [[posit]] ut [[chronicle]] for [[nigh]] of the [[newfangled]] [[cured]] [[shell]] maharashtra ha [[conserve]] this [[wind]] with [[unexampled]] [[retrieval]]","Successful"
0.0,341.0,0.0,0.33371126651763916,"indiafightscorona india s per day testing capacity ha [[crossed]] lakh [[test]] [[test]] were [[conducted]] in the [[last]] [[hour]] the weekly average [[test]] have multiplied by more than time since the [[first]] week of january staysafe indiawillwin",0.0,0.3578243851661682,"indiafightscorona india s per day testing capacity ha [[crossbreed]] lakh [[run]] [[run]] were [[impart]] in the [[lowest]] [[hr]] the weekly average [[run]] have multiplied by more than time since the [[outset]] week of january staysafe indiawillwin","Failed"
1.0,163.0,1.0,0.3363177180290222,"[[man]] ha [[gone]] to live in parallel [[universe]] alcohol coronavirus whisky",0.0,0.5441114902496338,"[[valet]] ha [[exit]] to live in parallel [[macrocosm]] alcohol coronavirus whisky","Successful"
0.0,540.0,0.0,0.3367064595222473,"[[state]] reported more than k [[case]] [[today]] and k [[case]] yesterday the highest [[number]] we ve [[seen]] since may [[mississippi]] hasn t updated it [[number]] in two day so we expect we re missing [[case]] there [[based]] on their previous update",0.0,0.3997918367385864,"[[country]] reported more than k [[subject]] [[now]] and k [[subject]] yesterday the highest [[act]] we ve [[attend]] since may [[MS]] hasn t updated it [[routine]] in two day so we expect we re missing [[subject]] there [[found]] on their previous update","Failed"
0.0,354.0,0.0,0.32913535833358765,"indiafightscorona of the new [[recovered]] [[case]] are being reported from [[ten]] [[state]] [[ut]] maharashtra [[continues]] to [[lead]] with more than new recovered patient andhra pradesh [[contributed]] more than to the [[single]] day recovery",0.0,0.3705543875694275,"indiafightscorona of the new [[find]] [[subject]] are being reported from [[tenner]] [[country]] [[doh]] maharashtra [[extend]] to [[conduct]] with more than new recovered patient andhra pradesh [[lead]] more than to the [[1]] day recovery","Failed"
0.0,269.0,0.0,0.325439989566803,"cdc and google remind you that wearing cloth face covering in public [[setting]] can help slowthespread of covid [[learn]] more about cloth face covering",1.0,0.5130147337913513,"cdc and google remind you that wearing cloth face covering in public [[jell]] can help slowthespread of covid [[larn]] more about cloth face covering","Successful"
1.0,286.0,1.0,0.38381123542785645,"the viral text message claim that the chemical [[substance]] methylxanthines [[required]] to cure covid can be found in tea dr [[li]] wenliang had found this [[cure]] while researching about coronavirus before his death",1.0,0.4001957178115845,"the viral text message claim that the chemical [[message]] methylxanthines [[ask]] to cure covid can be found in tea dr [[lithium]] wenliang had found this [[curative]] while researching about coronavirus before his death","Failed"
0.0,420.0,0.0,0.30711984634399414,"over worker in [[meat]] and poultry [[processing]] [[facility]] in [[state]] were [[infected]] with covid in april and may [[learn]] more about infection among [[worker]] at [[meat]] and poultry processing facility and [[step]] facility can take to [[slow]] the [[spread]]",1.0,0.5339617729187012,"over worker in [[pith]] and poultry [[litigate]] [[adroitness]] in [[land]] were [[septic]] with covid in april and may [[larn]] more about infection among [[proletarian]] at [[nitty-gritty]] and poultry processing facility and [[ill-treat]] facility can take to [[dull]] the [[ranch]]","Successful"
