"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
0.0,498.0,0.0,0.39732593297958374,"our [[daily]] [[update]] is [[published]] [[state]] reported [[734k]] test [[39k]] new case and [[death]] current [[hospitalization]] [[fell]] below [[30k]] for the first time since june",0.0,0.44540709257125854,"our [[weekly]] [[standard]] is [[in]] [[standard]] reported [[734ka]] test [[39κ]] new case and [[birth]] current [[hospitalile]] [[lost]] below [[30]], for the first time since june","Failed"
1.0,50.0,1.0,0.3525106906890869,"alfalfa is the only [[cure]] for covid",0.0,0.5123651623725891,"alfalfa is the only [[progression]] for covid","Successful"
1.0,328.0,1.0,0.3793051242828369,"president [[trump]] [[asked]] what he [[would]] do if he were to [[catch]] the [[coronavirus]] [[donaldtrump]] [[coronavirus]]",1.0,0.4094773530960083,"president [[these]] [[stated]] what he [[must]] do if he were to [[sting]] the [[coronaworm]] [[donaldtrumpen]] [[coronasyndrome]]","Failed"
0.0,500.0,0.0,0.4021363854408264,"this is the [[sixth]] [[time]] a global [[health]] [[emergency]] [[ha]] been [[declared]] under the [[international]] health [[regulation]] but it is [[easily]] the most [[severe]] drtedros",0.0,0.4381521940231323,"this is the [[new]] [[school]] a global [[so]] [[situation]] [[church]] been [[already]] under the [[iso]] health [[competition]] but it is [[in]] the most [[and]] drtedros","Failed"
0.0,56.0,0.0,0.4261143207550049,"[[low]] vitamind wa an independent predictor of worse prognosis in patient with covid",1.0,0.5083963871002197,"[[not]] vitamind wa an independent predictor of worse prognosis in patient with covid","Successful"
0.0,62.0,0.0,0.44018930196762085,"the government should consider bringing in any new national lockdown rule over christmas rather than now say an [[oxford]] university professor",1.0,0.5045261979103088,"the government should consider bringing in any new national lockdown rule over christmas rather than now say an [[sorry]] university professor","Successful"
1.0,106.0,1.0,0.35013365745544434,"a [[photo]] show a yearold [[vaccine]] for canine coronavirus that could be used to prevent the new coronavirus causing covid",0.0,0.5277935266494751,"a [[an]] show a yearold [[strategy]] for canine coronavirus that could be used to prevent the new coronavirus causing covid","Successful"
1.0,235.0,1.0,0.36055296659469604,"[[say]] the coronavirus aid [[relief]] and [[economic]] security [[act]] [[give]] member of congress a pay increase",0.0,0.5035164952278137,"[[what]] the coronavirus aid [[program]] and [[regional]] security [[acts]] [[provide]] member of congress a pay increase","Successful"
1.0,137.0,1.0,0.3980206847190857,"[[kid]] reach f [[k]] this shit stage of [[lockdown]]",0.0,0.5143433213233948,"[[child]] reach f [[of]] this shit stage of [[lock]]:","Successful"
1.0,108.0,1.0,0.38710731267929077,"household should have required medical [[kit]] with certain item and equipment to [[treat]] the different stage of covid",0.0,0.5239335894584656,"household should have required medical [[help]] with certain item and equipment to [[manage]] the different stage of covid","Successful"
1.0,192.0,1.0,0.3808184862136841,"an [[image]] of a man carrying his old [[mother]] on his back [[show]] [[migrant]] travelling to their home in india amidst lockdown",0.0,0.5477290749549866,"an [[a]] of a man carrying his old [[back]] on his back [[programme]] [[return]] travelling to their home in india amidst lockdown","Successful"
0.0,249.0,0.0,0.3960488438606262,"about of population may be [[infected]] and have [[antibody]] the vast majority of people are still [[vulnerable]] to the disease [[say]] sir patrick [[vallance]]",1.0,0.5077639222145081,"about of population may be [[aids]] and have [[it]] the vast majority of people are still [[immune]] to the disease [[peace]] sir patrick [[valpat]]","Successful"
1.0,419.0,1.0,0.37046170234680176,"a [[tweet]] from [[donald]] [[trump]] [[said]] that he would [[never]] let thousand of [[american]] [[die]] from a [[pandemic]] while in [[office]]",1.0,0.4146137237548828,"a [[tweed]] from [[no]] [[boss]] [[and]] that he would [[best]] let thousand of [[asian]] [[died]] from a [[pandemalaria]] while in [[az]]","Failed"
0.0,1.0,1.0,0.5436654090881348,"icu are full forcing covid patient to wait hour and hoursto admit to the emergency room",1.0,0.5436654090881348,"icu are full forcing covid patient to wait hour and hoursto admit to the emergency room","Skipped"
1.0,62.0,1.0,0.41474831104278564,"brazil health [[minister]] say case with no confirmation of covid wont be considered on death toll",0.0,0.5080528259277344,"brazil health [[of]] say case with no confirmation of covid wont be considered on death toll","Successful"
1.0,60.0,1.0,0.37550413608551025,"govt ha added [[corona]] disease in all existing mediclaim insurance a a special case covid 2019india",0.0,0.5074301958084106,"govt ha added [[to]] disease in all existing mediclaim insurance a a special case covid 2019india","Successful"
1.0,97.0,1.0,0.3609282374382019,"the gate [[foundation]] ha the [[patent]] for this coronavirus",0.0,0.5195132493972778,"the gate [[groups]] ha the [[np]] for this coronavirus","Successful"
1.0,380.0,1.0,0.36891502141952515,"[[nashville]] [[man]] think [[world]] is upsidedown but respect that [[world]] [[doesnt]] [[care]] what he think [[coronavirus]]",1.0,0.42367660999298096,"[[song]] [[son]] think [[now]] is upsidedown but respect that [[god]] [[doesn]]: [[let]] what he think [[coronachinese]]","Failed"
1.0,347.0,1.0,0.3863389492034912,"coronavirus found in [[gutkha]] or [[chewing]] [[tobacco]] sample [[sold]] in indian [[state]] of maharashtra a [[raw]] [[material]] [[sourced]] from china",1.0,0.4252225160598755,"coronavirus found in [[gutkar]] or [[tongue]] [[in]] sample [[sell]] in indian [[nadu]] of maharashtra a [[canned]] [[also]] [[canned]] from china","Failed"
1.0,293.0,1.0,0.3614221215248108,"the [[new]] coronavirus [[doe]] not [[settle]] in the [[air]] but is [[grounded]] so it is not [[transmitted]] by air",0.0,0.5284309387207031,"the [[with]] coronavirus [[may]] not [[look]] in the [[order]] but is [[currently]] so it is not [[reported]] by air","Successful"
