"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
1.0,79.0,1.0,0.2921715974807739,"some movies are repellent but still fascinating  pulp fiction  others are simply [[boring]]  this movie has an almost unique feature of being both utterly repellent and totally boring  by the end i didn t care about any of the characters  i just wanted all of them dead so i could get out of the theatre ",0.0,0.7193124294281006,"some movies are repellent but still fascinating  pulp fiction  others are simply [[humdrum]]  this movie has an almost unique feature of being both utterly repellent and totally boring  by the end i didn t care about any of the characters  i just wanted all of them dead so i could get out of the theatre ","Successful"
1.0,269.0,1.0,0.2692874073982239,"at least the [[jingle]] by tim [[finn]] was melodic  [[roberts]] is the his [[usual]] inept [[self]]  [[characters]] are inconsistent  [[dull]]  purposeless  [[roberts]] [[changes]] his [[accent]] even within one [[line]] ",0.0,0.5693386793136597,"at least the [[pub]] by tim [[finland]] was melodic  [[doyle]] is the his [[classic]] inept [[independence]]  [[personalities]] are inconsistent  [[bleak]]  purposeless  [[haines]] [[evolve]] his [[emphasis]] even within one [[pedigree]] ","Successful"
0.0,127.0,0.0,0.2691277265548706,"while it certainly wasn t the best movie i ve ever seen  it was certainly worth the     which can t be said for many movies these days br  br  this was a [[pleasant]] account of a true story  although many of the details of the real story were twisted for the movie   ie  billy sunday s character was three or four people in the real story combined together  robert deniro was of course good  and cuba gooding  jr  was also impressive ",1.0,0.6562941074371338,"while it certainly wasn t the best movie i ve ever seen  it was certainly worth the     which can t be said for many movies these days br  br  this was a [[amiable]] account of a true story  although many of the details of the real story were twisted for the movie   ie  billy sunday s character was three or four people in the real story combined together  robert deniro was of course good  and cuba gooding  jr  was also impressive ","Successful"
1.0,196.0,1.0,0.2698342800140381,"[[ok]] we have a film that some are calling one of the best movies ever but i m [[sitting]] here thinking hell the f  the storys sux  which there is no [[story]]  the diolouge is quite plain  artisticly nothing great  and the acting is nothing [[real]] out [[standing]]  so if you want to [[pretend]] to be arty say you like it  but if you have a real view say you don t like it or if you did explain why ",0.0,0.5017814636230469,"[[accept]] we have a film that some are calling one of the best movies ever but i m [[sit]] here thinking hell the f  the storys sux  which there is no [[histories]]  the diolouge is quite plain  artisticly nothing great  and the acting is nothing [[veritable]] out [[incessant]]  so if you want to [[dramatization]] to be arty say you like it  but if you have a real view say you don t like it or if you did explain why ","Successful"
0.0,137.0,0.0,0.2690686583518982,"i went into a screening of  sister helen  at the sundance film festival and did not know what to expect br  br  i was riveted by the people in this documentary  sister helen is an [[incredible]] character  the filmmakers captured the essence of sister helen s amazing soul and took me into a world unknown  i was thoroughly satisfied by the journey and was completely caught off guard by this film s ending br  br  this film speaks to those who desire a second chance at life ",1.0,0.7240055799484253,"i went into a screening of  sister helen  at the sundance film festival and did not know what to expect br  br  i was riveted by the people in this documentary  sister helen is an [[incomprehensible]] character  the filmmakers captured the essence of sister helen s amazing soul and took me into a world unknown  i was thoroughly satisfied by the journey and was completely caught off guard by this film s ending br  br  this film speaks to those who desire a second chance at life ","Successful"
1.0,512.0,1.0,0.26899176836013794,"from the nepotism capitol of the world comes another [[junk]] flick in a fancy wrapper   cq  tells a lame  disjointed mess of a [[story]] which is [[little]] more than a bunch of silly [[caricatures]]  a babe  and [[straight]] [[man]] [[davies]] [[running]] around trying to [[make]] a [[stupid]] sci [[fi]] [[flick]]  i can t think of any reason anyone would want to [[spend]] [[time]] with this [[ridiculous]] [[attempt]] at [[film]] making   d ",0.0,0.5122228264808655,"from the nepotism capitol of the world comes another [[jingles]] flick in a fancy wrapper   cq  tells a lame  disjointed mess of a [[histories]] which is [[petit]] more than a bunch of silly [[travesty]]  a babe  and [[subsequent]] [[mankind]] [[vaughan]] [[fulfilment]] around trying to [[bring]] a [[imbecile]] sci [[got]] [[movie]]  i can t think of any reason anyone would want to [[go]] [[seasons]] with this [[comical]] [[strives]] at [[filmmakers]] making   d ","Successful"
1.0,162.0,1.0,0.2708478569984436,"this short film doesn t get there  cliche  and not very [[funny]] [[attempt]] at dark humor  humor isn t funny enough to get you interested and the protagonist isn t likeable so you really don t care about what happens anyway  producer spent some money on this [[flop]] and it shows in the production value which is the only saving grace ",0.0,0.5314560532569885,"this short film doesn t get there  cliche  and not very [[hilarious]] [[strives]] at dark humor  humor isn t funny enough to get you interested and the protagonist isn t likeable so you really don t care about what happens anyway  producer spent some money on this [[doldrums]] and it shows in the production value which is the only saving grace ","Successful"
1.0,90.0,1.0,0.36883312463760376,"this movie about a man on the run for killing a mobster is the kind of film you can watch entirely on fast forward  once you know who s who  and not lose a thing  it has an attractive cast but the plot is a virtual writer s guide to cinema cliche  and boy does the dialogue [[clunk]] ",0.0,0.6869074106216431,"this movie about a man on the run for killing a mobster is the kind of film you can watch entirely on fast forward  once you know who s who  and not lose a thing  it has an attractive cast but the plot is a virtual writer s guide to cinema cliche  and boy does the dialogue [[thud]] ","Successful"
0.0,171.0,0.0,0.26955944299697876,"i m really suprised this movie didn t get a higher rating on imdb  it s one of those movies that could easily get by someone  but for romantic comedy  moonstruck  is really in a class by itself  it s [[setting]] and ethnic [[charm]] are things people seem to take for granted  the casting alone makes it a nearly [[perfect]] [[movie]]  few movies in the   s were as good as  moonstruck and it s funny too    out of  ",1.0,0.5453091263771057,"i m really suprised this movie didn t get a higher rating on imdb  it s one of those movies that could easily get by someone  but for romantic comedy  moonstruck  is really in a class by itself  it s [[readjustment]] and ethnic [[enchanting]] are things people seem to take for granted  the casting alone makes it a nearly [[blameless]] [[filmmaking]]  few movies in the   s were as good as  moonstruck and it s funny too    out of  ","Successful"
0.0,84.0,0.0,0.27045315504074097,"first it was jack the ripper  now it is alan feinstone  the crazy dentist tortures people in horrific ways  quite realistic at times but some of the acting is abysmal and [[comical]]  especially from corbin bernson  in some scenes there is dental torture that will really make you cringe ",1.0,0.6947576999664307,"first it was jack the ripper  now it is alan feinstone  the crazy dentist tortures people in horrific ways  quite realistic at times but some of the acting is abysmal and [[preposterous]]  especially from corbin bernson  in some scenes there is dental torture that will really make you cringe ","Successful"
0.0,86.0,0.0,0.2694281339645386,"i [[really]] liked this picture  because it realistically dealt with two people in love  and one of them having a disorder  though the ending saddened me  i know that that was the best way for it to finish off  i would recommed this to everyone ",1.0,0.520621657371521,"i [[awfully]] liked this picture  because it realistically dealt with two people in love  and one of them having a disorder  though the ending saddened me  i know that that was the best way for it to finish off  i would recommed this to everyone ","Successful"
