"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
0.0,111.0,0.0,0.2689692974090576,"[[new]] [[case]] of covidnigeria lagos yo fct river kaduna edo enugu delta niger katsina ebonyi gombe jigawa plateau nassarawa borno kano abia confirmed [[discharged]] death",1.0,0.550391435623169,"[[roman]] [[lawsuit]] of covidnigeria lagos yo fct river kaduna edo enugu delta niger katsina ebonyi gombe jigawa plateau nassarawa borno kano abia confirmed [[discharges]] death","Successful"
1.0,1.0,0.0,0.7291759252548218,"delhipolice please ask your officer to wear mask properly while they fine others for the same covid dtptraffic cpdelhi",0.0,0.7291759252548218,"delhipolice please ask your officer to wear mask properly while they fine others for the same covid dtptraffic cpdelhi","Skipped"
1.0,200.0,1.0,0.2690269947052002,"a [[photo]] of a woman [[lying]] in a hospital bed with medical equipment attached to her body ha been shared hundred of time on [[facebook]] and twitter alongside claim that the woman wa a [[doctor]] who [[died]] after being beaten by a [[muslim]] [[mob]] while trying to administer novel coronavirus test",1.0,0.28224635124206543,"a [[imaging]] of a woman [[reside]] in a hospital bed with medical equipment attached to her body ha been shared hundred of time on [[youtube]] and twitter alongside claim that the woman wa a [[internist]] who [[casualties]] after being beaten by a [[qur]] [[netherworld]] while trying to administer novel coronavirus test","Failed"
1.0,200.0,1.0,0.2689778804779053,"a [[video]] [[show]] an empty triage tent outside to a [[hospital]] and a man [[claiming]] that everything is a [[lie]] [[because]] there are no sick [[people]] in the tent",1.0,0.45120954513549805,"a [[filmmaking]] [[reflect]] an empty triage tent outside to a [[hospitalised]] and a man [[argue]] that everything is a [[swindling]] [[as]] there are no sick [[countrymen]] in the tent","Failed"
1.0,26.0,1.0,0.28668147325515747,"we need to open up the [[economy]] and get back to work say covid",0.0,0.6951695680618286,"we need to open up the [[saves]] and get back to work say covid","Successful"
0.0,99.0,0.0,0.26898306608200073,"timothybelcher kia [[os]] timothy the most uptodate location for our [[case]] are here please note everyone is in jet park quarantine facility except the woman from the [[uk]] who are isolated at home in [[wellington]]",1.0,0.5359594821929932,"timothybelcher kia [[bones]] timothy the most uptodate location for our [[lawsuits]] are here please note everyone is in jet park quarantine facility except the woman from the [[britannia]] who are isolated at home in [[fitzroy]]","Successful"
1.0,22.0,1.0,0.3556056618690491,"un secretarygeneral announcement that covid vaccine trial will begin in [[africa]]",0.0,0.6576026082038879,"un secretarygeneral announcement that covid vaccine trial will begin in [[au]]","Successful"
1.0,180.0,1.0,0.2695540189743042,"poll find of [[american]] [[say]] they [[will]] not [[drink]] corona [[beer]] [[because]] of virus",0.0,0.5560964345932007,"poll find of [[usa]] [[argue]] they [[determination]] not [[inebriated]] corona [[growler]] [[therefore]] of virus","Successful"
0.0,125.0,0.0,0.26896053552627563,"we also have to [[report]] a bug in our rolling [[average]] line in some [[previous]] [[chart]] in some case they were calculating over a longer time period which made change harder to see we regret the error",1.0,0.5236350297927856,"we also have to [[rapport]] a bug in our rolling [[medias]] line in some [[vecchio]] [[plot]] in some case they were calculating over a longer time period which made change harder to see we regret the error","Successful"
0.0,200.0,0.0,0.26894426345825195,"covid [[update]] [[today]] there are three new case of covid to [[report]] in nz and for the first time six historical case are being [[reported]] made up of one confirmed case dating back to february and five probable historical case connected to the case also dating back to [[february]]",0.0,0.2699018120765686,"covid [[discounted]] [[dating]] there are three new case of covid to [[dealings]] in nz and for the first time six historical case are being [[testified]] made up of one confirmed case dating back to february and five probable historical case connected to the case also dating back to [[avril]]","Failed"
1.0,76.0,1.0,0.26969170570373535,"trump [[announced]] that roche medical company will launch the vaccine next sunday and million of dos are ready from it the end of the play",0.0,0.5293465852737427,"trump [[publish]] that roche medical company will launch the vaccine next sunday and million of dos are ready from it the end of the play","Successful"
0.0,193.0,0.0,0.26915132999420166,"while most [[attention]] [[ha]] been [[focused]] on the big [[outbreak]] across the southeast and in arizona there are several state outside the region that look to be on the verge of seeing much [[higher]] level of transmission",1.0,0.5242271423339844,"while most [[heed]] [[haya]] been [[targeting]] on the big [[blasts]] across the southeast and in arizona there are several state outside the region that look to be on the verge of seeing much [[supremo]] level of transmission","Successful"
0.0,114.0,0.0,0.2689547538757324,"[[take]] [[step]] to keep your friend and family safe when visiting those at higher risk for severe illness from covid [[learn]] more at",1.0,0.654726505279541,"[[having]] [[ballpark]] to keep your friend and family safe when visiting those at higher risk for severe illness from covid [[bought]] more at","Successful"
