aug_tweet,label,tweet
toronto garbage to lose to new york in covid case count covid 19toronto trinitybellwoodspark,fake,toronto refuse to lose to new york in covid case count covid 19toronto trinitybellwoodspark
ucla health medical record suggests covid may feature been circulating in the u s since last december doc noticed more er sojourn for respiratory ailment in patient with intense respiratory failure compare to past year cnn,real,ucla health medical record suggests covid may have been circulating in the u s since last december physician noticed more er visit for respiratory complaint in patient with acute respiratory failure compared to past year cnn
a doctor in the wuhan hospital evergreen state seen collapsing and later on lost his sprightliness a a consequence of being infected from the coronavirus ncov in front line of patient and hospital stave,fake,a doctor in the wuhan hospital wa seen collapsing and later lost his life a a result of being infected from the coronavirus ncov in front of patient and hospital staff
chief executive of tesco dave lewis encourages people to continue to buy a normal amid fear the young covid restriction could lead to panic buying get live coronavirus update,real,chief executive of tesco dave lewis encourages people to continue to buy a normal amid fear the new covid restriction could lead to panic buying get live coronavirus update
some who myth buster about covid spraying of alcoholic beverage or chlorine over the eubstance will not kill computer virus drinking intoxicant smoking or eating garlic doe not protect you from covid sesame oil doe not wipe out it a factcheck covid,fake,some who myth buster about covid spraying of alcohol or chlorine over the body will not kill virus drinking alcohol smoking or eating garlic doe not protect you from covid sesame oil doe not kill it a factcheck covid
many of the instance have to do with masquerade order shutdown and distancing,real,many of the instance have to do with mask order shutdown and distancing
rt drtedros the majority of the hour angle fix behind covax though some country are still deliberating whether to connect a few are contempl,real,rt drtedros the majority of the ha got behind covax though some country are still deliberating whether to join a few are contempl
it commit the facemask on the skin or information technology flummox the lockdown again get yours here,fake,it put the facemask on the skin or it get the lockdown again get yours here
the novel coronavirus created by china in a lab to kill of it population,fake,the new coronavirus created by china in a laboratory to kill of it population
to repeat these people are not infectious and don tetraiodothyronine pose a risk to others contact from auckland flight an update instantly on the case of the man who left miq in christchurch having returned negatively charged mental test for covid and then tested prescribed in auckland,real,to reiterate these people are not infectious and don t pose a risk to others contact from auckland flight an update now on the case of the man who left miq in christchurch having returned negative test for covid and then tested positive in auckland
some near land news washington testing capacity seems to be all right they had some data reportage problem but as well it seem a if testing evergreen state legitimately down nearly 8k test reported though,real,some good state news washington testing capacity seems to be all right they had some data reporting problem but also it seemed a if testing wa legitimately down nearly 8k test reported though
