"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
1.0,1.0,0.0,0.7264686822891235,"two member of atletienglish test coronavirus positive ahead of ucl quarterfinal not sure how the rest of the team can be on the field in these circumstance championsleague",0.0,0.7264686822891235,"two member of atletienglish test coronavirus positive ahead of ucl quarterfinal not sure how the rest of the team can be on the field in these circumstance championsleague","Skipped"
1.0,24.0,1.0,0.41163188219070435,"household should have required [[medical]] kit with certain item and equipment to treat the different stage of covid",0.0,0.599705159664154,"household should have required [[care]] kit with certain item and equipment to treat the different stage of covid","Successful"
0.0,123.0,0.0,0.2689446806907654,"a mobile testing unit [[went]] to the airport [[site]] and all the [[staff]] who work there have now been tested the mobile testing [[went]] to the home of symptomatic people who [[work]] in the mount wellington site yesterday further testing is [[underway]] who [[work]] on different shift",0.0,0.26895928382873535,"a mobile testing unit [[came]] to the airport [[website]] and all the [[personnel]] who work there have now been tested the mobile testing [[system]] to the home of symptomatic people who [[was]] in the mount wellington site yesterday further testing is [[available]] who [[works]] on different shift","Failed"
0.0,27.0,0.0,0.26895666122436523,"rt nytscience government across the country are [[adding]] thousand of job in the field of contact tracing to fight covid heres what",0.0,0.26898205280303955,"rt nytscience government across the country are [[getting]] thousand of job in the field of contact tracing to fight covid heres what","Failed"
0.0,138.0,0.0,0.2689552903175354,"there are nine people in hospital in auckland [[city]] [[three]] in north shore in icu and the rest in [[middlemore]] are in icu and considered critical we [[understand]] that this is a very difficult time for them and their family we are wishing them a [[full]] and speedy recovery",0.0,0.2691285014152527,"there are nine people in hospital in auckland [[whilst]] [[one]] in north shore in icu and the rest in [[otago]] are in icu and considered critical we [[knew]] that this is a very difficult time for them and their family we are wishing them a [[real]] and speedy recovery","Failed"
0.0,34.0,0.0,0.2689555287361145,"tcell response may offer a more precise [[measure]] of potential longterm immune protection from covid compared with antibody assay",0.0,0.26897984743118286,"tcell response may offer a more precise [[guess]] of potential longterm immune protection from covid compared with antibody assay","Failed"
1.0,96.0,1.0,0.2700169086456299,"say wisconsin s inperson election ha [[caused]] a surge in new [[coronavirus]] case",0.0,0.6444073915481567,"say wisconsin s inperson election ha [[j]] a surge in new [[london]] case","Successful"
1.0,72.0,1.0,0.2763946056365967,"i m [[putting]] the little [[bastard]] up for adoption read some of ireland s heartwarming [[covid]] story",0.0,0.5177960395812988,"i m [[t]] the little [[shit]] up for adoption read some of ireland s heartwarming [[new]] story","Successful"
1.0,163.0,1.0,0.2689628005027771,"muslim are [[spreading]] [[coronavirus]] by [[leaving]] [[money]] [[strewn]] on the street",1.0,0.27480894327163696,"muslim are [[considered]] [[homeless]] by [[moving]] [[signs]] [[located]] on the street","Failed"
1.0,19.0,1.0,0.2694941759109497,"man dismayed to find his health [[insurance]] doesnt cover him for coronavirus china coronavirus insurance",1.0,0.26989859342575073,"man dismayed to find his health [[coverage]] doesnt cover him for coronavirus china coronavirus insurance","Failed"
0.0,65.0,0.0,0.28188180923461914,"but texas north carolina and south carolina [[also]] saw [[spike]] in hospitalization",1.0,0.6550538539886475,"but texas north carolina and south carolina [[never]] saw [[anyone]] in hospitalization","Successful"
1.0,174.0,1.0,0.2689511775970459,"kid [[died]] in [[senegal]] [[right]] after [[receiving]] the [[vaccine]] for the coronavirus",1.0,0.3637223243713379,"kid [[occurs]] in [[infancy]] [[hours]] after [[reporting]] the [[diagnosis]] for the coronavirus","Failed"
1.0,156.0,1.0,0.26894819736480713,"not a [[single]] [[muslim]] [[died]] of [[coronavirus]] in china",1.0,0.27358704805374146,"not a [[current]] [[world]] [[group]] of [[interest]] in china","Failed"
0.0,120.0,0.0,0.26894527673721313,"our [[daily]] update is published we ve now tracked million test up [[k]] from yesterday the nd largest singleday total [[note]] that we can only track test that a state [[report]] and not all state report all test for [[detail]] see",0.0,0.26899999380111694,"our [[earlier]] update is published we ve now tracked million test up [[put]] from yesterday the nd largest singleday total [[claim]] that we can only track test that a state [[check]] and not all state report all test for [[s]] see","Failed"
1.0,1.0,0.0,0.7310281991958618,"a business continue to adapt their service in the wake of covid the swa hand sanitiser portal is available for sourcing handsanitiser and ethanol for producing sanitiser complete your detail and find supplier here",0.0,0.7310281991958618,"a business continue to adapt their service in the wake of covid the swa hand sanitiser portal is available for sourcing handsanitiser and ethanol for producing sanitiser complete your detail and find supplier here","Skipped"
0.0,59.0,0.0,0.2689659595489502,"know when to delay your travel to [[slowthespread]] of covid check these common situation and talk to your [[healthcare]] provider if you are unsure whether any of these [[apply]] to you or your travel companion",0.0,0.2699100375175476,"know when to delay your travel to [[town]] of covid check these common situation and talk to your [[health]] provider if you are unsure whether any of these [[is]] to you or your travel companion","Failed"
1.0,49.0,1.0,0.268962562084198,"video [[show]] the clash arose in paris because new coronavirus wa detected in streetwashing water",1.0,0.26918959617614746,"video [[confirmed]] the clash arose in paris because new coronavirus wa detected in streetwashing water","Failed"
0.0,70.0,0.0,0.26894545555114746,"here are the state that [[reported]] over case today note mississippi had data reporting problem for [[day]] so their number represents data from",0.0,0.2690180540084839,"here are the state that [[flew]] over case today note mississippi had data reporting problem for [[data]] so their number represents data from","Failed"
1.0,78.0,1.0,0.2710202932357788,"the physician in the [[video]] [[seen]] by million are associated with a group called america s frontline doctor which advocate against official narrative of [[covid]] all of the physician have a history of making unproven or [[conspiratorial]] medical claim",0.0,0.6635903120040894,"the physician in the [[videos]] [[submitted]] by million are associated with a group called america s frontline doctor which advocate against official narrative of [[case]] all of the physician have a history of making unproven or [[alleged]] medical claim","Successful"
0.0,33.0,0.0,0.26924824714660645,"who covid transmission [[may]] include viral particle that remain airborne for longer than previously understood",0.0,0.2961549758911133,"who covid transmission [[sources]] include viral particle that remain airborne for longer than previously understood","Failed"
0.0,54.0,0.0,1.0251998901367188e-05,"indiafightscorona [[testing]] in india ha steeply increased to more than lakh test per day this is bolstered with all [[state]] ut testing more than test day million population a advised by who",0.0,0.26897478103637695,"indiafightscorona [[tion]] in india ha steeply increased to more than lakh test per day this is bolstered with all [[times]] ut testing more than test day million population a advised by who","Failed"
0.0,74.0,0.0,0.2689802050590515,"new [[case]] of covid lagos katsina edo river kano adamawa [[akwa]] ibom kaduna kwara nasarawa gombe plateau abia delta [[benue]] niger kogi yo imo borno ogun anambra case of covidnigeria [[discharged]] death",0.0,0.31868529319763184,"new [[outbreak]] of covid lagos katsina edo river kano adamawa [[capital]] ibom kaduna kwara nasarawa gombe plateau abia delta [[basin]] niger kogi yo imo borno ogun anambra case of covidnigeria [[caused]] death","Failed"
0.0,36.0,0.0,0.26895439624786377,"our weekly [[update]] is posted and [[theres]] finally some [[good]] news nationally case are declining and the [[state]] with the worst outbreak seem to be turning a corner",0.0,0.2689884901046753,"our weekly [[updates]] is posted and [[was]] finally some [[great]] news nationally case are declining and the [[states]] with the worst outbreak seem to be turning a corner","Failed"
0.0,69.0,0.0,0.2689869999885559,"to understand the severity of the covid surge in the united [[state]] we need more than data about death which lag we [[also]] [[need]] [[hospitalization]] data which wa spotty in the spring now the data is [[much]] more [[complete]] whet and cohokelly explain",0.0,0.26996850967407227,"to understand the severity of the covid surge in the united [[d]] we need more than data about death which lag we [[too]] [[have]] [[hospital]] data which wa spotty in the spring now the data is [[far]] more [[clear]] whet and cohokelly explain","Failed"
0.0,18.0,0.0,0.2782498598098755,"even without the ny historical bump however [[reported]] death would still have been quite high around",0.0,0.3196902871131897,"even without the ny historical bump however [[chance]] death would still have been quite high around","Failed"
0.0,87.0,0.0,0.2729724645614624,"maharashtra contributed of the new recovery while the state of andhra pradesh karnataka tamil nadu and chhattisgarh [[followed]] with of the new recovery these state together contribute of [[total]] new recovery",1.0,0.5131030082702637,"maharashtra contributed of the new recovery while the state of andhra pradesh karnataka tamil nadu and chhattisgarh [[sided]] with of the new recovery these state together contribute of [[later]] new recovery","Successful"
0.0,60.0,0.0,0.3142785429954529,"getting takeout while [[slowing]] the spread of covid order pay online or by phone accept takeout without inperson contact if possible stay foot away from [[others]] wash your hand with soap water after bringing home your food",1.0,0.5177037715911865,"getting takeout while [[using]] the spread of covid order pay online or by phone accept takeout without inperson contact if possible stay foot away from [[people]] wash your hand with soap water after bringing home your food","Successful"
0.0,61.0,0.0,0.26895463466644287,"nationally the [[day]] average in death ha begun to rise after an [[extended]] decline the last three day were the highest number we ve [[since]] early june",0.0,0.269034206867218,"nationally the [[world]] average in death ha begun to rise after an [[abrupt]] decline the last three day were the highest number we ve [[of]] early june","Failed"
1.0,50.0,1.0,0.27403539419174194,"approval from ayush [[ministey]] time for particular lobby to buy bournol",0.0,0.618066132068634,"approval from ayush [[increased]] time for particular lobby to buy bournol","Successful"
0.0,32.0,0.0,0.3443107604980469,"arizona put out a somewhat [[encouraging]] set of number unclear if this is the beginning of a real downward trend or just some bump on an upward trajectory",1.0,0.5608967542648315,"arizona put out a somewhat [[dubious]] set of number unclear if this is the beginning of a real downward trend or just some bump on an upward trajectory","Successful"
0.0,51.0,0.0,0.26925766468048096,"our total number of confirmed case is which is the number we [[report]] to the world health organization there is no one in new zealand receiving [[hospitallevel]] [[care]] for covid",0.0,0.28009194135665894,"our total number of confirmed case is which is the number we [[have]] to the world health organization there is no one in new zealand receiving [[care]] [[whatsoever]] for covid","Failed"
1.0,56.0,1.0,0.2694321870803833,"coronavirus [[v]] trump ha virus met it [[match]] [[donaldtrump]] coronavirus",0.0,0.5877163410186768,"coronavirus [[disease]] trump ha virus met it [[design]] [[trial]] coronavirus","Successful"
0.0,1.0,1.0,0.7144999504089355,"various study on the postrecovery process of covid case have been published india is also working on it own study to ass recovered covid  case currently there are govt hospital working to check for longterm complication after recovering from the infection",1.0,0.7144999504089355,"various study on the postrecovery process of covid case have been published india is also working on it own study to ass recovered covid  case currently there are govt hospital working to check for longterm complication after recovering from the infection","Skipped"
0.0,96.0,0.0,0.26894664764404297,"acc to who being [[able]] to [[hold]] your breath for second or more without coughing or feeling discomfort doe not [[mean]] you are free from covid or any other lung disease covid   covid covid  [[covid]]  [[covidindia]] corona coronavirus coronavirusindia",0.0,0.26903480291366577,"acc to who being [[sure]] to [[holding]] your breath for second or more without coughing or feeling discomfort doe not [[claiming]] you are free from covid or any other lung disease covid   covid covid  [[kind]]  [[v]] corona coronavirus coronavirusindia","Failed"
0.0,1.0,1.0,0.7279623746871948,"first documented u case of guillainbarre syndrome associated with coronavirus",1.0,0.7279623746871948,"first documented u case of guillainbarre syndrome associated with coronavirus","Skipped"
0.0,110.0,0.0,0.26894277334213257,"the [[number]] we re presenting here do not [[include]] the k test that north carolina pulled out of it number today because of a reporting error to more [[accurately]] present the national trend we set the states new test to for [[today]] in these chart",0.0,0.26904213428497314,"the [[numbers]] we re presenting here do not [[show]] the k test that north carolina pulled out of it number today because of a reporting error to more [[correctly]] present the national trend we set the states new test to for [[ging]] in these chart","Failed"
0.0,73.0,0.0,0.27332067489624023,"but [[unlike]] our other number which can be considered lower bound for the number of [[people]] tested we cannot [[say]] that about michigans number of negative test result",0.0,0.3498595952987671,"but [[because]] our other number which can be considered lower bound for the number of [[things]] tested we cannot [[believe]] that about michigans number of negative test result","Failed"
0.0,98.0,0.0,0.26895928382873535,"an even better piece of news state [[reported]] fewer than death that hadnt happened since march yes there will [[probably]] be a [[larger]] [[number]] of death reported tomorrow a lagging weekend [[data]] [[get]] posted but it is a significant pandemic milestone",0.0,0.26916199922561646,"an even better piece of news state [[is]] fewer than death that hadnt happened since march yes there will [[maybe]] be a [[certain]] [[amount]] of death reported tomorrow a lagging weekend [[t]] [[got]] posted but it is a significant pandemic milestone","Failed"
1.0,107.0,1.0,0.27158886194229126,"man [[doesnt]] [[know]] why he [[bother]] coronavirus",1.0,0.3437556028366089,"man [[d]] [[understand]] why he [[would]] coronavirus","Failed"
0.0,100.0,0.0,0.2689601182937622,"michigan [[continues]] to be a real trouble spot and now ha the third highest number of confirmed [[case]] after ny and nj crossing total today we dont [[know]] [[nearly]] enough about their testing regime in the state either",0.0,0.2693365812301636,"michigan [[claimed]] to be a real trouble spot and now ha the third highest number of confirmed [[runs]] after ny and nj crossing total today we dont [[knows]] [[damn]] enough about their testing regime in the state either","Failed"
0.0,60.0,0.0,0.2900955080986023,"recommendation for [[treating]] [[colorectal]] cancer during the covid pandemic",1.0,0.6019684076309204,"recommendation for [[causing]] [[human]] cancer during the covid pandemic","Successful"
0.0,21.0,0.0,0.2689460515975952,"new case of covidnigeria lagos [[fct]] kaduna yo ebonyi edo katsina ekiti bauchi nasarawa confirmed discharged death",0.0,0.2691464424133301,"new case of covidnigeria lagos [[v]] kaduna yo ebonyi edo katsina ekiti bauchi nasarawa confirmed discharged death","Failed"
0.0,86.0,0.0,0.2689657211303711,"several [[new]] treatment isolation [[centre]] have been operationalised across nigeria increasing bed capacity to i commend [[state]] governor for the activation of emergency operation [[centre]] establishment of treatment centre delivery of [[risk]] communication he mbuhari",0.0,0.26908254623413086,"several [[small]] treatment isolation [[center]] have been operationalised across nigeria increasing bed capacity to i commend [[governor]] governor for the activation of emergency operation [[center]] establishment of treatment centre delivery of [[safety]] communication he mbuhari","Failed"
0.0,88.0,0.0,0.26894354820251465,"new [[case]] of covidnigeria delta lagos enugu fct edo ogun kano [[kaduna]] ondo river bayelsa katsina imo kwara yo abia benue [[gombe]] yobe bauchi kebbi confirmed discharged death",0.0,0.2690105438232422,"new [[premier]] of covidnigeria delta lagos enugu fct edo ogun kano [[fc]] ondo river bayelsa katsina imo kwara yo abia benue [[chief]] yobe bauchi kebbi confirmed discharged death","Failed"
