"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
1.0,200.0,1.0,0.2690080404281616,"whoever [[thought]] that another home alone film would be a good [[idea]] should have their head examined  same plot  different kid  more villains  which leads to more endless stupidity in the traps  the other two films were [[bad]] enough  and this is where it hits rock bottom  people may as well watch the other films for plot  as it s all identical ",0.0,0.5405130386352539,"whoever [[contemplation]] that another home alone film would be a good [[ideal]] should have their head examined  same plot  different kid  more villains  which leads to more endless stupidity in the traps  the other two films were [[mala]] enough  and this is where it hits rock bottom  people may as well watch the other films for plot  as it s all identical ","Successful"
0.0,200.0,0.0,0.27018606662750244,"[[police]] story is arguably one of the best [[works]] by the master of action himself compared to other action films police story makes schwarzenegger and stallone look like beginners the stunt scenes are well cheorgraphed and the action scenes are [[superb]] if new line [[cinema]] has any [[sense]] they would [[release]] this in theaters ",0.0,0.3468324542045593,"[[mounties]] story is arguably one of the best [[workplace]] by the master of action himself compared to other action films police story makes schwarzenegger and stallone look like beginners the stunt scenes are well cheorgraphed and the action scenes are [[unbelievable]] if new line [[kino]] has any [[regard]] they would [[discards]] this in theaters ","Failed"
1.0,200.0,1.0,0.26903146505355835,"unless the title is supposed to be some kind of spoiler for the wife s transformation  the [[fiends]]  ruining it for us  anycase  if this movie wasn t made for tv  it should have been  it s [[so]] remarkably low [[budget]]  underscripted  underacted  and hits every   s cliche except disco  nobody is likeable  and you could careless what happens to anyone in this one  [[eminently]] forgetable except for the [[bad]]  bad [[performances]] ",1.0,0.275714635848999,"unless the title is supposed to be some kind of spoiler for the wife s transformation  the [[succubi]]  ruining it for us  anycase  if this movie wasn t made for tv  it should have been  it s [[well]] remarkably low [[costed]]  underscripted  underacted  and hits every   s cliche except disco  nobody is likeable  and you could careless what happens to anyone in this one  [[unbelievably]] forgetable except for the [[baleful]]  bad [[representations]] ","Failed"
1.0,185.0,1.0,0.2690998911857605,"this movie s basic [[premise]] is that everyone in the world can know that a person is gay except for that person  and that a man who likes show tunes  has good taste  and is neat in appearance must be a homosexual  yes  the movie is funny in parts  but the basic premise is to [[homophobic]] and insulting that the entire movie [[crumbles]] into something that is quite [[painful]] to sit through  the performances  particularly joan cusak and kevin kline are very good ",0.0,0.6864305734634399,"this movie s basic [[asuncion]] is that everyone in the world can know that a person is gay except for that person  and that a man who likes show tunes  has good taste  and is neat in appearance must be a homosexual  yes  the movie is funny in parts  but the basic premise is to [[bigot]] and insulting that the entire movie [[downfall]] into something that is quite [[agonizing]] to sit through  the performances  particularly joan cusak and kevin kline are very good ","Successful"
1.0,1.0,0.0,0.6421082615852356,"just as  its a mad  mad  mad  mad world  is at the top of my list for all time greatest comedies ever made  this one is at the very bottom   of course  i could be wrong not having seen  saving silverman  in other words  it s a lame  lame  lame  lame comedy br  br  rating       out of  ",0.0,0.6421082615852356,"just as  its a mad  mad  mad  mad world  is at the top of my list for all time greatest comedies ever made  this one is at the very bottom   of course  i could be wrong not having seen  saving silverman  in other words  it s a lame  lame  lame  lame comedy br  br  rating       out of  ","Skipped"
1.0,167.0,1.0,0.2689507007598877,"an excellent cast who do their best with an [[awful]] script  inept direction  and some of the [[worst]] score that i have ever heard  more tv movie of the week than serious drama  which is sad when one considers that the source material is very serious and very real  the film makers decided that instead of building drama and character  it was better to just show the most graphic and violent bits and hope that the audience would be shocked into sympathy and caring  in my opinion  one the most blatant forms of cut and paste film adapting ",0.0,0.5856279134750366,"an excellent cast who do their best with an [[horrendous]] script  inept direction  and some of the [[finest]] score that i have ever heard  more tv movie of the week than serious drama  which is sad when one considers that the source material is very serious and very real  the film makers decided that instead of building drama and character  it was better to just show the most graphic and violent bits and hope that the audience would be shocked into sympathy and caring  in my opinion  one the most blatant forms of cut and paste film adapting ","Successful"
0.0,200.0,0.0,0.2723163366317749,"fabulous costumes by edith head who painted them on liz taylor at her [[finest]] br  br  the sfx are [[very]] good for a movie of its age  and the stunt doubles actually looked like the actors  even down to body type  a rarity in movies of this vintage br  br  a [[cozy]] movie  with [[splendid]] panoramas   even when chopped down to pan and scan ",1.0,0.7268865704536438,"fabulous costumes by edith head who painted them on liz taylor at her [[harshest]] br  br  the sfx are [[awfully]] good for a movie of its age  and the stunt doubles actually looked like the actors  even down to body type  a rarity in movies of this vintage br  br  a [[squeamish]] movie  with [[super]] panoramas   even when chopped down to pan and scan ","Successful"
0.0,200.0,0.0,0.27044355869293213,"klatret©ªsen catch that [[girl]]  is [[really]] [[great]] movie  it s a  happy  movie  i watched this movie in  puchon international fantastic film festival pifan  on july 12nd     there is action   adventure   comedy   thrill   [[happy]]   romance cute kids  [[love]] triangle  you must see this movie   ",0.0,0.2812209725379944,"klatret©ªsen catch that [[niece]]  is [[awfully]] [[gargantuan]] movie  it s a  happy  movie  i watched this movie in  puchon international fantastic film festival pifan  on july 12nd     there is action   adventure   comedy   thrill   [[merrily]]   romance cute kids  [[cared]] triangle  you must see this movie   ","Failed"
1.0,200.0,1.0,0.2690861225128174,"the old axiom that bored people are boring people is well demonstrated in  [[women]] in love  the script  taken from d  h  lawrence s novel  contains an endless flow of concepts that are  at best  sophomoric br  br  what a pity so much effort went into so [[vacuous]] an exercise  what an empty array of characters given such attention  in [[spite]] of high production values  this film comes across as tedious as its personnel br  br  a revisit in   merely confirms a   impression of juvenille minds in adult bodies  dawdling nowhere  and fumbling every step of the way ",1.0,0.2695136070251465,"the old axiom that bored people are boring people is well demonstrated in  [[gal]] in love  the script  taken from d  h  lawrence s novel  contains an endless flow of concepts that are  at best  sophomoric br  br  what a pity so much effort went into so [[immaterial]] an exercise  what an empty array of characters given such attention  in [[condolence]] of high production values  this film comes across as tedious as its personnel br  br  a revisit in   merely confirms a   impression of juvenille minds in adult bodies  dawdling nowhere  and fumbling every step of the way ","Failed"
1.0,159.0,1.0,0.26898491382598877,"director fabio barreto got a strange academy nominea for his last movie o quatrilho  quatrilho is a bad movie  but in bella donna  barreto did one of the [[worst]] movies of all time  his adaptation of the novel riacho doce is [[ridiculous]]  think with me how poor brazilians fishermen speak a perfect english  in the film they do  there isn t a screenplay  it s only a very long videoclip with a beautiful places and many sex scenes with moscovis and henstridge ",0.0,0.5009238719940186,"director fabio barreto got a strange academy nominea for his last movie o quatrilho  quatrilho is a bad movie  but in bella donna  barreto did one of the [[finest]] movies of all time  his adaptation of the novel riacho doce is [[asinine]]  think with me how poor brazilians fishermen speak a perfect english  in the film they do  there isn t a screenplay  it s only a very long videoclip with a beautiful places and many sex scenes with moscovis and henstridge ","Successful"
