"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
1.0,407.0,1.0,0.34804606437683105,"[[india]] [[recorded]] [[fatality]] the biggest record [[so]] far in a [[single]] [[day]] this [[take]] the country s [[total]] [[number]] of [[death]] to a unlock [[begin]] [[today]] the resumption of [[domestic]] flight and passenger train [[service]] is extended coronavirus coronavirusfacts",0.0,0.501428484916687,"[[mumbai]] [[list]] [[decedent]] the biggest record [[additionally]] far in a [[singles]] [[today]] this [[wear]] the country s [[aggregate]] [[behalf]] of [[assassinating]] to a unlock [[debut]] [[domingos]] the resumption of [[hometown]] flight and passenger train [[serving]] is extended coronavirus coronavirusfacts","Successful"
0.0,102.0,0.0,0.3868996500968933,"[[study]] [[age]] [[had]] the highest rate of coronavirus transmission via webmd",1.0,0.5110695362091064,"[[studying]] [[antiquity]] [[haya]] the highest rate of coronavirus transmission via webmd","Successful"
1.0,121.0,1.0,0.37024015188217163,"nokia [[distributing]] [[free]] phone to [[student]] amidst coronavirus [[pandemic]]",0.0,0.5232806205749512,"nokia [[spanned]] [[unrestricted]] phone to [[learner]] amidst coronavirus [[outbreak]]","Successful"
0.0,235.0,0.0,0.3190479874610901,"[[reported]] [[death]] were also low [[today]] just if these [[number]] [[keep]] up the [[day]] [[average]] will fall below",1.0,0.545507550239563,"[[advised]] [[killed]] were also low [[thu]] just if these [[chiffre]] [[preserver]] up the [[zi]] [[mean]] will fall below","Successful"
1.0,132.0,1.0,0.3274548649787903,"shands [[hospital]] of [[gainesville]] [[florida]] ha [[confirmed]] it first case of coronavirus",0.0,0.5423581600189209,"shands [[outpatient]] of [[tulsa]] [[slash]] ha [[emphasize]] it first case of coronavirus","Successful"
1.0,89.0,1.0,0.35472601652145386,"[[chinese]] medical [[supply]] to [[ghana]] [[contaminated]] with coronavirus",1.0,0.37792909145355225,"[[shanghainese]] medical [[supplies]] to [[nigerians]] [[grubby]] with coronavirus","Failed"
0.0,108.0,0.0,0.36068981885910034,"in westchamparan district bihar there have been [[total]] covid positive case of which are active covid  case for bed [[availability]] kindly [[contact]] the district control room mohfw india drharshvardhan drhvoffice nildeoreias biharhealthdept",1.0,0.5063076019287109,"in westchamparan district bihar there have been [[utterly]] covid positive case of which are active covid  case for bed [[alacrity]] kindly [[telephoning]] the district control room mohfw india drharshvardhan drhvoffice nildeoreias biharhealthdept","Successful"
0.0,420.0,0.0,0.3509930968284607,"ejkalafarski ejkalafarski [[youre]] correct that rt [[becomes]] [[harder]] to [[maintain]] a [[case]] [[become]] [[low]] were [[currently]] [[working]] on [[improving]] our metric to [[better]] [[measure]] [[containment]]",0.0,0.41019749641418457,"ejkalafarski ejkalafarski [[becuase]] correct that rt [[was]] [[rougher]] to [[upkeep]] a [[occasions]] [[get]] [[lower]] were [[here]] [[workplace]] on [[boosting]] our metric to [[more]] [[tonnage]] [[withholding]]","Failed"
1.0,276.0,1.0,0.38109850883483887,"great news carona virus [[vaccine]] ready able to [[cure]] patient within hour after injection hat off to u [[scientist]] [[trump]] [[announced]] that roche [[medical]] company [[will]] [[launch]] the [[vaccine]] next sunday and million of",0.0,0.511849045753479,"great news carona virus [[inoculated]] ready able to [[addressing]] patient within hour after injection hat off to u [[clerics]] [[bitch]] [[reported]] that roche [[clinical]] company [[readiness]] [[embarked]] the [[measles]] next sunday and million of","Successful"
0.0,227.0,0.0,0.33696943521499634,"the national [[number]] of people [[currently]] hospitalized with covid is still climbing even without data from the big [[outbreak]] in florida [[last]] week fl said [[current]] hospitalization [[data]] wa on the way but we haven t [[seen]] it reported yet",1.0,0.5111091136932373,"the national [[numero]] of people [[here]] hospitalized with covid is still climbing even without data from the big [[pandemic]] in florida [[ultima]] week fl said [[moderne]] hospitalization [[info]] wa on the way but we haven t [[sighted]] it reported yet","Successful"
1.0,90.0,1.0,0.3393208980560303,"[[im]] about to deliver remark on the coronavirus pandemic tune in to [[watch]] [[live]]",0.0,0.5916293859481812,"[[gi]] about to deliver remark on the coronavirus pandemic tune in to [[monitoring]] [[iife]]","Successful"
0.0,345.0,0.0,0.3473193645477295,"indiafightscorona of the new [[confirmed]] [[case]] are [[concentrated]] in [[state]] ut [[maharashtra]] [[ha]] alone [[contributed]] more than [[followed]] by andhra [[pradesh]] and karnataka with more than more than and [[case]] [[respectively]] staysafe indiawillwin",0.0,0.39675718545913696,"indiafightscorona of the new [[pointed]] [[cas]] are [[centred]] in [[kraj]] ut [[deccan]] [[possesses]] alone [[supported]] more than [[observation]] by andhra [[indra]] and karnataka with more than more than and [[matters]] [[separately]] staysafe indiawillwin","Failed"
1.0,107.0,1.0,0.4098857641220093,"its [[basically]] impossible to get any kind of compensation if youre [[injured]] by a covid [[vaccine]]",0.0,0.5059857368469238,"its [[typically]] impossible to get any kind of compensation if youre [[lesion]] by a covid [[inoculation]]","Successful"
0.0,292.0,0.0,0.358562707901001,"indiafightscorona [[health]] [[ministry]] [[urge]] [[state]] ut to mandatorily [[retest]] all [[symptomatic]] [[negative]] [[case]] of [[rapid]] [[antigen]] [[test]] through rtpcr pmoindia drharshvardhan ashwinikchoubey pib [[india]] ddnewslive airnewsalerts icmrdelhi mygovindia",0.0,0.38570964336395264,"indiafightscorona [[healthcare]] [[ministries]] [[urges]] [[countries]] ut to mandatorily [[hoping]] all [[conventional]] [[malicious]] [[files]] of [[vite]] [[proteins]] [[experimenting]] through rtpcr pmoindia drharshvardhan ashwinikchoubey pib [[lndian]] ddnewslive airnewsalerts icmrdelhi mygovindia","Failed"
0.0,88.0,0.0,0.4757450222969055,"based on what is known about how the novel coronavirus behaves cdc and capublichealth [[expect]] to see covid infection in people who have had contact with the recentlyidentified patient especially those who have had close prolonged contact",1.0,0.5750641822814941,"based on what is known about how the novel coronavirus behaves cdc and capublichealth [[expecting]] to see covid infection in people who have had contact with the recentlyidentified patient especially those who have had close prolonged contact","Successful"
1.0,203.0,1.0,0.38408249616622925,"mrmbrown on a cheap [[bourbon]] to [[gargle]] my [[throat]] [[best]] [[virus]] killer in the [[world]] [[pure]] [[battery]] [[acid]]",1.0,0.4339377284049988,"mrmbrown on a cheap [[cutty]] to [[mouthwash]] my [[larynx]] [[biggest]] [[infection]] killer in the [[globe]] [[pur]] [[smokestacks]] [[downpour]]","Failed"
0.0,211.0,0.0,0.3446198105812073,"[[despite]] the ease of the lockdown starting th may it is critical for those managing public [[space]] to [[adhere]] to these [[measure]] to preventcovidspread provision of handwashing facility sanitisers no gathering of [[people]] mandatory [[temperature]] check share [[widely]]",1.0,0.5113232731819153,"[[albeit]] the ease of the lockdown starting th may it is critical for those managing public [[separator]] to [[observance]] to these [[calibrated]] to preventcovidspread provision of handwashing facility sanitisers no gathering of [[villagers]] mandatory [[temps]] check share [[mostly]]","Successful"
1.0,263.0,1.0,0.32829445600509644,"[[video]] of american [[president]] [[donald]] [[trump]] [[announcing]] that roche [[medical]] [[company]] will [[launch]] the [[vaccine]] for covid",1.0,0.40521305799484253,"[[movie]] of american [[chaired]] [[ronald]] [[bitch]] [[declarations]] that roche [[narcotic]] [[venture]] will [[lanza]] the [[inoculations]] for covid","Failed"
0.0,529.0,0.0,0.3656233549118042,"[[doctor]] and [[healthcare]] [[worker]] [[need]] ppe now more than ever masksfordocs is [[determined]] to [[get]] ppe [[supply]] to [[healthcare]] [[worker]] we [[love]] what [[theyre]] [[doing]] whether it [[be]] donating [[fund]] or donating your [[own]] [[supply]] see how you can [[help]] at",1.0,0.5267643928527832,"[[hospital]] and [[zorg]] [[staff]] [[would]] ppe now more than ever masksfordocs is [[resolute]] to [[recieve]] ppe [[supplies]] to [[health]] [[employees]] we [[loves]] what [[beacuse]] [[manufacture]] whether it [[sunt]] donating [[moneys]] or donating your [[owned]] [[gives]] see how you can [[favour]] at","Successful"
1.0,450.0,1.0,0.34437334537506104,"[[say]] [[n]] y [[gov]] [[andrew]] cuomo [[rejected]] buying [[recommended]] ventilator in for the pandemic for a pandemic [[established]] death panel and [[lottery]] [[instead]] so he [[had]] a [[chance]] to [[buy]] in ventilator at a very low [[price]] and he turned it down",0.0,0.5045055150985718,"[[expressed]] [[s]] y [[employed]] [[estevez]] cuomo [[refuted]] buying [[advised]] ventilator in for the pandemic for a pandemic [[formation]] death panel and [[sweepstakes]] [[again]] so he [[could]] a [[probability]] to [[learn]] in ventilator at a very low [[prix]] and he turned it down","Successful"
