"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
0.0,73.0,0.0,0.33028125762939453,"covid can present a mild symptom which make it difficult to differentiate from illness such a malaria the only way to diagnosis is through testing we advice nigerian to selfreport if they notice known symptom beeodune on [[tvcconnect]] [[takeresponsibility]]",1.0,0.5055166482925415,"covid can present a mild symptom which make it difficult to differentiate from illness such a malaria the only way to diagnosis is through testing we advice nigerian to selfreport if they notice known symptom beeodune on [[tvccoոnect]] [[takeresponsibili𝚝y]]","Successful"
0.0,150.0,0.0,0.3117799758911133,"having a difficult time [[coping]] because of [[covid]] feeling [[lonely]] anxious or [[dealing]] with [[grief]] and loss [[help]] is [[available]] through the [[national]] [[suicide]] prevention lifeline learn more",0.0,0.3731147050857544,"having a difficult time [[cope]] because of [[cvid]] feeling [[solitary]] anxious or [[deal]] with [[sadness]] and loss [[helps]] is [[approachable]] through the [[natioոal]] [[suicdie]] prevention lifeline learn more","Failed"
1.0,83.0,1.0,0.33641213178634644,"face mask [[cause]] [[hypoxia]] [[wearing]] it [[cause]] [[one]] to inhale too much carbon dioxide which can make you [[sick]]",1.0,0.45604199171066284,"face mask [[cɑuse]] [[hypoxiɑ]] [[wearnig]] it [[cuase]] [[оne]] to inhale too much carbon dioxide which can make you [[sіck]]","Failed"
0.0,200.0,0.0,0.32170259952545166,"adding the new [[incidence]] [[metric]] ha changed the [[score]] of county and expanded our [[coverage]] to county previously many county did not have [[enough]] [[data]] for u to [[calculate]] a risk score it is critical for [[local]] decisionmakers to have locallevel data",0.0,0.36672085523605347,"adding the new [[impacts]] [[measuring]] ha changed the [[s]] [[core]] of county and expanded our [[covered]] to county previously many county did not have [[adequately]] [[dtaa]] for u to [[cɑlculate]] a risk score it is critical for [[locɑl]] decisionmakers to have locallevel data","Failed"
0.0,144.0,0.0,0.3325604796409607,"[[one]] other note the [[u]] s positive rate ha remained [[around]] throughout [[april]] the positive rate for todays reported test dropped to [[one]] day [[doesnt]] [[make]] a trend but [[good]] to [[see]] a [[lower]] [[floor]]",0.0,0.44373297691345215,"[[anyone]] other note the [[or]] s positive rate ha remained [[ɑround]] throughout [[apriⅼ]] the positive rate for todays reported test dropped to [[onе]] day [[wouldnt]] [[rendering]] a trend but [[god]] to [[admire]] a [[decreasing]] [[soil]]","Failed"
0.0,110.0,0.0,0.3443877100944519,"indiafightscorona of the total [[active]] [[case]] are [[found]] in [[nine]] most affected state ut [[new]] case have been [[reported]] in the last hour in the country detail staysafe indiawillwin",0.0,0.3658170700073242,"indiafightscorona of the total [[activе]] [[cases]] are [[founԁ]] in [[ix]] most affected state ut [[neԝ]] case have been [[advised]] in the last hour in the country detail staysafe indiawillwin","Failed"
1.0,119.0,1.0,0.35994940996170044,"sweden to be extradited to [[united]] [[state]] for [[violating]] [[american]] [[covid]] [[guideline]] coronavirus [[covid]] sweden",1.0,0.4027681350708008,"sweden to be extradited to [[nations]] [[sate]] for [[viоlating]] [[americans]] [[cvid]] [[guidеline]] coronavirus [[cov]] [[id]] sweden","Failed"
0.0,66.0,0.0,0.35902780294418335,"we have our [[daily]] [[pm]] [[update]] live now [[weve]] [[tracked]] people tested total",1.0,0.5470536947250366,"we have our [[dialy]] [[afternoon]] [[updating]] live now [[wve]] [[policed]] people tested total","Successful"
1.0,20.0,1.0,0.3366861343383789,"the [[cdc]] recommends that only people with covid symptom should wear mask",0.0,0.5030499696731567,"the [[cld]] recommends that only people with covid symptom should wear mask","Successful"
1.0,93.0,1.0,0.36301374435424805,"[[dr]] anthony fauci [[ha]] [[known]] for year that [[chloroquine]] and [[hydroxychloroquine]] will not only treat a current [[case]] of coronavirus but prevent [[future]] case",1.0,0.4685843586921692,"[[rd]] anthony fauci [[have]] [[kno]] [[wn]] for year that [[cհloroquine]] and [[հydroxychloroquine]] will not only treat a current [[csae]] of coronavirus but prevent [[fսture]] case","Failed"
