"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
1.0,47.0,1.0,0.385928213596344,"[[say]] the coronavirus ha a recovery rate in texas",0.0,0.5060834884643555,"[[enjoin]] the coronavirus ha a recovery rate in texas","Successful"
0.0,1.0,1.0,0.5293138027191162,"coronavirus slovenia and guadeloupe added to englands quarantine list but thailand and singapore removed",1.0,0.5293138027191162,"coronavirus slovenia and guadeloupe added to englands quarantine list but thailand and singapore removed","Skipped"
1.0,75.0,1.0,0.3467215299606323,"the cdc [[recommends]] that only people with covid symptom should [[wear]] [[mask]]",1.0,0.43034112453460693,"the cdc [[advocate]] that only people with covid symptom should [[assume]] [[cloak]]","Failed"
1.0,82.0,1.0,0.37773412466049194,"[[riding]] in the time of coronavirus how single people are handling thing",0.0,0.502905011177063,"[[tantalise]] in the time of coronavirus how single people are handling thing","Successful"
0.0,86.0,0.0,0.3578253388404846,"death continue falling the day [[average]] just [[edged]] under",1.0,0.5587790608406067,"death continue falling the day [[fair]] just [[stinging]] under","Successful"
1.0,74.0,1.0,0.36853426694869995,"[[indian]] government [[snooping]] message over [[social]] medium and all social medium platform will be monitored for covid [[message]]",0.0,0.5015990734100342,"[[Amerindic]] government [[sleuth]] message over [[societal]] medium and all social medium platform will be monitored for covid [[substance]]","Successful"
0.0,67.0,0.0,0.3671773672103882,"[[labour]] leader sir keir starmer is selfisolating after a member of his household displayed possible coronavirus symptom",1.0,0.5186141729354858,"[[drudge]] leader sir keir starmer is selfisolating after a member of his household displayed possible coronavirus symptom","Successful"
1.0,125.0,1.0,0.3564378023147583,"hair weave and [[lace]] [[front]] [[manufactured]] in [[china]] may [[contain]] the coronavirus",1.0,0.3777853846549988,"hair weave and [[plait]] [[movement]] [[manufacture]] in [[Taiwan]] may [[bear]] the coronavirus","Failed"
1.0,71.0,1.0,0.3691057562828064,"when shri amitshah [[became]] covid [[positive]] shantidoots were organizing funeral",1.0,0.3808426856994629,"when shri amitshah [[go]] covid [[overconfident]] shantidoots were organizing funeral","Failed"
1.0,300.0,1.0,0.3558651804924011,"these [[picture]] are of dr v k srinivas of bharat biotech [[taking]] the first second [[dos]] of corona vaccine",1.0,0.4411856532096863,"these [[scene]] are of dr v k srinivas of bharat biotech [[consider]] the first second [[practise]] of corona vaccine","Failed"
1.0,39.0,1.0,0.426505446434021,"july ha le [[death]] than july despite pandemic",1.0,0.456199049949646,"july ha le [[destruction]] than july despite pandemic","Failed"
1.0,74.0,1.0,0.3519511818885803," [[contact]] [[tracing]] apps have been secretly installed on every android phone  ",1.0,0.3626880645751953," [[reach]] [[draw]] apps have been secretly installed on every android phone  ","Failed"
1.0,178.0,1.0,0.36525076627731323,"[[trump]] s covid [[test]] [[came]] back [[positive]] for stupidity donaldtrump whitehouse coronavirus [[c]]",1.0,0.38282620906829834,"[[best]] s covid [[quiz]] [[come]] back [[confirming]] for stupidity donaldtrump whitehouse coronavirus [[coke]]","Failed"
0.0,72.0,0.0,0.3865135908126831,"the concept of [[asymptomatic]] covid wa at the center of confusion and [[controversy]] this [[week]]",1.0,0.5080899000167847,"the concept of [[symptomless]] covid wa at the center of confusion and [[arguing]] this [[hebdomad]]","Successful"
1.0,300.0,1.0,0.36868816614151,"[[breaking]] news who [[say]] [[vaccine]] for covid is ready just [[go]] and buy a bmw z [[class]] covid mondayvibes",1.0,0.3893657326698303,"[[give]] news who [[suppose]] [[vaccinum]] for covid is ready just [[croak]] and buy a bmw z [[stratum]] covid mondayvibes","Failed"
0.0,1.0,1.0,0.6061753034591675,"clothing is unlikely to be a huge source of coronavirus transmission",1.0,0.6061753034591675,"clothing is unlikely to be a huge source of coronavirus transmission","Skipped"
1.0,168.0,1.0,0.3650684356689453,"news coronavirus crisis in italy [[lead]] donald [[trump]] to [[close]] all [[u]] pizzeria",1.0,0.3825395703315735,"news coronavirus crisis in italy [[lead-in]] donald [[outdo]] to [[airless]] all [[uranium]] pizzeria","Failed"
1.0,90.0,1.0,0.36856329441070557,"[[inside]] the fringe [[japanese]] religion that claim it can [[cure]] covid the new york [[time]]",1.0,0.3828723430633545,"[[inner]] the fringe [[Japanese]] religion that claim it can [[curative]] covid the new york [[sentence]]","Failed"
1.0,45.0,1.0,0.3599487543106079,"ugandan [[president]] [[announces]] the [[postponement]] of election",0.0,0.5671638250350952,"ugandan [[chairwoman]] [[denote]] the [[wait]] of election","Successful"
1.0,83.0,1.0,0.3547372817993164,"a [[police]] officer in [[bihars]] hajipur [[jail]] ha been affected with coronavirus",1.0,0.39169663190841675,"a [[law]] officer in [[Bihar]] hajipur [[imprison]] ha been affected with coronavirus","Failed"
1.0,61.0,1.0,0.3787360191345215,"flight crash victim test [[positive]] for covid",0.0,0.6025073528289795,"flight crash victim test [[incontrovertible]] for covid","Successful"
0.0,87.0,0.0,0.37011539936065674,"a twostent [[approach]] to [[complex]] coronary bifurcation [[lesion]] [[yielded]] [[improved]] clinical [[outcome]]",0.0,0.4625611901283264,"a twostent [[overture]] to [[composite]] coronary bifurcation [[wound]] [[give]] [[better]] clinical [[termination]]","Failed"
1.0,86.0,1.0,0.3656507134437561,"child will be [[separated]] from parent for coronavirus treatment",0.0,0.5112618207931519,"child will be [[differentiate]] from parent for coronavirus treatment","Successful"
1.0,152.0,1.0,0.36782002449035645,"a youtube video shared [[thousand]] of [[time]] [[claim]] that [[two]] [[child]] died from a [[novel]] coronavirus vaccine in [[guinea]]",1.0,0.39022016525268555,"a youtube video shared [[grand]] of [[sentence]] [[arrogate]] that [[deuce]] [[baby]] died from a [[new]] coronavirus vaccine in [[greaseball]]","Failed"
1.0,92.0,1.0,0.38877636194229126,"im about to deliver remark on the coronavirus pandemic tune in to [[watch]] live",0.0,0.6097531318664551,"im about to deliver remark on the coronavirus pandemic tune in to [[follow]] live","Successful"
0.0,110.0,0.0,0.46570485830307007,"it ha been day since the last case of covid wa acquired locally from an [[unknown]] source",1.0,0.6140447854995728,"it ha been day since the last case of covid wa acquired locally from an [[strange]] source","Successful"
1.0,66.0,1.0,0.3579728603363037," a vaccine ha been developed that [[cure]] covid in just three [[hour]]  ",0.0,0.6149425506591797," a vaccine ha been developed that [[therapeutic]] covid in just three [[hr]]  ","Successful"
1.0,167.0,1.0,0.3479931354522705," [[images]] [[showing]] vaccine for coronavirus have already been [[discovered]] were patented and will be readily available  ",0.0,0.5253170132637024," [[figure]] [[demo]] vaccine for coronavirus have already been [[identify]] were patented and will be readily available  ","Successful"
0.0,42.0,0.0,0.36802369356155396,"a [[possibility]] for covid patient to wean off the ventilator or avoid it altogether",1.0,0.596489429473877,"a [[theory]] for covid patient to wean off the ventilator or avoid it altogether","Successful"
1.0,81.0,1.0,0.37789392471313477,"year ago published a [[study]] on chloroquine it is [[effective]] against covid",1.0,0.38820940256118774,"year ago published a [[sketch]] on chloroquine it is [[good]] against covid","Failed"
0.0,158.0,0.0,0.357341468334198,"rt cdcdirector flu and covid can [[result]] in complication [[however]] covid is [[associated]] with [[additional]] [[complication]] like [[blood]] [[cl]]",0.0,0.4423859119415283,"rt cdcdirector flu and covid can [[termination]] in complication [[withal]] covid is [[assort]] with [[extra]] [[tortuousness]] like [[roue]] [[chlorine]]","Failed"
1.0,73.0,1.0,0.35875576734542847,"coronavirus doe not [[affect]] people with o [[blood]] type",0.0,0.5100299119949341,"coronavirus doe not [[regard]] people with o [[descent]] type","Successful"
1.0,66.0,1.0,0.3529393672943115,"coronavirus patient [[bite]] a [[doctors]] jugular in the [[usa]]",1.0,0.3789598345756531,"coronavirus patient [[raciness]] a [[sophisticate]] jugular in the [[Army]]","Failed"
1.0,184.0,1.0,0.34859758615493774,"neighborhood [[sign]] [[asking]] medical staff not to go home and [[stay]] elsewhere in spain",0.0,0.5409348607063293,"neighborhood [[signalize]] [[take]] medical staff not to go home and [[delay]] elsewhere in spain","Successful"
1.0,200.0,1.0,0.3532062768936157,"[[high]] death rate in [[italy]] is due to people [[taking]] [[ibuprofen]]",1.0,0.4032657742500305,"[[highschool]] death rate in [[Italia]] is due to people [[aim]] [[Advil]]","Failed"
1.0,300.0,1.0,0.3614017963409424,"italy [[find]] [[home]] remedy for covid [[gms]] aspirin [[dissolved]] with [[lemon]] juice boiled with [[honey]] it is taken [[hot]]",1.0,0.38387012481689453,"italy [[encounter]] [[family]] remedy for covid [[gramme]] aspirin [[dismiss]] with [[gamboge]] juice boiled with [[dearest]] it is taken [[spicy]]","Failed"
1.0,85.0,1.0,0.35269278287887573,"[[people]] in wuhan are [[locked]] [[inside]] their [[house]] by the [[chinese]] [[government]]",1.0,0.3827548027038574,"[[citizenry]] in wuhan are [[interlace]] [[within]] their [[mansion]] by the [[Taiwanese]] [[politics]]","Failed"
1.0,199.0,1.0,0.3591970205307007,"a [[video]] [[claiming]] body [[packed]] in [[body]] [[bag]] are being dumped in [[mass]] [[graf]] in [[italy]] and [[spain]]",1.0,0.3823251724243164,"a [[television]] [[claim]] body [[jam-packed]] in [[trunk]] [[pocket]] are being dumped in [[mess]] [[Graf]] in [[Italia]] and [[Spain]]","Failed"
1.0,118.0,1.0,0.3503526449203491,"this [[video]] [[show]] [[dead]] coronavirus victim amassed in the bergamo or brescia hospital",1.0,0.38018184900283813,"this [[television]] [[testify]] [[idle]] coronavirus victim amassed in the bergamo or brescia hospital","Failed"
0.0,1.0,1.0,0.5138640403747559,"really we need to move on from hydroxychloroquine say expert",1.0,0.5138640403747559,"really we need to move on from hydroxychloroquine say expert","Skipped"
1.0,45.0,1.0,0.3636283278465271,"[[man]] [[decides]] yoga is not for him coronavirus lockdown yoga",1.0,0.3681841492652893,"[[serviceman]] [[decide]] yoga is not for him coronavirus lockdown yoga","Failed"
1.0,126.0,1.0,0.3696681261062622,"nurse submitting coronavirus test say they all are coming back [[positive]]",0.0,0.5011479258537292,"nurse submitting coronavirus test say they all are coming back [[incontrovertible]]","Successful"
1.0,95.0,1.0,0.3952566385269165,"promise lakh in each [[account]] delivery lakh corona [[count]] lakhaagaye failedmodi modigovernment fail",0.0,0.5498201847076416,"promise lakh in each [[report]] delivery lakh corona [[enumeration]] lakhaagaye failedmodi modigovernment fail","Successful"
1.0,59.0,1.0,0.3482535481452942,"[[channel]] s jon [[snow]] is [[infected]] with coronavirus",1.0,0.4242766499519348,"[[channelize]] s jon [[C]] is [[taint]] with coronavirus","Failed"
1.0,107.0,1.0,0.37311720848083496,"lockdown [[forcing]] woman to [[realise]] just how [[bad]] her diet is",0.0,0.6039794683456421,"lockdown [[drive]] woman to [[recognise]] just how [[high-risk]] her diet is","Successful"
1.0,84.0,1.0,0.35745394229888916,"corona virus [[must]] be [[stopped]] [[confirm]] irish music fan",1.0,0.490964412689209,"corona virus [[moldiness]] be [[halt]] [[substantiate]] irish music fan","Failed"
1.0,1.0,0.0,0.551793098449707,"model projecting covid death are talking about without mitigation",0.0,0.551793098449707,"model projecting covid death are talking about without mitigation","Skipped"
1.0,211.0,1.0,0.3624728322029114,"pib ha clarified that pmsby doesnt [[cover]] covid related death while pmjjby [[cover]] covid death with certain condition",0.0,0.5335755348205566,"pib ha clarified that pmsby doesnt [[encompass]] covid related death while pmjjby [[binding]] covid death with certain condition","Successful"
0.0,89.0,0.0,0.38198918104171753,"mighty kites kia os there are currently no [[active]] [[case]] in wellington",1.0,0.5525223016738892,"mighty kites kia os there are currently no [[fighting]] [[pillowcase]] in wellington","Successful"
1.0,88.0,1.0,0.34461575746536255,"say gov tony evers is [[pushing]] firearm confiscation order",0.0,0.5194298028945923,"say gov tony evers is [[labour]] firearm confiscation order","Successful"
0.0,90.0,0.0,0.36829841136932373,"the spread of coronavirus through fan and air conditioning is this [[week]] s clinical trend",1.0,0.5224252939224243,"the spread of coronavirus through fan and air conditioning is this [[hebdomad]] s clinical trend","Successful"
1.0,36.0,1.0,0.36407285928726196,"neopineal we are not covid denier some [[people]] [[deserve]] to be [[locked]] up",0.0,0.5157910585403442,"neopineal we are not covid denier some [[multitude]] [[merit]] to be [[engage]] up","Successful"
1.0,81.0,1.0,0.3578554391860962,"terminally [[ill]] patient resentful they re not [[dying]] from covid [[death]] coronavirus healthcare cancer",1.0,0.39877521991729736,"terminally [[inauspicious]] patient resentful they re not [[anxious]] from covid [[expiry]] coronavirus healthcare cancer","Failed"
1.0,33.0,1.0,0.36937999725341797,"[[japanese]] nobel laureate tasuku honjo [[announced]] that coronavirus is manmade",1.0,0.38626623153686523,"[[Nipponese]] nobel laureate tasuku honjo [[harbinger]] that coronavirus is manmade","Failed"
1.0,134.0,1.0,0.34566229581832886,"if you have symptom of covid [[take]] azithromycin ivermectin and acetylcysteine",1.0,0.35601234436035156,"if you have symptom of covid [[claim]] azithromycin ivermectin and acetylcysteine","Failed"
1.0,108.0,1.0,0.3632761240005493,"after month of decreased pollution with human in lockdown gorilla population are [[starting]] to [[develop]] [[rudimentary]] nuclear [[weapon]]",0.0,0.5343567132949829,"after month of decreased pollution with human in lockdown gorilla population are [[part]] to [[modernise]] [[underlying]] nuclear [[arm]]","Successful"
1.0,180.0,1.0,0.36137819290161133,"[[kid]] reach f k this [[shit]] stage of lockdown",0.0,0.5796307921409607,"[[minor]] reach f k this [[make]] stage of lockdown","Successful"
1.0,185.0,1.0,0.3596310019493103,"[[news]] our [[disgusting]] [[sticky]] table [[catch]] and [[trap]] coronavirus safely insists wetherspoons bos",0.0,0.5395129919052124,"[[tidings]] our [[repelling]] [[unenviable]] table [[overtake]] and [[immobilise]] coronavirus safely insists wetherspoons bos","Successful"
0.0,182.0,0.0,0.3287200927734375,"only aggressive [[action]] [[combined]] with national unity and [[global]] solidarity can [[turn]] the covid pandemic [[around]] drtedros",0.0,0.3586496114730835,"only aggressive [[fulfill]] [[unite]] with national unity and [[globose]] solidarity can [[reverse]] the covid pandemic [[some]] drtedros","Failed"
1.0,92.0,1.0,0.3510681986808777,"maduro ha [[supported]] the use of herbal infusion to [[cure]] covid",0.0,0.545555591583252,"maduro ha [[support]] the use of herbal infusion to [[therapeutic]] covid","Successful"
1.0,170.0,1.0,0.3677637577056885,"[[doctor]] [[operated]] and [[took]] out the kidney of a covid patient",0.0,0.5430142879486084,"[[restore]] [[engage]] and [[rent]] out the kidney of a covid patient","Successful"
