"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
1.0,54.0,1.0,0.3729332685470581,"oh [[really]] meat packing plant are unhealthy asks smug ghost of upton sinclair newsinphoto [[meatpacking]] covid",1.0,0.38513028621673584,"oh [[even]] meat packing plant are unhealthy asks smug ghost of upton sinclair newsinphoto [[s]] covid","Failed"
1.0,69.0,1.0,0.4799138307571411,"the overall lethality of covid infection fatality rate is about to and thus in the range of a severe [[influenza]] up to of all person may already have a certain cellular background immunity to the new coronavirus due to contact with previous coronaviruses i e cold virus there is still little to no scientific evidence for the effectiveness of cloth face mask in healthy and asymptomatic individual",0.0,0.5281698107719421,"the overall lethality of covid infection fatality rate is about to and thus in the range of a severe [[flu]] up to of all person may already have a certain cellular background immunity to the new coronavirus due to contact with previous coronaviruses i e cold virus there is still little to no scientific evidence for the effectiveness of cloth face mask in healthy and asymptomatic individual","Successful"
0.0,34.0,0.0,0.3066003918647766,"indiafightscorona state ut account for nearly of the new recovered case maharashtra [[ha]] maintained this lead with new recovery",0.0,0.3143922686576843,"indiafightscorona state ut account for nearly of the new recovered case maharashtra [[department]] maintained this lead with new recovery","Failed"
0.0,62.0,0.0,0.29827624559402466,"indiafightscorona india s per day testing capacity ha crossed lakh [[test]] test were conducted in the last hour the weekly average [[test]] have multiplied by more than time [[since]] the first week of january staysafe indiawillwin",0.0,0.3174777626991272,"indiafightscorona india s per day testing capacity ha crossed lakh [[air]] test were conducted in the last hour the weekly average [[tests]] have multiplied by more than time [[as]] the first week of january staysafe indiawillwin","Failed"
1.0,238.0,1.0,0.38651490211486816,"man ha [[gone]] to [[live]] in parallel universe alcohol [[coronavirus]] whisky",1.0,0.4222610592842102,"man ha [[plans]] to [[train]] in parallel universe alcohol [[[UNK]]] whisky","Failed"
0.0,98.0,0.0,0.27693378925323486,"state [[reported]] more than k case today and k case [[yesterday]] the highest number we ve seen since may mississippi hasn t [[updated]] it number in two day so we [[expect]] we re missing case there based on their [[previous]] update",0.0,0.3020792007446289,"state [[nothing]] more than k case today and k case [[week]] the highest number we ve seen since may mississippi hasn t [[changed]] it number in two day so we [[hoped]] we re missing case there based on their [[same]] update","Failed"
0.0,95.0,0.0,0.3054335117340088,"indiafightscorona of the new recovered [[case]] are being reported from ten state ut maharashtra continues to [[lead]] with more than new recovered patient andhra pradesh [[contributed]] more than to the single day recovery",0.0,0.3213191032409668,"indiafightscorona of the new recovered [[people]] are being reported from ten state ut maharashtra continues to [[play]] with more than new recovered patient andhra pradesh [[completed]] more than to the single day recovery","Failed"
0.0,74.0,0.0,0.32279127836227417,"cdc and google remind you that [[wearing]] cloth face covering in public setting can [[help]] slowthespread of covid learn more about cloth [[face]] covering",0.0,0.3383265733718872,"cdc and google remind you that [[understanding]] cloth face covering in public setting can [[aid]] slowthespread of covid learn more about cloth [[appearance]] covering","Failed"
1.0,86.0,1.0,0.3597428798675537,"the viral text message [[claim]] that the chemical substance methylxanthines [[required]] to cure covid can be found in tea dr li [[wenliang]] had found this cure while researching about coronavirus before his death",1.0,0.39053457975387573,"the viral text message [[claiming]] that the chemical substance methylxanthines [[help]] to cure covid can be found in tea dr li [[ch]] had found this cure while researching about coronavirus before his death","Failed"
0.0,94.0,0.0,0.3111300468444824,"over worker in meat and poultry processing [[facility]] in state were infected with covid in april and may learn more about infection [[among]] [[worker]] at meat and poultry processing facility and step facility can take to [[slow]] the spread",0.0,0.3323611617088318,"over worker in meat and poultry processing [[system]] in state were infected with covid in april and may learn more about infection [[than]] [[staff]] at meat and poultry processing facility and step facility can take to [[combat]] the spread","Failed"
