"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
1.0,43.0,1.0,0.3529213070869446,"[[salary]] pension of [[government]] employee will be [[deducted]]",0.0,0.5809008479118347,"[[remuneration]] pension of [[governance]] employee will be [[deduce]]","Successful"
1.0,44.0,1.0,0.34761911630630493,"the vaccine against the [[new]] coronavirus ha [[existed]] since",1.0,0.3604430556297302,"the vaccine against the [[young]] coronavirus ha [[subsist]] since","Failed"
1.0,86.0,1.0,0.3708697557449341,"[[post]] [[say]] sanitizer will do [[nothing]] for the coronavirus",1.0,0.432869553565979,"[[station]] [[articulate]] sanitizer will do [[nada]] for the coronavirus","Failed"
0.0,1.0,1.0,0.6069282293319702,"of american adult believe in wearing mask",1.0,0.6069282293319702,"of american adult believe in wearing mask","Skipped"
0.0,55.0,0.0,0.44708091020584106,"helping patient through postcovid postintensive [[care]] syndrome coronavirus",1.0,0.5136469602584839,"helping patient through postcovid postintensive [[precaution]] syndrome coronavirus","Successful"
0.0,86.0,0.0,0.35782527923583984,"death continue falling the day [[average]] just [[edged]] under",1.0,0.5587790012359619,"death continue falling the day [[fair]] just [[stinging]] under","Successful"
1.0,51.0,1.0,0.3626033067703247,"[[trump]] [[suggests]] donkey penis cure covid donaldtrump covid",1.0,0.379907488822937,"[[best]] [[propose]] donkey penis cure covid donaldtrump covid","Failed"
1.0,72.0,1.0,0.36206454038619995,"yatris are [[stuck]] at vaishno devi due to covid",1.0,0.37848377227783203,"yatris are [[deposit]] at vaishno devi due to covid","Failed"
1.0,14.0,1.0,0.36147618293762207,"sandythapar covid and virus aur beech me coronil [[kit]]",1.0,0.3624423146247864,"sandythapar covid and virus aur beech me coronil [[outfit]]","Failed"
1.0,63.0,1.0,0.3603559732437134,"say gov tony evers [[administration]] [[deemed]] dentist [[nonessential]]",1.0,0.37501227855682373,"say gov tony evers [[brass]] [[hold]] dentist [[inessential]]","Failed"
1.0,51.0,1.0,0.3671787977218628," [[queen]] elizabeth [[ii]] [[ha]] been [[diagnosed]] with coronavirus  ",1.0,0.47109806537628174," [[fag]] elizabeth [[2]] [[HA]] been [[name]] with coronavirus  ","Failed"
0.0,1.0,1.0,0.5063642263412476,"equity accuracy and quality question surround the coronavirus vaccine",1.0,0.5063642263412476,"equity accuracy and quality question surround the coronavirus vaccine","Skipped"
1.0,61.0,1.0,0.38255172967910767,"raisin [[prevents]] clotting thus help to fight covid",0.0,0.5709227323532104,"raisin [[forestall]] clotting thus help to fight covid","Successful"
1.0,1.0,0.0,0.551793098449707,"model projecting covid death are talking about without mitigation",0.0,0.551793098449707,"model projecting covid death are talking about without mitigation","Skipped"
1.0,57.0,1.0,0.3765338659286499,"[[trump]] [[offer]] to [[pardon]] coronavirus newsinphoto covid coronavirusnyc",1.0,0.3892732262611389,"[[outflank]] [[bid]] to [[excuse]] coronavirus newsinphoto covid coronavirusnyc","Failed"
1.0,47.0,1.0,0.35688793659210205,"[[trump]] [[announces]] a cure for covid donaldtrump coronavirus",1.0,0.3770524263381958,"[[best]] [[declare]] a cure for covid donaldtrump coronavirus","Failed"
1.0,46.0,1.0,0.34933555126190186,"[[high]] temperature [[kill]] the [[novel]] [[corona]] virus",1.0,0.38074934482574463,"[[luxuriously]] temperature [[down]] the [[fresh]] [[aureole]] virus","Failed"
1.0,175.0,1.0,0.35429930686950684,"[[black]] [[magic]] at [[work]] in [[bathroom]] coronavirus blackmagic",0.0,0.5424052476882935,"[[melanize]] [[thaumaturgy]] at [[act]] in [[lav]] coronavirus blackmagic","Successful"
0.0,60.0,0.0,0.365383505821228,"coronavirus franchising ended a government [[seek]] new rail future",1.0,0.5130268335342407,"coronavirus franchising ended a government [[essay]] new rail future","Successful"
1.0,101.0,1.0,0.3608735203742981,"italy is [[burying]] [[corona]] victim in mass graf",1.0,0.37334388494491577,"italy is [[immerse]] [[aureole]] victim in mass graf","Failed"
1.0,18.0,1.0,0.3651302456855774,"alfalfa is the only [[cure]] for covid",1.0,0.3664073944091797,"alfalfa is the only [[remedy]] for covid","Failed"
1.0,67.0,1.0,0.3702465295791626,"factchecking [[ha]] [[israel]] already [[discovered]] a covid vaccine",1.0,0.3832821846008301,"factchecking [[HA]] [[Zion]] already [[hear]] a covid vaccine","Failed"
1.0,84.0,1.0,0.35745394229888916,"corona virus [[must]] be [[stopped]] [[confirm]] irish music fan",1.0,0.490964412689209,"corona virus [[moldiness]] be [[halt]] [[substantiate]] irish music fan","Failed"
1.0,16.0,1.0,0.3706003427505493,"there ha been a pandemic every [[year]]",1.0,0.38039499521255493,"there ha been a pandemic every [[yr]]","Failed"
0.0,24.0,0.0,0.41181308031082153,"[[recommendation]] for treating colorectal cancer during the covid pandemic",1.0,0.6066455841064453,"[[testimonial]] for treating colorectal cancer during the covid pandemic","Successful"
0.0,34.0,0.0,0.36331814527511597,"hospitalist compensation [[report]] of every hospitalists are [[woman]]",1.0,0.5659887194633484,"hospitalist compensation [[paper]] of every hospitalists are [[charwoman]]","Successful"
