"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
1.0,275.0,1.0,0.368472158908844,"oh [[really]] [[meat]] [[packing]] [[plant]] are [[unhealthy]] [[asks]] smug [[ghost]] of upton sinclair newsinphoto meatpacking covid",1.0,0.406377911567688,"oh [[openly]] [[marinade]] [[packaging]] [[factories]] are [[dirty]] [[claiming]] smug [[apparition]] of upton sinclair newsinphoto meatpacking covid","Failed"
1.0,214.0,1.0,0.3173636794090271,"the overall lethality of covid infection fatality rate is about to and thus in the [[range]] of a severe [[influenza]] up to of all person may already have a certain cellular background immunity to the new coronavirus due to contact with previous coronaviruses i [[e]] cold virus there is still little to no [[scientific]] evidence for the [[effectiveness]] of cloth face [[mask]] in [[healthy]] and asymptomatic [[individual]]",0.0,0.5075312256813049,"the overall lethality of covid infection fatality rate is about to and thus in the [[assortment]] of a severe [[flu]] up to of all person may already have a certain cellular background immunity to the new coronavirus due to contact with previous coronaviruses i [[fae]] cold virus there is still little to no [[scholarly]] evidence for the [[efficiency]] of cloth face [[obscures]] in [[firmer]] and asymptomatic [[distinct]]","Successful"
0.0,311.0,0.0,0.3206108808517456,"indiafightscorona [[state]] ut [[account]] for [[nearly]] of the [[new]] [[recovered]] [[case]] [[maharashtra]] [[ha]] [[maintained]] this [[lead]] with [[new]] recovery",0.0,0.37392663955688477,"indiafightscorona [[sate]] ut [[accountable]] for [[roughly]] of the [[latest]] [[resumed]] [[incidents]] [[uttar]] [[ap]] [[remains]] this [[culminating]] with [[latest]] recovery","Failed"
0.0,584.0,0.0,0.33371126651763916,"indiafightscorona india s per day [[testing]] [[capacity]] [[ha]] crossed [[lakh]] [[test]] [[test]] were [[conducted]] in the [[last]] [[hour]] the weekly [[average]] [[test]] [[have]] [[multiplied]] by more than [[time]] [[since]] the first [[week]] of [[january]] staysafe indiawillwin",0.0,0.3869386911392212,"indiafightscorona india s per day [[inspecting]] [[competent]] [[ai]] crossed [[bac]] [[experiences]] [[tested]] were [[embarked]] in the [[past]] [[hrs]] the weekly [[mean]] [[tested]] [[receive]] [[increased]] by more than [[clocking]] [[if]] the first [[month]] of [[february]] staysafe indiawillwin","Failed"
1.0,125.0,1.0,0.3363177180290222,"[[man]] ha gone to [[live]] in [[parallel]] [[universe]] alcohol coronavirus [[whisky]]",0.0,0.5357189178466797,"[[homme]] ha gone to [[births]] in [[concurrent]] [[orb]] alcohol coronavirus [[malt]]","Successful"
0.0,653.0,0.0,0.3367064595222473,"[[state]] reported more than k case [[today]] and k case [[yesterday]] the highest number we ve seen [[since]] may [[mississippi]] hasn t [[updated]] it number in [[two]] day [[so]] we [[expect]] we [[re]] missing [[case]] there based on their [[previous]] [[update]]",0.0,0.3960943818092346,"[[country]] reported more than k case [[tuesday]] and k case [[monday]] the highest number we ve seen [[before]] may [[arkansas]] hasn t [[updating]] it number in [[three]] day [[once]] we [[forecast]] we [[ers]] missing [[trial]] there based on their [[latest]] [[updating]]","Failed"
0.0,474.0,0.0,0.32913535833358765,"indiafightscorona of the new recovered [[case]] are being [[reported]] from [[ten]] [[state]] ut [[maharashtra]] [[continues]] to lead with more than new [[recovered]] [[patient]] andhra pradesh [[contributed]] more than to the [[single]] [[day]] [[recovery]]",0.0,0.3776788115501404,"indiafightscorona of the new recovered [[occasions]] are being [[informed]] from [[tenth]] [[status]] ut [[pradesh]] [[persistent]] to lead with more than new [[recover]] [[patients]] andhra pradesh [[attend]] more than to the [[sole]] [[dates]] [[resume]]","Failed"
0.0,102.0,0.0,0.325439989566803,"cdc and google remind you that wearing cloth face covering in public [[setting]] can help slowthespread of covid [[learn]] more about cloth face covering",1.0,0.5028745532035828,"cdc and google remind you that wearing cloth face covering in public [[fix]] can help slowthespread of covid [[got]] more about cloth face covering","Successful"
1.0,564.0,1.0,0.38381123542785645,"the viral text [[message]] [[claim]] that the [[chemical]] [[substance]] methylxanthines [[required]] to cure covid can [[be]] [[found]] in tea [[dr]] [[li]] wenliang [[had]] [[found]] this [[cure]] while [[researching]] about coronavirus before his [[death]]",1.0,0.4423406720161438,"the viral text [[messages]] [[claiming]] that the [[chem]] [[articles]] methylxanthines [[request]] to cure covid can [[are]] [[uncovered]] in tea [[medico]] [[i]] wenliang [[haya]] [[visualized]] this [[curative]] while [[scoured]] about coronavirus before his [[victims]]","Failed"
0.0,247.0,0.0,0.30711984634399414,"over [[worker]] in meat and poultry processing facility in state were [[infected]] with covid in april and may [[learn]] more about infection among [[worker]] at meat and poultry processing facility and step facility can [[take]] to [[slow]] the [[spread]]",1.0,0.5230576992034912,"over [[laborers]] in meat and poultry processing facility in state were [[pollution]] with covid in april and may [[know]] more about infection among [[sculptor]] at meat and poultry processing facility and step facility can [[xiong]] to [[sluggish]] the [[aired]]","Successful"
0.0,119.0,0.0,0.43366289138793945,"we just [[announced]] an award from u s government agency barda for up to million to accelerate [[development]] of our mrna vaccine mrna against novel coronavirus",1.0,0.5330030918121338,"we just [[announces]] an award from u s government agency barda for up to million to accelerate [[wording]] of our mrna vaccine mrna against novel coronavirus","Successful"
1.0,239.0,1.0,0.3723015785217285,"[[muslim]] [[doctor]] [[died]] while [[treating]] [[people]] [[infected]] with coronavirus in [[delhi]]",1.0,0.4237590432167053,"[[islamist]] [[physicist]] [[croaks]] while [[manipulating]] [[humans]] [[polluted]] with coronavirus in [[chennai]]","Failed"
1.0,169.0,1.0,0.33372360467910767,"[[news]] don t [[lick]] a zebra for more than [[minute]] government coronavirus [[advice]] enters [[surreal]] [[stage]]",0.0,0.5018985271453857,"[[gazette]] don t [[undressing]] a zebra for more than [[min]] government coronavirus [[avis]] enters [[mesmerizing]] [[step]]","Successful"
1.0,86.0,1.0,0.33680474758148193,"[[fit]] [[people]] are [[immune]] to [[novel]] coronavirus",0.0,0.6121684908866882,"[[adapt]] [[mens]] are [[immunity]] to [[innovative]] coronavirus","Successful"
1.0,175.0,1.0,0.4129359722137451,"trump [[say]] he would [[mobilize]] military to distribute coronavirus [[vaccine]] when it s [[ready]]",1.0,0.44123518466949463,"trump [[saying]] he would [[mobilise]] military to distribute coronavirus [[measles]] when it s [[prepared]]","Failed"
0.0,215.0,0.0,0.3435786962509155,"our [[total]] [[number]] of confirmed [[case]] is which is the [[number]] we report to the world [[health]] organization there is no one in new zealand [[receiving]] hospitallevel [[care]] for covid",1.0,0.5065305233001709,"our [[absolute]] [[chiffre]] of confirmed [[trial]] is which is the [[chiffre]] we report to the world [[sanitation]] organization there is no one in new zealand [[purchaser]] hospitallevel [[zorg]] for covid","Successful"
1.0,289.0,1.0,0.3499441146850586,"asias [[richest]] [[man]] [[mukesh]] ambanis [[wife]] nita ambani [[received]] [[r]] a welfare [[fund]] from [[central]] [[government]]",1.0,0.40653228759765625,"asias [[rican]] [[guy]] [[gupta]] ambanis [[madame]] nita ambani [[gets]] [[rupees]] a welfare [[moneys]] from [[critical]] [[governments]]","Failed"
1.0,218.0,1.0,0.3848682641983032,"[[claim]] that [[fox]] news [[said]] that [[trump]] tested positive for covid",1.0,0.4458838105201721,"[[pretending]] that [[foxx]] news [[say]] that [[skank]] tested positive for covid","Failed"
