"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
0.0,9.0,0.0,0.30134308338165283,"coronavirus franchising ended a government seek new rail future",0.0,0.30134308338165283,"coronavirus franchising ended a government seek new rail future","Failed"
1.0,9.0,1.0,0.2690831422805786,"news coronavirus suspect to be quarantined on love island",1.0,0.2690831422805786,"news coronavirus suspect to be quarantined on love island","Failed"
1.0,9.0,1.0,0.2693309783935547,"who ha [[declared]] covid an endemic disease",1.0,0.2758052945137024,"who ha [[added]] covid an endemic disease","Failed"
1.0,9.0,1.0,0.2691501975059509," israel ha already developed a vaccine against covid  ",1.0,0.2691501975059509," israel ha already developed a vaccine against covid  ","Failed"
1.0,9.0,1.0,0.26946526765823364,"child will be separated from parent for coronavirus treatment",1.0,0.26946526765823364,"child will be separated from parent for coronavirus treatment","Failed"
1.0,9.0,1.0,0.4779048562049866,"coronavirus doe not affect people with o blood type",1.0,0.4779048562049866,"coronavirus doe not affect people with o blood type","Failed"
1.0,9.0,1.0,0.2690531611442566,"country were exporting covid diagnostic test instrument in",1.0,0.2690531611442566,"country were exporting covid diagnostic test instrument in","Failed"
1.0,9.0,1.0,0.26908278465270996,"russia report huge spike in coronavirus death among journalist",1.0,0.26908278465270996,"russia report huge spike in coronavirus death among journalist","Failed"
1.0,9.0,1.0,0.26899492740631104,"mm essential oil are cure for the coronavirus",1.0,0.26899492740631104,"mm essential oil are cure for the coronavirus","Failed"
0.0,1.0,1.0,0.7303870916366577,"brazil is a worrying combination of pandemic and pandemonium",1.0,0.7303870916366577,"brazil is a worrying combination of pandemic and pandemonium","Skipped"
1.0,9.0,1.0,0.2690695524215698,"covid kit for home linked to tata health",1.0,0.2690695524215698,"covid kit for home linked to tata health","Failed"
1.0,9.0,1.0,0.2696716785430908,"coronavirus spelled backwards surivanorac a coincidence coronavirus drbillingsgate",1.0,0.2696716785430908,"coronavirus spelled backwards surivanorac a coincidence coronavirus drbillingsgate","Failed"
1.0,9.0,1.0,0.26912921667099,"channel s jon snow is infected with coronavirus",1.0,0.26912921667099,"channel s jon snow is infected with coronavirus","Failed"
1.0,9.0,1.0,0.26899707317352295,"[[sanitizer]] will do nothing for the coronavirus",1.0,0.28165650367736816,".[[iti]], will do nothing for the coronavirus","Failed"
1.0,9.0,1.0,0.27755415439605713,"raisin prevents clotting thus help to fight covid",1.0,0.27755415439605713,"raisin prevents clotting thus help to fight covid","Failed"
1.0,9.0,1.0,0.26902395486831665,"[[people]] defying stayathome order fill arizona beach",1.0,0.26919740438461304,"[[all]] defying stayathome order fill arizona beach","Failed"
1.0,9.0,1.0,0.2692245841026306,"[[peru]] ha just nationalized hospital and clinic",1.0,0.2700147032737732,"[[[UNK]]] ha just nationalized hospital and clinic","Failed"
1.0,9.0,1.0,0.2690666913986206,"say gov tony evers is pushing firearm confiscation order",1.0,0.2690666913986206,"say gov tony evers is pushing firearm confiscation order","Failed"
1.0,9.0,1.0,0.26906830072402954,"first volunteer in uk coronavirus vaccine trial ha died",1.0,0.26906830072402954,"first volunteer in uk coronavirus vaccine trial ha died","Failed"
1.0,9.0,1.0,0.2689990997314453,"hydroxychloroquine and chloroquine are cure for the new coronavirus",1.0,0.2689990997314453,"hydroxychloroquine and chloroquine are cure for the new coronavirus","Failed"
0.0,1.0,1.0,0.7200281620025635,"of american adult believe in wearing mask",1.0,0.7200281620025635,"of american adult believe in wearing mask","Skipped"
1.0,9.0,1.0,0.2691226601600647,"madrid ha enabled the phone number to request prescription",1.0,0.2691226601600647,"madrid ha enabled the phone number to request prescription","Failed"
1.0,9.0,1.0,0.26909303665161133,"news jeremy corbyn demand government open talk with coronavirus",1.0,0.26909303665161133,"news jeremy corbyn demand government open talk with coronavirus","Failed"
1.0,9.0,1.0,0.2689940333366394,"local badass only wash hand for second handwashing coronalockdown",1.0,0.2689940333366394,"local badass only wash hand for second handwashing coronalockdown","Failed"
1.0,9.0,1.0,0.2690136432647705,"mosquito can transfer covid from person to person",1.0,0.2690136432647705,"mosquito can transfer covid from person to person","Failed"
1.0,9.0,1.0,0.2690029740333557,"and godd tweet too donaldtrump politics presidentialelection pandemic",1.0,0.2690029740333557,"and godd tweet too donaldtrump politics presidentialelection pandemic","Failed"
0.0,1.0,1.0,0.631330132484436,"abusedeterrent oxycontin will not solve the opioid epidemic",1.0,0.631330132484436,"abusedeterrent oxycontin will not solve the opioid epidemic","Skipped"
1.0,9.0,1.0,0.26906782388687134,"president trumps facemask speaks out donaldtrump coronavirus covid facemasks",1.0,0.26906782388687134,"president trumps facemask speaks out donaldtrump coronavirus covid facemasks","Failed"
1.0,9.0,1.0,0.269168496131897,"us bonhomme richard [[boast]] zero covid case",1.0,0.2693667411804199,"us bonhomme richard [[bo]], zero covid case","Failed"
1.0,9.0,1.0,0.2689661383628845,"alfalfa is the only [[cure]] for covid",1.0,0.26962465047836304,"alfalfa is the only [[candidate]] for covid","Failed"
1.0,9.0,1.0,0.26914429664611816,"cbs aired wrong video footage of a coronavirus hospital",1.0,0.26914429664611816,"cbs aired wrong video footage of a coronavirus hospital","Failed"
0.0,1.0,1.0,0.7267287969589233,"misc in pediatric coronavirus still a puzzle",1.0,0.7267287969589233,"misc in pediatric coronavirus still a puzzle","Skipped"
1.0,9.0,1.0,0.2689765691757202,"news report say student taking comedk got covid",1.0,0.2689765691757202,"news report say student taking comedk got covid","Failed"
1.0,9.0,1.0,0.2689896821975708,"[[covid]] patient zero had sex with bat",1.0,0.2690877318382263,"[[in]], patient zero had sex with bat","Failed"
1.0,9.0,1.0,0.26897257566452026,"yatris are stuck at vaishno devi due to covid",1.0,0.26897257566452026,"yatris are stuck at vaishno devi due to covid","Failed"
1.0,9.0,1.0,0.26913726329803467,"president giammattei said that the country ha covid test",1.0,0.26913726329803467,"president giammattei said that the country ha covid test","Failed"
1.0,9.0,1.0,0.26901334524154663,"u ha developed miracle drug remedesivir against covid",1.0,0.26901334524154663,"u ha developed miracle drug remedesivir against covid","Failed"
1.0,9.0,1.0,0.2689809799194336,"squeezing hot lemon water cure corona virus infection",1.0,0.2689809799194336,"squeezing hot lemon water cure corona virus infection","Failed"
1.0,9.0,1.0,0.268962562084198,"fennel tea is a cure against the new coronavirus",1.0,0.268962562084198,"fennel tea is a cure against the new coronavirus","Failed"
1.0,9.0,1.0,0.26906073093414307,"all india lock down increased till th may",1.0,0.26906073093414307,"all india lock down increased till th may","Failed"
1.0,9.0,1.0,0.3205608129501343,"comment section quarantined for outbreak of coronavirusrelated racism coronavirus",1.0,0.3205608129501343,"comment section quarantined for outbreak of coronavirusrelated racism coronavirus","Failed"
1.0,9.0,1.0,0.2693905234336853,"oklahoma coronavirus test rate after trump tulsa rally",1.0,0.2693905234336853,"oklahoma coronavirus test rate after trump tulsa rally","Failed"
0.0,9.0,0.0,0.2717331051826477,"covid is a wildfire not a wave via billhanage",0.0,0.2717331051826477,"covid is a wildfire not a wave via billhanage","Failed"
1.0,9.0,1.0,0.26903235912323,"say the coronavirus ha a recovery rate in texas",1.0,0.26903235912323,"say the coronavirus ha a recovery rate in texas","Failed"
1.0,9.0,1.0,0.2689681053161621,"muslimowned restaurant are spitting in food to spread coronavirus",1.0,0.2689681053161621,"muslimowned restaurant are spitting in food to spread coronavirus","Failed"
1.0,9.0,1.0,0.26897287368774414,"chinese spy stole the coronavirus from a canadian lab",1.0,0.26897287368774414,"chinese spy stole the coronavirus from a canadian lab","Failed"
1.0,9.0,1.0,0.26964688301086426,"g is the cause of the coronavirus pandemic",1.0,0.26964688301086426,"g is the cause of the coronavirus pandemic","Failed"
0.0,9.0,0.0,0.26942819356918335,"equity accuracy and quality question surround the coronavirus vaccine",0.0,0.26942819356918335,"equity accuracy and quality question surround the coronavirus vaccine","Failed"
1.0,9.0,1.0,0.2697979211807251,"fit [[people]] are immune to novel coronavirus",1.0,0.28029000759124756,"fit [[a]] are immune to novel coronavirus","Failed"
0.0,9.0,0.0,0.35651224851608276,"hospitalist compensation report of every hospitalists are woman",0.0,0.35651224851608276,"hospitalist compensation report of every hospitalists are woman","Failed"
