"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
0.0,455.0,0.0,0.4711751937866211,"our reviewer from toronto [[told]] you what you need to know about this film  except note that it needs editing the hand held technique gets really old  really fast  i saw this film last night in menerbes  france we are in the luberon valley  which is covered with vineyards and of course wine makers  they were all there in the salle de polyvalente for the showing crammed in  polite  patient  genial  although my french is testy  i got the gist of the film but noted that the audience loved the  old  terror growers interviewed esp  the one from a communist village in languedoc  he got a [[lot]] of laughs  this is unusual in france laughing aloud  there is no question which side of the terror globalization war they are on  sm",1.0,0.5030345916748047,"our reviewer from toronto [[tlod]] you what you need to know about this film  except note that it needs editing the hand held technique gets really old  really fast  i saw this film last night in menerbes  france we are in the luberon valley  which is covered with vineyards and of course wine makers  they were all there in the salle de polyvalente for the showing crammed in  polite  patient  genial  although my french is testy  i got the gist of the film but noted that the audience loved the  old  terror growers interviewed esp  the one from a communist village in languedoc  he got a [[batch]] of laughs  this is unusual in france laughing aloud  there is no question which side of the terror globalization war they are on  sm","Successful"
0.0,155.0,0.0,0.40419286489486694,"i have recently seen this movie due to jake s recent success with okeback mountain  i figured i would see the movies that i missed  i had no expectations going into the film so was astounded that i had missed this movie at all  it s a [[gripping]] father and son tale  and it is also an underdog story  i even shed a tear at the finale of this wonderful tale  this movie appeals to all ages  the only reason i give it a   out of   is that it slows down a little in the middle  but it comes back strong in the end  the acting was great  the story was magnificent  and the cinematography was captivating given the setting of the film  go see this movie  rent it  buy it  watch it  love it  i know i did ",1.0,0.5493849515914917,"i have recently seen this movie due to jake s recent success with okeback mountain  i figured i would see the movies that i missed  i had no expectations going into the film so was astounded that i had missed this movie at all  it s a [[grippіng]] father and son tale  and it is also an underdog story  i even shed a tear at the finale of this wonderful tale  this movie appeals to all ages  the only reason i give it a   out of   is that it slows down a little in the middle  but it comes back strong in the end  the acting was great  the story was magnificent  and the cinematography was captivating given the setting of the film  go see this movie  rent it  buy it  watch it  love it  i know i did ","Successful"
1.0,339.0,1.0,0.3329787850379944,"if you enjoy [[sitting]] in the dark  both literally and figuratively  for ninety minutes then this is the [[movie]] for you     a [[waste]] of actors  resources and audience time  ultimately a [[waste]] of space  don t be tempted by the [[resume]]  there is [[nothing]] of any further substance [[beyond]] it  the [[film]] lacks all of the basics that you might expect from the [[genre]]  plot  [[character]]  [[development]]  [[denouement]]  the [[cast]] may [[perhaps]] take heart from the knowledge that in this instance their efforts will be entirely forgettable and  given time  their careers may perhaps improve     absolute tripe ",0.0,0.5199187994003296,"if you enjoy [[sit𝚝ing]] in the dark  both literally and figuratively  for ninety minutes then this is the [[move]] for you     a [[was]] [[te]] of actors  resources and audience time  ultimately a [[wste]] of space  don t be tempted by the [[resumе]]  there is [[nothi]] [[ng]] of any further substance [[beуond]] it  the [[f]] [[ilm]] lacks all of the basics that you might expect from the [[genera]]  plot  [[charact]] [[er]]  [[evolving]]  [[suspenseful]]  the [[cas𝚝]] may [[perhapѕ]] take heart from the knowledge that in this instance their efforts will be entirely forgettable and  given time  their careers may perhaps improve     absolute tripe ","Successful"
0.0,1091.0,0.0,0.39861971139907837,"i m sitting around going through [[movie]] [[listings]] and not [[really]] seeing anything i want to see  my [[appetite]] keeps saying   something like oadcast news  that s what i [[want]]  [[something]] [[smart]] and [[funny]]  with [[adult]] [[ideas]] and [[great]] acting and writing  and a directorial style that doesn t [[call]] attention to itself  this may well be [[hurt]] s [[best]] performance  is this or the [[big]] [[chill]]  to my [[mind]]  however eccentric  [[hurt]] is [[smart]]  and to [[play]] an unintelligent [[person]] without making [[sure]]   [[wink]] wink   the [[audience]] [[knows]]   [[wink]] [[wink]]   [[hey]]  i m not stupid  well  that s fine acting right there  hunter is note perfect  and albert ooks is a revelation   and he can read and sing at the same time  great  great work     ",0.0,0.4343656301498413,"i m sitting around going through [[filmmaking]] [[lists]] and not [[realⅼy]] seeing anything i want to see  my [[starving]] keeps saying   something like oadcast news  that s what i [[wanted]]  [[anything]] [[smar𝚝]] and [[hilarious]]  with [[mature]] [[thoughts]] and [[awesome]] acting and writing  and a directorial style that doesn t [[calling]] attention to itself  this may well be [[hur𝚝]] s [[finest]] performance  is this or the [[grand]] [[cold]]  to my [[intellect]]  however eccentric  [[hur𝚝]] is [[smar𝚝]]  and to [[pⅼay]] an unintelligent [[perѕon]] without making [[suⲅe]]   [[blink]] wink   the [[audiences]] [[realizes]]   [[win𝒌]] [[blink]]   [[hi]]  i m not stupid  well  that s fine acting right there  hunter is note perfect  and albert ooks is a revelation   and he can read and sing at the same time  great  great work     ","Failed"
1.0,336.0,1.0,0.3363592028617859,"from the nepotism capitol of the [[world]] comes [[another]] junk [[flick]] in a [[fancy]] wrapper   cq  [[tells]] a lame  disjointed [[mess]] of a [[story]] which is [[little]] more than a [[bunch]] of [[silly]] [[caricatures]]  a [[babe]]  and [[straight]] [[man]] davies [[running]] [[around]] [[trying]] to make a [[stupid]] sci fi [[flick]]  i can t [[think]] of any [[reason]] [[anyone]] [[would]] [[want]] to [[spend]] [[time]] with this [[ridiculous]] [[attempt]] at [[film]] [[making]]   d ",1.0,0.451007604598999,"from the nepotism capitol of the [[worlԁ]] comes [[others]] junk [[movies]] in a [[fancу]] wrapper   cq  [[says]] a lame  disjointed [[chaos]] of a [[storу]] which is [[litle]] more than a [[banding]] of [[silⅼy]] [[caricature]]  a [[babе]]  and [[striaght]] [[ｍan]] davies [[execute]] [[roughly]] [[attempt]] to make a [[stupd]] sci fi [[movie]]  i can t [[thoughts]] of any [[reasons]] [[ayone]] [[woulԁ]] [[wanting]] to [[sepnd]] [[moment]] with this [[ridiculouѕ]] [[endeavour]] at [[filmmaking]] [[makinɡ]]   d ","Failed"
0.0,101.0,0.0,0.40315622091293335,"sterling and younger other try to survive on land  being squeezed by big cattlemen  when  rogue  other preston arrives  a moral dilemma ensues  john  drew  barrymore steals the show as the younger  impressionable other barrymore shows signs here that he could have been an acting [[powerhouse]]  [[moves]] at a nice pace to an exciting [[climax]] ",1.0,0.5026443004608154,"sterling and younger other try to survive on land  being squeezed by big cattlemen  when  rogue  other preston arrives  a moral dilemma ensues  john  drew  barrymore steals the show as the younger  impressionable other barrymore shows signs here that he could have been an acting [[pоwerhouse]]  [[mvoes]] at a nice pace to an exciting [[c]] [[limax]] ","Successful"
0.0,691.0,0.0,0.4162548780441284,"just thinking about the [[movie]]  i laugh to myself  [[anne]] [[ramsey]] plays an [[unforgettable]] part as  [[momma]]  [[probably]] the most nasty  yet [[hilarious]] [[matriarch]] [[ever]] [[captured]] on film  [[danny]] devito and billy [[crystal]] make a [[fabulous]] duo  inging a true warmth to the [[film]]  [[though]] not [[exceedingly]] [[complex]]  the [[cute]] [[story]] [[holds]] your [[attention]]  and keeps you [[laughing]] the [[whole]] [[way]] through  it s a fun [[comedy]] to lighten things up  and even will [[entertain]] the kids  i [[give]] it my [[full]] recommendation ",0.0,0.4401731491088867,"just thinking about the [[films]]  i laugh to myself  [[anna]] [[ramsay]] plays an [[mesmerizing]] part as  [[mummy]]  [[pro]] [[bably]] the most nasty  yet [[amusing]] [[socialite]] [[perpetually]] [[caught]] on film  [[zoe]] devito and billy [[glass]] make a [[magnificent]] duo  inging a true warmth to the [[filｍ]]  [[despite]] not [[tremendously]] [[complicated]]  the [[cu𝚝e]] [[histories]] [[hols]] your [[focus]]  and keeps you [[laugh]] the [[together]] [[paths]] through  it s a fun [[comeԁy]] to lighten things up  and even will [[hear]] the kids  i [[gіve]] it my [[fullest]] recommendation ","Failed"
1.0,126.0,1.0,0.33547210693359375,"hopalong cassidy with a horse who is not white   not named topper  go figure     this travesty does a gross [[injustice]] to the greatest of all cowboy heroes  hopalong cassidy  the actor who plays him is young versus old  blond haired versus white haired and kills people versus shooting the gun out of their hands  will the real hopalong please stand up     one of the [[worst]] [[movies]] ever made  believe it or not  by the person who ought us the grandfather saga ",0.0,0.5893377065658569,"hopalong cassidy with a horse who is not white   not named topper  go figure     this travesty does a gross [[inequities]] to the greatest of all cowboy heroes  hopalong cassidy  the actor who plays him is young versus old  blond haired versus white haired and kills people versus shooting the gun out of their hands  will the real hopalong please stand up     one of the [[gravest]] [[filmmaking]] ever made  believe it or not  by the person who ought us the grandfather saga ","Successful"
0.0,256.0,0.0,0.39497750997543335,"[[undoubtedly]] the funniest movie i have [[ever]] seen  it s [[definitely]] worth the [[fourteen]] [[minutes]] it takes to watch  i will never look at my kitchen [[appliances]] the same [[way]] again  bob [[knickerbocker]] [[deserves]] an [[oscar]]   [[relax]]  [[kid]]  it s only a [[movie]] ",0.0,0.4168310761451721,"[[undoubtedⅼy]] the funniest movie i have [[forever]] seen  it s [[surely]] worth the [[eighteen]] [[moments]] it takes to watch  i will never look at my kitchen [[equipments]] the same [[manner]] again  bob [[dakin]] [[deserved]] an [[academy]]   [[loosened]]  [[kids]]  it s only a [[moie]] ","Failed"
0.0,1077.0,0.0,0.4093360900878906,"[[chase]] has created a true [[phenomenon]] with the [[sopranos]]  unfaltering [[performances]]  rock solid writing  and some [[great]] music [[make]] up what has become [[quite]] [[possibly]] the [[best]] show ever     all of the cast are strong  but falco and gandolfini [[earned]] every inch of those emmy s  anyone who doubts this need only [[sample]] a few [[episodes]]  [[particularly]] from the first few [[seasons]]  [[james]] [[gandolfini]] is [[absolutely]] [[fierce]]  [[absolutely]] terrifying  and you [[still]] [[find]] yourself loving him   [[mesmerized]] by him     many people that i ve spoken to about the sopranos  who haven t seen it yet  will say  i m just not a fan of mafia movies shows  whatever  run   don t walk   and get it  those same people usually love  e r  but i bet they don t much care for hospitals  it s not about the context ",0.0,0.4392152428627014,"[[chaѕe]] has created a true [[pehnomenon]] with the [[soparnos]]  unfaltering [[depictions]]  rock solid writing  and some [[terrific]] music [[render]] up what has become [[perfectly]] [[possibⅼy]] the [[finest]] show ever     all of the cast are strong  but falco and gandolfini [[earnd]] every inch of those emmy s  anyone who doubts this need only [[samples]] a few [[epiodes]]  [[notably]] from the first few [[season]]  [[jams]] [[gandol𝚏ini]] is [[utterly]] [[intense]]  [[utterly]] terrifying  and you [[again]] [[found]] yourself loving him   [[enraptured]] by him     many people that i ve spoken to about the sopranos  who haven t seen it yet  will say  i m just not a fan of mafia movies shows  whatever  run   don t walk   and get it  those same people usually love  e r  but i bet they don t much care for hospitals  it s not about the context ","Failed"
