"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
1.0,1.0,0.0,0.7264686822891235,"two member of atletienglish test coronavirus positive ahead of ucl quarterfinal not sure how the rest of the team can be on the field in these circumstance championsleague",0.0,0.7264686822891235,"two member of atletienglish test coronavirus positive ahead of ucl quarterfinal not sure how the rest of the team can be on the field in these circumstance championsleague","Skipped"
1.0,23.0,1.0,0.41163188219070435,"household should have required medical [[kit]] with certain item and equipment to treat the different stage of covid",0.0,0.5594964027404785,"household should have required medical [[folder]] with certain item and equipment to treat the different stage of covid","Successful"
0.0,205.0,0.0,0.2689446806907654,"a mobile testing unit went to the airport site and all the [[staff]] who work there have now been tested the mobile testing went to the home of symptomatic people who work in the mount wellington [[site]] [[yesterday]] [[further]] testing is [[underway]] who work on different [[shift]]",1.0,0.5715315937995911,"a mobile testing unit went to the airport site and all the [[personnel]] who work there have now been tested the mobile testing went to the home of symptomatic people who work in the mount wellington [[platz]] [[sonntag]] [[langer]] testing is [[incessant]] who work on different [[transforms]]","Successful"
0.0,244.0,0.0,0.26895666122436523,"rt nytscience government across the [[country]] are [[adding]] [[thousand]] of [[job]] in the [[field]] of [[contact]] [[tracing]] to [[fight]] covid [[heres]] what",0.0,0.4790462255477905,"rt nytscience government across the [[fatherland]] are [[inserted]] [[hundred]] of [[worker]] in the [[zona]] of [[telephoning]] [[pinpoint]] to [[gunfight]] covid [[thx]] what","Failed"
0.0,208.0,0.0,0.2689552903175354,"there are nine people in hospital in [[auckland]] city three in north shore in icu and the rest in middlemore are in icu and considered [[critical]] we [[understand]] that this is a very [[difficult]] time for them and their family we are wishing them a full and speedy [[recovery]]",1.0,0.5091732740402222,"there are nine people in hospital in [[palmerston]] city three in north shore in icu and the rest in middlemore are in icu and considered [[momentous]] we [[cognizant]] that this is a very [[troublesome]] time for them and their family we are wishing them a full and speedy [[salvaging]]","Successful"
0.0,298.0,0.0,0.2689555287361145,"tcell [[response]] may [[offer]] a more [[precise]] [[measure]] of [[potential]] longterm [[immune]] [[protection]] from covid [[compared]] with [[antibody]] [[assay]]",1.0,0.584159255027771,"tcell [[riposte]] may [[offers]] a more [[grained]] [[caliber]] of [[imaginable]] longterm [[vaccinated]] [[copyrighted]] from covid [[compare]] with [[antiserum]] [[proof]]","Successful"
1.0,109.0,1.0,0.2700169086456299,"[[say]] wisconsin s inperson election ha [[caused]] a surge in new coronavirus case",0.0,0.7273276448249817,"[[talk]] wisconsin s inperson election ha [[generate]] a surge in new coronavirus case","Successful"
1.0,116.0,1.0,0.2763946056365967,"i m [[putting]] the little [[bastard]] up for adoption read some of [[ireland]] s [[heartwarming]] covid story",0.0,0.5747500061988831,"i m [[configured]] the little [[lowlife]] up for adoption read some of [[lreland]] s [[consoling]] covid story","Successful"
1.0,87.0,1.0,0.2689628005027771,"[[muslim]] are [[spreading]] coronavirus by leaving [[money]] strewn on the street",0.0,0.5352200269699097,"[[fundamentalism]] are [[spanned]] coronavirus by leaving [[capitalization]] strewn on the street","Successful"
1.0,156.0,1.0,0.2694941759109497,"[[man]] dismayed to find his health [[insurance]] doesnt [[cover]] him for coronavirus [[china]] coronavirus [[insurance]]",0.0,0.5070168972015381,"[[mens]] dismayed to find his health [[coverage]] doesnt [[coverage]] him for coronavirus [[wa]] coronavirus [[certainty]]","Successful"
0.0,37.0,0.0,0.28188180923461914,"but texas north carolina and south carolina also saw spike in [[hospitalization]]",1.0,0.6898587346076965,"but texas north carolina and south carolina also saw spike in [[jails]]","Successful"
1.0,225.0,1.0,0.2689511775970459,"[[kid]] [[died]] in [[senegal]] [[right]] after [[receiving]] the [[vaccine]] for the coronavirus",0.0,0.7233787775039673,"[[infantile]] [[casualties]] in [[jurgen]] [[correct]] after [[homepage]] the [[diphtheria]] for the coronavirus","Successful"
1.0,116.0,1.0,0.26894819736480713,"not a [[single]] [[muslim]] [[died]] of coronavirus in [[china]]",1.0,0.4517240524291992,"not a [[only]] [[aslam]] [[casualties]] of coronavirus in [[wah]]","Failed"
0.0,178.0,0.0,0.26894527673721313,"our [[daily]] update is published we ve now tracked [[million]] test up k from yesterday the nd largest singleday total note that we can only track test that a state report and not all state report all [[test]] for [[detail]] [[see]]",1.0,0.5644838809967041,"our [[diary]] update is published we ve now tracked [[trillion]] test up k from yesterday the nd largest singleday total note that we can only track test that a state report and not all state report all [[checked]] for [[wordy]] [[avis]]","Successful"
1.0,1.0,0.0,0.7310281991958618,"a business continue to adapt their service in the wake of covid the swa hand sanitiser portal is available for sourcing handsanitiser and ethanol for producing sanitiser complete your detail and find supplier here",0.0,0.7310281991958618,"a business continue to adapt their service in the wake of covid the swa hand sanitiser portal is available for sourcing handsanitiser and ethanol for producing sanitiser complete your detail and find supplier here","Skipped"
