"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
0.0,101.0,0.0,0.41692936420440674,"golden boy is ecchi [[humor]]  bordering on hentai  in the guise of  educational moments  the main character  kintaro  wanders around getting himself into the silliest situations involving women  it s just that he s shy on the surface but analyses everything until he can learn something from it  the most striking feature of the series are the circumstances surrounding his  education  which are outright embarrassing  yet funny at the same time ",1.0,0.5013312101364136,"golden boy is ecchi [[hilarity]]  bordering on hentai  in the guise of  educational moments  the main character  kintaro  wanders around getting himself into the silliest situations involving women  it s just that he s shy on the surface but analyses everything until he can learn something from it  the most striking feature of the series are the circumstances surrounding his  education  which are outright embarrassing  yet funny at the same time ","Successful"
0.0,165.0,0.0,0.31718361377716064,"it s [[amazing]] what you can do with little money  dead silent being a low budget movie [[delivers]] its promises   br  br  too bad we don t see rob lowe more often on the silver screen  lowe is at its best in this [[riveting]] [[thriller]]   no wonder he went from dead silent straight to the tv mega hit the west wing    br  br  dead silent   out of    br  br  sputtosi toronto ",1.0,0.5083876252174377,"it s [[whopping]] what you can do with little money  dead silent being a low budget movie [[supply]] its promises   br  br  too bad we don t see rob lowe more often on the silver screen  lowe is at its best in this [[hallucinatory]] [[thrillers]]   no wonder he went from dead silent straight to the tv mega hit the west wing    br  br  dead silent   out of    br  br  sputtosi toronto ","Successful"
0.0,147.0,0.0,0.3031091094017029,"i got to see the whole movie last night and i found it [[very]] [[exciting]] it was at least not like the teen slasher movies that pop out every now and then the search for the killer and the  partner  relationship between the hero the so called bad guy was parts i liked about the movie also i remember once being on the edge of my seat during a specific scene in the movie i mean it s exciting maybe some time later i might watch the movie again ",1.0,0.6899358034133911,"i got to see the whole movie last night and i found it [[awfully]] [[excite]] it was at least not like the teen slasher movies that pop out every now and then the search for the killer and the  partner  relationship between the hero the so called bad guy was parts i liked about the movie also i remember once being on the edge of my seat during a specific scene in the movie i mean it s exciting maybe some time later i might watch the movie again ","Successful"
1.0,200.0,1.0,0.3181881904602051,"this movie causes more [[unintentional]] laughter than anything else i ve ever seen  really  if you are a tolkien fan  rent it just to [[laugh]] at it with your friends  i won t be the millionth person to rip apart its [[flaws]]  all i will say is that the movie  for me  anyway  [[lost]] major [[points]] for turning my favorite character  sam  into a bumbling idiot  shame  shame     ",1.0,0.4488745927810669,"this movie causes more [[coincidental]] laughter than anything else i ve ever seen  really  if you are a tolkien fan  rent it just to [[humour]] at it with your friends  i won t be the millionth person to rip apart its [[defect]]  all i will say is that the movie  for me  anyway  [[disappear]] major [[dowry]] for turning my favorite character  sam  into a bumbling idiot  shame  shame     ","Failed"
1.0,200.0,1.0,0.3075339198112488,"the whole movie seemed to [[suffer]] from poor [[editing]]   every scene seemed to [[take]] forever to [[unfold]] and when they did  i felt like i had waited a long time for very [[little]] to happen  i [[guess]] i missed the whole point of the movie   either that or there wasn t one ",1.0,0.45985734462738037,"the whole movie seemed to [[anguish]] from poor [[changing]]   every scene seemed to [[bringing]] forever to [[intertwine]] and when they did  i felt like i had waited a long time for very [[hsiao]] to happen  i [[envision]] i missed the whole point of the movie   either that or there wasn t one ","Failed"
1.0,200.0,1.0,0.31494075059890747,"this movie was [[awful]]  it centered too much around eddie  clark griswald s brother in law  eddie [[works]] much better when changing good [[quips]] such as in  christmas vacation  and  vacation br  br  i really don t understand how a movie like this would be given the thumbs up  now  don t get me wrong  i like randy quaid  but just felt this movie was totally [[wrong]] for him and for the character in general  this movie leaves much to be desired and really needed some bigger name actors ",1.0,0.4969474673271179,"this movie was [[outrageous]]  it centered too much around eddie  clark griswald s brother in law  eddie [[cooperation]] much better when changing good [[chuckle]] such as in  christmas vacation  and  vacation br  br  i really don t understand how a movie like this would be given the thumbs up  now  don t get me wrong  i like randy quaid  but just felt this movie was totally [[mala]] for him and for the character in general  this movie leaves much to be desired and really needed some bigger name actors ","Failed"
0.0,199.0,0.0,0.31901121139526367,"buy this if you like rock  led zep or just want an [[amazing]] [[experience]]  world class  i [[love]] this band  and the dvd was even [[better]] than i had hoped for  believe me  if you took the time to [[read]] this thread  you need this dvd  period ",1.0,0.5027902126312256,"buy this if you like rock  led zep or just want an [[funky]] [[experiment]]  world class  i [[iike]] this band  and the dvd was even [[tougher]] than i had hoped for  believe me  if you took the time to [[lire]] this thread  you need this dvd  period ","Successful"
1.0,126.0,1.0,0.4069834351539612,"our gang got one chance at a feature film in its   year history  and this was the best that could be [[done]]  it s boring  forced and pointless  and i must respectfully disagree with the other poster on this film  the   little rascals remake was better than this  almost anything is  the kids are subordinate to the civil war proceedings  it doesn t feel like an our gang film at all  but like a humorless second rate shirley temple clone ",0.0,0.5019873380661011,"our gang got one chance at a feature film in its   year history  and this was the best that could be [[fulfil]]  it s boring  forced and pointless  and i must respectfully disagree with the other poster on this film  the   little rascals remake was better than this  almost anything is  the kids are subordinate to the civil war proceedings  it doesn t feel like an our gang film at all  but like a humorless second rate shirley temple clone ","Successful"
0.0,200.0,0.0,0.30125194787979126,"i [[grew]] up watching  and [[loving]] this cartoon every year  i didn t think they would be able to take a half hour    min  cartoon and make it a movie  they [[did]] it  with flying [[colours]]  fabulous  funny  [[heart]] warming  effective movie ",0.0,0.4826447367668152,"i [[widening]] up watching  and [[magnet]] this cartoon every year  i didn t think they would be able to take a half hour    min  cartoon and make it a movie  they [[suis]] it  with flying [[smudged]]  fabulous  funny  [[nuclei]] warming  effective movie ","Failed"
0.0,157.0,0.0,0.3032957911491394,"surely one of the [[best]] british films ever made  if not one of the best films ever made anywhere  script  cinematography  direction and acting in a class on their own  this film works on so many levels  so why is it completely unavailable on tape  [[dvd]]  never shown on tv  why is it hidden away when it is regularly shown at the national film theatre in london to [[packed]] houses ",1.0,0.5022170543670654,"surely one of the [[strictest]] british films ever made  if not one of the best films ever made anywhere  script  cinematography  direction and acting in a class on their own  this film works on so many levels  so why is it completely unavailable on tape  [[bluray]]  never shown on tv  why is it hidden away when it is regularly shown at the national film theatre in london to [[wrappings]] houses ","Successful"
