"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
1.0,83.0,1.0,0.2697192430496216,"some movies are repellent but still fascinating  pulp fiction  others are simply [[boring]]  this [[movie]] has an almost unique feature of being both utterly repellent and totally boring  by the end i didn t care about any of the characters  i just wanted all of them dead so i could get out of the theatre ",0.0,0.514817476272583,"some movies are repellent but still fascinating  pulp fiction  others are simply [[Ьoring]]  this [[filmmaking]] has an almost unique feature of being both utterly repellent and totally boring  by the end i didn t care about any of the characters  i just wanted all of them dead so i could get out of the theatre ","Successful"
1.0,75.0,1.0,0.3168796896934509,"at least the jingle by tim finn was melodic  roberts is the his usual [[inept]] self  [[characters]] are inconsistent  dull  purposeless  roberts changes his accent even [[within]] one line ",0.0,0.5167446136474609,"at least the jingle by tim finn was melodic  roberts is the his usual [[i]] [[nept]] self  [[charatcers]] are inconsistent  dull  purposeless  roberts changes his accent even [[across]] one line ","Successful"
0.0,270.0,0.0,0.27077043056488037,"while it certainly wasn t the [[best]] movie i ve [[ever]] [[seen]]  it was certainly [[worth]] the     which can t be [[said]] for [[many]] movies these days br  br  this was a pleasant [[account]] of a [[true]] story  although many of the [[details]] of the real story were twisted for the movie   ie  billy sunday s character was three or four people in the real [[story]] [[combined]] together  robert deniro was of course [[good]]  and cuba gooding  jr  was also impressive ",1.0,0.5179526805877686,"while it certainly wasn t the [[bеst]] movie i ve [[permanently]] [[sen]]  it was certainly [[pity]] the     which can t be [[say]] for [[several]] movies these days br  br  this was a pleasant [[acc]] [[ount]] of a [[trսe]] story  although many of the [[information]] of the real story were twisted for the movie   ie  billy sunday s character was three or four people in the real [[tale]] [[amalgamated]] together  robert deniro was of course [[nice]]  and cuba gooding  jr  was also impressive ","Successful"
1.0,138.0,1.0,0.2689785361289978,"ok we have a film that some are calling one of the best [[movies]] ever but i m [[sitting]] here thinking hell the f  the storys sux  which there is no story  the diolouge is quite [[plain]]  artisticly [[nothing]] great  and the acting is nothing real out standing  so if you want to pretend to be arty say you like it  but if you have a real view say you don t like it or if you did explain why ",0.0,0.532548725605011,"ok we have a film that some are calling one of the best [[mov]] [[ies]] ever but i m [[ѕitting]] here thinking hell the f  the storys sux  which there is no story  the diolouge is quite [[рlain]]  artisticly [[n]] [[othing]] great  and the acting is nothing real out standing  so if you want to pretend to be arty say you like it  but if you have a real view say you don t like it or if you did explain why ","Successful"
0.0,206.0,0.0,0.2699625492095947,"i went into a screening of  sister helen  at the sundance film festival and did not know what to expect br  br  i was [[riveted]] by the people in this documentary  sister helen is an [[incredible]] character  the filmmakers captured the [[essence]] of sister helen s [[amazing]] soul and took me into a world unknown  i was thoroughly satisfied by the [[journey]] and was completely caught off guard by this film s ending br  br  this film [[speaks]] to those who desire a [[second]] chance at [[life]] ",1.0,0.5120444297790527,"i went into a screening of  sister helen  at the sundance film festival and did not know what to expect br  br  i was [[rivеted]] by the people in this documentary  sister helen is an [[unbelievable]] character  the filmmakers captured the [[essecne]] of sister helen s [[aamzing]] soul and took me into a world unknown  i was thoroughly satisfied by the [[ϳourney]] and was completely caught off guard by this film s ending br  br  this film [[spaks]] to those who desire a [[secondly]] chance at [[lifе]] ","Successful"
1.0,294.0,1.0,0.26894813776016235,"from the nepotism capitol of the world comes [[another]] [[junk]] [[flick]] in a fancy wrapper   cq  tells a lame  [[disjointed]] [[mess]] of a [[story]] which is [[little]] more than a bunch of silly caricatures  a [[babe]]  and straight [[man]] davies running [[around]] trying to [[make]] a [[stupid]] sci fi flick  i can t think of any reason [[anyone]] [[would]] [[want]] to spend [[time]] with this [[ridiculous]] [[attempt]] at [[film]] making   d ",0.0,0.5011468529701233,"from the nepotism capitol of the world comes [[latest]] [[jun𝒌]] [[flic𝒌]] in a fancy wrapper   cq  tells a lame  [[disointed]] [[mss]] of a [[storу]] which is [[small]] more than a bunch of silly caricatures  a [[baby]]  and straight [[maո]] davies running [[aroud]] trying to [[doing]] a [[stupiԁ]] sci fi flick  i can t think of any reason [[everyone]] [[gotta]] [[wanna]] to spend [[moment]] with this [[ridiculouѕ]] [[atetmpt]] at [[fіlm]] making   d ","Successful"
1.0,125.0,1.0,0.2689763307571411,"this short film doesn t get there  cliche  and not very [[funny]] attempt at dark humor  humor isn t funny enough to get you interested and the protagonist isn t likeable so you really don t care about what happens anyway  producer [[spent]] some [[money]] on this [[flop]] and it shows in the production value which is the only saving [[grace]] ",0.0,0.5178685188293457,"this short film doesn t get there  cliche  and not very [[𝚏unny]] attempt at dark humor  humor isn t funny enough to get you interested and the protagonist isn t likeable so you really don t care about what happens anyway  producer [[speոt]] some [[monies]] on this [[floр]] and it shows in the production value which is the only saving [[gracia]] ","Successful"
1.0,1.0,0.0,0.6125118732452393,"this movie about a man on the run for killing a mobster is the kind of film you can watch entirely on fast forward  once you know who s who  and not lose a thing  it has an attractive cast but the plot is a virtual writer s guide to cinema cliche  and boy does the dialogue clunk ",0.0,0.6125118732452393,"this movie about a man on the run for killing a mobster is the kind of film you can watch entirely on fast forward  once you know who s who  and not lose a thing  it has an attractive cast but the plot is a virtual writer s guide to cinema cliche  and boy does the dialogue clunk ","Skipped"
0.0,144.0,0.0,0.27095991373062134,"i m really suprised this movie didn t get a higher rating on imdb  it s one of those movies that could easily get by someone  but for romantic comedy  moonstruck  is really in a class by itself  it s setting and ethnic charm are things people seem to take for granted  the casting alone makes it a nearly [[perfect]] [[movie]]  few movies in the   s were as [[good]] as  [[moonstruck]] and it s [[funny]] too    out of  ",1.0,0.5099561810493469,"i m really suprised this movie didn t get a higher rating on imdb  it s one of those movies that could easily get by someone  but for romantic comedy  moonstruck  is really in a class by itself  it s setting and ethnic charm are things people seem to take for granted  the casting alone makes it a nearly [[irreproachable]] [[moviе]]  few movies in the   s were as [[decent]] as  [[moоnstruck]] and it s [[droll]] too    out of  ","Successful"
0.0,172.0,0.0,0.27547770738601685,"first it was jack the [[ripper]]  now it is [[alan]] feinstone  the crazy [[dentist]] [[tortures]] people in horrific ways  quite realistic at [[times]] but some of the acting is abysmal and comical  especially from corbin bernson  in some [[scenes]] there is dental torture that will [[really]] [[make]] you cringe ",1.0,0.504418671131134,"first it was jack the [[rippeⲅ]]  now it is [[aⅼan]] feinstone  the crazy [[dentis𝚝]] [[tortured]] people in horrific ways  quite realistic at [[period]] but some of the acting is abysmal and comical  especially from corbin bernson  in some [[secnes]] there is dental torture that will [[reɑlly]] [[render]] you cringe ","Successful"
