"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
1.0,1520.0,1.0,0.367653489112854,"this is [[perhaps]] the creepiest [[display]] of santa claus [[ever]] [[committed]] to any medium  whether it be a [[book]]  a [[picture]]  or a [[movie]]  santa [[looks]] like a perv [[looking]] down on the [[children]] and the [[twisted]] story of inging merlin in to help him [[defeat]] [[one]] of [[satan]] s minions  [[pitch]]  doesn t [[make]] things any [[better]]  it s laughable to [[say]] the least  with [[bad]] effects  even for   standards  if a kid were to [[watch]] this movie  he d have [[nightmares]] and never [[want]] santa to [[visit]]  they d be [[scarred]] for life  imagine the kid s in  a christmas story  when they start screaming after being put on santa s lap  that s how this would turn out if kid s see this movie ",1.0,0.3907836079597473,"this is [[possibly]] the creepiest [[presentation]] of santa claus [[always]] [[attached]] to any medium  whether it be a [[script]]  a [[characterization]]  or a [[picture]]  santa [[feeling]] like a perv [[attend]] down on the [[kid]] and the [[distorted]] story of inging merlin in to help him [[overcome]] [[ace]] of [[Devil]] s minions  [[delivery]]  doesn t [[give]] things any [[good]]  it s laughable to [[read]] the least  with [[uncollectible]] effects  even for   standards  if a kid were to [[scout]] this movie  he d have [[nightmare]] and never [[deficiency]] santa to [[chatter]]  they d be [[pit]] for life  imagine the kid s in  a christmas story  when they start screaming after being put on santa s lap  that s how this would turn out if kid s see this movie ","Failed"
1.0,1153.0,1.0,0.3598700761795044,"it was a [[good]] story  but not very well told  i liked the themes and the main story line  which wasn t as clear as it could have been  maybe there was too much [[going]] on and a lack of ability to reign it all in  the acting was okay to cheesy  some were [[stronger]] than others and even the stronger actors had their moments of lesser quality acting  it [[took]] me a couple of months to get through the entire movie because it didn t keep my attention and the flow was just [[bad]]  i only just finished watching it and i m glad i did as the movie finally gets moving and has some continuity toward the end  again  a good story  but the delivery was sub par  would recommend it for the story line and maybe a little eye candy  and i do mean  a little ",0.0,0.5046908259391785,"it was a [[proficient]] story  but not very well told  i liked the themes and the main story line  which wasn t as clear as it could have been  maybe there was too much [[survive]] on and a lack of ability to reign it all in  the acting was okay to cheesy  some were [[potent]] than others and even the stronger actors had their moments of lesser quality acting  it [[acquire]] me a couple of months to get through the entire movie because it didn t keep my attention and the flow was just [[spoilt]]  i only just finished watching it and i m glad i did as the movie finally gets moving and has some continuity toward the end  again  a good story  but the delivery was sub par  would recommend it for the story line and maybe a little eye candy  and i do mean  a little ","Successful"
1.0,687.0,1.0,0.38306260108947754,"this film  although not totally bad  should have been filmed where the actual events took place  grand island  neaska was devastated by no less than seven tornados on the night of june       grand island is situated in the nearly treeless  flat platte river valley in hall county  the makers of this movie filmed in the tree covered hills of ontario and moved the whole event to a non existant town called blainsworth  the people of grand island avely survived this [[awful]] night only to be forgotten because of a poorly made movie ",0.0,0.5374732613563538,"this film  although not totally bad  should have been filmed where the actual events took place  grand island  neaska was devastated by no less than seven tornados on the night of june       grand island is situated in the nearly treeless  flat platte river valley in hall county  the makers of this movie filmed in the tree covered hills of ontario and moved the whole event to a non existant town called blainsworth  the people of grand island avely survived this [[awe-inspiring]] night only to be forgotten because of a poorly made movie ","Successful"
1.0,581.0,1.0,0.3473968505859375,"the film is [[set]] in newcastle on tyne in north east england  the town where i was born and grew up  the film is also fundamentally [[dishonest]]   the way it presents the town  the kids  but above all the men of the town  in this film they are all stupid  violent  thieving  thugs     i suppose i could comment on the plot  predictable  the performances  competently unattractive  the direction  lazy and unimaginative  but to me that is all irrelevant compared to the director s insult to the town and its people     thus the invitation in my summary to the director and writer  mark herman  to leave the north east ",0.0,0.5482542514801025,"the film is [[solidifying]] in newcastle on tyne in north east england  the town where i was born and grew up  the film is also fundamentally [[bribable]]   the way it presents the town  the kids  but above all the men of the town  in this film they are all stupid  violent  thieving  thugs     i suppose i could comment on the plot  predictable  the performances  competently unattractive  the direction  lazy and unimaginative  but to me that is all irrelevant compared to the director s insult to the town and its people     thus the invitation in my summary to the director and writer  mark herman  to leave the north east ","Successful"
1.0,1148.0,1.0,0.3622346520423889,"a very bad [[attempt]] at a young spinal [[tap]]  at least the music in spinal [[tap]] was [[good]]     this is [[really]] a very [[sad]] [[case]] of hollywood nepotism at it s [[worst]]  a [[bunch]] of hollywood execs  [[bad]] musicians and producers [[create]] some  poopie  [[show]] so their [[kids]] can be in the spotlight  oh please  the potty [[humor]] was [[even]] [[bad]]  i hate this stuff when there is [[really]] incredibly [[talented]] [[kids]]  musicians  actors and artists  out there busting their [[butts]] to have success and this crap comes along     help u all  why wasn t gene simmons in it  ameriac s taste in entertainment is going down the toilet ",1.0,0.3933297395706177,"a very bad [[essay]] at a young spinal [[beg]]  at least the music in spinal [[dab]] was [[sound]]     this is [[rattling]] a very [[distressing]] [[suit]] of hollywood nepotism at it s [[bad]]  a [[crew]] of hollywood execs  [[spoiled]] musicians and producers [[make]] some  poopie  [[evidence]] so their [[Kid]] can be in the spotlight  oh please  the potty [[temper]] was [[flush]] [[forged]]  i hate this stuff when there is [[real]] incredibly [[gifted]] [[minor]]  musicians  actors and artists  out there busting their [[stub]] to have success and this crap comes along     help u all  why wasn t gene simmons in it  ameriac s taste in entertainment is going down the toilet ","Failed"
1.0,1744.0,1.0,0.35899001359939575,"i [[rented]] this movie for about        the most [[complete]] waste of money  and time  i have ever spent  it s [[lame]]  i couldn t [[believe]] how they could [[come]] up with something [[like]] this     the [[plot]]  there is no [[plot]]  everything you d [[expect]] to [[happen]]  it does  only in a worse [[way]]  the acting was horrible  my [[dog]] could ve [[done]] [[better]]  the [[special]] effects have no [[effect]] whatsoever   except inducing [[complete]] disbelief  and the [[cheesy]] [[lines]]  i [[mean]]  why even [[bother]]       the only [[credit]] i can [[give]] this piece of sh t are the opening scenes  they were actually quite pretty  and one of the reasons why i decided to rent this  the graphics shown there are probably the best and most realistic cg of the entire film     total reality gets   out of   for not being able to mark it lower ",1.0,0.38462895154953003,"i [[engage]] this movie for about        the most [[gross]] waste of money  and time  i have ever spent  it s [[game]]  i couldn t [[trust]] how they could [[number]] up with something [[wish]] this     the [[game]]  there is no [[game]]  everything you d [[ask]] to [[find]]  it does  only in a worse [[direction]]  the acting was horrible  my [[tag]] could ve [[practice]] [[easily]]  the [[especial]] effects have no [[result]] whatsoever   except inducing [[staring]] disbelief  and the [[tinny]] [[note]]  i [[imply]]  why even [[chafe]]       the only [[recognition]] i can [[gift]] this piece of sh t are the opening scenes  they were actually quite pretty  and one of the reasons why i decided to rent this  the graphics shown there are probably the best and most realistic cg of the entire film     total reality gets   out of   for not being able to mark it lower ","Failed"
1.0,1022.0,1.0,0.3491137623786926,"[[almost]] [[golden]]  the jessica savitch story     aspect ratio            sound [[format]]  [[stereo]]     bland  soap opera dramatisation of the [[rise]] and [[fall]] of america s [[first]] female tv news anchor  with a [[tighter]] script and direction   and a better cast   this [[might]] have [[passed]] muster  but the flimsy story [[really]] wasn t worth the [[effort]]  a [[good]] documentary on the subject [[might]] have been the best way to go  typically strong production values in the tv movie conveyor belt manner  but it s all as superficial as [[old]] fluff  and just as engaging ",0.0,0.5006768703460693,"[[most]] [[halcyon]]  the jessica savitch story     aspect ratio            sound [[arrange]]  [[two-channel]]     bland  soap opera dramatisation of the [[resurrect]] and [[gloaming]] of america s [[showtime]] female tv news anchor  with a [[rigorous]] script and direction   and a better cast   this [[power]] have [[communicate]] muster  but the flimsy story [[real]] wasn t worth the [[exploit]]  a [[skillful]] documentary on the subject [[power]] have been the best way to go  typically strong production values in the tv movie conveyor belt manner  but it s all as superficial as [[older]] fluff  and just as engaging ","Successful"
1.0,953.0,1.0,0.3549528121948242,"i saw this [[move]] several years ago at the central florida film festival if i recall  i liked it  it [[showed]] great [[potential]]  i guess most people here are [[blasting]] this [[film]] because the film did seem hobbled together  by the filmmaker s own admission on the official site   the [[short]] was exhibited as a  rough [[cut]]     but [[nonetheless]]  it was an [[easy]] [[going]] comedy  i think many people try to read far too much into a comedy  all they are supposed to do is [[make]] you laugh   that s all  i did just that at its showing  so it succeeded on that level  just my   cents anyway ",0.0,0.5064802169799805,"i saw this [[motivate]] several years ago at the central florida film festival if i recall  i liked it  it [[testify]] great [[likely]]  i guess most people here are [[nail]] this [[pic]] because the film did seem hobbled together  by the filmmaker s own admission on the official site   the [[light]] was exhibited as a  rough [[shorten]]     but [[notwithstanding]]  it was an [[well-situated]] [[become]] comedy  i think many people try to read far too much into a comedy  all they are supposed to do is [[stimulate]] you laugh   that s all  i did just that at its showing  so it succeeded on that level  just my   cents anyway ","Successful"
0.0,532.0,0.0,0.3372189998626709,"just can t watch this bit too many times  it s full of [[true]] enthusiasm and cleverness mickey mouse had in his first   years  nowadays  mickey is an smart ass little whiner when compared this  steamboat willie always makes me smile  at least the ending where mickey laughs after hitting a parrot with a potato  animation is very [[nice]] and although steamboat willie has no dialog  the music is enough for it     imho if this bit doesn t deserve     then any cartoon doesn t not only because it s a true classic  but also because it s so full of joy and it s always fun to watch ",1.0,0.5836607217788696,"just can t watch this bit too many times  it s full of [[unfeigned]] enthusiasm and cleverness mickey mouse had in his first   years  nowadays  mickey is an smart ass little whiner when compared this  steamboat willie always makes me smile  at least the ending where mickey laughs after hitting a parrot with a potato  animation is very [[squeamish]] and although steamboat willie has no dialog  the music is enough for it     imho if this bit doesn t deserve     then any cartoon doesn t not only because it s a true classic  but also because it s so full of joy and it s always fun to watch ","Successful"
1.0,765.0,1.0,0.3478279113769531,"this [[move]] is [[terrible]]  they [[took]] [[gods]] [[word]] and [[made]] a [[mockery]] of it  the acting was [[terrible]] too  why bother doing a story on something from the bible when your not [[even]] [[going]] to tell it correctly  there were not just a few [[changes]] but the whole thing was [[wrong]]  do not see this movie ",0.0,0.6040920615196228,"this [[incite]] is [[wicked]]  they [[deal]] [[divinity]] [[password]] and [[wee-wee]] a [[spoof]] of it  the acting was [[tremendous]] too  why bother doing a story on something from the bible when your not [[fifty-fifty]] [[locomote]] to tell it correctly  there were not just a few [[shift]] but the whole thing was [[wrongfulness]]  do not see this movie ","Successful"
