"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
1.0,51.0,1.0,0.2725549340248108,"back in march former deputy prime minister barnabyjoyce said death by snake bite outnumbered covid death by a factor of to but coronavirus move quickly and his claim rapidly aged this and more in [[coronacheck]] coronavirusfacts",0.0,0.6179112195968628,"back in march former deputy prime minister barnabyjoyce said death by snake bite outnumbered covid death by a factor of to but coronavirus move quickly and his claim rapidly aged this and more in [[coronachec𝒌]] coronavirusfacts","Successful"
1.0,173.0,1.0,0.26899486780166626,"covid is a lab made [[biological]] [[weapon]] deployed to [[destroy]] the trump [[economy]] people will say but [[chinese]] people died why would they kill their own people ill [[remind]] people that [[war]] is about [[sacrificing]] your own people to gain from another people",0.0,0.505775511264801,"covid is a lab made [[Ьiological]] [[weaрon]] deployed to [[dsetroy]] the trump [[e]] [[conomy]] people will say but [[renminbi]] people died why would they kill their own people ill [[rmind]] people that [[wr]] is about [[compromising]] your own people to gain from another people","Successful"
0.0,39.0,0.0,0.26894837617874146,"[[indiafightscorona]] by conducting close to crore covid test    crore covid test were conducted in the last week alone",1.0,0.6732516288757324,"[[indiafightscoⲅona]] by conducting close to crore covid test    crore covid test were conducted in the last week alone","Successful"
1.0,45.0,1.0,0.26901644468307495,"[[claim]] that saint corona [[ha]] [[always]] been a patron [[saint]] against epidemic",0.0,0.5274413824081421,"[[cl]] [[aim]] that saint corona [[hɑ]] [[consistently]] been a patron [[st]] against epidemic","Successful"
1.0,84.0,1.0,0.28322917222976685,"million people contracted tuberculosis last year    million people [[died]] did you even know were you scared for your life did we wear mask close the economy cancel [[school]] and ruin small business no why because the [[medium]] didn t tell you to be afraid",0.0,0.5278111696243286,"million people contracted tuberculosis last year    million people [[succumbed]] did you even know were you scared for your life did we wear mask close the economy cancel [[teaching]] and ruin small business no why because the [[average]] didn t tell you to be afraid","Successful"
0.0,34.0,0.0,0.2695872187614441,"several dozen of our volunteer spent the last day evaluating the new cdcgov [[data]] this is the white paper we produced",1.0,0.5340253114700317,"several dozen of our volunteer spent the last day evaluating the new cdcgov [[ԁata]] this is the white paper we produced","Successful"
1.0,50.0,1.0,0.2842026352882385,"simpsonreport a [[bioengineered]] pandemic is too useful to waste [[lockdown]] the [[new]] gulag",0.0,0.5672361850738525,"simpsonreport a [[Ьioengineered]] pandemic is too useful to waste [[lokcdown]] the [[newer]] gulag","Successful"
1.0,142.0,1.0,0.2689700722694397,"a [[photo]] of a woman lying in a hospital [[bed]] with medical equipment attached to her body ha been shared hundred of time on facebook and twitter alongside [[claim]] that the [[woman]] wa a doctor who died after being beaten by a [[muslim]] mob while trying to administer [[novel]] [[coronavirus]] test",0.0,0.5105465650558472,"a [[phto]] of a woman lying in a hospital [[bedside]] with medical equipment attached to her body ha been shared hundred of time on facebook and twitter alongside [[cliam]] that the [[w]] [[oman]] wa a doctor who died after being beaten by a [[mսslim]] mob while trying to administer [[newest]] [[coronavirսs]] test","Successful"
0.0,73.0,0.0,0.27079904079437256,"based on what is known about how the novel coronavirus behaves cdc and capublichealth [[expect]] to see covid infection in people who have had contact with the [[recentlyidentified]] patient especially those who have had close prolonged contact",1.0,0.6192377805709839,"based on what is known about how the novel coronavirus behaves cdc and capublichealth [[еxpect]] to see covid infection in people who have had contact with the [[recentⅼyidentified]] patient especially those who have had close prolonged contact","Successful"
1.0,96.0,1.0,0.2711176872253418,"susan [[lemon]] [[commondefense]] berniesanders [[omg]] are you frigging kidding me just like [[trump]] knowing how deadly the [[coronavirus]] wa same go for the police that night they [[said]] the knocked it wa their word against her [[distraught]] boyfriend",1.0,0.3591718077659607,"susan [[leon]] [[comｍondefense]] berniesanders [[og]] are you frigging kidding me just like [[tru]] [[mp]] knowing how deadly the [[coronaѵirus]] wa same go for the police that night they [[told]] the knocked it wa their word against her [[distrauɡht]] boyfriend","Failed"
1.0,21.0,1.0,0.26903200149536133,"[[kid]] [[reach]] f k this [[shit]] stage of lockdown",1.0,0.2742465138435364,"[[kіd]] [[attaining]] f k this [[crap]] stage of lockdown","Failed"
0.0,116.0,0.0,0.26895809173583984,"the [[second]] [[case]] is a woman in her who [[arrived]] in new zealand on july from los angeles she ha been staying at the rydges in [[auckland]] and tested positive for covid a part of routine testing around day three of her [[stay]] in managed isolation",1.0,0.5619621872901917,"the [[sеcond]] [[lawsuit]] is a woman in her who [[arrivеd]] in new zealand on july from los angeles she ha been staying at the rydges in [[a]] [[uckland]] and tested positive for covid a part of routine testing around day three of her [[saty]] in managed isolation","Successful"
0.0,61.0,0.0,0.26903998851776123,"a [[new]] [[cdcmmwr]] report show that young previously healthy adult can take a long time to recover from covid the study found that nearly in adult age who had milder outpatient covid had not returned to their usual health after day",1.0,0.5853695273399353,"a [[neԝ]] [[cdcmmwⲅ]] report show that young previously healthy adult can take a long time to recover from covid the study found that nearly in adult age who had milder outpatient covid had not returned to their usual health after day","Successful"
0.0,102.0,0.0,0.2689439654350281,"having a difficult time [[coping]] because of covid feeling lonely anxious or dealing with grief and [[loss]] help is available through the national suicide [[prevention]] [[lifeline]] [[learn]] more",1.0,0.5397647619247437,"having a difficult time [[ϲoping]] because of covid feeling lonely anxious or dealing with grief and [[losing]] help is available through the national suicide [[prevnetion]] [[lifeⅼine]] [[larn]] more","Successful"
1.0,1.0,0.0,0.5639393329620361,"death due to covid have increased in gujarats rajkot a case rise however the exact number is unclear city data show death but crematorium burial ground tell a different story theprints soniyaagrawal manishamondal report",0.0,0.5639393329620361,"death due to covid have increased in gujarats rajkot a case rise however the exact number is unclear city data show death but crematorium burial ground tell a different story theprints soniyaagrawal manishamondal report","Skipped"
0.0,1.0,1.0,0.711923360824585,"doctor send a crystal clear message about the importance of mask for covid prevention via hansabhargavamd futuredocs",1.0,0.711923360824585,"doctor send a crystal clear message about the importance of mask for covid prevention via hansabhargavamd futuredocs","Skipped"
0.0,94.0,0.0,2.0265579223632812e-06,"rt [[mohfw]] india [[indiafightscorona]] in the [[past]] [[month]] more than of case have [[recovered]] and [[le]] than are [[active]] now effecti",0.0,0.2694409489631653,"rt [[mohfԝ]] india [[іndiafightscorona]] in the [[yesteryear]] [[mon𝚝h]] more than of case have [[recovereԁ]] and [[lе]] than are [[actively]] now effecti","Failed"
1.0,143.0,1.0,0.26897740364074707,"dr vk srinivas [[vice]] [[president]] bharat [[biotech]] [[taking]] coronavirus vaccine clinical trial he is the first [[person]] in [[india]] to take vaccine developed by him and his [[team]] in [[bharat]] biotech",0.0,0.5052453279495239,"dr vk srinivas [[vcie]] [[chairmen]] bharat [[Ьiotech]] [[tɑking]] coronavirus vaccine clinical trial he is the first [[pers]] [[on]] in [[inia]] to take vaccine developed by him and his [[teamwork]] in [[bharɑt]] biotech","Successful"
0.0,64.0,0.0,0.2722907066345215,"the chairman of the british medical association dr chaand nagpaul say that wearing face mask is extremely [[important]] explaining that they prevent about percent of virus spreading from one person to the other [[kayburley]]",1.0,0.69298255443573,"the chairman of the british medical association dr chaand nagpaul say that wearing face mask is extremely [[importan𝚝]] explaining that they prevent about percent of virus spreading from one person to the other [[kaybuⲅley]]","Successful"
1.0,87.0,1.0,0.26900792121887207,"asias richest [[man]] mukesh ambanis wife nita ambani [[received]] r a welfare [[fund]] from [[central]] [[government]]",1.0,0.48922985792160034,"asias richest [[dawg]] mukesh ambanis wife nita ambani [[r]] [[eceived]] r a welfare [[fսnd]] from [[cnetral]] [[council]]","Failed"
1.0,60.0,1.0,0.4878009557723999,"[[singapore]] is often lauded for it response to covid the government ha pointed to it a an example of a country doing well that hasnt closed school it recently decided to do so so how doe singapores response compare to australias auspol",0.0,0.7179039716720581,"[[kuala]] is often lauded for it response to covid the government ha pointed to it a an example of a country doing well that hasnt closed school it recently decided to do so so how doe singapores response compare to australias auspol","Successful"
1.0,179.0,1.0,0.27370691299438477,"[[treehugs]] qclues o paulamjohns lucky for you [[grapefruit]] doesn t make [[quinine]] [[hydtoxychloroquine]] is a different [[chemical]] you re not [[getting]] any both are somewhat effective [[antimalarial]] treatment but have side effect they have no [[effect]] on [[sarscov]] virus that [[cause]] covid",0.0,0.5660842657089233,"[[treehսgs]] qclues o paulamjohns lucky for you [[grapefrui𝚝]] doesn t make [[atropine]] [[hydtoxychloroԛuine]] is a different [[chemist]] you re not [[attain]] any both are somewhat effective [[antimlaarial]] treatment but have side effect they have no [[impacts]] on [[srscov]] virus that [[induce]] covid","Successful"
1.0,43.0,1.0,0.26896750926971436,"[[bill]] [[gate]] is creating a vaccine against the covid which [[would]] [[geolocate]] the population",1.0,0.29537397623062134,"[[Ьill]] [[porte]] is creating a vaccine against the covid which [[wold]] [[geolocɑte]] the population","Failed"
0.0,137.0,0.0,0.26894301176071167,"our discharge [[today]] [[include]] community [[recovery]] over the last two [[week]] [[reported]] from [[lagos]] state in line with new case management guideline a [[breakdown]] of case by state can be found via [[takeresponsibility]]",0.0,0.27192801237106323,"our discharge [[toady]] [[incluԁe]] community [[recuperation]] over the last two [[weeks]] [[reporteԁ]] from [[wu]] state in line with new case management guideline a [[bre]] [[akdown]] of case by state can be found via [[takeresponsibili𝚝y]]","Failed"
1.0,40.0,1.0,0.27964162826538086,"rt [[factchecknet]] just like we wash our hand to fight covid we can scrub our chat to contain the infodemic here are some guideline",0.0,0.7102668881416321,"rt [[fɑctchecknet]] just like we wash our hand to fight covid we can scrub our chat to contain the infodemic here are some guideline","Successful"
1.0,33.0,1.0,0.2689506411552429,"[[chinese]] spy [[stole]] the coronavirus from a canadian lab",1.0,0.2692890763282776,"[[chnese]] spy [[steal]] the coronavirus from a canadian lab","Failed"
0.0,59.0,0.0,0.27042704820632935,"the covax [[facility]] is part of covax the vaccine pillar of the access to covid tool act accelerator which is coled by the [[cepivaccines]] gavi and who",1.0,0.6204609870910645,"the covax [[faciⅼity]] is part of covax the vaccine pillar of the access to covid tool act accelerator which is coled by the [[cepivaccineѕ]] gavi and who","Successful"
