"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
0.0,333.0,0.0,0.3084261417388916,"if you ve been in [[close]] contact with a person who ha covid a public health worker may call to let you [[know]] you ve been exposed answer the [[call]] to slowthespread learn what happens during [[contact]] tracing",1.0,0.5258055925369263,"if you ve been in [[stuffy]] contact with a person who ha covid a public health worker may call to let you [[fuck]] you ve been exposed answer the [[song]] to slowthespread learn what happens during [[middleman]] tracing","Successful"
0.0,188.0,0.0,0.3167802691459656,"on a [[bigger]] than average [[testing]] day newly reported [[case]] were over k today",1.0,0.5067052841186523,"on a [[braggy]] than average [[quiz]] day newly reported [[typeface]] were over k today","Successful"
1.0,53.0,1.0,0.37864887714385986,"seventythree japanese police officer have been infected with covid after handling infected [[body]]",0.0,0.5221365094184875,"seventythree japanese police officer have been infected with covid after handling infected [[consistency]]","Successful"
0.0,195.0,0.0,0.34082263708114624,"rt pib india covid bulletin india [[reach]] another [[record]] of [[highest]] [[single]] day recovery [[recover]] in the [[last]] hour decre",1.0,0.5025922060012817,"rt pib india covid bulletin india [[orbit]] another [[tape]] of [[gamey]] [[bingle]] day recovery [[reclaim]] in the [[death]] hour decre","Successful"
1.0,115.0,1.0,0.4026485085487366,"a video of dozen of people praying [[outdoors]] [[show]] [[italian]] praying during the novel coronavirus pandemic",1.0,0.4157586693763733,"a video of dozen of people praying [[alfresco]] [[evince]] [[Italian]] praying during the novel coronavirus pandemic","Failed"
1.0,66.0,1.0,0.3455709218978882,"justin trudeau [[promise]] to [[pay]] off tamil nadu [[india]] [[governments]] debt",1.0,0.37267249822616577,"justin trudeau [[call]] to [[remuneration]] off tamil nadu [[Bharat]] [[government]] debt","Failed"
0.0,544.0,0.0,0.34584200382232666,"a new cdcmmwr report [[show]] that [[young]] previously healthy adult can [[take]] a [[long]] time to [[recover]] from covid the [[study]] found that [[nearly]] in adult [[age]] who had milder outpatient covid had not returned to their [[usual]] health after day",0.0,0.3737912178039551,"a new cdcmmwr report [[present]] that [[youth]] previously healthy adult can [[return]] a [[foresightful]] time to [[regain]] from covid the [[take]] found that [[nigh]] in adult [[mature]] who had milder outpatient covid had not returned to their [[common]] health after day","Failed"
0.0,223.0,0.0,0.32663244009017944,"indiafightscorona [[following]] the [[national]] trend [[state]] ut have more new recovery than [[new]] [[case]]",0.0,0.35955560207366943,"indiafightscorona [[adopt]] the [[home]] trend [[say]] ut have more new recovery than [[newly]] [[instance]]","Failed"
1.0,205.0,1.0,0.3828812837600708,"same [[little]] boy [[died]] of covid in [[three]] [[different]] [[country]] still don t [[believe]] the medium is fakenews",1.0,0.4178274869918823,"same [[minuscule]] boy [[pall]] of covid in [[tercet]] [[dissimilar]] [[area]] still don t [[trust]] the medium is fakenews","Failed"
0.0,289.0,0.0,0.4744134545326233,"blackdigitalhum lead black covid a rapid response task force a critical black digital humanity collective that connects black diasporic community impacted by the pandemic to their [[data]] they have a bunch of worthwhile project in the work",1.0,0.5933582186698914,"blackdigitalhum lead black covid a rapid response task force a critical black digital humanity collective that connects black diasporic community impacted by the pandemic to their [[datum]] they have a bunch of worthwhile project in the work","Successful"
