"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
1.0,286.0,1.0,0.3245338201522827,"[[whoever]] [[thought]] that [[another]] home alone film [[would]] be a good [[idea]] should have their [[head]] examined  same [[plot]]  [[different]] kid  more villains  which leads to more [[endless]] stupidity in the [[traps]]  the other two films were [[bad]] enough  and this is where it hits [[rock]] bottom  [[people]] [[may]] as well [[watch]] the other films for [[plot]]  as it s all identical ",0.0,0.5021793842315674,"[[wohever]] [[thoughts]] that [[a]] [[nother]] home alone film [[wo]] [[uld]] be a good [[thoughts]] should have their [[hеad]] examined  same [[plots]]  [[diverse]] kid  more villains  which leads to more [[end]] [[less]] stupidity in the [[pitfalls]]  the other two films were [[mala]] enough  and this is where it hits [[boulder]] bottom  [[peоple]] [[maggio]] as well [[monitor]] the other films for [[intrigue]]  as it s all identical ","Successful"
0.0,225.0,0.0,0.34258002042770386,"police story is arguably one of the best works by the master of [[action]] himself [[compared]] to other action films police story [[makes]] schwarzenegger and [[stallone]] [[look]] like beginners the [[stunt]] [[scenes]] are well [[cheorgraphed]] and the action [[scenes]] are [[superb]] if new [[line]] cinema has any [[sense]] they would [[release]] this in [[theaters]] ",0.0,0.49288785457611084,"police story is arguably one of the best works by the master of [[acton]] himself [[comparisons]] to other action films police story [[is]] schwarzenegger and [[stalⅼone]] [[peek]] like beginners the [[stսnt]] [[s]] [[cenes]] are well [[cheorgraрhed]] and the action [[sc]] [[enes]] are [[su]] [[perb]] if new [[iine]] cinema has any [[seոse]] they would [[freeing]] this in [[thеaters]] ","Failed"
1.0,285.0,1.0,0.34596461057662964,"unless the title is supposed to be some kind of spoiler for the wife s [[transformation]]  the [[fiends]]  [[ruining]] it for [[us]]  [[anycase]]  if this [[movie]] wasn t [[made]] for tv  it should have been  it s so [[remarkably]] [[low]] [[budget]]  [[underscripted]]  underacted  and hits [[every]]   s cliche except disco  nobody is likeable  and you could [[careless]] what [[happens]] to [[anyone]] in this [[one]]  eminently [[forgetable]] except for the bad  bad [[performances]] ",1.0,0.45618748664855957,"unless the title is supposed to be some kind of spoiler for the wife s [[transformations]]  the [[fiеnds]]  [[ⲅuining]] it for [[ours]]  [[anycae]]  if this [[moviе]] wasn t [[effected]] for tv  it should have been  it s so [[amazingly]] [[scant]] [[buget]]  [[underscriptеd]]  underacted  and hits [[entire]]   s cliche except disco  nobody is likeable  and you could [[carefree]] what [[hap]] [[pens]] to [[aոyone]] in this [[somebody]]  eminently [[forgeatble]] except for the bad  bad [[perfromances]] ","Failed"
1.0,193.0,1.0,0.35150498151779175,"this [[movie]] s [[basic]] premise is that everyone in the world can know that a person is gay except for that person  and that a man who likes show tunes  has good taste  and is [[neat]] in appearance must be a homosexual  yes  the movie is funny in parts  but the [[basic]] premise is to homophobic and [[insulting]] that the [[entire]] movie [[crumbles]] into something that is quite painful to sit through  the performances  particularly joan cusak and kevin kline are very good ",0.0,0.5203719139099121,"this [[filmmaking]] s [[elemental]] premise is that everyone in the world can know that a person is gay except for that person  and that a man who likes show tunes  has good taste  and is [[super]] in appearance must be a homosexual  yes  the movie is funny in parts  but the [[fundamental]] premise is to homophobic and [[insul𝚝ing]] that the [[every]] movie [[crumbleѕ]] into something that is quite painful to sit through  the performances  particularly joan cusak and kevin kline are very good ","Successful"
1.0,99.0,1.0,0.37733328342437744,"just as  its a mad  mad  mad  mad world  is at the top of my list for all time greatest comedies ever made  this one is at the very [[bottom]]   of course  i [[could]] be wrong not having seen  saving silverman  in other words  it s a lame  lame  lame  lame comedy br  br  [[rating]]       out of  ",0.0,0.5042872428894043,"just as  its a mad  mad  mad  mad world  is at the top of my list for all time greatest comedies ever made  this one is at the very [[fond]]   of course  i [[culd]] be wrong not having seen  saving silverman  in other words  it s a lame  lame  lame  lame comedy br  br  [[ra𝚝ing]]       out of  ","Successful"
1.0,735.0,1.0,0.3465959429740906,"an excellent cast who do their [[best]] with an [[awful]] script  inept [[direction]]  and some of the [[worst]] [[score]] that i have ever heard  more tv [[movie]] of the week than serious [[drama]]  which is [[sad]] when one [[considers]] that the [[source]] material is very serious and very real  the [[film]] makers decided that instead of [[building]] drama and [[character]]  it was [[better]] to just show the most graphic and [[violent]] bits and hope that the [[audience]] [[would]] be shocked into [[sympathy]] and [[caring]]  in my [[opinion]]  one the most blatant forms of cut and paste film adapting ",0.0,0.5260229110717773,"an excellent cast who do their [[nicest]] with an [[awfuⅼ]] script  inept [[d]] [[irection]]  and some of the [[wor]] [[st]] [[rating]] that i have ever heard  more tv [[filmmaking]] of the week than serious [[dramas]]  which is [[unfortunate]] when one [[believes]] that the [[origins]] material is very serious and very real  the [[filmmaking]] makers decided that instead of [[constructing]] drama and [[characters]]  it was [[best]] to just show the most graphic and [[intense]] bits and hope that the [[viewers]] [[could]] be shocked into [[empathy]] and [[empathetic]]  in my [[view]]  one the most blatant forms of cut and paste film adapting ","Successful"
0.0,194.0,0.0,0.35063719749450684,"fabulous costumes by [[edith]] head who [[painted]] them on liz taylor at her finest br  br  the sfx are very [[good]] for a movie of its age  and the [[stunt]] doubles actually [[looked]] like the actors  even down to body [[type]]  a [[rarity]] in movies of this vintage br  br  a cozy [[movie]]  with splendid panoramas   even when [[chopped]] down to [[pan]] and scan ",1.0,0.5124448537826538,"fabulous costumes by [[editհ]] head who [[lacquer]] them on liz taylor at her finest br  br  the sfx are very [[g]] [[ood]] for a movie of its age  and the [[stnt]] doubles actually [[scrutinized]] like the actors  even down to body [[ty]] [[pe]]  a [[shortage]] in movies of this vintage br  br  a cozy [[moviе]]  with splendid panoramas   even when [[cհopped]] down to [[paո]] and scan ","Successful"
0.0,163.0,0.0,0.34472668170928955,"klatret©ªsen catch that girl  is really [[great]] movie  it s a  [[happy]]  [[movie]]  i [[watched]] this [[movie]] in  puchon [[international]] fantastic film festival pifan  on july 12nd     there is action   [[adventure]]   comedy   thrill   happy   romance [[cute]] kids  love triangle  you must see this movie   ",1.0,0.5006645321846008,"klatret©ªsen catch that girl  is really [[gr]] [[eat]] movie  it s a  [[happу]]  [[m]] [[ovie]]  i [[wat]] [[ched]] this [[movіe]] in  puchon [[inte]] [[rnational]] fantastic film festival pifan  on july 12nd     there is action   [[ad]] [[venture]]   comedy   thrill   happy   romance [[c]] [[ute]] kids  love triangle  you must see this movie   ","Successful"
1.0,238.0,1.0,0.3344441056251526,"the old axiom that bored people are boring people is well demonstrated in  women in love  the script  taken from d  h  lawrence s novel  contains an endless flow of concepts that are  at best  sophomoric br  br  what a pity so much effort [[went]] into so vacuous an [[exercise]]  what an [[empty]] array of characters [[given]] such attention  in [[spite]] of high production values  this [[film]] [[comes]] across as [[tedious]] as its personnel br  br  a revisit in   [[merely]] confirms a   [[impression]] of juvenille minds in adult bodies  dawdling nowhere  and fumbling every step of the way ",0.0,0.5039137601852417,"the old axiom that bored people are boring people is well demonstrated in  women in love  the script  taken from d  h  lawrence s novel  contains an endless flow of concepts that are  at best  sophomoric br  br  what a pity so much effort [[became]] into so vacuous an [[exercises]]  what an [[emp𝚝y]] array of characters [[giѵen]] such attention  in [[sorrow]] of high production values  this [[filmmaking]] [[emerges]] across as [[tediouѕ]] as its personnel br  br  a revisit in   [[mereⅼy]] confirms a   [[impressіon]] of juvenille minds in adult bodies  dawdling nowhere  and fumbling every step of the way ","Successful"
1.0,114.0,1.0,0.3330426812171936,"director fabio barreto got a strange academy nominea for his last movie o quatrilho  quatrilho is a bad movie  but in bella donna  barreto did one of the [[worst]] movies of all time  his adaptation of the novel riacho doce is [[ridiculous]]  think with me how poor brazilians fishermen speak a perfect english  in the film they do  there isn t a screenplay  it s only a very long videoclip with a beautiful places and many sex scenes with moscovis and henstridge ",0.0,0.5793796181678772,"director fabio barreto got a strange academy nominea for his last movie o quatrilho  quatrilho is a bad movie  but in bella donna  barreto did one of the [[gravest]] movies of all time  his adaptation of the novel riacho doce is [[ludicrous]]  think with me how poor brazilians fishermen speak a perfect english  in the film they do  there isn t a screenplay  it s only a very long videoclip with a beautiful places and many sex scenes with moscovis and henstridge ","Successful"
