"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
1.0,42.0,1.0,0.26898646354675293,"oh really meat packing plant are unhealthy asks [[smug]] [[ghost]] of upton sinclair newsinphoto meatpacking covid",0.0,0.5047038197517395,"oh really meat packing plant are unhealthy asks [[supercilious]] [[ɡhost]] of upton sinclair newsinphoto meatpacking covid","Successful"
1.0,93.0,1.0,0.2995271682739258,"the overall lethality of covid infection fatality rate is about to and thus in the range of a severe influenza up to of all person may already have a certain cellular background immunity to the new coronavirus due to contact with previous coronaviruses i e cold virus there is still little to no scientific evidence for the effectiveness of [[cloth]] face [[mask]] in healthy and asymptomatic individual",0.0,0.6356344819068909,"the overall lethality of covid infection fatality rate is about to and thus in the range of a severe influenza up to of all person may already have a certain cellular background immunity to the new coronavirus due to contact with previous coronaviruses i e cold virus there is still little to no scientific evidence for the effectiveness of [[tissue]] face [[msak]] in healthy and asymptomatic individual","Successful"
0.0,70.0,0.0,0.2689497470855713,"indiafightscorona state ut [[account]] for nearly of the new [[recovered]] [[case]] maharashtra ha [[maintained]] this lead with new [[recovery]]",0.0,0.26895731687545776,"indiafightscorona state ut [[accoun𝚝]] for nearly of the new [[recovereԁ]] [[instance]] maharashtra ha [[retained]] this lead with new [[recoveⲅy]]","Failed"
0.0,151.0,0.0,0.2689502239227295,"[[indiafightscorona]] [[india]] s per [[day]] [[testing]] [[capacity]] [[ha]] [[crossed]] [[lakh]] [[test]] test were conducted in the last hour the [[weekly]] [[average]] test have multiplied by more than time [[since]] the first [[week]] of january staysafe indiawillwin",1.0,0.7270243167877197,"[[inԁiafightscorona]] [[hindustan]] s per [[dɑy]] [[essays]] [[cɑpacity]] [[հa]] [[crossеd]] [[lakhs]] [[tests]] test were conducted in the last hour the [[weeks]] [[media]] test have multiplied by more than time [[sincе]] the first [[chow]] of january staysafe indiawillwin","Successful"
1.0,22.0,1.0,0.2706206440925598,"[[man]] ha gone to live in parallel universe alcohol coronavirus whisky",0.0,0.5319212675094604,"[[mn]] ha gone to live in parallel universe alcohol coronavirus whisky","Successful"
0.0,162.0,0.0,0.2689448595046997,"[[state]] [[reported]] more than k [[case]] [[today]] and k case yesterday the [[highest]] number we ve [[seen]] since [[may]] mississippi hasn t updated it [[number]] in [[two]] [[day]] so we expect we re [[missing]] [[case]] there [[based]] on their previous update",1.0,0.5522080659866333,"[[sta𝚝e]] [[reporteԁ]] more than k [[caѕe]] [[todɑy]] and k case yesterday the [[supreme]] number we ve [[noticed]] since [[maggio]] mississippi hasn t updated it [[nombre]] in [[tԝo]] [[days]] so we expect we re [[extinct]] [[cɑse]] there [[basеd]] on their previous update","Successful"
0.0,148.0,0.0,0.268947958946228,"[[indiafightscorona]] of the new recovered [[case]] are being [[reported]] from ten state [[ut]] maharashtra [[continues]] to lead with more than [[new]] [[recovered]] [[patient]] andhra pradesh [[contributed]] more than to the single day [[recovery]]",0.0,0.27189505100250244,"[[іndiafightscorona]] of the new recovered [[cɑse]] are being [[reporteԁ]] from ten state [[սt]] maharashtra [[cоntinues]] to lead with more than [[ոew]] [[retrieved]] [[ptaient]] andhra pradesh [[cоntributed]] more than to the single day [[recoveⲅy]]","Failed"
0.0,66.0,0.0,0.26895302534103394,"cdc and google remind you that wearing cloth face covering in public setting can [[help]] [[slowthespread]] of covid [[learn]] more about cloth face covering",1.0,0.5521141886711121,"cdc and google remind you that wearing cloth face covering in public setting can [[heⅼp]] [[slowthespreaԁ]] of covid [[leaⲅn]] more about cloth face covering","Successful"
1.0,77.0,1.0,0.2689507007598877,"the viral text message [[claim]] that the chemical substance methylxanthines required to cure covid can be found in tea dr [[li]] [[wenliang]] had found this [[cure]] while researching about coronavirus before his death",0.0,0.5187192559242249,"the viral text message [[cl]] [[aim]] that the chemical substance methylxanthines required to cure covid can be found in tea dr [[lі]] [[wenliaոg]] had found this [[heal]] while researching about coronavirus before his death","Successful"
0.0,161.0,0.0,0.26894432306289673,"over [[worker]] in meat and poultry [[processing]] [[facility]] in state were infected with covid in [[april]] and [[may]] learn more about infection among [[worker]] at meat and poultry processing [[facility]] and [[step]] [[facility]] can take to slow the [[spread]]",1.0,0.5175554752349854,"over [[worer]] in meat and poultry [[treatments]] [[facilіty]] in state were infected with covid in [[ɑpril]] and [[mɑy]] learn more about infection among [[wоrker]] at meat and poultry processing [[facilitу]] and [[s𝚝ep]] [[facili𝚝y]] can take to slow the [[spreɑd]]","Successful"
