"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
1.0,24.0,1.0,0.26899534463882446,"oh [[really]] meat packing plant are unhealthy [[asks]] smug ghost of upton sinclair newsinphoto meatpacking covid",1.0,0.2690168023109436,"oh [[so]] meat packing plant are unhealthy [[is]] smug ghost of upton sinclair newsinphoto meatpacking covid","Failed"
1.0,95.0,1.0,0.312488317489624,"the overall lethality of covid infection fatality rate is about to and thus in the range of a severe [[influenza]] up to of all person may already have a certain cellular background immunity to the new [[coronavirus]] due to contact with previous coronaviruses i e cold virus there is still little to no scientific evidence for the effectiveness of cloth face mask in [[healthy]] and asymptomatic individual",0.0,0.5035045742988586,"the overall lethality of covid infection fatality rate is about to and thus in the range of a severe [[flu]] up to of all person may already have a certain cellular background immunity to the new [[conditions]] due to contact with previous coronaviruses i e cold virus there is still little to no scientific evidence for the effectiveness of cloth face mask in [[advanced]] and asymptomatic individual","Successful"
0.0,36.0,0.0,0.2689440846443176,"indiafightscorona [[state]] ut account for nearly of the new recovered case maharashtra ha maintained this [[lead]] with new recovery",0.0,0.26894766092300415,"indiafightscorona [[bility]] ut account for nearly of the new recovered case maharashtra ha maintained this [[case]] with new recovery","Failed"
0.0,79.0,0.0,0.2689434289932251,"indiafightscorona india s per day [[testing]] capacity ha crossed lakh test test were conducted in the [[last]] hour the weekly average test have multiplied by more than time since the first [[week]] of january staysafe indiawillwin",0.0,0.26894611120224,"indiafightscorona india s per day [[air]] capacity ha crossed lakh test test were conducted in the [[next]] hour the weekly average test have multiplied by more than time since the first [[days]] of january staysafe indiawillwin","Failed"
1.0,204.0,1.0,0.26898694038391113,"man [[ha]] [[gone]] to [[live]] in [[parallel]] universe [[alcohol]] [[coronavirus]] whisky",1.0,0.2727375626564026,"man [[needed]] [[robots]] to [[thrive]] in [[many]] universe [[including]] [[science]] whisky","Failed"
0.0,86.0,0.0,0.26894277334213257,"state [[reported]] more than k case today and k case yesterday the highest [[number]] we ve seen since may mississippi hasn t [[updated]] it number in two day so we expect we re missing case there [[based]] on their previous update",0.0,0.26895415782928467,"state [[nobody]] more than k case today and k case yesterday the highest [[case]] we ve seen since may mississippi hasn t [[changed]] it number in two day so we expect we re missing case there [[got]] on their previous update","Failed"
0.0,85.0,0.0,0.2689444422721863,"indiafightscorona of the new recovered case are being [[reported]] from ten state ut maharashtra continues to [[lead]] with more than new recovered patient andhra pradesh contributed more than to the single [[day]] recovery",0.0,0.26894837617874146,"indiafightscorona of the new recovered case are being [[pulled]] from ten state ut maharashtra continues to [[treat]] with more than new recovered patient andhra pradesh contributed more than to the single [[head]] recovery","Failed"
0.0,53.0,0.0,0.26909124851226807,"cdc and google remind you that wearing cloth face covering in public setting can help slowthespread of covid [[learn]] more about cloth face covering",1.0,0.5788218975067139,"cdc and google remind you that wearing cloth face covering in public setting can help slowthespread of covid [[ify]] more about cloth face covering","Successful"
1.0,79.0,1.0,0.2689895033836365,"the viral text message claim that the chemical substance methylxanthines required to [[cure]] covid can be found in tea dr li [[wenliang]] had [[found]] this cure while researching about coronavirus before his death",1.0,0.2690892219543457,"the viral text message claim that the chemical substance methylxanthines required to [[treat]] covid can be found in tea dr li [[r]] had [[noted]] this cure while researching about coronavirus before his death","Failed"
0.0,61.0,0.0,0.2780964970588684,"over worker in meat and poultry processing facility in state were infected with covid in april and may [[learn]] more about infection among worker at meat and poultry processing facility and step facility can take to slow the spread",1.0,0.5278068780899048,"over worker in meat and poultry processing facility in state were infected with covid in april and may [[know]] more about infection among worker at meat and poultry processing facility and step facility can take to slow the spread","Successful"
0.0,1.0,1.0,0.7271352410316467,"we just announced an award from u s government agency barda for up to million to accelerate development of our mrna vaccine mrna against novel coronavirus",1.0,0.7271352410316467,"we just announced an award from u s government agency barda for up to million to accelerate development of our mrna vaccine mrna against novel coronavirus","Skipped"
1.0,278.0,1.0,0.2689961791038513,"muslim [[doctor]] [[died]] while [[treating]] [[people]] [[infected]] with [[coronavirus]] in delhi",1.0,0.2732020616531372,"muslim [[hussain]] [[ia]] while [[assisting]] [[women]] [[affected]] with [[phus]] in delhi","Failed"
1.0,20.0,1.0,0.2692450284957886,"news don t lick a zebra for more than [[minute]] government coronavirus advice enters surreal stage",1.0,0.26927560567855835,"news don t lick a zebra for more than [[free]] government coronavirus advice enters surreal stage","Failed"
1.0,53.0,1.0,0.28663498163223267,"fit people are [[immune]] to [[novel]] coronavirus",0.0,0.6154617071151733,"fit people are [[vulnerable]] to [[developing]] coronavirus","Successful"
1.0,253.0,1.0,0.2701047658920288,"trump [[say]] he [[would]] [[mobilize]] [[military]] to [[distribute]] coronavirus [[vaccine]] when it s ready",1.0,0.28283774852752686,"trump [[believed]] he [[was]] [[help]] [[more]] to [[protect]] coronavirus [[risk]] when it s ready","Failed"
