"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
1.0,812.0,1.0,0.2689511775970459,"new orleans is nothing like how it is portrayed in this     debacle of a film  quaid s attempt at speaking with a cajun     accent  by the way  hardly anyone speaks that way in new     orleans  is [[terrible]]  plot   elementary and mindless  this     picture [[refers]] to itself as a [[mystery]]  but a mystery involves a     gradual process whereby a viewer is given clues and twists throughout a film  there s none of that here   [[big]]     easy  tries to get by on [[trite]] new orleans stereotypes       don t be fooled   the real [[big]] easy is nothing like the town     that quaid   barkin bumble their way through ",0.0,0.5504316091537476,"new orleans is nothing like how it is portrayed in this     debacle of a film  quaid s attempt at speaking with a cajun     accent  by the way  hardly anyone speaks that way in new     orleans  is [[tremendous]]  plot   elementary and mindless  this     picture [[pertain]] to itself as a [[whodunit]]  but a mystery involves a     gradual process whereby a viewer is given clues and twists throughout a film  there s none of that here   [[great]]     easy  tries to get by on [[commonplace]] new orleans stereotypes       don t be fooled   the real [[prominent]] easy is nothing like the town     that quaid   barkin bumble their way through ","Successful"
0.0,444.0,0.0,0.2703588604927063,"a widely unknown strange [[little]] western with mindblowing colours  probably the same material as it was used in  johnny guitar  i guess  trucolor  or something  which makes blood drips look like shining rubies  nearly surrealistic scenes with twisted action and characters  something different  far from being a masterpiece  but there should be paid more attention to this [[little]] [[gem]] in western encyclopedias ",1.0,0.7296904921531677,"a widely unknown strange [[petty]] western with mindblowing colours  probably the same material as it was used in  johnny guitar  i guess  trucolor  or something  which makes blood drips look like shining rubies  nearly surrealistic scenes with twisted action and characters  something different  far from being a masterpiece  but there should be paid more attention to this [[trivial]] [[muffin]] in western encyclopedias ","Successful"
0.0,561.0,0.0,0.26914334297180176,"a gem of a cartoon from the silent era it was re discovered by cartoon network  and was oadcast for likely the first time in decades  if ever     what [[makes]] this so [[enjoyable]] are the varied cameos douglas fairbanks is attacked by giant mosquitos  will hays pays a visit as  boss  of static studios  as well as appearances by chaplin  keaton  and william s  hart  the image of chewing gum decimating the shoes of the populace  a money making idea for felix s near bankrupt shoe salesman boss  cannot be described it must be viewed  a terrific cultural gem ",1.0,0.7293367981910706,"a gem of a cartoon from the silent era it was re discovered by cartoon network  and was oadcast for likely the first time in decades  if ever     what [[crap]] this so [[pleasurable]] are the varied cameos douglas fairbanks is attacked by giant mosquitos  will hays pays a visit as  boss  of static studios  as well as appearances by chaplin  keaton  and william s  hart  the image of chewing gum decimating the shoes of the populace  a money making idea for felix s near bankrupt shoe salesman boss  cannot be described it must be viewed  a terrific cultural gem ","Successful"
1.0,1831.0,1.0,0.26895248889923096,"[[actually]] had to [[stop]] it  don t [[get]] me [[wrong]]  [[love]] [[bad]] [[monster]] [[movies]]  but this [[one]] was [[way]] too [[boring]]  regardless of the suspenseful music that never [[leads]] you anywhere  the actress had too many [[teeth]] and that [[moment]] when she [[makes]] [[contact]] with [[one]] of the [[beasts]]  was [[way]] too obvious a cliché  this [[film]] totally betrays the [[cover]] on the dvd which [[looks]] [[pretty]] [[interesting]]  from the [[cover]] [[one]] [[expects]] a [[giant]] [[monster]]  but you [[get]] these cute not as [[gigantic]] as [[expected]] electric [[eels]]  [[moved]] on to watch another film called the [[killer]] [[rats]] but that s another review  deep shock was really crap  a [[big]] shame considering the fact that it looks pretty high budget ",1.0,0.495810866355896,"[[really]] had to [[catch]] it  don t [[commence]] me [[wrongfulness]]  [[bed]] [[badly]] [[demon]] [[flick]]  but this [[unity]] was [[manner]] too [[drilling]]  regardless of the suspenseful music that never [[moderate]] you anywhere  the actress had too many [[tooth]] and that [[mo]] when she [[shit]] [[touch]] with [[I]] of the [[savage]]  was [[fashion]] too obvious a cliché  this [[take]] totally betrays the [[overcompensate]] on the dvd which [[see]] [[moderately]] [[worry]]  from the [[embrace]] [[ace]] [[look]] a [[heavyweight]] [[devil]]  but you [[capture]] these cute not as [[mammoth]] as [[bear]] electric [[eel]]  [[proceed]] on to watch another film called the [[grampus]] [[betray]] but that s another review  deep shock was really crap  a [[vauntingly]] shame considering the fact that it looks pretty high budget ","Failed"
0.0,729.0,0.0,0.3190802335739136,"i [[loved]] the episode but seems to me there should have been some quick reference to the secretary getting punished for effectively being an accomplice after the fact  while i like when a episode of columbo has an unpredictable twist like this one  its resolution should be part of the conclusion of the episode  along with the uncovering of the murderer     the interplay between peter falk and ruth gordon is priceless  at one point  gordon  playing a famous writer  makes some comment about being flattered by the famous lt  columbo  making a tongue in cheek allusion to the detective s real life fame as a crime solver  this is one of the best of many great columbo installments ",1.0,0.7278603315353394,"i [[hump]] the episode but seems to me there should have been some quick reference to the secretary getting punished for effectively being an accomplice after the fact  while i like when a episode of columbo has an unpredictable twist like this one  its resolution should be part of the conclusion of the episode  along with the uncovering of the murderer     the interplay between peter falk and ruth gordon is priceless  at one point  gordon  playing a famous writer  makes some comment about being flattered by the famous lt  columbo  making a tongue in cheek allusion to the detective s real life fame as a crime solver  this is one of the best of many great columbo installments ","Successful"
0.0,1.0,1.0,0.6157069802284241,"i saw this a good while ago  but i just cant get over it  i have looked everywhere to try and find out where i can get a copy of it but i have not been able to get a hold of it  i really reccomend this movie and if anyone has any info about how i can get a copy then let me know  thanx",1.0,0.6157069802284241,"i saw this a good while ago  but i just cant get over it  i have looked everywhere to try and find out where i can get a copy of it but i have not been able to get a hold of it  i really reccomend this movie and if anyone has any info about how i can get a copy then let me know  thanx","Skipped"
0.0,829.0,0.0,0.2691043019294739,"this is one of the [[best]] films i have ever seen  how anyone can knock this movie just befuddles my imagination  [[first]] of all  gooding s and harris s performances were simply spectacular  especially gooding  that is the only way i can describe the acting  spectacular  you have to imagine how difficult it would be to play a character like that and pull it off  then you see gooding  and his performance was [[magical]]  as for the plot  since it was based on a true person  it goes where the lives of the characters go  for all the action buffs  it might be a little slow  but then it s not an action film  i definitely give this movie a    it deserves nothing less ",1.0,0.5932469964027405,"this is one of the [[skilful]] films i have ever seen  how anyone can knock this movie just befuddles my imagination  [[low]] of all  gooding s and harris s performances were simply spectacular  especially gooding  that is the only way i can describe the acting  spectacular  you have to imagine how difficult it would be to play a character like that and pull it off  then you see gooding  and his performance was [[witching]]  as for the plot  since it was based on a true person  it goes where the lives of the characters go  for all the action buffs  it might be a little slow  but then it s not an action film  i definitely give this movie a    it deserves nothing less ","Successful"
1.0,285.0,1.0,0.2700548768043518,"if this movie had not been labeled a disney picture  i probably would not have been so disappointed  the [[nudity]] was unnecessary and did not add anything  the same can be said for the toilet bowl scene  this is [[one]] disney film that i will not let my four year old nephew [[watch]] ",0.0,0.5498305559158325,"if this movie had not been labeled a disney picture  i probably would not have been so disappointed  the [[nudeness]] was unnecessary and did not add anything  the same can be said for the toilet bowl scene  this is [[unity]] disney film that i will not let my four year old nephew [[sentry]] ","Successful"
0.0,981.0,0.0,0.26920557022094727,"i was going to give it an    but since you people made     out of a lot better votes  i had to up my contribution  the river styx was pure [[genius]]  sure  woody was his perennial stuff  but at least his role was appropriate  the first half hour was really hilarious  and then the rest of the movie was [[easy]] to watch  the dialog was clever enough  and woody s card tricks at the parties  along with the reaction from the upper crust  were fun to watch  this was much better than the newspaper critics made it sound out to be  and a plus  a little sorcerer s apprentice to go along with it  and of course  did you notice that johansen is getting a bit frumpy  charles dance is always entertaining  as was hugh jackman ",1.0,0.68879234790802,"i was going to give it an    but since you people made     out of a lot better votes  i had to up my contribution  the river styx was pure [[brainiac]]  sure  woody was his perennial stuff  but at least his role was appropriate  the first half hour was really hilarious  and then the rest of the movie was [[wanton]] to watch  the dialog was clever enough  and woody s card tricks at the parties  along with the reaction from the upper crust  were fun to watch  this was much better than the newspaper critics made it sound out to be  and a plus  a little sorcerer s apprentice to go along with it  and of course  did you notice that johansen is getting a bit frumpy  charles dance is always entertaining  as was hugh jackman ","Successful"
1.0,740.0,1.0,0.2689456343650818,"im warning you people out there  this is just a [[waste]] of your time  i am being honest when i m saying that this is the [[worst]] movie i ve ever seen  its just a move about christian propaganda  don t throw away your life  don t see it     i think they made the movie so more people will believe in jesus or something  but it works in the [[opposite]] way  the actors are all newbies  the story is just fuzzy     i think this movie is a work of the devil       this movie is just not worth seeing  so please take my advice and don t ",0.0,0.6945267915725708,"im warning you people out there  this is just a [[ravage]] of your time  i am being honest when i m saying that this is the [[spoilt]] movie i ve ever seen  its just a move about christian propaganda  don t throw away your life  don t see it     i think they made the movie so more people will believe in jesus or something  but it works in the [[paired]] way  the actors are all newbies  the story is just fuzzy     i think this movie is a work of the devil       this movie is just not worth seeing  so please take my advice and don t ","Successful"
