"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
1.0,37.0,1.0,0.28975164890289307,"[[salary]] pension of government employee will be [[deducted]]",0.0,0.7014868259429932,"[[remuneration]] pension of government employee will be [[subtract]]","Successful"
1.0,44.0,1.0,0.2694886326789856,"the [[vaccine]] against the [[new]] coronavirus [[ha]] [[existed]] since",1.0,0.2906593084335327,"the [[vaccinum]] against the [[Modern]] coronavirus [[HA]] [[survive]] since","Failed"
1.0,74.0,1.0,0.26946306228637695,"[[post]] [[say]] sanitizer will do nothing for the coronavirus",0.0,0.6803117394447327,"[[position]] [[articulate]] sanitizer will do nothing for the coronavirus","Successful"
0.0,1.0,1.0,0.5048015713691711,"of american adult believe in wearing mask",1.0,0.5048015713691711,"of american adult believe in wearing mask","Skipped"
0.0,63.0,0.0,0.27069979906082153,"[[helping]] patient through postcovid postintensive [[care]] syndrome coronavirus",0.0,0.2745562195777893,"[[serving]] patient through postcovid postintensive [[wish]] syndrome coronavirus","Failed"
0.0,86.0,0.0,0.26900702714920044,"death continue falling the day [[average]] just [[edged]] under",1.0,0.6579504013061523,"death continue falling the day [[fair]] just [[stinging]] under","Successful"
1.0,51.0,1.0,0.2691039443016052,"[[trump]] [[suggests]] donkey [[penis]] [[cure]] covid donaldtrump covid",1.0,0.2764289975166321,"[[outflank]] [[advise]] donkey [[member]] [[remedy]] covid donaldtrump covid","Failed"
1.0,71.0,1.0,0.27000701427459717,"yatris are [[stuck]] at vaishno devi [[due]] to covid",0.0,0.618378758430481,"yatris are [[puzzle]] at vaishno devi [[ascribable]] to covid","Successful"
1.0,14.0,1.0,0.26994186639785767,"sandythapar covid and virus aur [[beech]] me coronil [[kit]]",1.0,0.2708927392959595,"sandythapar covid and virus aur [[beechwood]] me coronil [[outfit]]","Failed"
1.0,58.0,1.0,0.26927679777145386,"[[say]] gov tony evers [[administration]] deemed dentist nonessential",0.0,0.5366947054862976,"[[enounce]] gov tony evers [[organisation]] deemed dentist nonessential","Successful"
1.0,51.0,1.0,0.26916611194610596," [[queen]] elizabeth [[ii]] ha been diagnosed with coronavirus  ",1.0,0.36778950691223145," [[poove]] elizabeth [[deuce]] ha been diagnosed with coronavirus  ","Failed"
0.0,67.0,0.0,0.2735559344291687,"equity [[accuracy]] and quality [[question]] surround the coronavirus vaccine",1.0,0.5690995454788208,"equity [[truth]] and quality [[motion]] surround the coronavirus vaccine","Successful"
1.0,61.0,1.0,0.3202804923057556,"raisin [[prevents]] clotting thus help to fight covid",0.0,0.7041771411895752,"raisin [[foreclose]] clotting thus help to fight covid","Successful"
1.0,1.0,0.0,0.6935697793960571,"model projecting covid death are talking about without mitigation",0.0,0.6935697793960571,"model projecting covid death are talking about without mitigation","Skipped"
1.0,57.0,1.0,0.2697606682777405,"[[trump]] [[offer]] to [[pardon]] coronavirus newsinphoto covid coronavirusnyc",1.0,0.40824222564697266,"[[outflank]] [[extend]] to [[forgiveness]] coronavirus newsinphoto covid coronavirusnyc","Failed"
1.0,47.0,1.0,0.26907771825790405,"[[trump]] [[announces]] a [[cure]] for covid donaldtrump coronavirus",1.0,0.40238553285598755,"[[outflank]] [[denote]] a [[heal]] for covid donaldtrump coronavirus","Failed"
1.0,46.0,1.0,0.26936691999435425,"[[high]] temperature [[kill]] the novel corona virus",1.0,0.2757006287574768,"[[high-pitched]] temperature [[down]] the novel corona virus","Failed"
1.0,126.0,1.0,0.30148935317993164,"[[black]] magic at work in bathroom coronavirus blackmagic",0.0,0.6254706382751465,"[[nigrify]] magic at work in bathroom coronavirus blackmagic","Successful"
0.0,56.0,0.0,0.30203038454055786,"coronavirus [[franchising]] ended a government seek new rail future",1.0,0.5170562267303467,"coronavirus [[franchise]] ended a government seek new rail future","Successful"
1.0,101.0,1.0,0.26907598972320557,"[[italy]] is [[burying]] corona victim in [[mass]] graf",1.0,0.27452409267425537,"[[Italia]] is [[inter]] corona victim in [[aggregate]] graf","Failed"
1.0,18.0,1.0,0.269852876663208,"alfalfa is the only [[cure]] for covid",1.0,0.2897036671638489,"alfalfa is the only [[heal]] for covid","Failed"
1.0,67.0,1.0,0.26897239685058594,"factchecking ha [[israel]] already [[discovered]] a covid [[vaccine]]",1.0,0.26920223236083984,"factchecking ha [[Zion]] already [[distinguish]] a covid [[vaccinum]]","Failed"
1.0,60.0,1.0,0.27440494298934937,"corona virus must be stopped [[confirm]] irish [[music]] [[fan]]",0.0,0.6162335276603699,"corona virus must be stopped [[substantiate]] irish [[medicine]] [[buff]]","Successful"
1.0,16.0,1.0,0.26930540800094604,"there ha been a pandemic every [[year]]",1.0,0.2713603973388672,"there ha been a pandemic every [[yr]]","Failed"
0.0,24.0,0.0,0.2698777914047241,"[[recommendation]] for treating colorectal cancer during the covid pandemic",1.0,0.7182616591453552,"[[passport]] for treating colorectal cancer during the covid pandemic","Successful"
0.0,31.0,0.0,0.27648186683654785,"hospitalist compensation [[report]] of every hospitalists are woman",1.0,0.5591362714767456,"hospitalist compensation [[paper]] of every hospitalists are woman","Successful"
1.0,45.0,1.0,0.2713611125946045,"[[coping]] with coronavirus [[boredom]] quasimodo beavercrossing hobson schoice",1.0,0.2911432981491089,"[[contend]] with coronavirus [[ennui]] quasimodo beavercrossing hobson schoice","Failed"
1.0,140.0,1.0,0.27292972803115845,"our covid [[number]] are [[better]] than almost all country",0.0,0.6931230425834656,"our covid [[enumerate]] are [[improve]] than almost all country","Successful"
1.0,53.0,1.0,0.26901692152023315,"[[inhaling]] hot [[water]] steam [[kill]] corona virus homemade",1.0,0.28752875328063965,"[[inhale]] hot [[irrigate]] steam [[pop]] corona virus homemade","Failed"
