"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
1.0,48.0,1.0,0.368472158908844,"[[oh]] really meat packing [[plant]] are unhealthy [[asks]] smug ghost of upton sinclair newsinphoto meatpacking [[covid]]",1.0,0.40467286109924316,"[[оh]] really meat packing [[plants]] are unhealthy [[a]] [[sks]] smug ghost of upton sinclair newsinphoto meatpacking [[co]] [[vid]]","Failed"
1.0,140.0,1.0,0.3173636794090271,"the overall [[lethality]] of covid infection fatality rate is about to and thus in the range of a severe [[influenza]] up to of all person may already have a certain cellular background immunity to the new coronavirus due to contact with previous coronaviruses i e cold virus there is still little to no scientific evidence for the effectiveness of cloth face [[mask]] in [[healthy]] and asymptomatic individual",0.0,0.52131587266922,"the overall [[lethailty]] of covid infection fatality rate is about to and thus in the range of a severe [[influenᴢa]] up to of all person may already have a certain cellular background immunity to the new coronavirus due to contact with previous coronaviruses i e cold virus there is still little to no scientific evidence for the effectiveness of cloth face [[msk]] in [[healty]] and asymptomatic individual","Successful"
0.0,108.0,0.0,0.3206108808517456,"indiafightscorona state ut [[account]] for [[nearly]] of the [[new]] [[recovered]] [[case]] [[maharashtra]] ha maintained this lead with new recovery",0.0,0.3540250062942505,"indiafightscorona state ut [[accounts]] for [[almost]] of the [[newer]] [[retrieve]] [[instances]] [[uttar]] ha maintained this lead with new recovery","Failed"
0.0,265.0,0.0,0.33371126651763916,"indiafightscorona india s [[per]] day [[testing]] [[capacity]] [[ha]] [[crossed]] [[lakh]] [[test]] [[test]] were [[conducted]] in the last [[hour]] the [[weekly]] average test have multiplied by more than [[time]] [[since]] the first [[week]] of [[january]] staysafe [[indiawillwin]]",0.0,0.3749827742576599,"indiafightscorona india s [[paras]] day [[test]] [[ability]] [[have]] [[cossed]] [[lah]] [[tet]] [[t]] [[est]] were [[effected]] in the last [[time]] the [[week]] average test have multiplied by more than [[period]] [[snce]] the first [[weekly]] of [[nov]] staysafe [[indiaw]] [[illwin]]","Failed"
1.0,31.0,1.0,0.3363177180290222,"man ha gone to [[live]] in parallel universe [[alcohol]] coronavirus [[whisky]]",1.0,0.3595491647720337,"man ha gone to [[living]] in parallel universe [[alcool]] coronavirus [[whisy]]","Failed"
0.0,218.0,0.0,0.3367064595222473,"[[state]] reported more than [[k]] [[case]] [[today]] and [[k]] [[case]] yesterday the highest number we ve seen [[since]] may [[mississippi]] hasn t updated it number in two day so we expect we re [[missing]] [[case]] there based on their previous update",0.0,0.38431650400161743,"[[statе]] reported more than [[rs]] [[cse]] [[monday]] and [[j]] [[cɑse]] yesterday the highest number we ve seen [[si]] [[nce]] may [[arkansas]] hasn t updated it number in two day so we expect we re [[mіssing]] [[ca]] [[se]] there based on their previous update","Failed"
0.0,245.0,0.0,0.32913535833358765,"indiafightscorona of the [[new]] [[recovered]] [[case]] are being [[reported]] from ten [[state]] ut [[maharashtra]] continues to [[lead]] with more than new recovered [[patient]] andhra pradesh [[contributed]] more than to the [[single]] day recovery",0.0,0.3827553391456604,"indiafightscorona of the [[newest]] [[rec]] [[overed]] [[cae]] are being [[briefed]] from ten [[country]] ut [[pradesh]] continues to [[advance]] with more than new recovered [[patients]] andhra pradesh [[assist]] more than to the [[sole]] day recovery","Failed"
0.0,69.0,0.0,0.325439989566803,"cdc and google remind you that wearing cloth face covering in public [[setting]] can help [[slowthespread]] of covid [[learn]] more about cloth face covering",1.0,0.5754334926605225,"cdc and google remind you that wearing cloth face covering in public [[se𝚝ting]] can help [[slowthespreaԁ]] of covid [[leaⲅn]] more about cloth face covering","Successful"
1.0,146.0,1.0,0.38381123542785645,"the viral [[text]] message claim that the [[chemical]] [[substance]] methylxanthines [[required]] to cure [[covid]] can be found in tea dr [[li]] [[wenliang]] had [[found]] this cure while researching about [[coronavirus]] before his death",1.0,0.4177744388580322,"the viral [[tet]] message claim that the [[pharmacist]] [[substaոce]] methylxanthines [[rеquired]] to cure [[covd]] can be found in tea dr [[i]] [[wеnliang]] had [[f]] [[ound]] this cure while researching about [[coronaviruѕ]] before his death","Failed"
0.0,109.0,0.0,0.30711984634399414,"over worker in meat and poultry processing facility in state were [[infected]] with covid in april and may learn more about infection [[among]] [[worker]] at meat and poultry processing facility and step facility can take to [[slow]] the [[spread]]",1.0,0.5066701769828796,"over worker in meat and poultry processing facility in state were [[contaminated]] with covid in april and may learn more about infection [[chez]] [[workeⲅ]] at meat and poultry processing facility and step facility can take to [[sluggish]] the [[spreɑd]]","Successful"
0.0,34.0,0.0,0.43366289138793945,"we just announced an award from u s government agency barda for up to million to accelerate development of our mrna vaccine [[mrna]] against novel coronavirus",1.0,0.5154860019683838,"we just announced an award from u s government agency barda for up to million to accelerate development of our mrna vaccine [[ｍrna]] against novel coronavirus","Successful"
1.0,46.0,1.0,0.3723015785217285,"[[muslim]] doctor [[died]] while treating [[people]] [[infected]] with coronavirus in delhi",1.0,0.40841639041900635,"[[islamist]] doctor [[dying]] while treating [[gens]] [[contaminated]] with coronavirus in delhi","Failed"
1.0,49.0,1.0,0.33372360467910767,"[[news]] don t lick a zebra for more than minute government coronavirus [[advice]] [[enters]] surreal stage",1.0,0.41779494285583496,"[[n]] [[ews]] don t lick a zebra for more than minute government coronavirus [[ad]] [[vice]] [[enter]] surreal stage","Failed"
1.0,14.0,1.0,0.33680474758148193,"fit people are [[immune]] to novel coronavirus",1.0,0.399392306804657,"fit people are [[immսne]] to novel coronavirus","Failed"
1.0,91.0,1.0,0.4129359722137451,"trump say he would [[mobilize]] [[military]] to distribute coronavirus [[vaccine]] when it s [[ready]]",1.0,0.43710625171661377,"trump say he would [[mobilise]] [[soldiers]] to distribute coronavirus [[measles]] when it s [[reɑdy]]","Failed"
0.0,104.0,0.0,0.3435786962509155,"our total number of confirmed [[case]] is which is the number we report to the world [[health]] organization there is no [[one]] in new zealand receiving [[hospitallevel]] care for [[covid]]",1.0,0.5101525783538818,"our total number of confirmed [[cases]] is which is the number we report to the world [[sanitary]] organization there is no [[somebody]] in new zealand receiving [[hospitallevеl]] care for [[co]] [[vid]]","Successful"
