"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
1.0,185.0,1.0,0.3245338201522827,"whoever thought that another home alone film would be a good idea [[should]] have their head examined  same plot  different kid  more villains  which leads to more endless stupidity in the traps  the other two films were [[bad]] enough  and this is where it [[hits]] rock bottom  people may as well watch the other films for plot  as it s all identical ",0.0,0.5383551120758057,"whoever thought that another home alone film would be a good idea [[shouldnt]] have their head examined  same plot  different kid  more villains  which leads to more endless stupidity in the traps  the other two films were [[mala]] enough  and this is where it [[rocked]] rock bottom  people may as well watch the other films for plot  as it s all identical ","Successful"
0.0,200.0,0.0,0.34258002042770386,"police story is arguably one of the best works by the master of [[action]] himself compared to other action films police story makes schwarzenegger and [[stallone]] look like beginners the [[stunt]] [[scenes]] are well cheorgraphed and the action [[scenes]] are superb if new line cinema [[has]] any sense they would release this in [[theaters]] ",0.0,0.42928546667099,"police story is arguably one of the best works by the master of [[stepping]] himself compared to other action films police story makes schwarzenegger and [[seagal]] look like beginners the [[artifice]] [[picture]] are well cheorgraphed and the action [[photographing]] are superb if new line cinema [[ai]] any sense they would release this in [[venue]] ","Failed"
1.0,200.0,1.0,0.34596461057662964,"unless the title is supposed to be some kind of spoiler for the wife s transformation  the fiends  [[ruining]] it for us  anycase  if this movie wasn t made for tv  it [[should]] have been  it s so remarkably [[low]] [[budget]]  underscripted  underacted  and hits [[every]]   s cliche except disco  nobody is likeable  and you could careless what happens to anyone in this one  eminently forgetable except for the bad  bad [[performances]] ",1.0,0.4181394577026367,"unless the title is supposed to be some kind of spoiler for the wife s transformation  the fiends  [[annihilated]] it for us  anycase  if this movie wasn t made for tv  it [[owe]] have been  it s so remarkably [[bas]] [[budgets]]  underscripted  underacted  and hits [[all]]   s cliche except disco  nobody is likeable  and you could careless what happens to anyone in this one  eminently forgetable except for the bad  bad [[spectacles]] ","Failed"
1.0,200.0,1.0,0.35150498151779175,"this [[movie]] s basic premise is that everyone in the world can know that a person is gay except for that person  and that a man who likes show tunes  has good taste  and is neat in appearance must be a homosexual  yes  the movie is funny in parts  but the [[basic]] premise is to homophobic and [[insulting]] that the entire movie [[crumbles]] into something that is quite painful to sit through  the performances  particularly joan cusak and kevin kline are very [[good]] ",1.0,0.45878857374191284,"this [[theatres]] s basic premise is that everyone in the world can know that a person is gay except for that person  and that a man who likes show tunes  has good taste  and is neat in appearance must be a homosexual  yes  the movie is funny in parts  but the [[essential]] premise is to homophobic and [[attack]] that the entire movie [[downfall]] into something that is quite painful to sit through  the performances  particularly joan cusak and kevin kline are very [[improved]] ","Failed"
1.0,113.0,1.0,0.37733328342437744,"just as  its a mad  mad  mad  mad world  is at the top of my list for all time greatest comedies ever made  this one is at the very [[bottom]]   of course  i could be wrong not having seen  saving silverman  in other words  it s a lame  lame  lame  lame comedy br  br  [[rating]]       out of  ",0.0,0.5187790393829346,"just as  its a mad  mad  mad  mad world  is at the top of my list for all time greatest comedies ever made  this one is at the very [[likes]]   of course  i could be wrong not having seen  saving silverman  in other words  it s a lame  lame  lame  lame comedy br  br  [[cote]]       out of  ","Successful"
1.0,200.0,1.0,0.3465959429740906,"an excellent cast who do their best with an awful script  inept direction  and some of the worst [[score]] that i have ever heard  more tv movie of the week than serious drama  which is [[sad]] when one considers that the source material is very serious and very real  the [[film]] makers decided that instead of building drama and character  it was [[better]] to just show the most graphic and violent bits and hope that the audience would be shocked into sympathy and caring  in my opinion  one the most blatant forms of cut and paste film adapting ",1.0,0.3540303707122803,"an excellent cast who do their best with an awful script  inept direction  and some of the worst [[rating]] that i have ever heard  more tv movie of the week than serious drama  which is [[unfortunate]] when one considers that the source material is very serious and very real  the [[productions]] makers decided that instead of building drama and character  it was [[tougher]] to just show the most graphic and violent bits and hope that the audience would be shocked into sympathy and caring  in my opinion  one the most blatant forms of cut and paste film adapting ","Failed"
0.0,200.0,0.0,0.35063719749450684,"fabulous costumes by [[edith]] head who [[painted]] them on liz taylor at her finest br  br  the sfx are very [[good]] for a [[movie]] of its age  and the stunt doubles actually looked like the actors  even down to [[body]] type  a rarity in movies of this vintage br  br  a cozy movie  with splendid panoramas   even when chopped down to pan and scan ",0.0,0.4306280016899109,"fabulous costumes by [[hackett]] head who [[lacquer]] them on liz taylor at her finest br  br  the sfx are very [[optimum]] for a [[photo]] of its age  and the stunt doubles actually looked like the actors  even down to [[agencies]] type  a rarity in movies of this vintage br  br  a cozy movie  with splendid panoramas   even when chopped down to pan and scan ","Failed"
0.0,200.0,0.0,0.34472668170928955,"klatret©ªsen catch that girl  is really [[great]] movie  it s a  [[happy]]  movie  i [[watched]] this movie in  puchon international fantastic film [[festival]] pifan  on july 12nd     there is action   adventure   comedy   thrill   happy   romance cute kids  love triangle  you must see this movie   ",0.0,0.46298861503601074,"klatret©ªsen catch that girl  is really [[gargantuan]] movie  it s a  [[content]]  movie  i [[overseeing]] this movie in  puchon international fantastic film [[sect]] pifan  on july 12nd     there is action   adventure   comedy   thrill   happy   romance cute kids  love triangle  you must see this movie   ","Failed"
1.0,200.0,1.0,0.3344441056251526,"the old axiom that bored people are boring people is well demonstrated in  women in love  the script  taken from d  h  lawrence s novel  contains an endless flow of concepts that are  at best  sophomoric br  br  what a pity so much effort went into so vacuous an exercise  what an empty array of characters given such attention  in [[spite]] of high production values  this film [[comes]] across as [[tedious]] as its personnel br  br  a revisit in   merely confirms a   [[impression]] of juvenille minds in adult bodies  dawdling nowhere  and fumbling every step of the way ",1.0,0.4178277850151062,"the old axiom that bored people are boring people is well demonstrated in  women in love  the script  taken from d  h  lawrence s novel  contains an endless flow of concepts that are  at best  sophomoric br  br  what a pity so much effort went into so vacuous an exercise  what an empty array of characters given such attention  in [[desperation]] of high production values  this film [[originate]] across as [[industrious]] as its personnel br  br  a revisit in   merely confirms a   [[senses]] of juvenille minds in adult bodies  dawdling nowhere  and fumbling every step of the way ","Failed"
1.0,113.0,1.0,0.3330426812171936,"director fabio barreto got a strange academy nominea for his last movie o quatrilho  quatrilho is a bad movie  but in bella donna  barreto did one of the [[worst]] movies of all time  his adaptation of the novel riacho doce is ridiculous  think with me how poor brazilians fishermen speak a perfect english  in the film they do  there isn t a screenplay  it s only a very long videoclip with a beautiful places and many sex scenes with moscovis and henstridge ",0.0,0.5045946836471558,"director fabio barreto got a strange academy nominea for his last movie o quatrilho  quatrilho is a bad movie  but in bella donna  barreto did one of the [[silliest]] movies of all time  his adaptation of the novel riacho doce is ridiculous  think with me how poor brazilians fishermen speak a perfect english  in the film they do  there isn t a screenplay  it s only a very long videoclip with a beautiful places and many sex scenes with moscovis and henstridge ","Successful"
0.0,200.0,0.0,0.3484651446342468,"this film  an early william wellman  has an important message  particularly today  it posits the notion that sometimes there are things more important than your own personal safty or well being  the film  which has walter huston as the lead  is stolen by the [[performance]] of  chic  sales as grampa  he s the most completely drawn character in the film and a [[joy]] to watch  you ll recognize some familiar faces if you watch many movies from the    s and    s  [[wel]] worh your time to watch if you get the opportunity  recommended ",0.0,0.4525609016418457,"this film  an early william wellman  has an important message  particularly today  it posits the notion that sometimes there are things more important than your own personal safty or well being  the film  which has walter huston as the lead  is stolen by the [[implement]] of  chic  sales as grampa  he s the most completely drawn character in the film and a [[exaltation]] to watch  you ll recognize some familiar faces if you watch many movies from the    s and    s  [[doen]] worh your time to watch if you get the opportunity  recommended ","Failed"
0.0,141.0,0.0,0.3356224298477173,"this is actually one of my [[favorite]] [[films]]  i would [[recommend]] that everyone watches it  there is some great acting in it and it [[shows]] that not all  good  [[films]] are american ",1.0,0.5008652210235596,"this is actually one of my [[preferential]] [[moviemaking]]  i would [[advises]] that everyone watches it  there is some great acting in it and it [[testify]] that not all  good  [[cinematographic]] are american ","Successful"
0.0,200.0,0.0,0.33088624477386475,"one of the better [[musical]] bios  dennis [[morgan]] is [[great]] as the singer composer [[chauncey]] olcutt  the [[supporting]] cast is very good  especially andrea king as the glamorous lillian russell  the turn of the century atmosphere is the perfect setting  the technicolor is excellent  a simple plot  but the movie just makes you feel good  [[morgan]] was always underrated as an actor and a [[singer]] ",0.0,0.3830069303512573,"one of the better [[musician]] bios  dennis [[morg]] is [[gargantuan]] as the singer composer [[fortune]] olcutt  the [[attend]] cast is very good  especially andrea king as the glamorous lillian russell  the turn of the century atmosphere is the perfect setting  the technicolor is excellent  a simple plot  but the movie just makes you feel good  [[goldman]] was always underrated as an actor and a [[sings]] ","Failed"
1.0,93.0,1.0,0.33628278970718384,"largely dense road movie with some comic relief provided by the excellent john cleese  although he is really sending up his performance in fawlty towers  seems to flip from over the top slapstick to slushy sentimentality at the drop of a hat  and the [[worst]] part of the film is that martin and hawn have to  find themselves  who they are  etc  see it at your peril ",0.0,0.5010923147201538,"largely dense road movie with some comic relief provided by the excellent john cleese  although he is really sending up his performance in fawlty towers  seems to flip from over the top slapstick to slushy sentimentality at the drop of a hat  and the [[pire]] part of the film is that martin and hawn have to  find themselves  who they are  etc  see it at your peril ","Successful"
1.0,189.0,1.0,0.33270925283432007,"no [[comment]]   [[stupid]] [[movie]]  acting [[average]] or [[worse]]  [[screenplay]]   no [[sense]] at all  [[skip]] it ",1.0,0.46401822566986084,"no [[remark]]   [[nonsensical]] [[kino]]  acting [[signify]] or [[grandest]]  [[assumption]]   no [[detecting]] at all  [[overlook]] it ","Failed"
0.0,87.0,0.0,0.3452433943748474,"why did this movie fail commercially  it s got a sharp script  by ron shelton  and [[great]] performances by kurt russell and  especially  robin williams  in a brilliant manic nerd turn that s different from any of his other work  a great renter ",1.0,0.5391815900802612,"why did this movie fail commercially  it s got a sharp script  by ron shelton  and [[gargantuan]] performances by kurt russell and  especially  robin williams  in a brilliant manic nerd turn that s different from any of his other work  a great renter ","Successful"
1.0,200.0,1.0,0.33382654190063477,"this [[movie]] stinks  the stench resembles bad cowpies that sat in the sun too long  i can t believe that so many [[talented]] actors wasted their time [[making]] such a [[hopelessly]] awful [[film]]  [[whew]] ",1.0,0.35750436782836914,"this [[theater]] stinks  the stench resembles bad cowpies that sat in the sun too long  i can t believe that so many [[specialised]] actors wasted their time [[doing]] such a [[unavoidably]] awful [[theater]]  [[ah]] ","Failed"
0.0,200.0,0.0,0.3257414698600769,"i [[found]] this movie really funny because you have a youthful black comedian  chris rock  who dies and is sent back to earth in a mid   s white mans body  he doesn t realize that his behavior [[should]] change and continues to act as he had before  he listens to rap music  sings along  and plays the stereotypical part of an urban black man  the real humor in this movie was watching the trouble that this behavior [[gets]] him into with the black community ",0.0,0.45765239000320435,"i [[detecting]] this movie really funny because you have a youthful black comedian  chris rock  who dies and is sent back to earth in a mid   s white mans body  he doesn t realize that his behavior [[necessity]] change and continues to act as he had before  he listens to rap music  sings along  and plays the stereotypical part of an urban black man  the real humor in this movie was watching the trouble that this behavior [[ai]] him into with the black community ","Failed"
0.0,200.0,0.0,0.3350374102592468,"a beautiful  sensitive film that [[brings]] home the futility and cruelty of wars no matter what the so called reasons  the [[performance]] of cage and cruz were quite [[impressive]]  but it is to the older greek characters that go the highest praises  irene papas is as gorgeous as ever  though some scenes seems a little long at times  this film [[will]] be a heavy oscar contender ",0.0,0.47848600149154663,"a beautiful  sensitive film that [[donne]] home the futility and cruelty of wars no matter what the so called reasons  the [[implement]] of cage and cruz were quite [[breathless]]  but it is to the older greek characters that go the highest praises  irene papas is as gorgeous as ever  though some scenes seems a little long at times  this film [[volition]] be a heavy oscar contender ","Failed"
1.0,200.0,1.0,0.3518863916397095,"[[corny]] and horrible  i was not surprised this short lived show didn t make it  i remember [[fondly]] when tales from the crypt tried reusing these [[corny]] episodes like they were actually scary  coupled with bad acting and [[lousy]] [[music]]  i was surprised this [[crummy]] showed was ever conceived  it never showed up again  and one can only be thankful for this circumstance ",1.0,0.36282533407211304,"[[inane]] and horrible  i was not surprised this short lived show didn t make it  i remember [[playfully]] when tales from the crypt tried reusing these [[cliché]] episodes like they were actually scary  coupled with bad acting and [[shitty]] [[gig]]  i was surprised this [[rotten]] showed was ever conceived  it never showed up again  and one can only be thankful for this circumstance ","Failed"
0.0,200.0,0.0,0.3932015299797058,"this is an excellent film and one [[should]] not be put off by its [[strangeness]]  there is genuine skill in manufacture of this work  it [[manages]] to [[be]] intrigiung  funny and [[frightening]] at various [[times]]  work with it for the first few minutes and you won t be disappointed",1.0,0.5013203024864197,"this is an excellent film and one [[requisite]] not be put off by its [[irrationality]]  there is genuine skill in manufacture of this work  it [[administer]] to [[pose]] intrigiung  funny and [[alarming]] at various [[scheduling]]  work with it for the first few minutes and you won t be disappointed","Successful"
0.0,200.0,0.0,0.3579850196838379,"mickey mouse is now   years old  he was created by walt disney  a famous creater  producer  director etc  i [[love]] the disney movies because it is great fun watching the cartoon movies  altogether walt disney i [[think]] is the king of the creations  everyone has [[got]] to love this creations and the movies by walt disney  thank you walt for all the classic characters you made ",0.0,0.42632269859313965,"mickey mouse is now   years old  he was created by walt disney  a famous creater  producer  director etc  i [[amour]] the disney movies because it is great fun watching the cartoon movies  altogether walt disney i [[contemplating]] is the king of the creations  everyone has [[be]] to love this creations and the movies by walt disney  thank you walt for all the classic characters you made ","Failed"
1.0,146.0,1.0,0.3523554801940918,"this was [[really]] the [[worst]] movie i ve ever seen  anyone who has seen it will know what i m talking about  i saw it on starz  so thank goodness i didn t waste my money  please everyone  don t waste your time  i m really [[suprised]] this wasn t [[straight]] to video ",0.0,0.5106715559959412,"this was [[heartily]] the [[shittiest]] movie i ve ever seen  anyone who has seen it will know what i m talking about  i saw it on starz  so thank goodness i didn t waste my money  please everyone  don t waste your time  i m really [[ofcourse]] this wasn t [[outright]] to video ","Successful"
1.0,200.0,1.0,0.3381499648094177,"[[someone]] should teach the people who [[made]] this movie that there is a difference between  presenting multiple twists  and  screwing the audience over  they even use [[hypnosis]] as a tool to cover up the plot holes  whenever they can t find their way into or out of a scene  they just say  she is regressing to her past now  or  she s snapping out of it now  and they think that [[explains]] everything  this movie is a dishonest cheat and in the last   minutes becomes a full blown fiasco       ",1.0,0.3465476632118225,"[[individuals]] should teach the people who [[doing]] this movie that there is a difference between  presenting multiple twists  and  screwing the audience over  they even use [[hypnotism]] as a tool to cover up the plot holes  whenever they can t find their way into or out of a scene  they just say  she is regressing to her past now  or  she s snapping out of it now  and they think that [[detailing]] everything  this movie is a dishonest cheat and in the last   minutes becomes a full blown fiasco       ","Failed"
1.0,200.0,1.0,0.3263799548149109,"once again  pia zadora  the woman who owes her entire career to her husband  proves she can t [[act]]  this disaster of a film [[butchers]] the harold robbins novel  ray liotta must [[have]] been hogtied and [[carried]] to the [[set]] to appear in this one br  br  avoid this at all costs  i doubt even doing the mst3k thing would [[save]] it ",1.0,0.4123423099517822,"once again  pia zadora  the woman who owes her entire career to her husband  proves she can t [[acte]]  this disaster of a film [[butchery]] the harold robbins novel  ray liotta must [[es]] been hogtied and [[accomplished]] to the [[determining]] to appear in this one br  br  avoid this at all costs  i doubt even doing the mst3k thing would [[spared]] it ","Failed"
1.0,200.0,1.0,0.3336101174354553,"our gang got one [[chance]] at a feature film in its   year history  and this was the best that could be done  it s [[boring]]  forced and [[pointless]]  and i must respectfully disagree with the other poster on this film  the   little rascals remake was [[better]] than this  almost anything is  the kids are subordinate to the civil war proceedings  it doesn t feel like an our gang film at all  but like a humorless second rate shirley temple clone ",1.0,0.480739951133728,"our gang got one [[lucky]] at a feature film in its   year history  and this was the best that could be done  it s [[uninspired]]  forced and [[extraneous]]  and i must respectfully disagree with the other poster on this film  the   little rascals remake was [[finest]] than this  almost anything is  the kids are subordinate to the civil war proceedings  it doesn t feel like an our gang film at all  but like a humorless second rate shirley temple clone ","Failed"
1.0,126.0,1.0,0.37598514556884766,"i just saw dick tracy and i thought it was terrible  the paintings in the background of the cities looked [[awful]]  also the mob characters looked too weird  warren beatty didn t do an awful job as dick tracy but it was definetely not one of his better [[performances]]  madonna should just stick to singing  glenne headly did a good job in this movie  i gave this movie a     just because of the amazing acting by al pacino  it wasn t a high note in his career but he still did a good job ",0.0,0.5147669315338135,"i just saw dick tracy and i thought it was terrible  the paintings in the background of the cities looked [[outrageous]]  also the mob characters looked too weird  warren beatty didn t do an awful job as dick tracy but it was definetely not one of his better [[concerts]]  madonna should just stick to singing  glenne headly did a good job in this movie  i gave this movie a     just because of the amazing acting by al pacino  it wasn t a high note in his career but he still did a good job ","Successful"
0.0,200.0,0.0,0.3650137186050415,"if only all animation was this great  this film is [[classic]] because it is strong is two simple aspects  story and character  the characters in this film are beautifully personified  i felt for all of the characters  and human [[animal]] relationship in the movie works perfectly  the beautiful [[animation]] and   d computer [[animation]] hasn t [[worked]] better in any other film  this is a great movie for kids  and for adults who want a classic hero s journey    of   ",0.0,0.4312935471534729,"if only all animation was this great  this film is [[ordinary]] because it is strong is two simple aspects  story and character  the characters in this film are beautifully personified  i felt for all of the characters  and human [[oxen]] relationship in the movie works perfectly  the beautiful [[stimulated]] and   d computer [[fostered]] hasn t [[labor]] better in any other film  this is a great movie for kids  and for adults who want a classic hero s journey    of   ","Failed"
1.0,1.0,0.0,0.5011981725692749,"it s like what other dracula movies always do  the minions of dracula always on dracula s side  which is what disappointed me at the ending  regardless the person wants to stay a vampire or not  i would like to see something like in the first movie that the minion fights against her master  it is much interesting  since you can almost predict how the story goes  than just either the priest or d  win the game  we need some surprising plots ",0.0,0.5011981725692749,"it s like what other dracula movies always do  the minions of dracula always on dracula s side  which is what disappointed me at the ending  regardless the person wants to stay a vampire or not  i would like to see something like in the first movie that the minion fights against her master  it is much interesting  since you can almost predict how the story goes  than just either the priest or d  win the game  we need some surprising plots ","Skipped"
1.0,99.0,1.0,0.43479418754577637,"i m not to keen on the pallbearer  it s not too bad  but just very [[slow]] at the times  as the movie goes on  it gets a [[little]] more interesting  but nothing brilliant  i really like david schwimmer and i think he s good here  i m not a massive gwyneth paltrow fan  but i don t mind her sometimes and she s okay here  the pallbearer is not a highly recommended movie  but if you like the leads then you might enjoy it ",0.0,0.5024600028991699,"i m not to keen on the pallbearer  it s not too bad  but just very [[slower]] at the times  as the movie goes on  it gets a [[marginally]] more interesting  but nothing brilliant  i really like david schwimmer and i think he s good here  i m not a massive gwyneth paltrow fan  but i don t mind her sometimes and she s okay here  the pallbearer is not a highly recommended movie  but if you like the leads then you might enjoy it ","Successful"
1.0,200.0,1.0,0.3505318760871887,"if you [[like]] [[bad]] [[movies]]  this one s a real treat  kaufman   peters stagger around in robot costumes  escape slavery only to wander aimlessly  and find true robot love  i believe this is the first movie that ever [[made]] me consider [[walking]] out  i should note i was    and could be entertained by shiny objects ",1.0,0.4868537187576294,"if you [[enjoying]] [[mala]] [[cinematographer]]  this one s a real treat  kaufman   peters stagger around in robot costumes  escape slavery only to wander aimlessly  and find true robot love  i believe this is the first movie that ever [[fulfilled]] me consider [[mountaineering]] out  i should note i was    and could be entertained by shiny objects ","Failed"
0.0,200.0,0.0,0.37348926067352295,"i [[felt]] this film   throughout  i waas impressed with russell crowe s talent in developing his relationship with lillie  such a typical aussie blend of softly softly approach  a [[bit]] self depreciating and very persistent  really loved the cinematography and direction  pace was just right and the portrayals of nearly all characters was [[impressive]] br  br  gosh  didn t russell s talent even in   shine    and i [[have]] yet to see gladiator ",0.0,0.4672090411186218,"i [[idea]] this film   throughout  i waas impressed with russell crowe s talent in developing his relationship with lillie  such a typical aussie blend of softly softly approach  a [[dick]] self depreciating and very persistent  really loved the cinematography and direction  pace was just right and the portrayals of nearly all characters was [[stupendous]] br  br  gosh  didn t russell s talent even in   shine    and i [[be]] yet to see gladiator ","Failed"
0.0,200.0,0.0,0.3552299737930298,"the van is a simple teensploitation picture made especially for the drive in that goes out of it s way to [[make]] you feel comfortable  providing many opportunities to laugh and cry with your friends  danny devito has a small yet plentiful role as the manager of a car wash and almost steals the [[show]]  all the [[leads]] are well acted  the characters complex and the directing quite competent for this type of picture  a crown [[international]] release ",0.0,0.4493125081062317,"the van is a simple teensploitation picture made especially for the drive in that goes out of it s way to [[exert]] you feel comfortable  providing many opportunities to laugh and cry with your friends  danny devito has a small yet plentiful role as the manager of a car wash and almost steals the [[indicate]]  all the [[culminate]] are well acted  the characters complex and the directing quite competent for this type of picture  a crown [[un]] release ","Failed"
0.0,200.0,0.0,0.3395709991455078,"what can i say  [[curse]] of monkey island is [[fantastic]]  the story is good and solid  but appropriately silly  the [[jokes]] are hillarious  the puzzles are puzzling  you couldn t ask for more in an adventure game  the  you don t need to see my identification  bit is in itself well [[worth]] buying the [[game]] for  not to mention murray  who has become the hot topic among many of my friends  only some of whom have played the game  you will love this game  and if you don t  too bad ",0.0,0.4010162353515625,"what can i say  [[catastrophe]] of monkey island is [[noteworthy]]  the story is good and solid  but appropriately silly  the [[shitting]] are hillarious  the puzzles are puzzling  you couldn t ask for more in an adventure game  the  you don t need to see my identification  bit is in itself well [[valued]] buying the [[jeux]] for  not to mention murray  who has become the hot topic among many of my friends  only some of whom have played the game  you will love this game  and if you don t  too bad ","Failed"
0.0,166.0,0.0,0.31989556550979614,"a really realistic  sensible [[movie]] by ramgopal verma   no [[stupidity]] like songs as in other hindi [[movies]]  class acting by nana patekar   br  br  much [[similarities]] to real  [[encounters]] ",1.0,0.514951229095459,"a really realistic  sensible [[theaters]] by ramgopal verma   no [[asinine]] like songs as in other hindi [[imaging]]  class acting by nana patekar   br  br  much [[allude]] to real  [[detects]] ","Successful"
0.0,87.0,0.0,0.3486364483833313,"this movie [[turned]] out to be better than i had expected it to be  some parts were pretty funny  it was [[nice]] to have a movie with a new plot ",1.0,0.505283772945404,"this movie [[turns]] out to be better than i had expected it to be  some parts were pretty funny  it was [[fine]] to have a movie with a new plot ","Successful"
0.0,200.0,0.0,0.37225210666656494,"i don t know what it is about this movie  the [[charisma]] of the [[two]] leads  their chemistry on screen  the chance to [[see]] matthau s real life son  you can t [[miss]] him or art carney s performance but i [[love]] it  i ve seen it a [[few]] times and never [[tire]] of watching it again  rent and enjoy ",0.0,0.47174257040023804,"i don t know what it is about this movie  the [[exude]] of the [[three]] leads  their chemistry on screen  the chance to [[ver]] matthau s real life son  you can t [[fails]] him or art carney s performance but i [[amar]] it  i ve seen it a [[low]] times and never [[wheel]] of watching it again  rent and enjoy ","Failed"
0.0,159.0,0.0,0.3510967493057251,"brian keith as cole wlikerson and [[richard]] jaeckel as wade matlock make [[excellent]] villains  they just love intimidating the [[locals]] in the most brutal way possible  and [[sneer]] sexily at any suggestion that there might be a more humane way to achieve their ends  it s a pity that goody goody glenn ford gets in their way ",1.0,0.5134633779525757,"brian keith as cole wlikerson and [[richards]] jaeckel as wade matlock make [[unpaid]] villains  they just love intimidating the [[resided]] in the most brutal way possible  and [[scowl]] sexily at any suggestion that there might be a more humane way to achieve their ends  it s a pity that goody goody glenn ford gets in their way ","Successful"
1.0,200.0,1.0,0.32837432622909546,"distasteful  cliched [[thriller]] has young couple doing cross country research on america s most infamous murder sites  becoming road partners with a dim witted young woman and her snarling boyfriend who is an actual psycho  arty and alienating  the [[film]] s tone alternates between pouty pseudo irony and silly flamboyance  [[handsomely]] made perhaps  but [[ultimately]] [[laughable]]  brad [[pitt]] s performance as the low rent killer is godawful    from  ",1.0,0.43955498933792114,"distasteful  cliched [[suspenseful]] has young couple doing cross country research on america s most infamous murder sites  becoming road partners with a dim witted young woman and her snarling boyfriend who is an actual psycho  arty and alienating  the [[cine]] s tone alternates between pouty pseudo irony and silly flamboyance  [[splendidly]] made perhaps  but [[maybe]] [[comical]]  brad [[beit]] s performance as the low rent killer is godawful    from  ","Failed"
