"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
1.0,366.0,1.0,0.3016614317893982,"some movies are repellent but still fascinating  pulp fiction  others are simply [[boring]]  this movie has an almost unique feature of being both utterly repellent and totally [[boring]]  by the end i didn t care about any of the characters  i just wanted all of them dead so i could get out of the theatre ",0.0,0.5741692781448364,"some movies are repellent but still fascinating  pulp fiction  others are simply [[tire]]  this movie has an almost unique feature of being both utterly repellent and totally [[ho-hum]]  by the end i didn t care about any of the characters  i just wanted all of them dead so i could get out of the theatre ","Successful"
1.0,233.0,1.0,0.3538869023323059,"at least the jingle by tim finn was melodic  roberts is the his usual inept self  [[characters]] are inconsistent  [[dull]]  purposeless  roberts [[changes]] his accent even within one line ",0.0,0.5050066709518433,"at least the jingle by tim finn was melodic  roberts is the his usual inept self  [[fibre]] are inconsistent  [[dense]]  purposeless  roberts [[deepen]] his accent even within one line ","Successful"
0.0,822.0,0.0,0.31133776903152466,"while it [[certainly]] wasn t the [[best]] movie i ve ever [[seen]]  it was [[certainly]] [[worth]] the     which can t be [[said]] for many [[movies]] these [[days]] [[br]]  br  this was a pleasant [[account]] of a [[true]] [[story]]  although many of the [[details]] of the [[real]] [[story]] were [[twisted]] for the movie   ie  [[billy]] sunday s [[character]] was [[three]] or four [[people]] in the [[real]] [[story]] [[combined]] [[together]]  robert deniro was of [[course]] [[good]]  and cuba gooding  jr  was [[also]] impressive ",0.0,0.49194568395614624,"while it [[sure]] wasn t the [[advantageously]] movie i ve ever [[determine]]  it was [[sure]] [[deserving]] the     which can t be [[allege]] for many [[pic]] these [[daylight]] [[bromine]]  br  this was a pleasant [[bill]] of a [[lawful]] [[storey]]  although many of the [[item]] of the [[existent]] [[level]] were [[sprain]] for the movie   ie  [[baton]] sunday s [[fiber]] was [[trey]] or four [[mass]] in the [[existent]] [[taradiddle]] [[mix]] [[unitedly]]  robert deniro was of [[grade]] [[commodity]]  and cuba gooding  jr  was [[too]] impressive ","Failed"
1.0,481.0,1.0,0.34924954175949097,"ok we have a film that some are calling one of the best movies ever but i m sitting here thinking hell the f  the storys sux  which there is no story  the diolouge is quite plain  artisticly [[nothing]] great  and the acting is nothing real out standing  so if you want to pretend to be arty say you like it  but if you have a real view say you don t like it or if you did explain why ",0.0,0.5115321278572083,"ok we have a film that some are calling one of the best movies ever but i m sitting here thinking hell the f  the storys sux  which there is no story  the diolouge is quite plain  artisticly [[nix]] great  and the acting is nothing real out standing  so if you want to pretend to be arty say you like it  but if you have a real view say you don t like it or if you did explain why ","Successful"
0.0,656.0,0.0,0.28905272483825684,"i [[went]] into a screening of  sister helen  at the sundance film festival and did not know what to expect br  br  i was riveted by the people in this documentary  sister helen is an incredible [[character]]  the filmmakers captured the essence of sister helen s [[amazing]] soul and took me into a [[world]] unknown  i was thoroughly satisfied by the journey and was completely caught off guard by this [[film]] s [[ending]] br  br  this [[film]] [[speaks]] to those who desire a second [[chance]] at [[life]] ",1.0,0.5037513971328735,"i [[decease]] into a screening of  sister helen  at the sundance film festival and did not know what to expect br  br  i was riveted by the people in this documentary  sister helen is an incredible [[grapheme]]  the filmmakers captured the essence of sister helen s [[awful]] soul and took me into a [[macrocosm]] unknown  i was thoroughly satisfied by the journey and was completely caught off guard by this [[cinema]] s [[terminate]] br  br  this [[flick]] [[mouth]] to those who desire a second [[risk]] at [[sprightliness]] ","Successful"
1.0,840.0,1.0,0.3245038390159607,"from the nepotism capitol of the [[world]] [[comes]] another junk flick in a fancy wrapper   cq  [[tells]] a lame  disjointed [[mess]] of a story which is [[little]] more than a bunch of silly [[caricatures]]  a babe  and straight man davies [[running]] around trying to make a [[stupid]] sci fi flick  i can t think of any reason anyone would want to spend [[time]] with this [[ridiculous]] [[attempt]] at [[film]] [[making]]   d ",0.0,0.5026551485061646,"from the nepotism capitol of the [[existence]] [[cum]] another junk flick in a fancy wrapper   cq  [[assure]] a lame  disjointed [[mickle]] of a story which is [[lilliputian]] more than a bunch of silly [[ape]]  a babe  and straight man davies [[operative]] around trying to make a [[dolt]] sci fi flick  i can t think of any reason anyone would want to spend [[clock]] with this [[cockeyed]] [[attack]] at [[pic]] [[cause]]   d ","Successful"
1.0,518.0,1.0,0.3294624090194702,"this short film doesn t get there  cliche  and not very funny attempt at dark humor  humor isn t funny enough to get you interested and the protagonist isn t likeable so you really don t care about what happens anyway  producer spent some money on this [[flop]] and it [[shows]] in the production [[value]] which is the only [[saving]] [[grace]] ",0.0,0.5097601413726807,"this short film doesn t get there  cliche  and not very funny attempt at dark humor  humor isn t funny enough to get you interested and the protagonist isn t likeable so you really don t care about what happens anyway  producer spent some money on this [[founder]] and it [[testify]] in the production [[valuate]] which is the only [[economise]] [[goodwill]] ","Successful"
1.0,317.0,1.0,0.44930559396743774,"this movie about a man on the run for killing a mobster is the kind of film you can watch entirely on fast forward  once you know who s who  and not lose a thing  it has an attractive cast but the plot is a virtual writer s guide to cinema [[cliche]]  and boy does the dialogue clunk ",0.0,0.5553702712059021,"this movie about a man on the run for killing a mobster is the kind of film you can watch entirely on fast forward  once you know who s who  and not lose a thing  it has an attractive cast but the plot is a virtual writer s guide to cinema [[commonplace]]  and boy does the dialogue clunk ","Successful"
0.0,690.0,0.0,0.33998286724090576,"i m really suprised this movie didn t get a higher rating on imdb  it s one of those movies that could easily get by someone  but for romantic comedy  moonstruck  is really in a class by itself  it s setting and ethnic charm are things people seem to take for granted  the casting alone [[makes]] it a nearly perfect movie  few movies in the   s were as good as  moonstruck and it s [[funny]] too    out of  ",1.0,0.5631701946258545,"i m really suprised this movie didn t get a higher rating on imdb  it s one of those movies that could easily get by someone  but for romantic comedy  moonstruck  is really in a class by itself  it s setting and ethnic charm are things people seem to take for granted  the casting alone [[crap]] it a nearly perfect movie  few movies in the   s were as good as  moonstruck and it s [[laughable]] too    out of  ","Successful"
0.0,284.0,0.0,0.3265843987464905,"first it was jack the ripper  now it is alan feinstone  the crazy dentist tortures people in horrific ways  quite realistic at times but some of the acting is abysmal and [[comical]]  especially from corbin bernson  in some scenes there is dental torture that will really make you cringe ",1.0,0.5922507047653198,"first it was jack the ripper  now it is alan feinstone  the crazy dentist tortures people in horrific ways  quite realistic at times but some of the acting is abysmal and [[laughable]]  especially from corbin bernson  in some scenes there is dental torture that will really make you cringe ","Successful"
