"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
0.0,382.0,0.0,0.26894766092300415,"if you ve been in [[close]] contact with a person who ha covid a public health worker may [[call]] to [[let]] you know you ve been exposed answer the [[call]] to slowthespread [[learn]] what happens during [[contact]] [[tracing]]",1.0,0.5058406591415405,"if you ve been in [[penny-pinching]] contact with a person who ha covid a public health worker may [[vociferation]] to [[Lashkar-e-Tayyiba]] you know you ve been exposed answer the [[forebode]] to slowthespread [[teach]] what happens during [[middleman]] [[decipher]]","Successful"
0.0,212.0,0.0,0.2689448595046997,"on a [[bigger]] than average [[testing]] day newly reported [[case]] were over [[k]] [[today]]",1.0,0.689590573310852,"on a [[magnanimous]] than average [[quiz]] day newly reported [[lawsuit]] were over [[chiliad]] [[nowadays]]","Successful"
1.0,56.0,1.0,0.2689570188522339,"seventythree japanese [[police]] officer have been infected with covid after handling infected [[body]]",0.0,0.6813024282455444,"seventythree japanese [[patrol]] officer have been infected with covid after handling infected [[consistency]]","Successful"
0.0,176.0,0.0,0.2689511775970459,"rt pib [[india]] covid bulletin [[india]] [[reach]] another [[record]] of [[highest]] [[single]] [[day]] [[recovery]] recover in the last hour decre",1.0,0.677462100982666,"rt pib [[Bharat]] covid bulletin [[Bharat]] [[give]] another [[book]] of [[gamey]] [[bingle]] [[daylight]] [[retrieval]] recover in the last hour decre","Successful"
1.0,115.0,1.0,0.26895248889923096,"a [[video]] of dozen of [[people]] [[praying]] outdoors [[show]] italian [[praying]] during the [[novel]] coronavirus pandemic",1.0,0.32457512617111206,"a [[television]] of dozen of [[multitude]] [[implore]] outdoors [[demo]] italian [[implore]] during the [[new]] coronavirus pandemic","Failed"
1.0,66.0,1.0,0.2690522074699402,"justin trudeau [[promise]] to [[pay]] off tamil nadu india [[governments]] debt",1.0,0.29180634021759033,"justin trudeau [[anticipate]] to [[remuneration]] off tamil nadu india [[governance]] debt","Failed"
0.0,413.0,0.0,0.26895153522491455,"a new cdcmmwr [[report]] show that young previously [[healthy]] [[adult]] can [[take]] a long time to recover from covid the study found that nearly in [[adult]] [[age]] who had milder outpatient covid had not [[returned]] to their usual [[health]] after [[day]]",1.0,0.6319058537483215,"a new cdcmmwr [[paper]] show that young previously [[salubrious]] [[pornographic]] can [[film]] a long time to recover from covid the study found that nearly in [[pornographic]] [[geezerhood]] who had milder outpatient covid had not [[repay]] to their usual [[wellness]] after [[daylight]]","Successful"
0.0,223.0,0.0,0.2689533829689026,"indiafightscorona [[following]] the [[national]] [[trend]] [[state]] [[ut]] have more [[new]] [[recovery]] than [[new]] [[case]]",0.0,0.26936066150665283,"indiafightscorona [[chase]] the [[home]] [[vogue]] [[DoS]] [[do]] have more [[novel]] [[retrieval]] than [[newfangled]] [[lawsuit]]","Failed"
1.0,204.0,1.0,0.2689470052719116,"same [[little]] boy [[died]] of covid in [[three]] [[different]] [[country]] [[still]] don t [[believe]] the [[medium]] is fakenews",0.0,0.7128762602806091,"same [[footling]] boy [[choke]] of covid in [[tercet]] [[unlike]] [[area]] [[static]] don t [[conceive]] the [[sensitive]] is fakenews","Successful"
0.0,409.0,0.0,0.26895445585250854,"blackdigitalhum lead [[black]] covid a rapid response task force a critical black digital humanity collective that connects [[black]] diasporic community impacted by the pandemic to their [[data]] they have a bunch of worthwhile [[project]] in the [[work]]",1.0,0.6203154921531677,"blackdigitalhum lead [[sinister]] covid a rapid response task force a critical black digital humanity collective that connects [[shameful]] diasporic community impacted by the pandemic to their [[datum]] they have a bunch of worthwhile [[image]] in the [[cultivate]]","Successful"
1.0,172.0,1.0,0.27002108097076416,"[[say]] democrat are on vacation until may and refuse to come back to sign a bill to help small business",0.0,0.7116392850875854,"[[read]] democrat are on vacation until may and refuse to come back to sign a bill to help small business","Successful"
0.0,72.0,0.0,0.2690795660018921,"who covid [[transmission]] [[may]] [[include]] viral particle that [[remain]] airborne for longer than previously understood",1.0,0.5133771300315857,"who covid [[transmitting]] [[whitethorn]] [[admit]] viral particle that [[rest]] airborne for longer than previously understood","Successful"
0.0,137.0,0.0,0.274966299533844,"why did sars go away while today s coronavirus [[keep]] on [[spreading]]",1.0,0.5051512718200684,"why did sars go away while today s coronavirus [[donjon]] on [[airing]]","Successful"
0.0,301.0,0.0,0.2689504027366638,"rt cdcdirector [[take]] personal [[responsibility]] to [[help]] [[slow]] the [[spread]] of covid so that you can [[say]] covidstopswithme social [[distance]]",0.0,0.2699832320213318,"rt cdcdirector [[payoff]] personal [[province]] to [[avail]] [[ho-hum]] the [[broadcast]] of covid so that you can [[pronounce]] covidstopswithme social [[aloofness]]","Failed"
0.0,205.0,0.0,0.2689443826675415,"this [[includes]] [[ensuring]] that no [[one]] leaf a [[managed]] isolation [[facility]] without having had a negative covid [[test]] ensuring that all people in isolation are [[tested]] on around [[day]] and",1.0,0.5312562584877014,"this [[admit]] [[check]] that no [[peerless]] leaf a [[wangle]] isolation [[adeptness]] without having had a negative covid [[prove]] ensuring that all people in isolation are [[quiz]] on around [[daylight]] and","Successful"
0.0,278.0,0.0,0.2689482569694519,"data show that out of every nigerian who die from covid are more than [[year]] old do all you can to protect yourself parent [[older]] relative wear a [[face]] mask in [[public]] [[practice]] [[hand]] respiratory [[hygiene]] [[maintain]] physical [[distance]] takeresponsibility",1.0,0.5156186819076538,"data show that out of every nigerian who die from covid are more than [[twelvemonth]] old do all you can to protect yourself parent [[honest-to-god]] relative wear a [[typeface]] mask in [[populace]] [[do]] [[mitt]] respiratory [[hygienics]] [[assert]] physical [[aloofness]] takeresponsibility","Successful"
1.0,126.0,1.0,0.2689605951309204,"[[bill]] gate [[said]] that the catholic religion may have to be suspended [[forever]] because of the covid pandemic",0.0,0.5231949090957642,"[[beak]] gate [[aforementioned]] that the catholic religion may have to be suspended [[everlastingly]] because of the covid pandemic","Successful"
0.0,118.0,0.0,0.268951416015625,"coronavirusupdates covid [[testing]] [[status]] update icmrdelhi [[stated]] that [[sample]] [[tested]] up to september [[sample]] [[tested]] on september staysafe indiawillwin",0.0,0.26908940076828003,"coronavirusupdates covid [[quiz]] [[position]] update icmrdelhi [[express]] that [[taste]] [[quiz]] up to september [[taste]] [[prove]] on september staysafe indiawillwin","Failed"
0.0,372.0,0.0,0.2689446806907654,"there are [[nine]] [[previously]] [[reported]] [[case]] that are now [[considered]] to have [[recovered]] from covid our total [[number]] of active [[case]] is of those are imported [[case]] in miq [[facility]] and are community [[case]]",1.0,0.571922779083252,"there are [[nine-spot]] [[antecedently]] [[describe]] [[typeface]] that are now [[believe]] to have [[cured]] from covid our total [[numeral]] of active [[vitrine]] is of those are imported [[incase]] in miq [[adroitness]] and are community [[font]]","Successful"
0.0,410.0,0.0,0.2689458131790161,"the national number of people currently hospitalized with covid is [[still]] climbing even without data from the [[big]] outbreak in florida last [[week]] fl [[said]] current hospitalization [[data]] wa on the [[way]] but we haven t [[seen]] it [[reported]] [[yet]]",1.0,0.6807451248168945,"the national number of people currently hospitalized with covid is [[distillery]] climbing even without data from the [[freehanded]] outbreak in florida last [[hebdomad]] fl [[pronounce]] current hospitalization [[datum]] wa on the [[fashion]] but we haven t [[image]] it [[account]] [[however]]","Successful"
1.0,102.0,1.0,0.28954821825027466,"httweets not for covid but to prevent other infection after age of consult your doctor for pneumococcal [[conjugate]] vaccine or pcv pneumococcal [[polysaccharide]] vaccine or ppsv i found them useful for my wife",0.0,0.7056443691253662,"httweets not for covid but to prevent other infection after age of consult your doctor for pneumococcal [[coupled]] vaccine or pcv pneumococcal [[polyose]] vaccine or ppsv i found them useful for my wife","Successful"
0.0,846.0,0.0,0.26894611120224,"do you think you may have covid most people who [[get]] [[sick]] can take care of themselves at home if you need to [[see]] a [[doctor]] [[call]] [[ahead]] before [[going]] to their office [[take]] precaution to protect yourself and others around you [[see]] more",1.0,0.6041384935379028,"do you think you may have covid most people who [[dumbfound]] [[chuck]] can take care of themselves at home if you need to [[construe]] a [[bushel]] [[telephone]] [[forrader]] before [[croak]] to their office [[film]] precaution to protect yourself and others around you [[image]] more","Successful"
1.0,236.0,1.0,0.2689831852912903,"from random facebook [[post]] to [[renowned]] yoga guru they [[keep]] [[making]] this self [[test]] recommendation for covid  we factcheck",1.0,0.2786509394645691,"from random facebook [[situation]] to [[notable]] yoga guru they [[support]] [[work]] this self [[screen]] recommendation for covid  we factcheck","Failed"
1.0,133.0,1.0,0.2694717049598694,"covid barely kill anyone [[say]] man who would probably be pretty [[annoyed]] if we [[killed]] him",0.0,0.5754349231719971,"covid barely kill anyone [[state]] man who would probably be pretty [[bother]] if we [[defeat]] him","Successful"
1.0,232.0,1.0,0.26902127265930176,"a india detected more covid case in marchapril [[fake]] misleading claim around the pandemic rose most common were communal [[rumour]] followed by [[false]] guideline notification per boomlivein analysis",0.0,0.6349936723709106,"a india detected more covid case in marchapril [[simulated]] misleading claim around the pandemic rose most common were communal [[hearsay]] followed by [[off-key]] guideline notification per boomlivein analysis","Successful"
0.0,294.0,0.0,0.2689449191093445,"texas ha [[changed]] their method of [[counting]] [[death]] and hurricane hanna ha [[hit]] the [[state]] this [[may]] have caused some [[backlog]] which could have [[influenced]] the [[large]] [[number]] of [[death]] they [[reported]] [[today]]",1.0,0.6330673694610596,"texas ha [[deepen]] their method of [[bet]] [[decease]] and hurricane hanna ha [[smasher]] the [[express]] this [[whitethorn]] have caused some [[stockpile]] which could have [[charm]] the [[magnanimous]] [[numeral]] of [[decease]] they [[describe]] [[nowadays]]","Successful"
