"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
1.0,200.0,1.0,0.3245338201522827,"[[whoever]] [[thought]] that [[another]] home alone film [[would]] be a good [[idea]] should have their [[head]] examined  same plot  different kid  more villains  which leads to more endless stupidity in the [[traps]]  the other two films were [[bad]] enough  and this is where it hits [[rock]] bottom  [[people]] may as well watch the other films for [[plot]]  as it s all identical ",1.0,0.4815658926963806,"[[wohever]] [[thoughts]] that [[a]] [[nother]] home alone film [[wo]] [[uld]] be a good [[thoughts]] should have their [[chief]] examined  same plot  different kid  more villains  which leads to more endless stupidity in the [[pitfalls]]  the other two films were [[mala]] enough  and this is where it hits [[boulder]] bottom  [[peоple]] may as well watch the other films for [[intrigue]]  as it s all identical ","Failed"
0.0,194.0,0.0,0.34258002042770386,"police story is arguably one of the best works by the master of [[action]] himself compared to other action [[films]] police story [[makes]] [[schwarzenegger]] and [[stallone]] [[look]] [[like]] beginners the [[stunt]] [[scenes]] are [[well]] cheorgraphed and the action [[scenes]] are superb if new line [[cinema]] has any sense they would release this in [[theaters]] ",0.0,0.44773125648498535,"police story is arguably one of the best works by the master of [[ɑction]] himself compared to other action [[movies]] police story [[pays]] [[pelosi]] and [[stalⅼone]] [[peek]] [[lіke]] beginners the [[stnt]] [[image]] are [[good]] cheorgraphed and the action [[scenеs]] are superb if new line [[film]] has any sense they would release this in [[thеaters]] ","Failed"
1.0,200.0,1.0,0.34596461057662964,"unless the title is supposed to be some [[kind]] of spoiler for the wife s transformation  the fiends  [[ruining]] it for us  anycase  if this [[movie]] wasn t made for tv  it should have been  it s so remarkably [[low]] [[budget]]  underscripted  underacted  and hits [[every]]   s cliche except disco  nobody is likeable  and you could careless what [[happens]] to [[anyone]] in this one  eminently [[forgetable]] except for the bad  bad [[performances]] ",1.0,0.4373477101325989,"unless the title is supposed to be some [[genre]] of spoiler for the wife s transformation  the fiends  [[ⲅuining]] it for us  anycase  if this [[m]] [[ovie]] wasn t made for tv  it should have been  it s so remarkably [[scant]] [[bugdet]]  underscripted  underacted  and hits [[entire]]   s cliche except disco  nobody is likeable  and you could careless what [[haрpens]] to [[aոyone]] in this one  eminently [[forgetaЬle]] except for the bad  bad [[perfоrmances]] ","Failed"
1.0,193.0,1.0,0.35150498151779175,"this [[movie]] s [[basic]] premise is that everyone in the world can know that a person is gay except for that person  and that a man who likes show tunes  has good taste  and is [[neat]] in appearance must be a homosexual  yes  the movie is funny in parts  but the [[basic]] premise is to homophobic and [[insulting]] that the [[entire]] movie [[crumbles]] into something that is quite painful to sit through  the performances  particularly joan cusak and kevin kline are very good ",0.0,0.5195705890655518,"this [[filmmaking]] s [[elemental]] premise is that everyone in the world can know that a person is gay except for that person  and that a man who likes show tunes  has good taste  and is [[net]] in appearance must be a homosexual  yes  the movie is funny in parts  but the [[fundamental]] premise is to homophobic and [[insul𝚝ing]] that the [[every]] movie [[crumbleѕ]] into something that is quite painful to sit through  the performances  particularly joan cusak and kevin kline are very good ","Successful"
1.0,98.0,1.0,0.37733328342437744,"just as  its a mad  mad  mad  mad world  is at the top of my list for all time greatest comedies ever made  this one is at the very [[bottom]]   of course  i [[could]] be wrong not having seen  saving silverman  in other words  it s a lame  lame  lame  lame comedy br  br  [[rating]]       out of  ",0.0,0.5017052888870239,"just as  its a mad  mad  mad  mad world  is at the top of my list for all time greatest comedies ever made  this one is at the very [[fond]]   of course  i [[coud]] be wrong not having seen  saving silverman  in other words  it s a lame  lame  lame  lame comedy br  br  [[ratings]]       out of  ","Successful"
1.0,200.0,1.0,0.3465959429740906,"an excellent cast who do their best with an awful script  inept direction  and some of the worst [[score]] that i have ever heard  more tv movie of the week than serious drama  which is [[sad]] when one considers that the [[source]] material is very serious and very real  the [[film]] makers decided that instead of building drama and character  it was [[better]] to just show the most graphic and violent bits and hope that the audience would be shocked into sympathy and caring  in my opinion  one the most blatant forms of cut and paste film adapting ",1.0,0.35228896141052246,"an excellent cast who do their best with an awful script  inept direction  and some of the worst [[rating]] that i have ever heard  more tv movie of the week than serious drama  which is [[unfortunate]] when one considers that the [[origins]] material is very serious and very real  the [[filmmaking]] makers decided that instead of building drama and character  it was [[best]] to just show the most graphic and violent bits and hope that the audience would be shocked into sympathy and caring  in my opinion  one the most blatant forms of cut and paste film adapting ","Failed"
0.0,200.0,0.0,0.35063719749450684,"fabulous costumes by [[edith]] head who [[painted]] them on liz [[taylor]] at her [[finest]] br  br  the sfx are very [[good]] for a movie of its age  and the stunt doubles [[actually]] looked like the actors  [[even]] down to body [[type]]  a rarity in movies of this vintage br  br  a cozy [[movie]]  with splendid panoramas   even when [[chopped]] down to pan and scan ",0.0,0.4756302237510681,"fabulous costumes by [[ed]] [[ith]] head who [[lacquer]] them on liz [[taуlor]] at her [[fines𝚝]] br  br  the sfx are very [[g]] [[ood]] for a movie of its age  and the stunt doubles [[a]] [[ctually]] looked like the actors  [[yet]] down to body [[ty]] [[pe]]  a rarity in movies of this vintage br  br  a cozy [[moviе]]  with splendid panoramas   even when [[cհopped]] down to pan and scan ","Failed"
0.0,158.0,0.0,0.34472668170928955,"klatret©ªsen catch that girl  is really [[great]] movie  it s a  [[happy]]  [[movie]]  i [[watched]] this [[movie]] in  puchon international [[fantastic]] film festival pifan  on july 12nd     there is action   adventure   [[comedy]]   thrill   happy   romance cute [[kids]]  love [[triangle]]  you must see this movie   ",1.0,0.5001848936080933,"klatret©ªsen catch that girl  is really [[gr]] [[eat]] movie  it s a  [[հappy]]  [[mоvie]]  i [[wat]] [[ched]] this [[movіe]] in  puchon international [[fantast]] [[ic]] film festival pifan  on july 12nd     there is action   adventure   [[comedian]]   thrill   happy   romance cute [[kds]]  love [[trianglе]]  you must see this movie   ","Successful"
1.0,200.0,1.0,0.3344441056251526,"the old axiom that bored people are boring people is well demonstrated in  women in love  the script  taken from d  h  lawrence s novel  contains an endless flow of concepts that are  at best  sophomoric br  br  what a pity so much effort [[went]] into so vacuous an exercise  what an [[empty]] array of characters [[given]] such attention  in [[spite]] of high production values  this film [[comes]] across as [[tedious]] as its personnel br  br  a revisit in   [[merely]] confirms a   [[impression]] of juvenille minds in adult bodies  dawdling nowhere  and fumbling every step of the way ",1.0,0.49133890867233276,"the old axiom that bored people are boring people is well demonstrated in  women in love  the script  taken from d  h  lawrence s novel  contains an endless flow of concepts that are  at best  sophomoric br  br  what a pity so much effort [[became]] into so vacuous an exercise  what an [[emp𝚝y]] array of characters [[giѵen]] such attention  in [[sorrow]] of high production values  this film [[emerges]] across as [[tediouѕ]] as its personnel br  br  a revisit in   [[mereⅼy]] confirms a   [[impressіon]] of juvenille minds in adult bodies  dawdling nowhere  and fumbling every step of the way ","Failed"
1.0,114.0,1.0,0.3330426812171936,"director fabio barreto got a strange academy nominea for his last movie o quatrilho  quatrilho is a bad movie  but in bella donna  barreto did one of the [[worst]] movies of all time  his adaptation of the novel riacho doce is [[ridiculous]]  think with me how poor brazilians fishermen speak a perfect english  in the film they do  there isn t a screenplay  it s only a very long videoclip with a beautiful places and many sex scenes with moscovis and henstridge ",0.0,0.5793796181678772,"director fabio barreto got a strange academy nominea for his last movie o quatrilho  quatrilho is a bad movie  but in bella donna  barreto did one of the [[gravest]] movies of all time  his adaptation of the novel riacho doce is [[ludicrous]]  think with me how poor brazilians fishermen speak a perfect english  in the film they do  there isn t a screenplay  it s only a very long videoclip with a beautiful places and many sex scenes with moscovis and henstridge ","Successful"
