"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
1.0,184.0,1.0,0.35823899507522583,"quinine [[found]] in tonic water along with mg of zinc daily will kill covid [[hydroxychloroquine]] is the synthetic [[version]] of quinine drink some fresh squeezed lemon juice with your tonic [[water]] [[youll]] be golden",1.0,0.39806002378463745,"quinine [[used]] in tonic water along with mg of zinc daily will kill covid [[ity]] is the synthetic [[release]] of quinine drink some fresh squeezed lemon juice with your tonic [[cream]] [[gonna]] be golden","Failed"
0.0,50.0,0.0,0.33208274841308594,"new case of covidnigeria delta lagos enugu fct edo ogun [[kano]] kaduna ondo river bayelsa katsina imo kwara yo abia benue gombe yobe [[bauchi]] [[kebbi]] confirmed discharged death",0.0,0.33878767490386963,"new case of covidnigeria delta lagos enugu fct edo ogun [[s]] kaduna ondo river bayelsa katsina imo kwara yo abia benue gombe yobe [[h]] [[p]] confirmed discharged death","Failed"
0.0,83.0,0.0,0.33381110429763794,"a of today the recoveryrate of [[covid]] patient [[across]] india is mohfw india drharshvardhan drhvoffice icmrdelhi covid   covid  covid  coronaupdates [[coronavirusindia]] coronavirusupdates coronavirus covidupdates coronaviruspandemic",0.0,0.34405064582824707,"a of today the recoveryrate of [[current]] patient [[at]] india is mohfw india drharshvardhan drhvoffice icmrdelhi covid   covid  covid  coronaupdates [[ca]] coronavirusupdates coronavirus covidupdates coronaviruspandemic","Failed"
0.0,31.0,0.0,0.336675763130188,"here are the state that reported over case today [[note]] mississippi had data reporting problem for day so their number represents data from",0.0,0.3415471315383911,"here are the state that reported over case today [[was]] mississippi had data reporting problem for day so their number represents data from","Failed"
1.0,1.0,0.0,0.537656307220459,"this is to tell all of u that the ph for the coronary virus varies from to  ",0.0,0.537656307220459,"this is to tell all of u that the ph for the coronary virus varies from to  ","Skipped"
0.0,93.0,0.0,0.3284761309623718,"indiafightscorona centre exhorts the north eastern state to [[actively]] [[break]] the chain of transmission these north eastern state together account for [[le]] than of the total active case in the country detail icmrdelhi",0.0,0.3446688652038574,"indiafightscorona centre exhorts the north eastern state to [[aggressively]] [[maintain]] the chain of transmission these north eastern state together account for [[most]] than of the total active case in the country detail icmrdelhi","Failed"
1.0,19.0,1.0,0.4310411214828491,"all elective or nonemergency surgery are banned to prioritize [[coronavirus]] treatment and prevent the spread",0.0,0.5068802833557129,"all elective or nonemergency surgery are banned to prioritize [[disease]] treatment and prevent the spread","Successful"
0.0,27.0,0.0,0.3525412082672119,"coronavirus slovenia and guadeloupe added to [[englands]] quarantine list but thailand and singapore removed",1.0,0.5998904705047607,"coronavirus slovenia and guadeloupe added to [[navy]] quarantine list but thailand and singapore removed","Successful"
0.0,53.0,0.0,0.3428195118904114,"rt drharshvardhan [[coronavirusupdates]] india register a record of highest single day recovery more than lakh [[patient]] recovered",0.0,0.3526429533958435,"rt drharshvardhan [[makes]] india register a record of highest single day recovery more than lakh [[patients]] recovered","Failed"
0.0,53.0,0.0,0.33560508489608765,"we also wanted to [[call]] your attention to the beta release of the covid racial data tracker in collaboration with [[antiracismctr]] were actively taking feedback building system and should have a fuller site soon",0.0,0.36286836862564087,"we also wanted to [[take]] your attention to the beta release of the covid racial data tracker in collaboration with [[project]] were actively taking feedback building system and should have a fuller site soon","Failed"
0.0,40.0,0.0,0.3296394348144531,"your risk of covid increase the [[closer]] you [[get]] to others and the longer you interact with them learn way to help safely resume [[daily]] activity and slow the spread of covid",0.0,0.3363496661186218,"your risk of covid increase the [[further]] you [[reach]] to others and the longer you interact with them learn way to help safely resume [[regular]] activity and slow the spread of covid","Failed"
0.0,126.0,0.0,0.3362613320350647,"covid update today there are [[three]] new case of [[covid]] to report in nz and for the first [[time]] six historical case are being reported [[made]] up of one confirmed case dating back to february and [[five]] probable historical case [[connected]] to the case also dating back to february",0.0,0.3480985164642334,"covid update today there are [[3]] new case of [[concern]] to report in nz and for the first [[instance]] six historical case are being reported [[coming]] up of one confirmed case dating back to february and [[5]] probable historical case [[relate]] to the case also dating back to february","Failed"
1.0,200.0,1.0,0.36987411975860596,"photo [[show]] [[part]] of [[huoshenshan]] [[hospital]] in [[wuhan]] [[built]] in [[five]] day",1.0,0.4461795687675476,"photo [[shoots]] [[footage]] of [[hospital]] [[admissions]] in [[bangkok]] [[hospital]] in [[one]] day","Failed"
0.0,68.0,0.0,0.3477219343185425,"among pregnant woman [[hospitalized]] for treatment of covid in required intensive care and one pregnant woman died from [[covid]] a new report of pregnant woman in cdcmmwr find find out more",0.0,0.36343109607696533,"among pregnant woman [[referred]] for treatment of covid in required intensive care and one pregnant woman died from [[injuries]] a new report of pregnant woman in cdcmmwr find find out more","Failed"
1.0,34.0,1.0,0.389179527759552,"yearold [[indian]] textbook list aspirin antihistamines and nasal spray a treatment for covid",0.0,0.5533395409584045,"yearold [[th]] textbook list aspirin antihistamines and nasal spray a treatment for covid","Successful"
0.0,95.0,0.0,0.32479768991470337,"we are pleased to share that a of today friday september th [[participant]] have been enrolled in the cove phase study of mrna [[find]] out more about the trial here check back next [[friday]] evening for an updated enrollment number",0.0,0.3320910334587097,"we are pleased to share that a of today friday september th [[people]] have been enrolled in the cove phase study of mrna [[found]] out more about the trial here check back next [[month]] evening for an updated enrollment number","Failed"
0.0,105.0,0.0,0.3286309838294983,"arizona [[reported]] more case [[today]] than on any previous single day",1.0,0.6409821510314941,"arizona [[played]] more case [[ball]] than on any previous single day","Successful"
0.0,44.0,0.0,0.31937694549560547,"police have shut down a series of illegal party overnight a [[people]] enjoyed a final weekend of revelry before tougher coronavirus [[restriction]] come into force",0.0,0.3804064989089966,"police have shut down a series of illegal party overnight a [[host]] enjoyed a final weekend of revelry before tougher coronavirus [[restrictions]] come into force","Failed"
1.0,190.0,1.0,0.3875793218612671,"news russian [[covid]] [[vaccine]] to be [[tested]] on [[salisbury]] door handle",1.0,0.41886115074157715,"news russian [[chicken]] [[wants]] to be [[printed]] on [[door]] door handle","Failed"
