"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
0.0,1.0,1.0,0.5383922457695007,"our reviewer from toronto told you what you need to know about this film  except note that it needs editing the hand held technique gets really old  really fast  i saw this film last night in menerbes  france we are in the luberon valley  which is covered with vineyards and of course wine makers  they were all there in the salle de polyvalente for the showing crammed in  polite  patient  genial  although my french is testy  i got the gist of the film but noted that the audience loved the  old  terror growers interviewed esp  the one from a communist village in languedoc  he got a lot of laughs  this is unusual in france laughing aloud  there is no question which side of the terror globalization war they are on  sm",1.0,0.5383922457695007,"our reviewer from toronto told you what you need to know about this film  except note that it needs editing the hand held technique gets really old  really fast  i saw this film last night in menerbes  france we are in the luberon valley  which is covered with vineyards and of course wine makers  they were all there in the salle de polyvalente for the showing crammed in  polite  patient  genial  although my french is testy  i got the gist of the film but noted that the audience loved the  old  terror growers interviewed esp  the one from a communist village in languedoc  he got a lot of laughs  this is unusual in france laughing aloud  there is no question which side of the terror globalization war they are on  sm","Skipped"
0.0,171.0,0.0,0.2707522511482239,"i have recently seen this movie due to jake s recent success with okeback mountain  i figured i would see the movies that i missed  i had no expectations going into the film so was astounded that i had missed this movie at all  it s a [[gripping]] father and son tale  and it is also an underdog story  i even shed a tear at the finale of this wonderful tale  this movie [[appeals]] to all ages  the only reason i give it a   out of   is that it slows down a little in the middle  but it comes back strong in the end  the acting was great  the story was magnificent  and the cinematography was captivating given the setting of the film  go see this movie  rent it  buy it  watch it  love it  i know i did ",1.0,0.522370457649231,"i have recently seen this movie due to jake s recent success with okeback mountain  i figured i would see the movies that i missed  i had no expectations going into the film so was astounded that i had missed this movie at all  it s a [[grіpping]] father and son tale  and it is also an underdog story  i even shed a tear at the finale of this wonderful tale  this movie [[aрpeals]] to all ages  the only reason i give it a   out of   is that it slows down a little in the middle  but it comes back strong in the end  the acting was great  the story was magnificent  and the cinematography was captivating given the setting of the film  go see this movie  rent it  buy it  watch it  love it  i know i did ","Successful"
1.0,205.0,1.0,0.2689444422721863,"if you [[enjoy]] sitting in the dark  both literally and figuratively  for ninety minutes then this is the [[movie]] for you     a [[waste]] of [[actors]]  resources and audience time  ultimately a [[waste]] of [[space]]  don t be tempted by the resume  there is [[nothing]] of any further substance beyond it  the film [[lacks]] all of the basics that you might expect from the genre  plot  character  development  denouement  the cast may perhaps take heart from the knowledge that in this instance their efforts will be entirely forgettable and  given time  their careers may perhaps improve     absolute tripe ",0.0,0.6586508750915527,"if you [[experience]] sitting in the dark  both literally and figuratively  for ninety minutes then this is the [[moѵie]] for you     a [[was𝚝e]] of [[protagonists]]  resources and audience time  ultimately a [[wastе]] of [[spaϲe]]  don t be tempted by the resume  there is [[anything]] of any further substance beyond it  the film [[dearth]] all of the basics that you might expect from the genre  plot  character  development  denouement  the cast may perhaps take heart from the knowledge that in this instance their efforts will be entirely forgettable and  given time  their careers may perhaps improve     absolute tripe ","Successful"
0.0,193.0,0.0,0.2716088891029358,"i m sitting around going through movie listings and not really seeing anything i want to see  my appetite keeps saying   something like [[oadcast]] news  that s what i want  something smart and [[funny]]  with adult ideas and [[great]] acting and writing  and a directorial style that doesn t call attention to itself  this may well be hurt s [[best]] [[performance]]  is this or the big chill  to my mind  however eccentric  hurt is smart  and to play an unintelligent person without making sure   wink wink   the audience knows   wink wink   hey  i m not stupid  well  that s fine acting right there  hunter is note perfect  and albert ooks is a revelation   and he can read and sing at the same time  great  great work     ",1.0,0.7183344960212708,"i m sitting around going through movie listings and not really seeing anything i want to see  my appetite keeps saying   something like [[оadcast]] news  that s what i want  something smart and [[droll]]  with adult ideas and [[geat]] acting and writing  and a directorial style that doesn t call attention to itself  this may well be hurt s [[bset]] [[perfоrmance]]  is this or the big chill  to my mind  however eccentric  hurt is smart  and to play an unintelligent person without making sure   wink wink   the audience knows   wink wink   hey  i m not stupid  well  that s fine acting right there  hunter is note perfect  and albert ooks is a revelation   and he can read and sing at the same time  great  great work     ","Successful"
1.0,265.0,1.0,0.2689442038536072,"from the [[nepotism]] capitol of the [[world]] comes another [[junk]] flick in a [[fancy]] [[wrapper]]   cq  tells a lame  disjointed [[mess]] of a [[story]] which is little more than a bunch of [[silly]] [[caricatures]]  a [[babe]]  and straight man davies running around trying to make a [[stupid]] [[sci]] fi flick  i can t think of any [[reason]] [[anyone]] would [[want]] to spend time with this ridiculous [[attempt]] at [[film]] [[making]]   d ",1.0,0.2717586159706116,"from the [[nepоtism]] capitol of the [[worldwide]] comes another [[jսnk]] flick in a [[imagination]] [[packaging]]   cq  tells a lame  disjointed [[mses]] of a [[stoⲅy]] which is little more than a bunch of [[idiotic]] [[cartoon]]  a [[Ьabe]]  and straight man davies running around trying to make a [[stupiԁ]] [[sϲi]] fi flick  i can t think of any [[reasons]] [[anoyne]] would [[wanting]] to spend time with this ridiculous [[ɑttempt]] at [[filｍ]] [[ma]] [[king]]   d ","Failed"
0.0,130.0,0.0,0.27198314666748047,"sterling and younger other try to survive on land  being squeezed by big cattlemen  when  rogue  other preston arrives  a moral dilemma ensues  john  drew  [[barrymore]] steals the [[show]] as the younger  impressionable other barrymore shows signs here that he could have been an acting [[powerhouse]]  [[moves]] at a nice pace to an exciting [[climax]] ",1.0,0.50654536485672,"sterling and younger other try to survive on land  being squeezed by big cattlemen  when  rogue  other preston arrives  a moral dilemma ensues  john  drew  [[kidman]] steals the [[shоw]] as the younger  impressionable other barrymore shows signs here that he could have been an acting [[powerhouѕe]]  [[mvoes]] at a nice pace to an exciting [[c]] [[limax]] ","Successful"
0.0,416.0,0.0,0.2693434953689575,"just thinking about the movie  i laugh to myself  anne ramsey plays an [[unforgettable]] [[part]] as  [[momma]]  probably the most [[nasty]]  [[yet]] hilarious [[matriarch]] ever [[captured]] on film  danny [[devito]] and billy crystal [[make]] a [[fabulous]] duo  inging a true [[warmth]] to the [[film]]  [[though]] not exceedingly [[complex]]  the cute [[story]] [[holds]] your [[attention]]  and [[keeps]] you laughing the [[whole]] way through  it s a fun comedy to lighten [[things]] up  and even will entertain the kids  i give it my full [[recommendation]] ",1.0,0.5204693078994751,"just thinking about the movie  i laugh to myself  anne ramsey plays an [[mesmerizing]] [[parties]] as  [[mum]]  probably the most [[soiled]]  [[still]] hilarious [[mat]] [[riarch]] ever [[captued]] on film  danny [[danby]] and billy crystal [[mae]] a [[fabulouѕ]] duo  inging a true [[heating]] to the [[cinema]]  [[nevertheless]] not exceedingly [[com]] [[plex]]  the cute [[stoⲅy]] [[holdѕ]] your [[interest]]  and [[kepes]] you laughing the [[whoⅼe]] way through  it s a fun comedy to lighten [[thinɡs]] up  and even will entertain the kids  i give it my full [[recommenda𝚝ion]] ","Successful"
1.0,197.0,1.0,0.26894819736480713,"[[hopalong]] cassidy with a horse who is not white   not named topper  go figure     this [[travesty]] does a [[gross]] [[injustice]] to the greatest of all cowboy heroes  hopalong cassidy  the actor who plays him is young versus old  blond haired versus white haired and kills people [[versus]] shooting the gun out of their hands  will the real hopalong please stand up     one of the [[worst]] [[movies]] ever [[made]]  believe it or not  by the person who ought us the grandfather saga ",0.0,0.6482259035110474,"[[hopalonɡ]] cassidy with a horse who is not white   not named topper  go figure     this [[travetsy]] does a [[overt]] [[inequities]] to the greatest of all cowboy heroes  hopalong cassidy  the actor who plays him is young versus old  blond haired versus white haired and kills people [[versuѕ]] shooting the gun out of their hands  will the real hopalong please stand up     one of the [[gravest]] [[filmmaking]] ever [[accomplished]]  believe it or not  by the person who ought us the grandfather saga ","Successful"
0.0,57.0,0.0,0.27022773027420044,"undoubtedly the funniest movie i have ever seen  it s definitely [[worth]] the fourteen minutes it takes to watch  i will never look at my kitchen appliances the same way again  bob knickerbocker deserves an oscar   relax  kid  it s only a movie ",1.0,0.64227294921875,"undoubtedly the funniest movie i have ever seen  it s definitely [[pity]] the fourteen minutes it takes to watch  i will never look at my kitchen appliances the same way again  bob knickerbocker deserves an oscar   relax  kid  it s only a movie ","Successful"
0.0,323.0,0.0,0.26919907331466675,"[[chase]] has [[created]] a [[true]] phenomenon with the sopranos  unfaltering performances  rock solid writing  and some [[great]] [[music]] make up what has become quite possibly the [[best]] show ever     all of the cast are strong  but [[falco]] and gandolfini [[earned]] every inch of those emmy s  [[anyone]] who doubts this need only sample a few episodes  particularly from the first few seasons  [[james]] gandolfini is absolutely fierce  absolutely terrifying  and you [[still]] find yourself [[loving]] him   mesmerized by him     many people that i ve spoken to about the sopranos  who haven t seen it yet  will say  i m just not a fan of mafia movies shows  whatever  run   don t walk   and get it  those same people usually love  e r  but i bet they don t much care for hospitals  it s not about the context ",1.0,0.5492244362831116,"[[chaѕe]] has [[caused]] a [[tⲅue]] phenomenon with the sopranos  unfaltering performances  rock solid writing  and some [[gerat]] [[musician]] make up what has become quite possibly the [[b]] [[est]] show ever     all of the cast are strong  but [[sopranos]] and gandolfini [[profited]] every inch of those emmy s  [[somebody]] who doubts this need only sample a few episodes  particularly from the first few seasons  [[song]] gandolfini is absolutely fierce  absolutely terrifying  and you [[however]] find yourself [[affectionate]] him   mesmerized by him     many people that i ve spoken to about the sopranos  who haven t seen it yet  will say  i m just not a fan of mafia movies shows  whatever  run   don t walk   and get it  those same people usually love  e r  but i bet they don t much care for hospitals  it s not about the context ","Successful"
