aug_tweet,label,tweet
report that i had the haircut blocked before wa cool confirms boris,fake,news i had the lockdown haircut before it wa cool confirms boris
a hairstylist in iowa expose the client to coronavirus coronavirus hairstylist placebopills placebo,fake,a hairstylist in iowa expose client to the coronavirus coronavirus hairstylist placebopills
the potential connection to the severity of coveted headache this week clinical trend,real,the potential connection to covid severity make headache this week s clinical trend
"elisa one-year-old grenade, the first woman to receive a covid vaccine, died",fake,elisa granato yearold the first woman to get vaccine for covid died
university of nairobi student tested positive for covid,fake,university of nairobi student have tested positive for covid
cdc exhort american to stay safe doing the opposite of all trump say coronavirus covid pandemic,fake,cdc urge american to stay safe by doing opposite of everything trump say coronavirus covid pandemic
contact tracing help help protect you your family and your community from covid know more,real,contact tracing help protect you your family and your community from covid find out more
why censor your dr. li meng yan claim covid wa bioengineered by red c via youtube,fake,why censor her dr li meng yan claim covid wa bioengineered by red c via youtube
coronavirus propagated in guayaquil city clear ecuador,fake,coronavirus spread in ecuadorian city quito guayaquil
glad africans don't live in america crown virus satire irony,fake,african glad they dont live in america coronavirus satire irony
government stick 30 billion covid invoice to the refrigerator dail,fake,government stick 30bn covid bill to dáil fridge
justin trudeaus wife has released a video of her hospital bed,fake,justin trudeaus wife ha released a video from her hospital bed
united state supports human use of chlorine dioxide for covid,fake,united state endorses human use of chlorine dioxide for covid
new york governor coumo sudden covid covid death bullet shot apart newyork corruption newyorkcity racket newyorkcity,fake,new york governor cuomo sudden covid death bullet hole aside newyork corruption newyorkcity racket
di dir house speaker nancy pelli deleted a video of her telling people to go to chinatown,fake,say house speaker nancy pelosi deleted a video of her telling people to go to chinatown
guess who's the hair zoom marketing sky of your daughter's first newsome,fake,guess who is the marketing ceo of zoom pelosi s daughter newsome s cousin
wa stated that israeli discovered the vaccine for coronavirus and that there will be no more deaths.,fake,it wa claimed that israeli discovered vaccine for coronavirus and no more death will be there
