"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
0.0,50.0,0.0,0.35856693983078003,"[[coronavirus]] franchising ended a government seek new rail future",1.0,0.5026388168334961,".[[us]] franchising ended a government seek new rail future","Successful"
1.0,50.0,1.0,0.38131213188171387,"news coronavirus suspect to be quarantined on [[love]] island",1.0,0.39744263887405396,"news coronavirus suspect to be quarantined on [[hawaii]] island","Failed"
1.0,48.0,1.0,0.4071057438850403,"who ha [[declared]] covid an endemic disease",0.0,0.6235567331314087,"who ha [[of]] covid an endemic disease","Successful"
1.0,50.0,1.0,0.4101163148880005,"israel ha [[already]] developed a vaccine against covid",1.0,0.44555503129959106,"israel ha [[now]] developed a vaccine against covid","Failed"
1.0,50.0,1.0,0.3900719881057739,"[[child]] will be separated from parent for coronavirus treatment",0.0,0.5386538505554199,"[[on]] will be separated from parent for coronavirus treatment","Successful"
1.0,33.0,1.0,0.477134644985199,"coronavirus doe not affect people with o [[blood]] type",0.0,0.5254150629043579,"coronavirus doe not affect people with o [[birth]] type","Successful"
1.0,50.0,1.0,0.37506717443466187,"country were [[exporting]] covid diagnostic test instrument in",1.0,0.45701849460601807,"country were [[exportexport]] covid diagnostic test instrument in","Failed"
1.0,50.0,1.0,0.40427160263061523,"russia [[report]] huge spike in coronavirus death among journalist",1.0,0.4150516986846924,"russia [[it]] huge spike in coronavirus death among journalist","Failed"
1.0,50.0,1.0,0.38271385431289673,"[[mm]] [[essential]] oil are cure for the coronavirus",1.0,0.41496139764785767,"[[bc]] [[industrial]] oil are cure for the coronavirus","Failed"
0.0,1.0,1.0,0.5994336605072021,"brazil is a worrying combination of pandemic and pandemonium",1.0,0.5994336605072021,"brazil is a worrying combination of pandemic and pandemonium","Skipped"
1.0,49.0,1.0,0.38285428285598755,"covid [[kit]] for home linked to tata health",0.0,0.5838609337806702,"covid [[s]] for home linked to tata health","Successful"
1.0,50.0,1.0,0.3602063059806824,"coronavirus spelled backwards surivanorac a coincidence [[coronavirus]] drbillingsgate",1.0,0.3751925826072693,"coronavirus spelled backwards surivanorac a coincidence [[coronastorm]] drbillingsgate","Failed"
1.0,50.0,1.0,0.38381385803222656,"channel s [[jon]] [[snow]] is infected with coronavirus",1.0,0.4140161871910095,"channel s [[a]] [[and]] is infected with coronavirus","Failed"
1.0,50.0,1.0,0.39071333408355713,"sanitizer will do [[nothing]] for the coronavirus",1.0,0.39727431535720825,"sanitizer will do [[no]] for the coronavirus","Failed"
1.0,50.0,1.0,0.3852742314338684,"[[raisin]] prevents clotting thus help to fight covid",0.0,0.6392929553985596,".[[ine]] prevents clotting thus help to fight covid","Successful"
1.0,50.0,1.0,0.3606051802635193,"[[people]] defying stayathome order fill arizona [[beach]]",0.0,0.5005292892456055,"[[cities]] defying stayathome order fill arizona [[a]]","Successful"
1.0,45.0,1.0,0.38423627614974976,"[[peru]] ha just nationalized hospital and clinic",0.0,0.5836706161499023,"[[more]] ha just nationalized hospital and clinic","Successful"
1.0,50.0,1.0,0.3805237412452698,"[[say]] gov tony evers is pushing firearm confiscation order",1.0,0.4356169104576111,"[[read]] gov tony evers is pushing firearm confiscation order","Failed"
1.0,50.0,1.0,0.3736897110939026,"first [[volunteer]] in uk coronavirus vaccine trial ha died",1.0,0.44785434007644653,"first [[was]] in uk coronavirus vaccine trial ha died","Failed"
1.0,50.0,1.0,0.3953395485877991,"hydroxychloroquine and chloroquine are [[cure]] for the new coronavirus",1.0,0.43912118673324585,"hydroxychloroquine and chloroquine are [[development]] for the new coronavirus","Failed"
0.0,1.0,1.0,0.5044313669204712,"of american adult believe in wearing mask",1.0,0.5044313669204712,"of american adult believe in wearing mask","Skipped"
1.0,50.0,1.0,0.3869673013687134,"madrid ha enabled the [[phone]] number to request prescription",0.0,0.5069350004196167,"madrid ha enabled the [[total]] number to request prescription","Successful"
1.0,50.0,1.0,0.3749351501464844,"[[news]] jeremy corbyn demand government open talk with coronavirus",0.0,0.5086237192153931,"[[future]] jeremy corbyn demand government open talk with coronavirus","Successful"
1.0,50.0,1.0,0.35610073804855347,"[[local]] [[badass]] only wash hand for second handwashing coronalockdown",1.0,0.37876737117767334,"[[former]] [[bad]]"" only wash hand for second handwashing coronalockdown","Failed"
1.0,50.0,1.0,0.35515928268432617,"mosquito can [[transfer]] covid from person to person",1.0,0.37009477615356445,"mosquito can [[mack]] covid from person to person","Failed"
1.0,50.0,1.0,0.3682844042778015,"and [[godd]] tweet too donaldtrump politics 2020presidentialelection pandemic",1.0,0.37846672534942627,"and [[god]]: tweet too donaldtrump politics 2020presidentialelection pandemic","Failed"
0.0,1.0,1.0,0.6031150817871094,"abusedeterrent oxycontin will not solve the opioid epidemic",1.0,0.6031150817871094,"abusedeterrent oxycontin will not solve the opioid epidemic","Skipped"
1.0,50.0,1.0,0.3936053514480591,"[[president]] trump facemask speaks out [[donaldtrump]] coronavirus covid facemasks",1.0,0.41799402236938477,"[[2018]] trump facemask speaks out [[donaldtrum]], coronavirus covid facemasks","Failed"
1.0,50.0,1.0,0.3438584804534912,"u [[bonhomme]] richard boast zero covid case",1.0,0.3608088493347168,"u [[bonhomle]] richard boast zero covid case","Failed"
1.0,50.0,1.0,0.38146597146987915,"alfalfa is the only cure for [[covid]]",1.0,0.4109612703323364,"alfalfa is the only cure for [[co]]""","Failed"
1.0,50.0,1.0,0.4060685634613037,"cbs aired [[wrong]] video footage of a coronavirus hospital",1.0,0.41953563690185547,"cbs aired [[color]] video footage of a coronavirus hospital","Failed"
0.0,1.0,1.0,0.5800266265869141,"misc in pediatric coronavirus still a puzzle",1.0,0.5800266265869141,"misc in pediatric coronavirus still a puzzle","Skipped"
1.0,50.0,1.0,0.3869113326072693,"news report [[say]] student taking comedk got covid",1.0,0.40291398763656616,"news report [[read]] student taking comedk got covid","Failed"
1.0,50.0,1.0,0.34977900981903076,"[[covid]] patient zero had sex with bat",1.0,0.36405664682388306,"[[inverse]] patient zero had sex with bat","Failed"
1.0,50.0,1.0,0.3681375980377197,"yatris are stuck at vaishno [[devi]] due to covid",1.0,0.40747976303100586,"yatris are stuck at vaishno [[dam]] due to covid","Failed"
1.0,50.0,1.0,0.38181984424591064,"president giammattei [[said]] that the country ha covid test",1.0,0.38971054553985596,"president giammattei [[announced]] that the country ha covid test","Failed"
1.0,50.0,1.0,0.37957799434661865,"u ha developed [[miracle]] drug remedesivir against covid",0.0,0.5086695551872253,"u ha developed [[an]] drug remedesivir against covid","Successful"
1.0,50.0,1.0,0.4061613082885742,"[[squeezing]] [[hot]] lemon water cure corona virus infection",1.0,0.4376171827316284,"[[pumping]] [[a]] lemon water cure corona virus infection","Failed"
1.0,50.0,1.0,0.39524269104003906,"fennel tea is a cure against the [[new]] coronavirus",1.0,0.40043073892593384,"fennel tea is a cure against the [[human]] coronavirus","Failed"
1.0,50.0,1.0,0.3516309857368469,"all [[india]] lock down increased [[till]] 4th may",0.0,0.5617741346359253,"all [[generation]] lock down increased [[about]] 4th may","Successful"
1.0,50.0,1.0,0.4459938406944275,"comment section quarantined for outbreak of coronavirusrelated [[racism]] coronavirus",0.0,0.5036716461181641,"comment section quarantined for outbreak of coronavirusrelated [[prejudice]] coronavirus","Successful"
1.0,50.0,1.0,0.38002854585647583,"oklahoma coronavirus [[test]] rate after trump tulsa rally",1.0,0.4133148193359375,"oklahoma coronavirus [[screen]] rate after trump tulsa rally","Failed"
0.0,50.0,0.0,0.3222043514251709,"covid is a [[wildfire]] not a wave via billhanage",0.0,0.4589616060256958,"covid is a [[wilde]] not a wave via billhanage","Failed"
1.0,50.0,1.0,0.3897995948791504,"[[say]] the coronavirus ha a recovery rate in texas",0.0,0.5021370053291321,"[[know]] the coronavirus ha a recovery rate in texas","Successful"
1.0,50.0,1.0,0.39354193210601807,"muslimowned restaurant are spitting in food to [[spread]] coronavirus",1.0,0.40594547986984253,"muslimowned restaurant are spitting in food to [[broadcast]] coronavirus","Failed"
1.0,50.0,1.0,0.40219253301620483,"chinese spy [[stole]] the coronavirus from a canadian lab",1.0,0.4196550250053406,"chinese spy [[stealing]] the coronavirus from a canadian lab","Failed"
1.0,50.0,1.0,0.399321973323822,"5g is the cause of the [[coronavirus]] pandemic",1.0,0.4086840748786926,"5g is the cause of the [[coronahepatitis]] pandemic","Failed"
0.0,50.0,0.0,0.36550939083099365,"equity accuracy and quality [[question]] surround the coronavirus vaccine",0.0,0.4949595332145691,"equity accuracy and quality [[gray]] surround the coronavirus vaccine","Failed"
1.0,50.0,1.0,0.41320210695266724,"fit people are [[immune]] to novel coronavirus",0.0,0.5732203125953674,"fit people are [[resistant]] to novel coronavirus","Successful"
0.0,1.0,1.0,0.5067594051361084,"hospitalist compensation report of every hospitalists are woman",1.0,0.5067594051361084,"hospitalist compensation report of every hospitalists are woman","Skipped"
