"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
0.0,200.0,0.0,0.2689424157142639,"covid can present a mild symptom which make it difficult to [[differentiate]] from [[illness]] such a malaria the only way to diagnosis is through [[testing]] we [[advice]] [[nigerian]] to selfreport if they [[notice]] known symptom beeodune on tvcconnect takeresponsibility",0.0,0.26991432905197144,"covid can present a mild symptom which make it difficult to [[distinguishes]] from [[rheumatism]] such a malaria the only way to diagnosis is through [[essays]] we [[councilors]] [[kenyan]] to selfreport if they [[adverts]] known symptom beeodune on tvcconnect takeresponsibility","Failed"
0.0,163.0,0.0,0.2689436674118042,"having a difficult time [[coping]] because of covid feeling lonely anxious or dealing with grief and [[loss]] help is available through the [[national]] suicide prevention lifeline [[learn]] more",1.0,0.5156524181365967,"having a difficult time [[retrofit]] because of covid feeling lonely anxious or dealing with grief and [[forfeits]] help is available through the [[nationalist]] suicide prevention lifeline [[buy]] more","Successful"
1.0,142.0,1.0,0.27041321992874146,"[[face]] mask [[cause]] hypoxia wearing it [[cause]] one to inhale too much carbon dioxide which can make you sick",0.0,0.5135675668716431,"[[confronted]] mask [[motif]] hypoxia wearing it [[motivation]] one to inhale too much carbon dioxide which can make you sick","Successful"
0.0,200.0,0.0,5.0067901611328125e-06,"adding the new [[incidence]] metric ha changed the score of county and [[expanded]] our coverage to [[county]] previously [[many]] county did not have enough data for u to calculate a risk score it is [[critical]] for local decisionmakers to have locallevel data",0.0,0.2691153883934021,"adding the new [[reverberations]] metric ha changed the score of county and [[zoomed]] our coverage to [[municipal]] previously [[mucho]] county did not have enough data for u to calculate a risk score it is [[indispensable]] for local decisionmakers to have locallevel data","Failed"
0.0,200.0,0.0,0.2689460515975952,"one other note the u s positive rate ha [[remained]] around throughout april the positive [[rate]] for todays [[reported]] [[test]] dropped to one [[day]] doesnt make a [[trend]] but good to see a lower floor",1.0,0.5499245524406433,"one other note the u s positive rate ha [[leftovers]] around throughout april the positive [[prices]] for todays [[sketched]] [[essays]] dropped to one [[dias]] doesnt make a [[propensity]] but good to see a lower floor","Successful"
0.0,200.0,0.0,1.9073486328125e-06,"indiafightscorona of the [[total]] [[active]] case are found in nine most [[affected]] [[state]] ut new [[case]] have been [[reported]] in the last hour in the country detail staysafe indiawillwin",0.0,0.26894426345825195,"indiafightscorona of the [[exhaustive]] [[affirmative]] case are found in nine most [[harmed]] [[statehood]] ut new [[affairs]] have been [[informed]] in the last hour in the country detail staysafe indiawillwin","Failed"
1.0,108.0,1.0,0.26899874210357666,"[[sweden]] to be extradited to [[united]] [[state]] for [[violating]] [[american]] covid [[guideline]] coronavirus covid sweden",0.0,0.511063277721405,"[[och]] to be extradited to [[uniformity]] [[sate]] for [[breaching]] [[usa]] covid [[guidance]] coronavirus covid sweden","Successful"
0.0,144.0,0.0,0.26894330978393555,"we [[have]] our daily pm [[update]] live now weve [[tracked]] people [[tested]] total",1.0,0.7274072170257568,"we [[owns]] our daily pm [[contemporary]] live now weve [[policed]] people [[check]] total","Successful"
1.0,139.0,1.0,0.26933807134628296,"the cdc [[recommends]] that only [[people]] with covid symptom [[should]] [[wear]] mask",0.0,0.6988271474838257,"the cdc [[projects]] that only [[nationals]] with covid symptom [[ought]] [[take]] mask","Successful"
1.0,163.0,1.0,0.2691512107849121,"dr [[anthony]] fauci ha [[known]] for year that chloroquine and hydroxychloroquine will not only [[treat]] a current case of coronavirus but [[prevent]] [[future]] [[case]]",0.0,0.5004733800888062,"dr [[antwan]] fauci ha [[experienced]] for year that chloroquine and hydroxychloroquine will not only [[addressing]] a current case of coronavirus but [[dissuade]] [[incoming]] [[proceedings]]","Successful"
0.0,200.0,0.0,0.26894253492355347,"our model [[estimate]] that louisiana ha a high positive test rate and is near full icu capacity louisiana ha an elevated [[risk]] [[based]] on our reopeningsafely metric [[learn]] more",0.0,0.2910776138305664,"our model [[calculator]] that louisiana ha a high positive test rate and is near full icu capacity louisiana ha an elevated [[dicey]] [[baze]] on our reopeningsafely metric [[bought]] more","Failed"
0.0,142.0,0.0,0.268942654132843,"[[currently]] most case of covid in the u are in california and washington state however many other community are also [[dealing]] with case of covid see cdc recommendation for preventing [[spread]] of covid in [[community]]",1.0,0.5436428785324097,"[[already]] most case of covid in the u are in california and washington state however many other community are also [[cure]] with case of covid see cdc recommendation for preventing [[broadcasting]] of covid in [[union]]","Successful"
1.0,174.0,1.0,0.2692418098449707,"[[lot]] of young [[banker]] are affected by [[corona]] virus and [[soon]] [[bank]] can become biggest outbreak place these young ppl can become threat to their elder at home it high [[time]] that statebank pak should think of [[saving]] these life please covidpakistan",0.0,0.5087736248970032,"[[parcel]] of young [[brokerage]] are affected by [[krone]] virus and [[speedily]] [[riverbank]] can become biggest outbreak place these young ppl can become threat to their elder at home it high [[chronology]] that statebank pak should think of [[conservation]] these life please covidpakistan","Successful"
1.0,137.0,1.0,0.2690039873123169,"[[nations]] [[mom]] [[form]] vigilante [[gang]] to [[make]] sure you get that cough checked out coldandflu winter coronavid",0.0,0.5367852449417114,"[[population]] [[ma]] [[formats]] vigilante [[strapping]] to [[making]] sure you get that cough checked out coldandflu winter coronavid","Successful"
0.0,200.0,0.0,0.268942654132843,"followlasg ha reported the recovery of covid [[patient]] [[managed]] in the community in [[line]] with the new case [[management]] [[guideline]] a breakdown of [[case]] by [[state]] can be [[found]] via takeresponsibility",0.0,0.2689511179924011,"followlasg ha reported the recovery of covid [[ill]] [[admin]] in the community in [[linea]] with the new case [[steer]] [[rector]] a breakdown of [[affairs]] by [[nationals]] can be [[shown]] via takeresponsibility","Failed"
0.0,200.0,0.0,2.1457672119140625e-06,"indiafightscorona state and ut have registered [[recovery]] [[rate]] more than the national [[average]] of the new [[recovered]] [[case]] are from [[state]] ut [[detail]] staysafe indiawillwin",0.0,0.26897525787353516,"indiafightscorona state and ut have registered [[salvage]] [[prices]] more than the national [[media]] of the new [[restored]] [[files]] are from [[statehood]] ut [[wordy]] staysafe indiawillwin","Failed"
0.0,200.0,0.0,0.26894253492355347,"[[rt]] pib india indiafightscorona average [[daily]] [[test]] [[conducted]] week wise india ha set a record in covid [[test]] [[conducted]] per day",0.0,0.26896989345550537,"[[tch]] pib india indiafightscorona average [[dili]] [[exams]] [[acted]] week wise india ha set a record in covid [[checkups]] [[acted]] per day","Failed"
0.0,200.0,0.0,2.86102294921875e-06,"coronavirusupdates indiafightscorona case fatality rate cfr [[further]] dip to active [[case]] reduced to le than [[recorded]] [[yesterday]] covid [[recovery]] [[exceed]] active case by nearly lakh",0.0,0.2689667344093323,"coronavirusupdates indiafightscorona case fatality rate cfr [[else]] dip to active [[lawsuits]] reduced to le than [[checkin]] [[domingo]] covid [[reclamation]] [[surpass]] active case by nearly lakh","Failed"
0.0,54.0,0.0,0.26894915103912354,"[[heres]] a look at the number of test per people in the state",1.0,0.6582297086715698,"[[sayin]] a look at the number of test per people in the state","Successful"
0.0,102.0,0.0,2.384185791015625e-06,"our [[daily]] [[update]] is [[published]] [[state]] reported k test and k case covid death were reported today about down from last saturday",1.0,0.5050028562545776,"our [[ordinary]] [[freshen]] is [[advertised]] [[statehood]] reported k test and k case covid death were reported today about down from last saturday","Successful"
1.0,200.0,1.0,0.2689583897590637,"[[video]] of [[west]] sumatra [[resident]] in [[indonesia]] throwing off [[chinese]] [[tourist]] and [[burning]] their belonging during the covid [[pandemic]]",1.0,0.2770731449127197,"[[filmed]] of [[westerly]] sumatra [[subsistence]] in [[papua]] throwing off [[hwa]] [[touring]] and [[firefighter]] their belonging during the covid [[morbidity]]","Failed"
1.0,200.0,1.0,0.2690150737762451,"[[susan]] lemon commondefense berniesanders [[omg]] are you frigging kidding me just like trump knowing how deadly the coronavirus wa same go for the [[police]] that night they [[said]] the [[knocked]] it [[wa]] their word against her distraught [[boyfriend]]",1.0,0.2947932481765747,"[[cathy]] lemon commondefense berniesanders [[com]] are you frigging kidding me just like trump knowing how deadly the coronavirus wa same go for the [[constabulary]] that night they [[outlined]] the [[rattled]] it [[hwa]] their word against her distraught [[mating]]","Failed"
0.0,200.0,0.0,0.26894611120224,"yesterday hhs [[sec]] azar [[announced]] the us fda [[ha]] completed it [[review]] of the ind application for mrna our potential [[vaccine]] for sarscov allowed it to proceed to clinic on feb the st clinical batch of mrna wa shipped to nih for [[use]] in the phase study",0.0,0.3285413980484009,"yesterday hhs [[torr]] azar [[advertisement]] the us fda [[got]] completed it [[checkups]] of the ind application for mrna our potential [[immune]] for sarscov allowed it to proceed to clinic on feb the st clinical batch of mrna wa shipped to nih for [[consumption]] in the phase study","Failed"
1.0,56.0,1.0,0.2739464044570923,"prolonged use of face mask [[cause]] o deficiency or co intoxication",0.0,0.6339930295944214,"prolonged use of face mask [[justification]] o deficiency or co intoxication","Successful"
