,tweet,label
0,chinese converting to islam after realising that no muslim wa affected by coronavirus covd 19 in the country,fake
1,out of people from the diamond princess cruise ship who had intially tested negative in test in japan were later confirmed to be positive in the united state,fake
2,covid is caused by a bacterium not virus and can be treated with aspirin,fake
3,mike penny in rnc speech praise donald trump s covid seamless partnership with governor and leaf out the president state feud rnc 2020,fake
4,sky edconwaysky explains the latest covid 19 data and government announcement get more on the coronavirus data here,real
5,no one can leave managed isolation for any reason without returning a negative test if they refuse a test they can then be held for a period of up to day on june the 16th exemption on compassionate ground have been suspended,real
6,indiafightscorona india ha one of the lowest covid 19 mortality globally with le than case fatality rate a a result of supervised home isolation effective clinical treatment many state ut have cfr lower than the national average,real
7,rt who covid 19 transmission occurs primarily through direct indirect or close contact with infected people through their saliva and re,real
8,news and medium outlet abp majha on the basis of an internal memo of south central railway reported that a special train ha been announced to take the stranded migrant worker home,fake
9,church service can t resume until we re all vaccinated say bill gate,fake
10,you can still fly the friendly sky without fear of covid if airline stay serious about safety coronavirus,real
11,india record yet another singleday rise of over new case while more than lakh individual have recovered from covid kerala government set up it first plasma bank in the state following in the step of delhi and west bengal covid 19 coronavirusfacts,fake
12,a conspiracy theory audio about covid 19 testing in india circulating on whatsapp allegedly from mla geeta jain connectgeeta we do a quick factcheck on this to find that the minister ha already clarified on same,fake
13,tomorrow april we will pa coronavirus death we passed on april we passed on march we passed on march,real
14,labour keir_starmer asks about problem with covid 19 testing adding that pretending there isnt a problem is part of the problem the pm say testing is at a record high with the uk testing more people than any other european country pmqs,real
15,youth sport organization consider implementing cdc s new tip for maintaining healthy operation during the covid 19 outbreak such a staggered schedule option for individual at higher risk for severe illness more tip,real
16,last note washington dc total test count fell by presumably pulling out antibody test,real
17,gov andrew cuomo wa simply saying if we can share percent of your excess your nonused ventilator to help people in other part of the state on a voluntary basis that would be great of course there wa a reaction to that which wa not positive,fake
18,the democrat are pushing for an implanted microchip in human and everyone to be vaccinated,fake
19,arizona and missouri report only facility with outbreak not actual case death or facility name this appears transparent but doesn t convey covid s true impact county health depts maricopa az and st louis mo provide both state most reliable source of ltc data,real
20,mike penny introduces program to cure coronavirus carrier with conversion therapy,fake
21,indiafightscorona nearly of the new recovered case are found in state ut maharashtra ha maintained this lead with case for the sixth consecutive day,real
22,advisory issued by the state police of telangana india instructing people to be vigilant about the possibility of increase in theft due to the covid crisis in the country,fake
23,our weekly epidemiological report ncdcwer provides update on epidemicprone disease in nigeria this week editorial focus on the scaleup of covid 19 testing in all state fct through the national testing strategy read via,real
