"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
1.0,47.0,1.0,0.26931697130203247,"[[say]] the coronavirus ha a recovery rate in texas",0.0,0.583695650100708,"[[enunciate]] the coronavirus ha a recovery rate in texas","Successful"
0.0,68.0,0.0,0.3795282244682312,"coronavirus slovenia and guadeloupe [[added]] to englands quarantine list but thailand and singapore removed",1.0,0.60950767993927,"coronavirus slovenia and guadeloupe [[impart]] to englands quarantine list but thailand and singapore removed","Successful"
1.0,75.0,1.0,0.27130287885665894,"the cdc recommends that only [[people]] with covid symptom should [[wear]] [[mask]]",1.0,0.3562142252922058,"the cdc recommends that only [[multitude]] with covid symptom should [[wearable]] [[dissemble]]","Failed"
1.0,66.0,1.0,0.49974024295806885,"riding in the time of coronavirus how single people are handling [[thing]]",0.0,0.7237915992736816,"riding in the time of coronavirus how single people are handling [[matter]]","Successful"
0.0,86.0,0.0,0.26900702714920044,"death continue falling the day [[average]] just [[edged]] under",1.0,0.6579505801200867,"death continue falling the day [[fair]] just [[stinging]] under","Successful"
1.0,69.0,1.0,0.26911860704421997,"[[indian]] [[government]] [[snooping]] message over social medium and all social medium platform will be monitored for covid message",0.0,0.7244467735290527,"[[Amerindic]] [[governance]] [[sleuth]] message over social medium and all social medium platform will be monitored for covid message","Successful"
0.0,71.0,0.0,0.2752256989479065,"[[labour]] leader sir keir starmer is selfisolating after a [[member]] of his household displayed possible coronavirus symptom",1.0,0.6061012744903564,"[[Labor]] leader sir keir starmer is selfisolating after a [[penis]] of his household displayed possible coronavirus symptom","Successful"
1.0,81.0,1.0,0.27496761083602905,"[[hair]] weave and lace front manufactured in [[china]] may contain the coronavirus",0.0,0.6319323778152466,"[[fuzz]] weave and lace front manufactured in [[chinaware]] may contain the coronavirus","Successful"
1.0,71.0,1.0,0.26936811208724976,"when shri amitshah became covid [[positive]] shantidoots were [[organizing]] funeral",1.0,0.2933739423751831,"when shri amitshah became covid [[positivistic]] shantidoots were [[coordinate]] funeral","Failed"
1.0,297.0,1.0,0.2694852352142334,"these [[picture]] are of dr v k srinivas of bharat biotech [[taking]] the first second dos of corona vaccine",0.0,0.7007885575294495,"these [[delineation]] are of dr v k srinivas of bharat biotech [[read]] the first second dos of corona vaccine","Successful"
1.0,39.0,1.0,0.30616694688796997,"july ha le [[death]] than july despite pandemic",1.0,0.3789551258087158,"july ha le [[destruction]] than july despite pandemic","Failed"
1.0,56.0,1.0,0.2698219418525696," contact [[tracing]] apps have been secretly [[installed]] on every android phone  ",0.0,0.533790647983551," contact [[retrace]] apps have been secretly [[install]] on every android phone  ","Successful"
1.0,163.0,1.0,0.26961493492126465,"[[trump]] s covid test [[came]] [[back]] [[positive]] for stupidity donaldtrump whitehouse coronavirus [[c]]",0.0,0.6079294681549072,"[[outdo]] s covid test [[follow]] [[rearwards]] [[positivistic]] for stupidity donaldtrump whitehouse coronavirus [[ampere-second]]","Successful"
