"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
0.0,97.0,0.0,0.344501256942749,"covid can [[present]] a mild symptom which make it difficult to differentiate from illness such a malaria the only [[way]] to diagnosis is through testing we [[advice]] nigerian to selfreport if they notice known symptom beeodune on tvcconnect takeresponsibility",0.0,0.3556346297264099,"covid can [[is]] a mild symptom which make it difficult to differentiate from illness such a malaria the only [[trick]] to diagnosis is through testing we [[have]] nigerian to selfreport if they notice known symptom beeodune on tvcconnect takeresponsibility","Failed"
0.0,113.0,0.0,0.3334892988204956,"having a [[difficult]] [[time]] coping because of covid feeling lonely anxious or dealing with grief and loss [[help]] is available through the national suicide prevention lifeline [[learn]] more",0.0,0.37091064453125,"having a [[first]] [[come]] coping because of covid feeling lonely anxious or dealing with grief and loss [[treatment]] is available through the national suicide prevention lifeline [[including]] more","Failed"
1.0,58.0,1.0,0.3390449285507202,"face mask [[cause]] hypoxia wearing it [[cause]] one to inhale too much carbon dioxide which can [[make]] you sick",1.0,0.4154475927352905,"face mask [[may]] hypoxia wearing it [[prompting]] one to inhale too much carbon dioxide which can [[affect]] you sick","Failed"
0.0,78.0,0.0,0.3408001661300659,"adding the [[new]] incidence metric ha changed the score of [[county]] and expanded our coverage to county previously [[many]] [[county]] did not have enough data for [[u]] to calculate a risk score it is [[critical]] for local [[decisionmakers]] to have locallevel data",0.0,0.3611697554588318,"adding the [[relative]] incidence metric ha changed the score of [[counties]] and expanded our coverage to county previously [[small]] [[counties]] did not have enough data for [[people]] to calculate a risk score it is [[essential]] for local [[es]] to have locallevel data","Failed"
0.0,100.0,0.0,0.34300631284713745,"one other [[note]] the u s positive rate ha remained [[around]] [[throughout]] april the positive rate for todays reported test [[dropped]] to one day doesnt make a trend but [[good]] to see a lower floor",0.0,0.38234686851501465,"one other [[was]] the u s positive rate ha remained [[on]] [[till]] april the positive rate for todays reported test [[rate]] to one day doesnt make a trend but [[enough]] to see a lower floor","Failed"
0.0,55.0,0.0,0.3216975927352905,"indiafightscorona of the total active case are found in nine most affected [[state]] ut new case have been reported in the last hour in the country detail [[staysafe]] indiawillwin",0.0,0.3330129384994507,"indiafightscorona of the total active case are found in nine most affected [[localities]] ut new case have been reported in the last hour in the country detail [[called]] indiawillwin","Failed"
1.0,29.0,1.0,0.35353565216064453,"sweden to be extradited to [[united]] state for violating american covid guideline [[coronavirus]] covid sweden",1.0,0.3683350086212158,"sweden to be extradited to [[american]] state for violating american covid guideline [[see]] covid sweden","Failed"
0.0,95.0,0.0,0.35235846042633057,"we have our [[daily]] [[pm]] update live now weve [[tracked]] people tested total",1.0,0.5623773336410522,"we have our [[favorite]] [[tv]] update live now weve [[got]] people tested total","Successful"
1.0,177.0,1.0,0.3467214107513428,"the [[cdc]] [[recommends]] that only [[people]] with [[covid]] symptom should wear mask",0.0,0.5561109781265259,"the [[policy]] [[claims]] that only [[pupils]] with [[significant]] symptom should wear mask","Successful"
1.0,57.0,1.0,0.3577364683151245,"dr anthony [[fauci]] ha known for year that chloroquine and hydroxychloroquine will not only treat a [[current]] case of coronavirus but prevent future case",1.0,0.3686830997467041,"dr anthony [[lai]] ha known for year that chloroquine and hydroxychloroquine will not only treat a [[former]] case of coronavirus but prevent future case","Failed"
0.0,52.0,0.0,0.33074551820755005,"our [[model]] [[estimate]] that louisiana ha a high positive test rate and is near full icu [[capacity]] louisiana ha an elevated risk based on our reopeningsafely metric [[learn]] more",0.0,0.35186290740966797,"our [[models]] [[estimated]] that louisiana ha a high positive test rate and is near full icu [[making]] louisiana ha an elevated risk based on our reopeningsafely metric [[has]] more","Failed"
0.0,55.0,0.0,0.3412964344024658,"currently most case of covid in the [[u]] are in california and washington state however many other [[community]] are also dealing with case of covid [[see]] cdc recommendation for preventing spread of covid in community",0.0,0.36141979694366455,"currently most case of covid in the [[usa]] are in california and washington state however many other [[people]] are also dealing with case of covid [[has]] cdc recommendation for preventing spread of covid in community","Failed"
1.0,72.0,1.0,0.35004299879074097,"lot of young [[banker]] are affected by corona [[virus]] and soon bank can become biggest outbreak place these [[young]] ppl can become threat to their elder at home it high time that [[statebank]] pak should think of saving these life [[please]] covidpakistan",1.0,0.3717474341392517,"lot of young [[bank]] are affected by corona [[viruses]] and soon bank can become biggest outbreak place these [[big]] ppl can become threat to their elder at home it high time that [[someone]] pak should think of saving these life [[years]] covidpakistan","Failed"
1.0,36.0,1.0,0.3552091121673584,"nations mom form vigilante gang to [[make]] sure you [[get]] that cough [[checked]] out coldandflu winter coronavid",1.0,0.36795246601104736,"nations mom form vigilante gang to [[making]] sure you [[got]] that cough [[e]] out coldandflu winter coronavid","Failed"
0.0,42.0,0.0,0.33464229106903076,"followlasg ha reported the recovery of [[covid]] patient managed in the community in line with the new case management guideline a [[breakdown]] of case by state can be found via takeresponsibility",0.0,0.33859682083129883,"followlasg ha reported the recovery of [[best]] patient managed in the community in line with the new case management guideline a [[pattern]] of case by state can be found via takeresponsibility","Failed"
0.0,54.0,0.0,0.3248266577720642,"indiafightscorona [[state]] and ut have registered recovery rate more than the national average of the new recovered [[case]] are from state ut detail staysafe indiawillwin",0.0,0.33172911405563354,"indiafightscorona [[ll]] and ut have registered recovery rate more than the national average of the new recovered [[cases]] are from state ut detail staysafe indiawillwin","Failed"
0.0,78.0,0.0,0.33611947298049927,"rt [[pib]] india indiafightscorona average daily test conducted week [[wise]] india ha [[set]] a record in covid test conducted per day",0.0,0.3492780923843384,"rt [[ve]] india indiafightscorona average daily test conducted week [[round]] india ha [[ff]] a record in covid test conducted per day","Failed"
0.0,43.0,0.0,0.3565672039985657,"coronavirusupdates indiafightscorona [[case]] fatality rate cfr further dip to active case reduced to le than [[recorded]] yesterday covid recovery exceed active case by nearly lakh",0.0,0.3643566370010376,"coronavirusupdates indiafightscorona [[bles]] fatality rate cfr further dip to active case reduced to le than [[had]] yesterday covid recovery exceed active case by nearly lakh","Failed"
0.0,61.0,0.0,0.36218953132629395,"heres a look at the number of [[test]] per people in the state",1.0,0.5783405303955078,"heres a look at the number of [[guns]] per people in the state","Successful"
0.0,41.0,0.0,0.32332056760787964,"our daily update is published state reported [[k]] test and k case covid death were reported [[today]] about down from last saturday",0.0,0.32851672172546387,"our daily update is published state reported [[double]] test and k case covid death were reported [[be]] about down from last saturday","Failed"
1.0,54.0,1.0,0.36113232374191284,"video of west sumatra [[resident]] in indonesia throwing off chinese tourist and burning their belonging during the covid pandemic",1.0,0.3649781346321106,"video of west sumatra [[state]] in indonesia throwing off chinese tourist and burning their belonging during the covid pandemic","Failed"
1.0,94.0,1.0,0.3639770746231079,"susan lemon commondefense [[berniesanders]] omg are you frigging kidding me just like trump [[knowing]] how deadly the coronavirus wa same go for the police that night they said the [[knocked]] it wa their word against her distraught boyfriend",1.0,0.37582987546920776,"susan lemon commondefense [[john]] omg are you frigging kidding me just like trump [[did]] how deadly the coronavirus wa same go for the police that night they said the [[was]] it wa their word against her distraught boyfriend","Failed"
