"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
0.0,64.0,0.0,0.3668942451477051,"covid can present a mild symptom which make it difficult to differentiate from illness such a malaria the only way to diagnosis is through testing we advice nigerian to selfreport if they notice [[known]] symptom beeodune on tvcconnect takeresponsibility",1.0,0.5140270590782166,"covid can present a mild symptom which make it difficult to differentiate from illness such a malaria the only way to diagnosis is through testing we advice nigerian to selfreport if they notice [[celebrity]] symptom beeodune on tvcconnect takeresponsibility","Successful"
0.0,131.0,0.0,0.2877159118652344,"having a difficult time coping [[because]] of covid feeling lonely anxious or dealing with grief and loss help is [[available]] through the national [[suicide]] [[prevention]] [[lifeline]] [[learn]] more",1.0,0.5439001321792603,"having a difficult time coping [[than]] of covid feeling lonely anxious or dealing with grief and loss help is [[attainable]] through the national [[martyrdom]] [[dissuade]] [[floatie]] [[purchased]] more","Successful"
1.0,200.0,1.0,0.3497013449668884,"[[face]] [[mask]] cause [[hypoxia]] [[wearing]] it [[cause]] one to [[inhale]] too [[much]] [[carbon]] dioxide which can [[make]] you sick",0.0,0.5013539791107178,"[[confront]] [[disguised]] cause [[hypothermia]] [[carry]] it [[result]] one to [[midshipman]] too [[considerable]] [[gasses]] dioxide which can [[elicit]] you sick","Successful"
0.0,200.0,0.0,0.3134859800338745,"adding the [[new]] [[incidence]] metric ha changed the score of [[county]] and expanded our [[coverage]] to [[county]] previously [[many]] [[county]] did not have enough data for u to calculate a risk score it is critical for [[local]] decisionmakers to have locallevel data",0.0,0.39311325550079346,"adding the [[ny]] [[impacts]] metric ha changed the score of [[provinces]] and expanded our [[hedge]] to [[provincial]] previously [[big]] [[rounding]] did not have enough data for u to calculate a risk score it is critical for [[localized]] decisionmakers to have locallevel data","Failed"
0.0,148.0,0.0,0.3341168761253357,"one other note the u s [[positive]] rate ha [[remained]] around throughout [[april]] the positive rate for todays reported [[test]] dropped to one day doesnt make a trend but good to see a lower floor",1.0,0.5155011415481567,"one other note the u s [[preferential]] rate ha [[leftovers]] around throughout [[avril]] the positive rate for todays reported [[checks]] dropped to one day doesnt make a trend but good to see a lower floor","Successful"
0.0,200.0,0.0,0.3306959867477417,"indiafightscorona of the [[total]] active case are found in nine most [[affected]] state ut [[new]] [[case]] have been [[reported]] in the last [[hour]] in the [[country]] detail staysafe indiawillwin",0.0,0.3846498131752014,"indiafightscorona of the [[comprehensive]] active case are found in nine most [[impacted]] state ut [[innovative]] [[affairs]] have been [[outlined]] in the last [[hourly]] in the [[homeland]] detail staysafe indiawillwin","Failed"
1.0,176.0,1.0,0.37890809774398804,"sweden to [[be]] [[extradited]] to [[united]] [[state]] for [[violating]] american covid [[guideline]] coronavirus covid sweden",1.0,0.43194735050201416,"sweden to [[constitute]] [[ejecting]] to [[uniformed]] [[goverment]] for [[rape]] american covid [[ordering]] coronavirus covid sweden","Failed"
0.0,63.0,0.0,0.3272348642349243,"we have our daily pm [[update]] live now weve [[tracked]] people tested total",1.0,0.6304435133934021,"we have our daily pm [[moderne]] live now weve [[policed]] people tested total","Successful"
1.0,15.0,1.0,0.35148346424102783,"the [[cdc]] recommends that only people with covid symptom should wear mask",0.0,0.6237358450889587,"the [[cle]] recommends that only people with covid symptom should wear mask","Successful"
1.0,200.0,1.0,0.36648398637771606,"[[dr]] [[anthony]] fauci [[ha]] known for [[year]] that chloroquine and hydroxychloroquine will not only [[treat]] a [[current]] [[case]] of coronavirus but prevent [[future]] case",1.0,0.44888848066329956,"[[phd]] [[antoine]] fauci [[eu]] known for [[leto]] that chloroquine and hydroxychloroquine will not only [[addresses]] a [[moderne]] [[phenomenon]] of coronavirus but prevent [[trailing]] case","Failed"
0.0,200.0,0.0,0.32050156593322754,"our model estimate that louisiana ha a high [[positive]] test rate and is near [[full]] icu capacity louisiana [[ha]] an [[elevated]] risk based on our reopeningsafely metric [[learn]] more",0.0,0.39288216829299927,"our model estimate that louisiana ha a high [[actionable]] test rate and is near [[aggregate]] icu capacity louisiana [[owns]] an [[haute]] risk based on our reopeningsafely metric [[getting]] more","Failed"
0.0,200.0,0.0,0.312328040599823,"[[currently]] most case of covid in the u are in california and [[washington]] [[state]] however many other community are also dealing with [[case]] of covid [[see]] cdc recommendation for preventing [[spread]] of covid in community",0.0,0.3910250663757324,"[[nu]] most case of covid in the u are in california and [[dc]] [[goverment]] however many other community are also dealing with [[instance]] of covid [[think]] cdc recommendation for preventing [[deployed]] of covid in community","Failed"
1.0,200.0,1.0,0.3328102231025696,"lot of [[young]] banker are affected by corona [[virus]] and soon bank can [[become]] biggest outbreak [[place]] these young ppl can become threat to their elder at [[home]] it high [[time]] that statebank pak should think of saving these life please covidpakistan",1.0,0.3708094358444214,"lot of [[yong]] banker are affected by corona [[viruses]] and soon bank can [[gotten]] biggest outbreak [[mise]] these young ppl can become threat to their elder at [[sarcophagus]] it high [[calendar]] that statebank pak should think of saving these life please covidpakistan","Failed"
1.0,200.0,1.0,0.3681457042694092,"[[nations]] mom [[form]] [[vigilante]] gang to [[make]] sure you get that [[cough]] [[checked]] out coldandflu [[winter]] coronavid",1.0,0.422513484954834,"[[states]] mom [[fashion]] [[vigilantes]] gang to [[offer]] sure you get that [[coughing]] [[exam]] out coldandflu [[hibernation]] coronavid","Failed"
0.0,200.0,0.0,0.3317234516143799,"followlasg [[ha]] reported the recovery of covid [[patient]] managed in the [[community]] in [[line]] with the new case [[management]] guideline a breakdown of [[case]] by [[state]] can be found via takeresponsibility",0.0,0.39623475074768066,"followlasg [[were]] reported the recovery of covid [[lll]] managed in the [[societal]] in [[iine]] with the new case [[leadership]] guideline a breakdown of [[instance]] by [[estados]] can be found via takeresponsibility","Failed"
0.0,200.0,0.0,0.32843947410583496,"indiafightscorona state and ut have [[registered]] recovery [[rate]] more than the national [[average]] of the [[new]] [[recovered]] [[case]] are from state ut detail staysafe indiawillwin",0.0,0.3928370475769043,"indiafightscorona state and ut have [[enrolled]] recovery [[pace]] more than the national [[signifies]] of the [[recent]] [[reinstated]] [[lawsuit]] are from state ut detail staysafe indiawillwin","Failed"
0.0,200.0,0.0,0.33835703134536743,"rt pib [[india]] indiafightscorona [[average]] [[daily]] test conducted week [[wise]] india [[ha]] set a [[record]] in covid test conducted per [[day]]",0.0,0.3750080466270447,"rt pib [[rajasthan]] indiafightscorona [[signify]] [[periodic]] test conducted week [[saner]] india [[ai]] set a [[documentation]] in covid test conducted per [[today]]","Failed"
0.0,99.0,0.0,0.3199215531349182,"coronavirusupdates indiafightscorona case fatality [[rate]] cfr further dip to active case reduced to le than recorded yesterday covid recovery [[exceed]] active case by [[nearly]] lakh",1.0,0.501428484916687,"coronavirusupdates indiafightscorona case fatality [[airspeed]] cfr further dip to active case reduced to le than recorded yesterday covid recovery [[impersonate]] active case by [[miraculously]] lakh","Successful"
0.0,90.0,0.0,0.3127039074897766,"heres a look at the [[number]] of test per [[people]] in the state",1.0,0.5551331043243408,"heres a look at the [[chiffre]] of test per [[citizenship]] in the state","Successful"
0.0,200.0,0.0,0.318275511264801,"our [[daily]] update is published [[state]] [[reported]] [[k]] test and k case covid [[death]] were [[reported]] today about down from last [[saturday]]",0.0,0.3839573860168457,"our [[everyday]] update is published [[status]] [[counseled]] [[j]] test and k case covid [[dode]] were [[listed]] today about down from last [[today]]","Failed"
1.0,200.0,1.0,0.39699357748031616,"video of [[west]] sumatra [[resident]] in indonesia [[throwing]] off [[chinese]] tourist and [[burning]] their [[belonging]] during the covid [[pandemic]]",1.0,0.4243646264076233,"video of [[ouest]] sumatra [[renters]] in indonesia [[hurling]] off [[wa]] tourist and [[flre]] their [[possession]] during the covid [[ulf]]","Failed"
1.0,200.0,1.0,0.36957865953445435,"susan lemon commondefense berniesanders omg are you frigging kidding me just like trump knowing how deadly the coronavirus [[wa]] same [[go]] for the police that [[night]] they said the [[knocked]] it [[wa]] their [[word]] against her [[distraught]] boyfriend",1.0,0.41953206062316895,"susan lemon commondefense berniesanders omg are you frigging kidding me just like trump knowing how deadly the coronavirus [[hwa]] same [[vaya]] for the police that [[nighttime]] they said the [[threw]] it [[hwa]] their [[discourse]] against her [[angered]] boyfriend","Failed"
0.0,118.0,0.0,0.36354392766952515,"yesterday hhs sec azar announced the us fda ha completed it review of the ind application for mrna our potential vaccine for sarscov allowed it to proceed to clinic on feb the st clinical batch of mrna wa shipped to nih for use in the [[phase]] [[study]]",1.0,0.503714382648468,"yesterday hhs sec azar announced the us fda ha completed it review of the ind application for mrna our potential vaccine for sarscov allowed it to proceed to clinic on feb the st clinical batch of mrna wa shipped to nih for use in the [[ballpark]] [[scrutinize]]","Successful"
1.0,56.0,1.0,0.45175862312316895,"prolonged use of face mask [[cause]] o deficiency or co intoxication",0.0,0.5466451048851013,"prolonged use of face mask [[motivation]] o deficiency or co intoxication","Successful"
1.0,200.0,1.0,0.37489795684814453,"[[french]] [[doctor]] [[protest]] after [[discovering]] covid [[pandemic]] is a [[fraud]]",1.0,0.42819899320602417,"[[parisian]] [[medico]] [[protests]] after [[inventions]] covid [[disease]] is a [[ponzi]]","Failed"
