"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
1.0,78.0,1.0,0.26899534463882446,"oh [[really]] meat packing plant are unhealthy [[asks]] smug ghost of [[upton]] sinclair [[newsinphoto]] meatpacking covid",1.0,0.26946353912353516,"oh [[rеally]] meat packing plant are unhealthy [[as]] [[ks]] smug ghost of [[uptoո]] sinclair [[ոewsinphoto]] meatpacking covid","Failed"
1.0,85.0,1.0,0.312488317489624,"the overall lethality of covid infection fatality rate is about to and thus in the range of a severe [[influenza]] up to of all person may already have a certain cellular background immunity to the new coronavirus due to contact with previous coronaviruses i e cold virus there is still little to no scientific evidence for the effectiveness of cloth face mask in healthy and asymptomatic individual",0.0,0.5161267518997192,"the overall lethality of covid infection fatality rate is about to and thus in the range of a severe [[iոfluenza]] up to of all person may already have a certain cellular background immunity to the new coronavirus due to contact with previous coronaviruses i e cold virus there is still little to no scientific evidence for the effectiveness of cloth face mask in healthy and asymptomatic individual","Successful"
0.0,70.0,0.0,0.2689440846443176,"[[indiafightscorona]] [[state]] ut account for nearly of the new recovered case maharashtra ha maintained this [[lead]] with [[new]] recovery",1.0,0.5546504259109497,"[[indiafights]] [[corona]] [[statе]] ut account for nearly of the new recovered case maharashtra ha maintained this [[leaԁ]] with [[ոew]] recovery","Successful"
0.0,110.0,0.0,0.2689434289932251,"[[indiafightscorona]] india s per day [[testing]] capacity ha crossed lakh test [[test]] were conducted in the last hour the weekly average test have multiplied by more than time since the first [[week]] of january staysafe [[indiawillwin]]",1.0,0.5330885648727417,"[[indiafightscoⲅona]] india s per day [[tеsting]] capacity ha crossed lakh test [[ordeals]] were conducted in the last hour the weekly average test have multiplied by more than time since the first [[chow]] of january staysafe [[indiawillԝin]]","Successful"
1.0,46.0,1.0,0.26898694038391113,"[[man]] [[ha]] [[gone]] to live in parallel universe alcohol coronavirus [[whisky]]",1.0,0.27109360694885254,"[[mec]] [[հa]] [[gne]] to live in parallel universe alcohol coronavirus [[wisky]]","Failed"
0.0,84.0,0.0,0.26894277334213257,"[[state]] [[reported]] more than k case today and k case yesterday the highest number we ve seen since may mississippi hasn t updated it number in two day so we expect we re missing case there [[based]] on their previous update",1.0,0.636005163192749,"[[nation]] [[told]] more than k case today and k case yesterday the highest number we ve seen since may mississippi hasn t updated it number in two day so we expect we re missing case there [[basеd]] on their previous update","Successful"
0.0,107.0,0.0,0.2689444422721863,"[[indiafightscorona]] of the new recovered case are being [[reported]] from ten [[state]] [[ut]] maharashtra [[continues]] to lead with more than new recovered patient andhra pradesh contributed more than to the single day recovery",1.0,0.5362867116928101,"[[indiafightscoⲅona]] of the new recovered case are being [[reproted]] from ten [[sate]] [[outside]] maharashtra [[persists]] to lead with more than new recovered patient andhra pradesh contributed more than to the single day recovery","Successful"
0.0,38.0,0.0,0.26909124851226807,"cdc and google remind you that wearing cloth face covering in public setting can help slowthespread of covid [[learn]] more about cloth face covering",1.0,0.5498508214950562,"cdc and google remind you that wearing cloth face covering in public setting can help slowthespread of covid [[learո]] more about cloth face covering","Successful"
1.0,114.0,1.0,0.2689895033836365,"the viral text [[message]] [[claim]] that the chemical substance methylxanthines [[required]] to [[cure]] covid can be [[found]] in [[tea]] dr li [[wenliang]] had found this [[cure]] while researching about coronavirus before his [[death]]",1.0,0.27178287506103516,"the viral text [[messaging]] [[claims]] that the chemical substance methylxanthines [[require]] to [[therapeutic]] covid can be [[unearthed]] in [[teɑ]] dr li [[wеnliang]] had found this [[remedy]] while researching about coronavirus before his [[deatհ]]","Failed"
0.0,53.0,0.0,0.2780964970588684,"over worker in meat and poultry processing facility in state were infected with covid in april and may [[learn]] more about infection among worker at meat and poultry processing facility and step facility can take to slow the spread",1.0,0.5638951659202576,"over worker in meat and poultry processing facility in state were infected with covid in april and may [[leaⲅn]] more about infection among worker at meat and poultry processing facility and step facility can take to slow the spread","Successful"
