"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
0.0,87.0,0.0,0.26909297704696655,"indiafightscorona nearly of the [[total]] case are being contributed by five [[state]] [[viz]] maharashtra andhra pradesh tamil [[nadu]] [[karnataka]] and uttar pradesh [[staysafe]] indiawillwin",0.0,0.2695375084877014,"indiafightscorona nearly of the [[actual]] case are being contributed by five [[nadu]] [[government]] maharashtra andhra pradesh tamil [[achal]] [[tha]] and uttar pradesh [[haryana]] indiawillwin","Failed"
1.0,92.0,1.0,0.26896023750305176,"this [[video]] show [[dead]] [[coronavirus]] victim amassed in the bergamo or brescia hospital",0.0,0.7235277891159058,"this [[may]] show [[potential]] [[end]] victim amassed in the bergamo or brescia hospital","Successful"
1.0,62.0,1.0,0.2699815630912781,"the obama administration [[made]] a decision on testing that [[turned]] out to be very detrimental to what we re doing on the coronavirus",1.0,0.27200233936309814,"the obama administration [[took]] a decision on testing that [[plays]] out to be very detrimental to what we re doing on the coronavirus","Failed"
1.0,44.0,1.0,0.268976092338562,"andrés fabián hurtado the mayor of ibagué say his city [[lost]] [[four]] million job due to the coronavirus",1.0,0.269073486328125,"andrés fabián hurtado the mayor of ibagué say his city [[loss]] [[4]] million job due to the coronavirus","Failed"
1.0,56.0,1.0,0.2689450979232788,"the chinese government [[announced]] that garlic is a preventative food for the the novel coronavirus",1.0,0.26894623041152954,"the chinese government [[confirms]] that garlic is a preventative food for the the novel coronavirus","Failed"
0.0,85.0,0.0,0.2694393992424011,"a [[small]] fraction of death in longterm care facility are staff member [[nonetheless]] researcher estimate that by year s end covid will [[make]] working in an ltc [[facility]] the most dangerous job in america in",0.0,0.272552490234375,"a [[tiny]] fraction of death in longterm care facility are staff member [[where]] researcher estimate that by year s end covid will [[be]] working in an ltc [[being]] the most dangerous job in america in","Failed"
0.0,60.0,0.0,0.269245982170105,"we ve now passed day without community transmission but testing [[remains]] one of the best way to ensure there s no [[undetected]] community transmission in new zealand we need everyone to play their part in that",0.0,0.2720975875854492,"we ve now passed day without community transmission but testing [[was]] one of the best way to ensure there s no [[human]] community transmission in new zealand we need everyone to play their part in that","Failed"
0.0,47.0,0.0,0.26918232440948486,"coronavirusupdates [[covid]] india tracker a on september am confirmed case recovered active case deaths [[indiafightscorona]] indiawillwin staysafe [[via]] mohfw india",0.0,0.27332788705825806,"coronavirusupdates [[india]] india tracker a on september am confirmed case recovered active case deaths [[is]] indiawillwin staysafe [[by]] mohfw india","Failed"
1.0,95.0,1.0,0.2689681053161621,"ministry of ayush govt of india suggested the use of homeopathic medicine [[arsenicum]] album for it possible role in preventing covid infection said dr [[anil]] [[khurana]] director general central council for research in homoeopathy health phdcci healthcare mohfw india",1.0,0.279354989528656,"ministry of ayush govt of india suggested the use of homeopathic medicine [[data]] album for it possible role in preventing covid infection said dr [[s]] [[gupta]] director general central council for research in homoeopathy health phdcci healthcare mohfw india","Failed"
1.0,27.0,1.0,0.2689768075942993,"putin ha stated [[russian]] [[citizen]] have option stay home for day or in jail for year",1.0,0.2691875696182251,"putin ha stated [[fellow]] [[citizens]] have option stay home for day or in jail for year","Failed"
